timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
58673.46,253952,62,168049,11071877302,29,42201262,0,271,33,33,6610,141,21,675,983277,17,43118,45,48,144004148,1352,1,626,0,44,47,82,14,333,675,0,626,7,0,0,36385707,1838293,3290112437,0,675,333,2,1,14,14,428,1,3288828880,3240307496,240640474,251283279,251283279,1,2,1,11055743380,73389,73389,14,14,14,251266895,10,3,621209,1005066,2202892,25114,3288828880,983277,34184329,1804
60687.32,253952,62,181964,11988323426,29,45442477,0,311,33,33,6610,143,21,675,1091460,17,47026,45,48,144004148,1352,1,626,0,44,47,82,14,333,675,0,626,7,0,0,40400151,2344307,3557251373,0,675,333,2,1,14,14,428,1,3556477904,3508180531,248755226,272103408,272119792,1,2,1,11972549952,73389,73389,14,14,14,272103408,10,3,640806,1115599,2439153,27156,3556477904,1091460,37962671,1804
62693.39,253952,62,195628,12888850918,30,49667416,0,348,36,36,6610,146,21,675,1210376,17,50929,45,48,144535052,1352,1,626,0,44,50,82,14,333,675,0,626,7,0,0,44357336,3022709,3818347155,0,675,333,2,1,14,14,428,1,3819801552,3771452256,258230882,292566963,292583347,1,2,1,12872946372,73389,73389,14,14,14,292566963,10,3,668072,1236905,2628129,29165,3819801552,1210376,41731020,1804
64702.38,253952,62,209381,13795211114,32,54595697,0,396,37,37,6610,148,21,675,1341939,17,54778,45,48,145065956,1352,1,626,0,44,51,82,14,333,675,0,626,7,0,0,48497746,3648468,4084164633,0,675,333,2,1,14,14,428,1,4084829136,4036392334,268351104,313177974,313177974,1,2,1,13779830856,73389,73389,14,14,14,313177974,10,3,689565,1370878,2848483,31187,4084829136,1341939,45651217,1804
66713.60,253952,62,223060,14696456194,32,58977069,0,434,37,37,6610,150,21,675,1461414,17,58640,45,48,145331408,1352,1,626,0,44,51,82,14,333,675,0,626,7,0,0,52485693,4275039,4346834936,0,675,333,2,1,14,14,428,1,4348021712,4299894487,277817250,333660072,333660072,1,2,1,14680322272,73389,73389,14,14,14,333643688,10,3,723440,1492760,3076796,33195,4348021712,1461414,49410983,1804
68721.00,253952,62,237394,15640892806,32,64131300,0,483,37,37,6610,152,21,675,1573603,17,62636,45,48,145596860,1352,1,626,0,44,51,82,14,333,675,0,626,7,0,0,56620629,5095306,4621572155,0,675,333,2,1,14,14,428,1,4623666128,4575894681,288509883,355131243,355131243,1,2,1,15625053796,73389,73389,14,14,14,355114859,10,3,751811,1607361,3308782,35298,4623666128,1573603,53314084,1804
70725.48,253952,62,250610,16511794718,33,68080765,0,546,37,37,6610,155,21,675,1695316,17,66405,45,48,145862312,1352,1,626,0,44,51,82,14,333,675,0,626,7,0,0,60500723,5527403,4878464116,0,675,333,2,1,14,14,428,1,4878339024,4830520857,296255670,374908829,374925213,1,2,1,16495988476,73389,73389,14,14,14,374908829,10,3,768631,1731370,3471368,37241,4878339024,1695316,57031711,1804
72731.61,253952,62,261281,17214845702,35,71739930,0,573,38,38,6610,156,21,675,1757220,17,69377,45,48,146127764,1352,1,626,0,44,52,82,14,333,675,0,626,7,0,0,63146855,5609141,5084077671,0,675,333,2,1,14,14,428,1,5083859920,5036044815,303738679,390885771,390902155,1,2,1,17198973924,73389,73389,14,14,14,390885771,10,3,783034,1794698,3556210,38809,5083859920,1757220,59593097,1804
74738.07,253952,62,275134,18127759498,35,75130957,0,631,40,40,6610,159,21,675,1876793,17,73316,45,48,146658668,1352,1,626,0,44,54,82,14,333,675,0,626,7,0,0,67348121,6193578,5351984867,0,675,333,2,1,14,14,428,1,5350460368,5302901863,311623031,411644238,411660622,1,2,1,18112346472,73389,73389,14,14,14,411644238,10,3,802765,1916677,3731255,40843,5350460368,1876793,63619456,1804
76745.23,253952,62,288734,19023401250,36,79257200,0,672,41,41,6610,161,21,675,1989286,17,77149,45,48,146924120,1352,1,626,0,44,55,82,14,333,675,0,626,7,0,0,71329631,6984662,5607057839,0,675,333,2,1,14,14,428,1,5611559755,5564722576,321232066,432003456,432019840,1,2,1,19008152064,73389,73389,14,14,14,432003456,10,3,824256,2031535,3940348,42839,5611559755,1989286,67392013,1804
78749.21,253952,62,300056,19769381622,39,84128602,0,723,41,41,6610,163,21,675,2069629,17,80331,45,48,147189572,1352,1,626,0,44,55,82,14,333,675,0,626,7,0,0,74459293,7187184,5831562798,0,675,333,2,1,14,14,428,1,5829139275,5782703837,330346730,448953087,448969471,1,2,1,19753935828,73389,73389,14,14,14,448953087,10,3,843626,2113547,4080114,44499,5829139275,2069629,70382028,1804
80757.49,253952,62,311430,20518576566,39,85389454,0,753,44,44,6610,166,21,675,2154369,17,83598,45,48,147720476,1352,1,626,0,44,58,82,14,333,675,0,626,7,0,0,77494962,7596413,6048628434,0,675,333,2,1,14,14,428,1,6047536489,6001697863,335331135,465990671,465990671,1,2,1,20503589524,73389,73389,14,14,14,465990671,10,3,871579,2200026,4257977,46172,6047536489,2154369,73239945,1804
82762.21,253952,62,324959,21409991246,40,89434921,0,798,44,44,6610,168,21,675,2257566,17,87400,45,48,147985928,1352,1,626,0,44,58,82,14,333,675,0,626,7,0,0,81390999,8317801,6306310253,0,675,333,2,1,14,14,428,1,6308107625,6262273982,344284044,486251585,486251585,1,2,1,21395069740,73389,73389,14,14,14,486251585,10,3,888555,2305421,4405862,48160,6308107625,2257566,76988230,1804
84766.61,253952,62,334574,22043317376,42,93264440,0,825,44,44,6610,170,21,675,2307028,17,90129,45,48,148251380,1352,1,626,0,44,58,82,14,333,675,0,626,7,0,0,83607452,8326131,6495379718,0,675,333,2,1,14,14,428,1,6492984148,6447340161,350517037,500635405,500651789,1,2,1,22027957820,73389,73389,14,14,14,500635405,10,3,900467,2356018,4511083,49573,6492984148,2307028,79099545,1804
86775.53,253952,62,348549,22964066032,42,94921840,0,863,46,46,6610,173,21,675,2408946,17,94153,45,48,148782284,1352,1,626,0,44,60,82,14,333,675,0,626,7,0,0,87597987,8923099,6763409268,0,675,333,2,1,14,14,428,1,6761558026,6716537760,356523408,521571937,521571937,1,2,1,22949165228,73389,73389,14,14,14,521571937,10,3,929649,2460255,4661831,51626,6761558026,2408946,82939504,1804
88784.57,253952,62,362706,23896742240,42,98054408,0,910,48,48,6610,176,21,675,2525382,17,98173,45,48,149578640,1352,1,626,0,44,62,82,14,333,675,0,626,7,0,0,91582002,9964255,7034724971,0,675,333,2,1,14,14,428,1,7033920323,6989153494,366131277,542770613,542770613,1,2,1,23881186076,73389,73389,14,14,14,542754229,10,3,959781,2578987,4843774,53710,7033920323,2525382,86741721,1804
90794.34,253952,62,377554,24875129808,43,102456061,0,948,49,49,6610,178,21,675,2636108,17,102331,45,48,149844092,1352,1,626,0,44,63,82,14,333,675,0,626,7,0,0,95732629,11084695,7318643547,0,675,333,2,1,14,14,428,1,7319264067,7275092022,377061590,565009673,565009673,1,2,1,24860425612,73389,73389,14,14,14,565009673,10,3,982252,2692064,5012533,55887,7319264067,2636108,90723750,1804
92805.58,253952,62,391427,25787945300,45,107766448,0,987,51,51,6610,184,21,675,2732392,17,106420,45,48,150640448,1352,1,626,0,44,65,82,14,333,675,0,626,7,0,0,99714587,12047747,7583831554,0,675,333,2,1,14,14,428,1,7583905519,7541845707,387139707,585759948,585759948,1,2,1,25773437712,73389,73389,14,14,14,585759948,10,3,1015045,2790694,5187474,57924,7583905519,2732392,94530922,1804
94292.23,253952,62,400982,26415782060,49,111365075,3,1024,53,53,6610,191,21,675,2813036,17,109422,51,231,158511825,1359,1,626,1037,50,74,82,44,546,675,594,626,7,1037,995,102777246,13020365,7767568773,8,675,333,2,1,14,14,428,1,7763869224,7725268584,452911462,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,10,3,1049186,2872913,5330257,59330,7763869224,2813036,97450911,1804
