timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55253.85,5,262144,64,218045,14367622820,144,0,585,2661847,1,57822,67,604,129479580,1172,1,66,32477,1022865,2,17764,585,59947211,35969605,4265339940,585,618,2,1,2,1,2,2,354,1,4248084892,4203297297,447692614,326179061,326195445,2,1,14351878684,73389,73389,2,2,2,326179061,6,3,381990,22256163,3476862,87733,32412,4248084892,2574114,56464887,29559
60288.09,5,262144,64,220921,14557154098,144,0,585,2748791,1,58607,67,604,129479580,1172,1,66,32901,1154894,2,17764,585,61459169,40277050,4321071571,585,618,2,1,2,1,2,2,354,1,4303528348,4258727832,462150285,330495801,330495801,2,1,14541815244,73389,73389,2,2,2,330495801,6,3,385416,24778031,3574545,90598,32835,4303528348,2658193,57878413,29559
65414.24,5,262144,64,223406,14721072866,145,0,585,2831623,1,59337,67,604,129745032,1172,1,66,33266,1316466,2,17764,585,62927650,45189468,4369166258,585,618,2,1,2,1,2,2,354,1,4351369628,4306625465,548558298,334222717,334222717,2,1,14705799548,73389,73389,2,2,2,334222717,6,3,387719,27611248,3665310,101857,33200,4351369628,2729766,59255763,29559
70461.08,5,262144,64,226118,14899868306,145,0,585,2910868,1,60078,67,604,129745032,1172,1,66,33665,1450688,2,17764,585,64426337,50445520,4421737123,585,618,2,1,2,1,2,2,354,1,4403667356,4358850675,594128956,338277313,338293697,2,1,14884201772,73389,73389,2,2,2,338277313,6,3,389522,30268006,3738550,104501,33599,4403667356,2806367,60681155,29559
75478.33,5,262144,64,228944,15086134850,146,0,585,3000351,1,60903,67,604,130010484,1172,1,66,34081,1630116,2,17764,585,65918297,56872495,4476547948,585,618,2,1,2,1,2,2,354,1,4458193308,4413354045,627874075,342503941,342520325,2,1,15070173404,73389,73389,2,2,2,342503941,6,3,392264,32995262,3829466,113384,34015,4458193308,2886967,62081761,29559
80515.04,5,262144,64,231813,15275219442,146,0,585,3083613,1,61686,67,604,130010484,1172,1,66,34501,1778789,2,17764,585,67594616,61814792,4531883902,585,618,2,1,2,1,2,2,354,1,4513243548,4468602822,731315688,346804297,346820681,2,1,15259389068,73389,73389,2,2,2,346804297,6,3,401433,35947047,3944609,116107,34435,4513243548,2967506,63641711,29559
85562.77,5,262144,64,234531,15454215042,147,0,585,3163336,1,62482,67,604,130010484,1172,1,66,34900,2112780,2,17764,585,68907682,66956802,4584456592,585,618,2,1,2,1,2,2,354,1,4565541276,4520986248,758047504,350877436,350893820,2,1,15438607184,73389,73389,2,2,2,350877436,6,3,405195,38840875,4018524,118892,34835,4565541276,3044444,64880347,29559
90642.54,5,262144,64,237284,15635697458,147,0,585,3244554,1,63234,67,604,130010484,1172,1,66,35305,2361247,2,17764,585,70220751,71825541,4637823841,585,618,2,1,2,1,2,2,354,1,4618625436,4574004635,867324677,354997568,355013952,2,1,15619892992,73389,73389,2,2,2,354997568,6,3,410348,41402402,4121455,125732,35239,4618625436,3118822,66090755,29559
95682.99,5,262144,64,240214,15828779746,148,0,585,3323063,1,64086,67,604,130275936,1172,1,66,35737,2559368,2,17764,585,71973441,77351989,4694738866,585,618,2,1,2,1,2,2,354,1,4675248540,4630444051,903429117,359396228,359396228,2,1,15813434032,73389,73389,2,2,2,359396228,6,3,413835,44406418,4199178,128564,35671,4675248540,3194499,67765987,29559
100763.44,5,262144,64,243395,16038311570,148,0,585,3406398,1,64953,67,604,130275936,1172,1,66,36204,2830233,2,17764,585,73751181,82239234,4756264991,585,618,2,1,2,1,2,2,354,1,4736459164,4691737873,1024503937,364155336,364155336,2,1,16022113888,73389,73389,2,2,2,364138952,6,3,419887,47062434,4302569,131648,36138,4736459164,3274750,69440106,29559
105813.67,5,262144,64,246511,16243583554,149,0,585,3482938,1,65859,67,604,130275936,1172,1,66,36662,2905556,2,17764,585,75176888,86799801,4816605418,585,618,2,1,2,1,2,2,354,1,4796490140,4751740168,1070272577,368824332,368824332,2,1,16228270608,73389,73389,2,2,2,368824332,6,3,424258,49661960,4389384,134306,36596,4796490140,3348632,70777586,29559
110856.37,5,262144,64,252230,16620507554,150,1,585,3633449,1,67473,67,604,130541388,1172,1,66,37502,3003554,2,17764,585,78012870,91177583,4927236589,585,618,2,1,2,1,2,2,354,1,4906590620,4861869557,1205318372,377392276,377392276,2,1,16605260144,73389,73389,2,2,2,377392276,6,3,428152,51718074,4521977,139108,37436,4906590620,3494341,73480867,29559
115926.10,5,262144,64,256780,16920289066,150,1,585,3748207,1,68715,67,604,130541388,1172,1,66,38172,3139259,2,17764,585,80028138,95807767,5015492017,585,618,2,1,2,1,2,2,354,1,4994408860,4949489433,1372044106,384195066,384211450,2,1,16904582904,73389,73389,2,2,2,384195066,6,3,433711,54004414,4646665,143568,38106,4994408860,3604639,75372104,29559
120964.56,5,262144,64,262053,17267718558,151,1,585,3857330,1,70209,67,604,130541388,1172,1,66,38945,3252809,2,17764,585,82346022,100190327,5117302491,585,618,2,1,2,1,2,2,354,1,5095727516,5051007725,1502988652,392093425,392109809,2,1,17252110700,73389,73389,2,2,2,392093425,6,3,440047,56189337,4779529,147971,38879,5095727516,3709359,77557615,29559
125980.07,5,262144,64,267220,17608201234,152,1,585,3970345,1,71671,67,604,130806840,1172,1,66,39705,3385056,2,17764,585,84705582,104597599,5217399176,585,618,2,1,2,1,2,2,354,1,5195342236,5150567373,1636844777,399836136,399852520,2,1,17592789984,73389,73389,2,2,2,399836136,6,3,441616,58666264,4913991,153042,39639,5195342236,3817303,79780649,29559
131001.91,5,262144,64,274144,18064361566,153,1,585,4103817,1,73619,67,604,130806840,1172,1,66,40720,3509744,2,17764,585,88055090,109127879,5351059449,585,618,2,1,2,1,2,2,354,1,5328380316,5283895160,1912707561,410220545,410220545,2,1,18049703980,73389,73389,2,2,2,410220545,6,3,446887,60892259,5075189,159522,40654,5328380316,3944295,82968537,29559
136007.71,5,262144,64,308505,20328454854,159,1,585,4393279,1,83262,67,604,131868648,1172,1,66,45770,3552703,2,17764,585,96764504,110743261,6015569853,585,618,2,1,2,1,2,2,354,1,5990293916,5945853272,1944425837,461657103,461673487,2,1,20312912532,73389,73389,2,2,2,461657103,6,3,467413,62121110,5292919,168114,45704,5990293916,4225165,91462163,29559
141020.85,5,262144,64,329129,21687501974,162,1,585,4650828,1,89106,67,604,132399552,1172,1,66,48799,3585538,2,17764,585,102348801,113467954,6414217783,585,618,2,1,2,1,2,2,354,1,6387311004,6343109606,2131493630,492546027,492562411,2,1,21672025188,73389,73389,2,2,2,492546027,6,3,475848,63613584,5508778,175171,48733,6387311004,4475657,96830956,29559
146073.64,5,262144,64,335723,22122035426,164,2,585,4826522,1,91014,67,604,132665004,1172,1,66,49766,3688900,2,17764,585,104673019,116909723,6541559544,585,618,2,1,2,1,2,2,354,1,6514057628,6470139935,2146171806,502422532,502438916,2,1,22106591408,73389,73389,2,2,2,502422532,6,3,481978,65591583,5678201,179908,49701,6514057628,4646614,98985563,29559
151118.59,5,262144,64,340136,22412838506,164,2,585,4957014,1,92219,67,604,132665004,1172,1,66,50418,3860958,2,17764,585,107017597,121579536,6627444341,585,618,2,1,2,1,2,2,354,1,6599516572,6555115527,2369722923,509045098,509045098,2,1,22397984312,73389,73389,2,2,2,509045098,6,3,486696,68005266,5792267,183747,50352,6599516572,4773267,101215919,29559
156153.40,5,262144,64,346633,22840749514,165,2,585,5134763,1,94042,67,604,132665004,1172,1,66,51369,3936179,2,17764,585,109958288,125451805,6752687422,585,618,2,1,2,1,2,2,354,1,6724166044,6680213685,2532309996,518768114,518768114,2,1,22825076120,73389,73389,2,2,2,518751730,6,3,490786,70046474,5986631,197449,51303,6724166044,4937314,103962365,29559
161182.00,5,262144,64,353971,23324307202,167,2,585,5320861,1,96156,67,604,132930456,1172,1,66,52446,3976503,2,17764,585,114593531,129503881,6894511753,585,618,2,1,2,1,2,2,354,1,6865330588,6821579897,2595699065,529748380,529764764,2,1,23308928720,73389,73389,2,2,2,529748380,6,3,500087,71903739,6221849,203172,52380,6865330588,5117689,108363494,29559
166216.98,5,262144,64,361640,23829557306,168,2,585,5508055,1,98301,67,604,133195908,1172,1,66,53575,4041756,2,17764,585,117933311,133300863,7043177612,585,618,2,1,2,1,2,2,354,1,7013310876,6969296041,2617670365,541228358,541244742,2,1,23814047752,73389,73389,2,2,2,541228358,6,3,506553,73871014,6427854,209453,53509,7013310876,5298602,111497411,29559
171233.44,5,262144,64,369384,24339988062,169,2,585,5705591,1,100469,67,604,133461360,1172,1,66,54709,4108510,2,17764,585,121378873,137119305,7192502929,585,618,2,1,2,1,2,2,354,1,7161946524,7118528510,2692359071,552837249,552837249,2,1,24324838956,73389,73389,2,2,2,552837249,6,3,511536,75838272,6624232,215346,54643,7161946524,5490245,114746875,29559
