timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
78159.16,10,262144,64,50559,3331799076,116,3,585,2573946,17,10608,57,67,283356,125280612,1172,1,66,7874,9576013,2,286835,585,23728017,107622174,1028536980,585,2079,2,1,2,2,710,1,1023320476,977321489,571516408,75364885,75381269,2,1,3316054940,73389,73389,2,2,2,75364885,17,1,3,116495,71051390,2464939,123119,7809,1023320476,2450827,21260250,24871
83218.00,10,262144,64,52662,3470417640,116,3,585,2633373,17,11181,57,67,283356,125280612,1172,1,66,8183,9971266,2,286835,585,24697565,111837640,1069119869,585,2079,2,1,2,2,710,1,1063690652,1017850025,581024395,78512328,78528712,2,1,3454542432,73389,73389,2,2,2,78512328,17,1,3,117359,73543752,2537599,126367,8118,1063690652,2507006,22157470,24871
88306.92,10,262144,64,56020,3691295950,117,4,585,2711636,17,12153,57,67,283356,125280612,1172,1,66,8675,10314852,2,286835,585,26537270,117004286,1133936973,585,2079,2,1,2,2,710,1,1128178076,1082394783,763951221,83535739,83552123,2,1,3675572516,73389,73389,2,2,2,83535739,17,1,3,119999,76213588,2641642,129923,8609,1128178076,2581713,23893544,24871
93446.19,10,262144,64,59858,3944415830,117,4,585,2791868,17,13200,57,67,283356,125280612,1172,1,66,9240,10601200,2,286835,585,28187724,121623612,1208360497,585,2079,2,1,2,2,710,1,1202233756,1156384340,820223849,89289953,89306337,2,1,3928757932,73389,73389,2,2,2,89289953,17,1,3,123910,79083984,2738560,133439,9174,1202233756,2658429,25446496,24871
98472.41,10,262144,64,64345,4240068574,118,4,585,2890655,17,14472,57,67,283356,125546064,1172,1,66,9898,10826285,2,286835,585,29381864,125971796,1295036494,585,2079,2,1,2,2,710,1,1288479132,1242794139,836122926,96010823,96027207,2,1,4224476212,73389,73389,2,2,2,96010823,17,1,3,126923,81500772,2824829,143976,9832,1288479132,2746679,26554116,24871
103550.22,10,262144,64,68858,4537425254,119,5,585,2995936,17,15762,57,67,283356,125546064,1172,1,66,10560,10971033,2,286835,585,31724790,131015478,1382236044,585,2079,2,1,2,2,710,1,1375248796,1329805505,881813713,102772653,102772653,2,1,4521996732,73389,73389,2,2,2,102772653,17,1,3,132253,83683328,2932019,147011,10494,1375248796,2848925,28789848,24871
108600.26,10,262144,64,72604,4784250370,119,5,585,3096453,17,16785,57,67,283356,125546064,1172,1,66,11113,11124696,2,286835,585,33416435,135827210,1455083700,585,2079,2,1,2,2,710,1,1447731612,1401928702,976134702,108373378,108389762,2,1,4768428632,73389,73389,2,2,2,108373378,17,1,3,134195,86425398,3028884,157869,11047,1447731612,2938584,30384680,24871
113862.66,10,262144,64,76264,5025439390,120,5,585,3193872,17,17838,57,67,283356,125811516,1172,1,66,11650,11356541,2,286835,585,35289355,141087443,1525838147,585,2079,2,1,2,2,710,1,1518117276,1472357455,1107175873,113859415,113875799,2,1,5009814260,73389,73389,2,2,2,113859415,17,1,3,135259,89106857,3117818,161217,11584,1518117276,3032655,32168805,24871
119343.05,10,262144,64,79646,5248143950,121,5,585,3284670,17,18814,57,67,283356,125811516,1172,1,66,12146,11503130,2,286835,585,36906669,146300501,1591184089,585,2079,2,1,2,2,710,1,1583128988,1537475915,1146067989,118921627,118938011,2,1,5232551588,73389,73389,2,2,2,118921627,17,1,3,138982,92135539,3206937,164370,12080,1583128988,3120300,33697332,24871
124426.24,10,262144,64,83064,5473207806,121,5,585,3357174,17,19749,57,67,283356,125811516,1172,1,66,12646,11773656,2,286835,585,38015678,151178869,1657052327,585,2079,2,1,2,2,710,1,1648664988,1603329364,1284582679,124041183,124057567,2,1,5457812052,73389,73389,2,2,2,124041183,17,1,3,143063,94904668,3301218,166889,12580,1648664988,3190285,34712401,24871
129594.31,10,262144,64,86537,5702407046,122,5,585,3431799,17,20748,57,67,283356,126076968,1172,1,66,13158,12165724,2,286835,585,40153264,156621532,1724500275,585,2079,2,1,2,2,710,1,1715773852,1670312470,1441848235,129254725,129254725,2,1,5687207900,73389,73389,2,2,2,129254725,17,1,3,148904,97993538,3424882,170302,13092,1715773852,3261497,36726358,24871
134750.34,10,262144,64,90829,5985256138,123,6,585,3520453,17,21975,57,67,283356,126318288,1172,1,66,13792,12363211,2,286835,585,41851067,161245742,1808012734,585,2079,2,1,2,2,710,1,1798873500,1752944384,1466415612,135672491,135688875,2,1,5969589604,73389,73389,2,2,2,135672491,17,1,3,151850,100513671,3531273,174130,13726,1798873500,3346323,38316711,24871
139845.60,10,262144,64,94547,6230246246,123,6,585,3601074,17,22987,57,67,283356,126318288,1172,1,66,14336,12548179,2,286835,585,43515652,166019084,1879670920,585,2079,2,1,2,2,710,1,1870176668,1824569618,1615663287,141240448,141256832,2,1,6214579712,73389,73389,2,2,2,141240448,17,1,3,155255,103182915,3642251,180212,14270,1870176668,3420862,39870481,24871
144951.20,10,262144,64,98351,6480872450,124,6,585,3699561,17,24081,57,67,283356,126571674,1172,1,66,14893,12749314,2,286835,585,44787537,170516435,1953183757,585,2079,2,1,2,2,710,1,1943314844,1897801700,1773521525,146939477,146955861,2,1,6465336988,73389,73389,2,2,2,146939477,17,1,3,157817,105911658,3716648,190223,14828,1943314844,3509338,41067100,24871
150184.28,10,262144,64,102114,6728811678,124,6,585,3792204,17,25107,57,67,283356,126571674,1172,1,66,15449,12939873,2,286835,585,46494213,175445582,2026423101,585,2079,2,1,2,2,710,1,2016190876,1970302090,1840924746,152572970,152589354,2,1,6713210680,73389,73389,2,2,2,152572970,17,1,3,162147,108879680,3834506,193328,15384,2016190876,3598876,42656107,24871
155398.69,10,262144,64,105369,6943458618,125,6,585,3869589,17,26052,57,67,283356,126837126,1172,1,66,15928,13199360,2,286835,585,48390066,180989879,2089529458,585,2079,2,1,2,2,710,1,2078974364,2033019941,1904252837,157460991,157477375,2,1,6928283604,73389,73389,2,2,2,157460991,17,1,3,164925,111755709,3930547,197660,15863,2078974364,3671929,44455905,24871
160443.65,10,262144,64,108282,7135426794,125,6,585,3938128,17,26844,57,67,283356,126837126,1172,1,66,16354,13512449,2,286835,585,49752148,185778962,2145524012,585,2079,2,1,2,2,710,1,2134679964,2089168362,1923449082,161810499,161826883,2,1,7119661956,73389,73389,2,2,2,161810499,17,1,3,167144,114602983,4025594,200978,16288,2134679964,3737150,45722258,24871
165478.43,10,262144,64,110735,7296982958,126,6,585,4000139,17,27570,57,67,283356,126837126,1172,1,66,16714,13775237,2,286835,585,51645540,190933639,2192954422,585,2079,2,1,2,2,710,1,2181865884,2136319943,1985149218,165490422,165506806,2,1,7281578568,73389,73389,2,2,2,165490422,17,1,3,173620,117200193,4144226,204239,16649,2181865884,3795900,47492495,24871
170520.10,10,262144,64,113650,7489082206,126,6,585,4088767,17,28365,57,67,283356,126837126,1172,1,66,17142,14098269,2,286835,585,52880608,195639809,2249343132,585,2079,2,1,2,2,710,1,2237964700,2192489826,2004277042,169856314,169872698,2,1,7473677816,73389,73389,2,2,2,169856314,17,1,3,177640,119555246,4252193,225427,17076,2237964700,3863340,48619870,24871
175599.18,10,262144,64,118166,7786635494,127,6,585,4186439,17,29651,57,67,283356,127102578,1172,1,66,17807,14398482,2,286835,585,54714518,199880518,2336934770,585,2079,2,1,2,2,710,1,2325127580,2279516358,2044140807,176626336,176626336,2,1,7771558784,73389,73389,2,2,2,176626336,17,1,3,179055,121945544,4370612,229807,17741,2325127580,3956632,50335528,24871
180613.50,10,262144,64,127951,8431356130,129,6,585,4328841,17,32429,57,67,283356,127368030,1172,1,66,19243,14534016,2,286835,585,57615862,204271279,2525979977,585,2079,2,1,2,2,710,1,2513346972,2468008140,2081183453,191278333,191278333,2,1,8416246652,73389,73389,2,2,2,191278333,17,1,3,186954,124128074,4564781,234835,19177,2513346972,4094006,53042333,24871
185716.30,10,262144,64,133522,8798315350,130,6,585,4454353,17,34002,57,67,283356,127368030,1172,1,66,20062,14610940,2,286835,585,60723271,208861417,2633971090,585,2079,2,1,2,2,710,1,2620826012,2575296845,2107609992,199602676,199619060,2,1,8782517744,73389,73389,2,2,2,199602676,17,1,3,188050,126536219,4683694,238336,19997,2620826012,4216017,56031118,24871
190869.06,10,262144,64,137399,9053725682,130,6,585,4544355,17,35061,57,67,283356,127368030,1172,1,66,20633,14761869,2,286835,585,62101861,213549612,2709059671,585,2079,2,1,2,2,710,1,2695537052,2649880737,2231997195,205416393,205432777,2,1,9038321292,73389,73389,2,2,2,205416393,17,1,3,189973,128991943,4778511,241254,20567,2695537052,4303101,57315658,24871
195973.71,10,262144,64,140881,9283249294,131,7,585,4630003,17,36063,57,67,283356,127621416,1172,1,66,21145,14912891,2,286835,585,64562408,219361043,2776511667,585,2079,2,1,2,2,710,1,2762645916,2717020394,2643865102,210640286,210640286,2,1,9267451688,73389,73389,2,2,2,210623902,17,1,3,198092,131338585,4893181,244609,21079,2762645916,4385394,59666536,24871
201155.41,10,262144,64,144604,9528832534,132,7,585,4736892,17,37134,57,67,283356,127886868,1172,1,66,21693,15034982,2,286835,585,66327880,224244122,2848707069,585,2079,2,1,2,2,710,1,2834473372,2788805954,2666023300,216222468,216222468,2,1,9513067696,73389,73389,2,2,2,216206084,17,1,3,202350,134086473,4984274,261713,21627,2834473372,4475179,61335786,24871
206481.78,10,262144,64,147860,9743279558,132,7,585,4812668,17,38022,57,67,283356,127886868,1172,1,66,22170,15141168,2,286835,585,67048394,228603460,2911554524,585,2079,2,1,2,2,710,1,2896994716,2851485843,2671308814,221096264,221096264,2,1,9728235616,73389,73389,2,2,2,221096264,17,1,3,202697,136333903,5035168,264383,22104,2896994716,4548285,62005386,24871
212516.14,10,262144,64,151900,10009372258,133,7,585,4905292,17,39180,57,67,283356,127886868,1172,1,66,22761,15344914,2,286835,585,70170623,235073436,2989548380,585,2079,2,1,2,2,710,1,2974589340,2929288287,2895480134,227131165,227147549,2,1,9993771260,73389,73389,2,2,2,227131165,17,1,3,207821,139585045,5141346,267427,22696,2974589340,4637865,65020847,24871
217592.49,10,262144,64,155497,10246432510,133,7,585,4979908,17,40161,57,67,283356,127886868,1172,1,66,23293,15521506,2,286835,585,71632070,239966043,3059500281,585,2079,2,1,2,2,710,1,3044188572,2998563411,2928939674,232518898,232535282,2,1,10230831512,73389,73389,2,2,2,232518898,17,1,3,210040,142114311,5234338,270429,23227,3044188572,4709479,66389460,24871
222674.15,10,262144,64,159638,10519409798,134,7,585,5070028,17,41343,57,67,283356,128152320,1172,1,66,23900,15708997,2,286835,585,72812513,244522733,3139456037,585,2079,2,1,2,2,710,1,3123749276,3078373943,2957254523,238731864,238731864,2,1,10504202016,73389,73389,2,2,2,238731864,17,1,3,212500,144746148,5322253,273268,23834,3123749276,4796760,67481950,24871
227811.44,10,262144,64,164635,10848485902,135,7,585,5177260,17,42762,57,67,283356,128152320,1172,1,66,24636,15899127,2,286835,585,75129140,249262806,3236398112,585,2079,2,1,2,2,710,1,3220218268,3174578027,3026712689,246198206,246214590,2,1,10832721064,73389,73389,2,2,2,246198206,17,1,3,218006,147269255,5436317,277222,24570,3220218268,4900038,69684425,24871
232869.49,10,262144,64,169156,11146366870,136,7,585,5275204,17,44051,57,67,283356,128417772,1172,1,66,25297,16107486,2,286835,585,77416056,254240443,3323472586,585,2079,2,1,2,2,710,1,3306856860,3261623361,3286794202,252984612,252984612,2,1,11131322928,73389,73389,2,2,2,252984612,17,1,3,222879,149650747,5536828,280309,25232,3306856860,4994895,71871363,24871
237881.00,10,262144,64,186481,12288148918,139,8,585,5482364,17,48921,57,67,283356,128948676,1172,1,66,27845,16164878,2,286835,585,82471793,258605990,3658822349,585,2079,2,1,2,2,710,1,3640828316,3595347991,3587700640,278934204,278934204,2,1,12273104976,73389,73389,2,2,2,278934204,17,1,3,233579,151513805,5749571,288054,27779,3640828316,5194310,76715137,24871
242891.08,10,262144,64,209577,13809731934,142,8,585,5733608,17,55400,57,67,283356,129214128,1172,1,66,31234,16197562,2,286835,585,88204323,261468437,4104822531,585,2079,2,1,2,2,710,1,4085031324,4040146612,3847828760,313505210,313521594,2,1,13794229240,73389,73389,2,2,2,313505210,17,1,3,242240,153106674,5985660,295393,31168,4085031324,5438215,82212586,24871
247956.72,10,262144,64,216913,14293158550,144,8,585,5879150,17,57513,57,67,283356,129479580,1172,1,66,32311,16307553,2,286835,585,92941046,266602858,4246753067,585,2079,2,1,2,2,710,1,4226326940,4181542442,3910296409,324485476,324501860,2,1,14277360944,73389,73389,2,2,2,324485476,17,1,3,251666,155388557,6163238,323193,32246,4226326940,5555957,86771873,24871
253255.46,10,262144,64,220656,14539787058,144,8,585,5966291,17,58533,57,67,283356,129479580,1172,1,66,32863,16474612,2,286835,585,94388348,271128841,4319472195,585,2079,2,1,2,2,710,1,4298678684,4253649375,3922962868,330086201,330102585,2,1,14523792844,73389,73389,2,2,2,330086201,17,1,3,252206,157664691,6247228,326116,32798,4298678684,5640175,88135253,24871
258451.35,10,262144,64,223527,14729002722,145,8,585,6037918,17,59370,57,67,283356,129745032,1172,1,66,33283,16728708,2,286835,585,96066610,275871424,4374673414,585,2079,2,1,2,2,710,1,4353597852,4308928404,4200128556,334402941,334402941,2,1,14713729404,73389,73389,2,2,2,334402941,17,1,3,254977,160560862,6311244,328914,33217,4353597852,5709004,89749172,24871
264223.27,10,262144,64,226719,14939520894,145,8,585,6120567,17,60243,57,67,283356,129745032,1172,1,66,33755,16992785,2,286835,585,97422958,281093501,4436853595,585,2079,2,1,2,2,710,1,4415463836,4370461164,4218190727,339184466,339200850,2,1,14924116504,73389,73389,2,2,2,339184466,17,1,3,255367,163798668,6371701,331640,33689,4415463836,5788927,91044668,24871
269708.48,10,262144,64,229855,15146103598,146,9,585,6192951,17,61150,57,67,283356,130010484,1172,1,66,34213,17432669,2,286835,585,98883886,286994177,4497191385,585,2079,2,1,2,2,710,1,4475494812,4430849531,4554412987,343886230,343886230,2,1,15130994120,73389,73389,2,2,2,343886230,17,1,3,256718,167489628,6432118,334518,34147,4475494812,5858433,92444917,24871
275603.56,10,262144,64,232913,15347574494,146,9,585,6255901,17,61986,57,67,283356,130010484,1172,1,66,34665,17929985,2,286835,585,100240258,292546633,4556735995,585,2079,2,1,2,2,710,1,4534739356,4489766576,4866313173,348448730,348465114,2,1,15331744120,73389,73389,2,2,2,348448730,17,1,3,258175,171058815,6511330,337291,34599,4534739356,5918610,93721822,24871
283738.32,10,262144,64,236979,15615443526,147,9,585,6350406,17,63150,57,67,283356,130010484,1172,1,66,35261,18419049,2,286835,585,102167440,300118231,4635260158,585,2079,2,1,2,2,710,1,4612858268,4568140034,4918582360,354532783,354549167,2,1,15599442452,73389,73389,2,2,2,354532783,17,1,3,261133,175649722,6633223,341877,35196,4612858268,6008529,95526862,24871
288835.86,10,262144,64,240812,15868235726,148,10,585,6435551,17,64251,57,67,283356,130275936,1172,1,66,35824,18682474,2,286835,585,103938500,305175925,4709419991,585,2079,2,1,2,2,710,1,4686651804,4641996782,5231747759,360286997,360303381,2,1,15852627868,73389,73389,2,2,2,360286997,17,1,3,262564,178752349,6726350,345545,35758,4686651804,6090006,97204165,24871
293856.37,10,262144,64,245322,16165395798,148,10,585,6545345,17,65481,57,67,283356,130275936,1172,1,66,36487,18874086,2,286835,585,106146895,310756302,4796749693,585,2079,2,1,2,2,710,1,4773552540,4728864926,5275280261,367040635,367057019,2,1,16149787940,73389,73389,2,2,2,367040635,17,1,3,264268,181475574,6829789,349173,36421,4773552540,6196172,99308475,24871
298869.56,10,262144,64,262509,17297602974,151,10,585,6740289,17,70332,57,67,283356,130541388,1172,1,66,39012,18945771,2,286835,585,111223217,314957449,5129083170,585,2079,2,1,2,2,710,1,5104509340,5059769432,5354112628,392781553,392781553,2,1,17282388332,73389,73389,2,2,2,392781553,17,1,3,268449,183320021,7015113,355302,38946,5104509340,6384987,104198337,24871
303917.47,10,262144,64,269777,17776573142,153,11,585,6886352,17,72414,57,67,283356,130806840,1172,1,66,40080,19036137,2,286835,585,113944990,319161301,5269838715,585,2079,2,1,2,2,710,1,5244625308,5199798531,5426518618,403663515,403679899,2,1,17761194660,73389,73389,2,2,2,403663515,17,1,3,275829,185559959,7168751,359871,40015,5244625308,6526481,106767032,24871
308995.88,10,262144,64,273673,18033228658,153,11,585,6972598,17,73490,57,67,283356,130806840,1172,1,66,40651,19178595,2,286835,585,116049918,324203447,5344930341,585,2079,2,1,2,2,710,1,5319336348,5274837480,5464458990,409510000,409510000,2,1,18018440000,73389,73389,2,2,2,409510000,17,1,3,280812,187904117,7270769,362568,40585,5319336348,6610030,108770260,24871
314066.84,10,262144,64,277778,18303846650,154,11,585,7063078,17,74661,57,67,283356,131072292,1172,1,66,41257,19310294,2,286835,585,117782336,328825906,5424755155,585,2079,2,1,2,2,710,1,5398765980,5353976864,5502608461,415657430,415657430,2,1,18288926920,73389,73389,2,2,2,415657430,17,1,3,289039,190330148,7409074,365223,41191,5398765980,6697855,110364677,24871
319305.45,10,262144,64,281633,18557984114,155,11,585,7144022,17,75768,57,67,283356,131241216,1172,1,66,41824,19503956,2,286835,585,119777241,333726204,5499576977,585,2079,2,1,2,2,710,1,5473214876,5428269935,5547763987,421413803,421436220,2,1,18542207332,73389,73389,2,2,2,421413803,17,1,3,290046,192847693,7488450,367973,41759,5473214876,6776049,112280234,24871
325903.76,10,262144,64,285523,18814342942,155,11,585,7239631,17,76830,57,67,283356,131337744,1172,1,66,42394,19854203,2,286835,585,121853405,340274049,5574547378,585,2079,2,1,2,2,710,1,5547794844,5503204184,5591841152,427249937,427266321,2,1,18798997228,73389,73389,2,2,2,427249937,17,1,3,297250,196205607,7647528,376757,42328,5547794844,6862874,114196109,24871
331271.95,10,262144,64,289226,19058084558,156,11,585,7322085,17,77895,57,67,283356,131337744,1172,1,66,42936,20032065,2,286835,585,124025482,345537464,5645951289,585,2079,2,1,2,2,710,1,5618835868,5574436958,5717507638,432803669,432803669,2,1,19043361436,73389,73389,2,2,2,432803669,17,1,3,300423,198931097,7743802,380546,42870,5618835868,6941539,116272298,24871
337050.20,10,262144,64,293589,19345610838,157,11,585,7409553,17,79118,57,67,283356,131337744,1172,1,66,43581,20323578,2,286835,585,125764465,351189979,5730911523,585,2079,2,1,2,2,710,1,5703377308,5658488417,5800384810,439327931,439344315,2,1,19330428964,73389,73389,2,2,2,439327931,17,1,3,303163,202153375,7852665,384451,43515,5703377308,7025102,117902815,24871
342527.19,10,262144,64,298083,19641722334,157,11,585,7509729,17,80364,57,67,283356,131603196,1172,1,66,44240,20490234,2,286835,585,127410818,356059637,5817718324,585,2079,2,1,2,2,710,1,5789753756,5745091973,5859415338,446065185,446065185,2,1,19626147244,73389,73389,2,2,2,446048801,17,1,3,304991,204899880,7943414,403305,44174,5789753756,7106424,119458597,24871
347596.17,10,262144,64,302094,19905914490,158,11,585,7587162,17,81515,57,67,283356,131603196,1172,1,66,44829,20698040,2,286835,585,129366971,361023493,5895302775,585,2079,2,1,2,2,710,1,5866955164,5822370133,5923940616,452067318,452067318,2,1,19890961992,73389,73389,2,2,2,452067318,17,1,3,306046,207624319,8028643,406068,44763,5866955164,7181094,121329583,24871
352673.62,10,262144,64,306974,20227588334,159,11,585,7685185,17,82899,57,67,283356,131868648,1172,1,66,45543,20795976,2,286835,585,131746577,366554063,5989343380,585,2079,2,1,2,2,710,1,5960540572,5916378491,5975147737,459367661,459384045,2,1,20212177084,73389,73389,2,2,2,459367661,17,1,3,314459,210122539,8158339,408890,45477,5960540572,7276295,123579766,24871
357751.61,10,262144,64,311642,20535103094,160,11,585,7781274,17,84222,57,67,283356,131868648,1172,1,66,46229,20959841,2,286835,585,133693852,371148634,6079836325,585,2079,2,1,2,2,710,1,6050587036,6006250054,6026006962,466358867,466375251,2,1,20519790148,73389,73389,2,2,2,466358867,17,1,3,318788,212468059,8261436,411859,46164,6050587036,7369415,125424282,24871
362896.51,10,262144,64,315792,20808573678,160,11,585,7875084,17,85359,57,67,283356,131868648,1172,1,66,46839,21067913,2,286835,585,135219427,376235842,6160054620,585,2079,2,1,2,2,710,1,6130409884,6086248909,6068951456,472565800,472588217,2,1,20792895200,73389,73389,2,2,2,472565800,17,1,3,322508,215210353,8358531,414618,46773,6130409884,7460466,126853113,24871
367980.05,10,262144,64,319407,21046910106,161,11,585,7967440,17,86400,57,67,283356,132134100,1172,1,66,47371,21166333,2,286835,585,137004543,381179317,6230140791,585,2079,2,1,2,2,710,1,6200140188,6155850666,6096070907,477992334,478008718,2,1,21031662696,73389,73389,2,2,2,477992334,17,1,3,324742,217662445,8431173,424191,47305,6200140188,7543249,128565049,24871
373047.95,10,262144,64,323088,21289475382,161,11,585,8053169,17,87404,57,67,283356,132134100,1172,1,66,47912,21335162,2,286835,585,138691811,386047179,6301412596,585,2079,2,1,2,2,710,1,6271050140,6226804394,6483447364,483511139,483511139,2,1,21274490116,73389,73389,2,2,2,483511139,17,1,3,326407,220201061,8510698,426953,47846,6271050140,7626216,130172420,24871
