timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
942711.42,1,253952,62,99834,6577055410,5,20975379,336,8,8,4884,672,2,585,545005,0,19,39241,19,11,118415228,1172,1,0,4,415,124413139,6,497652556,18,22,0,14,78,585,0,0,0,40840316,768,2118835381,0,585,402,0,3,1,14,14,861,0,3,2117524762,2074861961,61810501,126220255,126220255,1,3,1,0,6563453292,73389,73389,14,14,14,126220259,7,3,141513,559787,793694,17562,2117524762,545005,40048232,1454
944715.66,1,253952,62,110529,7281627320,5,22757586,373,8,8,4884,766,2,612,598846,0,19,43466,19,11,123164216,1226,1,0,4,415,137752880,6,550882160,18,22,0,14,78,612,0,0,0,45081419,898,2345520964,0,612,419,0,3,1,14,14,861,0,3,2344041907,2296844105,67833802,139749948,139749948,1,3,1,0,7266997328,73389,73389,14,14,14,139749952,7,3,144507,615244,874350,19510,2344041907,598846,44208826,1522
946720.16,1,253952,62,121341,7993943012,5,24307339,402,8,8,4884,815,2,621,649311,0,19,47694,19,11,124663836,1244,1,0,4,415,151215497,6,604797188,18,22,0,14,78,621,0,0,0,49235011,975,2570590807,0,621,423,0,3,1,14,14,861,0,3,2569845049,2521622784,73537298,153404680,153421064,1,3,1,0,7977043392,73389,73389,14,14,14,153404684,7,3,146479,667235,928157,21375,2569845049,649311,48308754,1549
948724.78,1,253952,62,128570,8469910834,6,26684968,432,9,9,4884,873,2,639,681548,0,19,50551,19,11,127987672,1280,1,0,4,415,160221318,6,640885272,18,23,0,14,78,639,0,0,0,51883998,1032,2724954783,0,639,437,0,3,1,14,14,861,0,3,2723336010,2671671572,78563262,162556415,162556415,1,3,1,0,8452933612,73389,73389,14,14,14,162556419,7,3,149383,700445,964855,22661,2723336010,681548,50921142,1595
950729.06,1,253952,62,139737,9204746900,6,28510920,464,9,9,4884,967,2,675,733385,0,19,54956,19,11,134539078,1352,1,0,4,415,174090849,6,696363396,18,23,0,14,78,675,0,0,0,56044513,1104,2966599543,0,675,452,0,3,1,14,14,861,0,3,2964727042,2903797739,84548097,176639290,176655674,1,3,1,0,9185243112,73389,73389,14,14,14,176639294,7,3,153779,753852,1028810,24705,2964727042,733385,55017847,1685
952733.16,1,253952,62,150898,9939657138,6,30307670,505,9,9,4884,1010,2,684,782394,0,19,59318,19,11,136037912,1370,1,0,4,415,188040937,6,752099144,18,23,0,14,78,684,0,0,0,60223285,1391,3190146253,0,684,454,0,3,1,14,14,861,0,3,3189188114,3135232254,90474430,190771317,190771317,1,3,1,0,9920108516,73389,73389,14,14,14,190771321,7,3,156925,804309,1084702,26509,3189188114,782394,59140875,1703
954737.76,5,253952,62,162160,10681488162,7,32866591,528,10,10,4884,1104,2,738,835276,0,19,63750,20,11,145040409,1478,1,0,4,415,202020911,6,808083644,19,24,0,14,85,738,0,0,0,64401368,1513,3437930013,0,738,472,0,3,1,14,14,861,0,3,3436808258,3369566157,97260418,204983105,204999489,1,3,1,0,10659121492,73389,73389,14,14,14,204983109,7,3,161612,858725,1158522,28599,3436808258,835276,63245299,1821
956742.87,5,253952,62,173343,11419408772,7,35101874,547,10,10,4884,1145,2,747,884352,0,19,68131,20,11,147480504,1496,1,0,4,415,216025570,6,863973020,19,24,0,14,85,747,0,0,0,68517687,1630,3666076235,0,747,477,0,3,1,14,14,861,0,3,3664545387,3601830620,103517390,219186257,219186257,1,3,1,0,11397685396,73389,73389,14,14,14,219186261,7,3,164345,909252,1224425,30437,3664545387,884352,67295861,1844
958747.03,5,253952,62,184579,12159080538,7,36997717,573,13,13,4884,1240,2,873,943755,0,19,72557,22,11,169357462,1748,1,0,4,415,229948973,6,919731452,21,27,14,14,92,873,0,0,0,72715776,1836,3917874461,0,873,521,0,3,1,14,14,861,0,3,3915537846,3835775402,109706252,233340701,233340701,1,3,1,0,12133716484,73389,73389,14,14,14,233340705,7,3,196519,970308,1322028,32543,3915537846,943755,71396496,2136
960751.21,5,253952,62,195440,12874329976,10,41408432,620,13,13,4884,1328,2,873,996759,0,19,76844,22,11,169659112,1748,1,0,4,415,243495410,6,973916984,21,27,14,14,92,873,0,0,0,76731490,1914,4149106936,0,873,521,0,3,1,14,14,861,0,3,4146883056,4061532733,118129734,247046744,247063128,1,3,1,0,12846430720,73389,73389,14,14,14,247046748,7,3,202183,1024757,1395645,34491,4146883056,996759,75338000,2136
962755.02,5,253952,62,203440,13402370502,12,44094756,638,15,15,4884,1351,2,873,1033196,0,19,79980,22,11,169996960,1748,1,0,4,415,253517418,6,1014069672,21,29,14,14,92,873,0,0,0,79609164,1979,4316059660,0,873,521,0,3,1,14,14,861,0,3,4313728607,4227688117,123694554,257211684,257211684,1,3,1,0,13375007600,73389,73389,14,14,14,257211688,7,3,210752,1062184,1451489,35816,4313728607,1033196,78160677,2136
964759.10,5,253952,62,214569,14135786888,12,46041108,647,15,15,4884,1442,2,882,1085834,0,19,84358,22,11,172111358,1766,1,0,4,415,267348993,6,1069331304,21,29,14,14,92,882,0,0,0,83657008,2244,4558907541,0,882,527,0,3,1,14,14,861,0,3,4556825570,4459540585,129512933,271257473,271257473,1,3,1,0,14105388628,73389,73389,14,14,14,271257477,7,3,217111,1116274,1521174,37871,4556825570,1085834,82138982,2156
966763.28,5,253952,62,225610,14863616852,12,47768891,657,15,15,4884,1483,2,918,1134767,0,19,88687,22,11,179672891,1838,1,0,4,415,281159938,6,1124574948,21,29,14,14,92,918,0,0,0,87716488,2338,4786022091,0,918,551,0,3,1,14,14,861,0,3,4782746463,4688768638,135475107,285233408,285233408,1,3,1,0,14832137248,73389,73389,14,14,14,285233412,7,3,221829,1166565,1576751,39697,4782746463,1134767,86143030,2238
968767.23,5,253952,62,236167,15558327980,12,49969865,667,15,15,4884,1573,2,1035,1188881,0,19,92832,22,11,199478469,2072,1,0,4,415,294225505,6,1176902020,21,29,14,14,92,1035,0,0,0,91723348,2420,5023976488,0,1035,634,0,3,1,14,14,861,0,3,5021358499,4909094946,141684359,298501401,298501401,1,3,1,0,15522072884,73389,73389,14,14,14,298501405,7,3,227429,1222130,1643284,41700,5021358499,1188881,90083503,2480
970771.78,5,253952,62,246647,16248559938,12,51761752,675,15,15,4884,1650,2,1035,1239345,0,19,96959,22,11,199792185,2072,1,0,4,415,307301866,6,1229142688,21,29,14,14,92,1035,0,0,0,95755440,2555,5246287688,0,1035,634,0,3,1,14,14,861,0,3,5243656282,5126881673,147507441,311748692,311748692,1,3,1,0,16210932016,73389,73389,14,14,14,311748696,7,3,230016,1274026,1704910,43558,5243656282,1239345,94054110,2480
972775.91,5,253952,62,257298,16950372598,12,53898372,687,15,15,4884,1698,2,1035,1291169,0,19,101124,22,11,200431683,2072,1,0,4,415,320586892,6,1282282820,21,29,14,14,92,1035,0,0,0,99834031,2688,5470424565,0,1035,634,0,3,1,14,14,861,0,3,5467628961,5347909617,153009518,325239584,325239584,1,3,1,0,16912458400,73389,73389,14,14,14,325239588,7,3,232557,1327290,1757420,45374,5467628961,1291169,98080340,2480
974779.92,5,253952,62,268500,17688431506,12,55856242,699,15,15,4884,1788,2,1053,1346012,0,19,105534,22,11,203983283,2108,1,0,4,415,334488604,6,1337889980,21,29,14,14,92,1053,0,0,0,103871402,3297,5720764820,0,1053,645,0,3,1,14,14,861,0,3,5717300292,5581243780,159534824,339356942,339356942,1,3,1,0,17646561016,73389,73389,14,14,14,339356946,7,3,235509,1383617,1814958,47492,5717300292,1346012,102060319,2525
976783.84,5,253952,62,279236,18396430092,12,57706676,720,15,15,4884,1831,2,1062,1398487,0,19,109733,22,11,206447732,2126,1,0,4,415,347882766,6,1391531064,21,29,14,14,92,1062,0,0,0,108018088,3358,5942991000,0,1062,650,0,3,1,14,14,861,0,3,5939685223,5804724632,165715843,352941820,352941820,1,3,1,0,18352974672,73389,73389,14,14,14,352941824,7,3,238571,1437515,1890723,49314,5939685223,1398487,106131387,2546
978787.76,5,253952,62,290451,19135156792,12,59565815,746,15,15,4884,1921,2,1062,1455622,0,19,114145,22,11,207063098,2126,1,0,4,415,361829642,6,1447318568,21,29,14,14,92,1062,0,0,0,112193740,3618,6191449809,0,1062,650,0,3,1,14,14,861,0,3,6188341608,6038279472,171749627,367071688,367088072,1,3,1,0,19087727808,73389,73389,14,14,14,367071692,7,3,242627,1496202,1961416,51424,6188341608,1455622,110236499,2546
980791.60,5,253952,62,301758,19880274784,12,61400742,772,15,15,4884,1973,2,1062,1508605,0,19,118564,22,11,207087230,2126,1,0,4,415,375903586,6,1503549804,21,29,14,14,92,1062,0,0,0,116342293,3682,6441416888,0,1062,650,0,3,1,14,14,861,0,3,6438851035,6273763394,177732527,381363237,381363237,1,3,1,0,19830888356,73389,73389,14,14,14,381363241,7,3,249503,1550639,2016030,53483,6438851035,1508605,114330586,2546
982795.23,5,253952,62,313265,20638524108,12,63331590,794,15,15,4884,2059,2,1062,1559751,0,19,123088,22,11,207087230,2126,1,0,4,415,390203431,6,1560813724,21,29,14,14,92,1062,0,0,0,120485712,3729,6691180627,0,1062,650,0,3,1,14,14,861,0,3,6686724632,6513924530,183807107,395851394,395851394,1,3,1,0,20584272520,73389,73389,14,14,14,395851398,7,3,255795,1603274,2081659,55575,6686724632,1559751,118408531,2546
984799.19,5,253952,62,325033,21414143780,12,65173537,822,15,15,4884,2150,2,1062,1613790,0,19,127709,22,11,207400946,2126,1,0,4,415,404808273,6,1619233092,21,29,14,14,92,1062,0,0,0,124653683,3764,6957091634,0,1062,650,0,3,1,14,14,861,0,3,6953005318,6759689067,189765729,410665072,410665072,1,3,1,0,21354583776,73389,73389,14,14,14,410665076,7,3,259972,1658804,2140250,57840,6953005318,1613790,122518075,2546
986803.01,5,253952,62,336789,22188409918,12,66930195,853,15,15,4884,2200,2,1062,1664435,0,19,132296,22,11,207413012,2126,1,0,4,415,419467959,6,1677807240,21,29,14,14,92,1062,0,0,0,128841002,3838,7208477420,0,1062,650,0,3,1,14,14,861,0,3,7204366569,7003996471,195759343,425532220,425532220,1,3,1,0,22127675472,73389,73389,14,14,14,425532224,7,3,263306,1710892,2214697,59893,7204366569,1664435,126631098,2546
988806.82,5,253952,62,344203,22676465702,13,68510754,885,15,15,4884,2263,2,1062,1699675,0,19,135191,22,11,207738794,2126,1,0,4,415,428610352,6,1714376864,21,29,14,14,92,1062,0,0,0,131446789,3854,7378997567,0,1062,650,0,3,1,14,14,861,0,3,7374786003,7159050233,199945212,434823219,434823219,1,3,1,0,22610807420,73389,73389,14,14,14,434823223,7,3,263903,1747087,2252608,61348,7374786003,1699675,129199071,2546
990810.71,5,253952,62,353664,23299301110,14,70242581,925,17,17,4884,2303,5,1062,1746087,0,19,138889,22,11,208028378,2126,1,0,4,415,440381935,6,1761463060,21,31,14,14,92,1062,0,0,0,135027381,3930,7586361603,0,1062,650,0,3,1,14,14,861,0,3,7582402301,7355640835,205256845,446764108,446764108,1,3,1,0,23231733648,73389,73389,14,14,14,446764112,7,3,269252,1794823,2312580,63056,7582402301,1746087,132719824,2546
992814.48,5,253952,62,364108,23987873600,15,71445115,960,17,17,4884,2383,5,1062,1795564,0,19,142974,22,11,208028378,2126,1,0,4,415,453294053,6,1813176212,21,31,14,14,92,1062,0,0,0,138830088,3986,7823539730,0,1062,650,0,3,1,14,14,861,0,3,7819008219,7574654289,210259959,459859625,459859625,1,3,1,0,23912700532,73389,73389,14,14,14,459859629,7,3,270142,1845738,2358797,65052,7819008219,1795564,136476449,2546
994819.01,5,253952,62,374224,24654346982,15,71681590,993,17,17,4884,2465,5,1062,1845904,0,19,146947,22,11,208028378,2126,1,0,4,415,465855094,6,1863290876,21,31,14,14,92,1062,0,0,0,142612178,4030,8056864562,0,1062,650,0,3,1,14,14,861,0,3,8051987968,7785824597,214278414,472599012,472599012,1,3,1,0,24575148656,73389,73389,14,14,14,472599016,7,3,270887,1897540,2400835,67049,8051987968,1845904,140216643,2546
996823.72,5,253952,62,384152,25309344216,15,71841783,1017,17,17,4884,2506,5,1062,1893436,0,19,150831,22,11,208317962,2126,1,0,4,415,478214916,6,1912859664,21,31,14,14,92,1062,0,0,0,146450544,4076,8268596926,0,1062,650,0,3,1,14,14,861,0,3,8264109660,7992759482,218276715,485135314,485135314,1,3,1,0,25227036360,73389,73389,14,14,14,485135318,7,3,273995,1946469,2451016,68786,8264109660,1893436,144004966,2546
998827.80,5,253952,62,394172,25969453746,15,72108125,1059,17,17,4884,2586,5,1062,1943916,0,19,154764,22,11,208317962,2126,1,0,4,415,490645137,6,1962580548,21,31,14,14,92,1062,0,0,0,150203972,4123,8505755835,0,1062,650,0,3,1,14,14,861,0,3,8500478259,8202039426,222294966,497743629,497743629,1,3,1,0,25882668740,73389,73389,14,14,14,497743633,7,3,275851,1998450,2495438,70797,8500478259,1943916,147714113,2546
1000831.69,5,253952,62,404379,26641311736,15,72246229,1082,17,17,4884,2631,5,1062,1991525,0,19,158738,22,11,208330028,2126,1,0,4,415,503323710,6,2013230168,21,31,14,14,92,1062,0,0,0,154065131,4376,8723134494,0,1062,650,0,3,1,14,14,861,0,3,8718115189,8414396059,226294465,510618406,510618406,1,3,1,0,26551305176,73389,73389,14,14,14,510602026,7,3,275975,2047483,2547762,72585,8718115189,1991525,151523085,2546
1002835.56,5,253952,62,412318,27165101180,15,72869977,1128,17,17,4884,2699,5,1062,2033842,0,19,161844,22,11,208921262,2126,1,0,4,415,513122732,6,2052490928,21,31,14,14,92,1062,0,0,0,157003352,4439,8914177599,0,1062,650,0,3,1,14,14,861,0,3,8908785190,8581761872,229854696,520523361,520523361,1,3,1,0,27067214804,73389,73389,14,14,14,520523365,7,3,277054,2090967,2592571,74209,8908785190,2033842,154416612,2546
1004839.54,7,253952,62,421317,27758563906,15,74419854,1171,18,18,4884,2733,5,1062,2079209,0,19,165365,22,11,208921262,2126,1,0,4,415,524356871,6,2097427484,21,32,14,14,92,1062,0,0,0,160463583,4748,9111016454,0,1062,650,0,3,1,14,14,861,0,3,9105757029,8768712593,234825307,531933485,531933485,1,3,1,0,27660541252,73389,73389,14,14,14,531933489,7,3,280367,2137617,2646396,75800,9105757029,2079209,157823148,2546
1006843.72,8,253952,62,430277,28349325936,16,77038156,1192,19,19,4884,2806,5,1062,2129417,0,19,168866,22,11,208921262,2126,1,0,4,415,535398556,6,2141594224,21,33,14,14,92,1062,0,0,0,163867229,4849,9328115880,0,1062,650,0,3,1,14,14,861,0,3,9322078224,8957039836,240886083,543132776,543132776,1,3,1,0,28242904384,73389,73389,14,14,14,543132780,7,3,285008,2189189,2705186,77622,9322078224,2129417,161168125,2546
1008848.03,8,253952,62,441245,29070658644,16,78681248,1235,19,19,4884,2886,5,1062,2190802,0,19,173156,22,11,208921262,2126,1,0,4,415,548982151,6,2195928604,21,33,14,14,92,1062,0,0,0,168128654,5238,9581872157,0,1062,650,0,3,1,14,14,861,0,3,9576480297,9186226258,246789365,556894448,556910832,1,3,1,0,28958511328,73389,73389,14,14,14,556894452,7,3,287630,2252273,2763819,79758,9576480297,2190802,165371064,2546
1010852.22,8,253952,62,452289,29799168100,16,80448885,1284,19,19,4884,2942,5,1071,2248260,0,19,177450,22,11,210419104,2144,1,0,4,415,562640300,6,2250561200,21,33,14,14,92,1071,0,0,0,172447849,5466,9823168708,0,1071,654,0,3,1,14,14,861,0,3,9817871931,9417103044,252875859,570796655,570796655,1,3,1,0,29681426092,73389,73389,14,14,14,570796659,7,3,294003,2311414,2824463,81731,9817871931,2248260,169629772,2572
1012856.61,8,253952,62,463548,30540749038,16,82220288,1326,19,19,4884,3023,5,1332,2309263,8,19,181853,22,11,253118007,2666,1,0,4,415,576566385,6,2306136236,21,33,14,14,92,1332,0,0,0,176710513,5801,10092625909,0,1324,765,8,3,1,14,14,861,0,3,10087045715,9652216129,258859879,584937504,584937504,1,3,1,0,30416750240,73389,73389,14,14,14,584937508,7,3,303407,2374076,2920281,83996,10087045715,2309263,173796775,3162
1014861.00,8,253952,62,474634,31268770770,16,83959029,1363,19,19,4884,3101,5,1512,2359994,8,19,186187,22,11,284772648,3026,1,0,4,415,590389711,6,2361494192,21,33,14,14,92,1512,0,0,0,180972610,5925,10337613575,0,1504,878,8,3,1,14,14,861,0,3,10332263404,9882922477,264909016,598844029,598844029,1,3,1,0,31139889540,73389,73389,14,14,14,598844033,7,3,306846,2426293,2985150,85984,10332263404,2359994,177994164,3614
1015067.72,8,253952,62,475570,31330426182,16,84147398,1365,19,19,4884,3130,5,1512,2364442,8,19,186584,29,11,292426837,3033,1,1225,4,415,591599349,6,2366397396,28,40,14,28,110,1512,1,1225,88,181442072,5925,10360864939,8,1504,878,8,3,1,14,14,861,94406091,3,10354193733,9902331314,454358926,600037902,600037902,1,3,1,94406091,31201970936,73389,73389,14,14,14,600037906,7,3,330779,2430875,3002098,86157,10354193733,2364442,178446695,3614
