timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
402719.50,11,253952,62,94145,6201029066,1,15579946,0,813,4,4,4934,645,6,576,752850,19,36968,14,11,112198992,1154,1,0,4,427,117213921,5,468726492,13,18,62,9,91,576,0,0,0,47794846,646591,2011311778,0,576,390,3,1,14,14,917,3,2009540610,1957421937,63903869,118922515,118922515,1,3,1,6183970812,73389,73389,14,14,14,118922519,8,3,129661,770842,1152958,16695,2009540610,752850,46643790,1387
404733.70,11,253952,62,102115,6726777730,1,16865810,0,888,4,4,4934,717,6,576,825966,19,40124,14,11,114057156,1154,1,0,4,427,127141491,5,508501276,13,18,62,9,91,576,0,0,0,52339351,839948,2186102929,0,576,390,3,1,14,14,917,3,2184692423,2123708902,69904936,128991310,128991310,1,3,1,6707548152,73389,73389,14,14,14,128991314,8,3,133552,848736,1260988,18189,2184692423,825966,51080435,1387
406741.71,11,253952,62,110445,7276807116,1,18131078,0,968,4,4,4934,756,6,576,897551,19,43386,14,11,115963584,1154,1,0,4,427,137532784,5,550131136,13,18,62,9,91,576,0,0,0,56975658,1012667,2361111853,0,576,390,3,1,14,14,917,3,2359395277,2297136600,75948560,139530923,139530923,1,3,1,7255608028,73389,73389,14,14,14,139530927,8,3,137451,921977,1357142,19621,2359395277,897551,55620764,1387
408755.19,11,253952,62,118597,7814181682,1,19471836,0,1047,4,4,4934,800,6,585,971373,19,46582,14,11,118040594,1172,1,0,4,427,147663770,5,590655080,13,18,62,9,91,585,0,0,0,61580200,1125205,2537342571,0,585,400,3,1,14,14,917,3,2535589483,2467177940,81977820,149823061,149823061,1,3,1,7789947236,73389,73389,14,14,14,149806681,8,3,146426,997528,1465007,21079,2535589483,971373,60117612,1424
410766.37,15,253952,62,126676,8345818906,1,20755719,0,1126,4,4,4934,866,6,585,1050122,19,49761,14,11,118668026,1172,1,0,4,427,157713408,5,630853632,13,18,62,9,91,585,0,0,0,66143287,1326619,2716223273,0,585,400,3,1,14,14,917,3,2714038407,2635202131,87988848,160006988,160006988,1,3,1,8320363408,73389,73389,14,14,14,160006992,8,3,152528,1078104,1579645,22589,2714038407,1050122,64566218,1424
412773.50,22,253952,62,134955,8891263158,1,22064948,0,1206,4,4,4934,909,6,594,1124922,19,53002,14,11,120167187,1190,1,0,4,427,168008760,5,672035040,13,18,62,9,91,594,0,0,0,70796291,1448619,2895407882,0,594,414,3,1,14,14,917,3,2893022890,2807352244,94064690,170473317,170473317,1,3,1,8864612516,73389,73389,14,14,14,170473321,8,3,154393,1154599,1674764,24065,2893022890,1124922,69124288,1466
414787.00,24,253952,62,143329,9443512498,1,23308598,0,1291,4,4,4934,973,6,594,1202502,19,56287,14,11,120167187,1190,1,0,4,427,178405969,5,713623876,13,18,62,9,91,594,0,0,0,75453949,1557977,3077600904,0,594,414,3,1,14,14,917,3,3075472749,2981997551,100051675,181019407,181019407,1,3,1,9413009196,73389,73389,14,14,14,181019411,8,3,156845,1233909,1767661,25602,3075472749,1202502,73689234,1466
416799.92,25,253952,62,151789,10000456786,1,24583305,0,1376,4,4,4934,1019,6,612,1277537,19,59577,14,11,123049283,1226,1,0,4,427,188865110,5,755395836,13,18,62,9,91,612,0,0,0,80146682,1669102,3261505657,0,612,431,3,1,14,14,917,3,3258796436,3158239276,106113244,191676311,191676311,1,3,1,9966316236,73389,73389,14,14,14,191659931,8,3,161278,1310640,1846425,27118,3258796436,1277537,78303372,1532
418810.75,25,253952,62,160231,10556559274,1,25759333,0,1466,4,4,4934,1085,6,612,1354481,19,62919,14,11,123387131,1226,1,0,4,427,199410426,5,797641704,13,18,62,9,91,612,0,0,0,84904148,1814212,3445708427,0,612,431,3,1,14,14,917,3,3442557441,3333851869,112156186,202322864,202339248,1,3,1,10520788960,73389,73389,14,14,14,202322868,8,3,163362,1389326,1922623,28671,3442557441,1354481,82984823,1532
420817.68,27,253952,62,168825,11122524930,1,26876713,0,1559,4,4,4934,1133,6,630,1428404,19,66281,14,11,126351582,1262,1,0,4,427,210109767,5,840374444,13,18,62,9,91,630,0,0,0,89755438,1879905,3627045541,0,630,450,3,1,14,14,917,3,3623583908,3512518174,118182500,213190601,213190601,1,3,1,11085911284,73389,73389,14,14,14,213190605,8,3,166158,1464929,2009339,30166,3623583908,1428404,87749579,1596
422828.29,30,253952,62,177374,11686115306,1,27975305,0,1648,4,4,4934,1199,13,639,1507819,19,69641,14,11,128453799,1280,1,0,4,427,220721773,5,882757980,13,18,62,9,91,639,0,0,0,94589343,1991432,3820982460,0,639,457,3,1,14,14,917,3,3817473393,3690823775,124204487,223969941,223969941,1,3,1,11646436964,73389,73389,14,14,14,223969945,8,3,170540,1546133,2122417,31794,3817473393,1507819,92470590,1627
424842.37,31,253952,62,185287,12206608102,1,29075810,0,1748,4,4,4934,1238,14,639,1578172,19,72726,14,11,128453799,1280,1,0,4,427,230513714,5,922054856,13,18,62,9,91,639,0,0,0,99444657,2084184,3989968702,0,639,457,3,1,14,14,917,3,3986948362,3855187992,130227628,233934843,233951227,1,3,1,12164611868,73389,73389,14,14,14,233934847,8,3,178088,1618084,2216163,33181,3986948362,1578172,97232330,1627
426848.43,31,253952,62,192988,12715065430,1,30201896,0,1847,4,4,4934,1278,14,639,1650726,19,75750,14,11,128767515,1280,1,0,4,427,240134852,5,960539408,13,18,62,9,91,639,0,0,0,104323679,2149078,4154742216,0,639,457,3,1,14,14,917,3,4150906776,4015727688,136284217,243690183,243690183,1,3,1,12671889548,73389,73389,14,14,14,243690187,8,3,189527,1692232,2317938,34530,4150906776,1650726,102009736,1627
428860.89,32,253952,62,200583,13215007362,1,31299377,0,1938,4,4,4934,1342,14,648,1732694,19,78731,14,11,130522898,1298,1,0,4,427,249529233,5,998116932,13,18,62,9,91,648,0,0,0,109179189,2212955,4328041072,0,648,467,3,1,14,14,917,3,4324309022,4174208586,142294224,253235134,253251518,1,3,1,13168227000,73389,73389,14,14,14,253235138,8,3,195904,1775922,2411742,36003,4324309022,1732694,106771600,1659
430866.51,32,253952,62,208311,13723177492,1,32208691,0,2036,4,4,4934,1383,14,657,1806366,19,81742,14,11,132021305,1316,1,0,4,427,259115543,5,1036462172,13,18,62,9,91,657,0,0,0,113990105,2258041,4497685800,0,657,474,3,1,14,14,917,3,4493804095,4334747066,148021717,262976693,262976693,1,3,1,13674788068,73389,73389,14,14,14,262976697,8,3,200091,1851235,2498595,37394,4493804095,1806366,111495823,1695
432872.28,32,253952,62,213703,14079069398,2,34894552,0,2053,4,4,4934,1424,14,657,1839521,19,83877,14,11,132021305,1316,1,0,4,427,265851771,5,1063407084,13,18,62,9,91,657,0,0,0,116326035,2258129,4612333767,0,657,474,3,1,14,14,917,3,4607953627,4447036336,153067948,269791549,269791549,1,3,1,14029160580,73389,73389,14,14,14,269791553,8,3,206494,1885232,2550666,38355,4607953627,1839521,113779768,1695
434879.70,32,253952,62,221437,14589375698,2,35981468,0,2134,5,5,4934,1468,14,657,1919310,19,86902,14,11,132033371,1316,1,0,4,427,275472867,5,1101891468,13,19,62,9,91,657,0,0,0,120980537,2419431,4784953574,0,657,474,3,1,14,14,917,3,4781064685,4608952387,158926400,279534823,279534823,1,3,1,14534958860,73389,73389,14,14,14,279518443,8,3,213715,1966711,2671751,39782,4781064685,1919310,118313349,1695
436886.26,39,253952,62,229571,15124867114,2,37107325,0,2224,5,5,4934,1530,14,666,2004859,19,90099,14,11,133777030,1334,1,0,4,427,285581924,5,1142263064,13,19,62,9,91,666,0,0,0,125804465,2533477,4968992415,0,666,481,3,1,14,14,917,3,4964406689,4778185404,164987328,289788160,289804544,1,3,1,15068984352,73389,73389,14,14,14,289788164,8,3,217381,2054099,2772749,41325,4964406689,2004859,123036467,1728
438893.53,39,253952,62,237869,15671230768,2,38195997,0,2311,5,5,4934,1573,14,666,2085061,19,93350,14,11,133777030,1334,1,0,4,427,295919151,5,1183676604,13,19,62,9,91,666,0,0,0,130666974,2601620,5144150767,0,666,481,3,1,14,14,917,3,5140322795,4950416416,170983384,300273032,300273032,1,3,1,15614197696,73389,73389,14,14,14,300273036,8,3,219700,2135986,2876882,42773,5140322795,2085061,127795008,1728
440898.85,39,253952,62,245444,16171116844,2,39330247,0,2375,5,5,4934,1629,14,666,2151551,19,96314,14,11,133777030,1334,1,0,4,427,305329858,5,1221319432,13,19,62,9,91,666,0,0,0,134479816,2624748,5316712137,0,666,481,3,1,14,14,917,3,5311677052,5108923299,175893786,309817539,309817539,1,3,1,16110512060,73389,73389,14,14,14,309817543,8,3,224461,2203952,2957959,44204,5311677052,2151551,131526918,1728
442906.03,39,253952,62,252050,16605841820,3,41883341,0,2406,6,6,4934,1663,14,666,2201053,19,98909,14,11,133777030,1334,1,0,4,427,313571146,5,1254284584,13,20,62,9,91,666,0,0,0,137550771,2658891,5456759129,0,666,481,3,1,14,14,917,3,5452018031,5245948040,181594210,318158266,318158266,1,3,1,16544229864,73389,73389,14,14,14,318158270,8,3,229177,2254594,3022064,45357,5452018031,2201053,134533875,1728
444911.20,39,253952,62,258224,17012970812,4,43985065,0,2433,6,6,4934,1709,14,675,2246747,19,101307,14,11,135219178,1352,1,0,4,427,321177934,5,1284711736,13,20,62,9,91,675,0,0,0,140282735,2669501,5596902831,0,675,490,3,1,14,14,917,3,5591653749,5375253449,186441512,325923394,325923394,1,3,1,16948016520,73389,73389,14,14,14,325923398,8,3,231522,2301362,3077099,46526,5591653749,2246747,137210911,1756
446918.09,40,253952,62,265666,17502861604,4,45610955,0,2488,7,7,4934,1749,14,675,2320826,19,104232,14,11,135219178,1352,1,0,4,427,330467346,5,1321740180,13,21,62,9,91,675,0,0,0,144240512,2764951,5759259143,0,675,490,3,1,14,14,917,3,5754771468,5530084301,192107969,335296313,335296313,1,3,1,17435408308,73389,73389,14,14,14,335296317,8,3,236582,2377068,3162868,47865,5754771468,2320826,141083064,1756
448926.38,42,253952,62,273909,18045922428,4,46827170,0,2576,7,7,4934,1807,14,675,2409595,19,107460,14,11,135219178,1352,1,0,4,427,340673175,5,1362628208,13,21,62,9,91,675,0,0,0,148957824,2893698,5940714094,0,675,490,3,1,14,14,917,3,5935410214,5702413278,198138998,345664338,345664338,1,3,1,17974545608,73389,73389,14,14,14,345664342,8,3,250443,2467694,3309919,49368,5935410214,2409595,145653497,1756
450931.82,43,253952,62,280928,18508015422,5,48987648,0,2627,7,7,4934,1845,14,675,2471035,19,110201,14,11,135219178,1352,1,0,4,427,349397705,5,1397590820,13,21,62,9,91,675,0,0,0,152491312,2951411,6096648552,0,675,490,3,1,14,14,917,3,6090949000,5848077648,203884428,354543578,354543578,1,3,1,18436266088,73389,73389,14,14,14,354543582,8,3,253849,2530524,3381820,50656,6090949000,2471035,149114225,1756
452937.38,43,253952,62,286625,18882725406,5,50743933,0,2656,7,7,4934,1886,14,684,2509396,19,112435,14,11,136660782,1370,1,0,4,427,356497773,5,1425991092,13,21,62,9,91,684,0,0,0,154926458,2951848,6218473192,0,684,497,3,1,14,14,917,3,6212940943,5966789414,208074936,361696909,361696909,1,3,1,18808239300,73389,73389,14,14,14,361696913,8,3,260326,2569796,3436837,51674,6212940943,2509396,151495444,1787
454949.65,43,253952,62,292535,19274037012,5,52289671,0,2673,8,8,4934,1937,14,711,2558121,19,114770,14,11,141470179,1424,1,0,4,427,363803640,5,1455214560,13,22,62,9,91,711,0,0,0,157616126,2972503,6359221288,0,711,519,3,1,14,14,917,3,6353981940,6090823472,212330569,369142105,369142105,1,3,1,19195389492,73389,73389,14,14,14,369142109,8,3,265276,2619629,3501887,52869,6353981940,2558121,154120161,1875
456958.41,46,253952,62,300234,19781156668,5,53693434,0,2746,8,8,4934,1971,15,711,2635523,19,117769,14,11,141783895,1424,1,0,4,427,373382028,5,1493463456,13,22,62,9,91,711,0,0,0,162090614,3167916,6524755401,0,711,519,3,1,14,14,917,3,6518698832,6251249719,218384417,378840545,378840545,1,3,1,19699708372,73389,73389,14,14,14,378840549,8,3,268138,2698770,3595218,54212,6518698832,2635523,158501477,1875
458967.14,49,253952,62,308035,20294492556,5,55048154,0,2827,8,8,4934,2033,16,747,2723529,19,120825,14,11,147780730,1496,1,0,4,427,383018335,5,1532073340,13,22,62,9,91,747,0,0,0,166649630,3297416,6702338613,0,747,562,3,1,14,14,917,3,6696644994,6414295373,224410070,388613787,388613787,1,3,1,20207916956,73389,73389,14,14,14,388613791,8,3,275148,2788624,3698442,55712,6696644994,2723529,162957428,2013
460978.06,49,253952,62,315475,20785193424,5,56545355,0,2892,8,8,4934,2069,16,765,2805278,19,123736,14,11,151092988,1532,1,0,4,427,392280361,5,1569121444,13,22,62,9,91,765,0,0,0,171036981,3469758,6866694302,0,765,586,3,1,14,14,917,3,6861215175,6569465742,230417713,397990580,398006964,1,3,1,20695510192,73389,73389,14,14,14,397990584,8,3,281917,2872048,3804671,57053,6861215175,2805278,167238701,2078
462983.78,50,253952,62,321846,21204117486,6,59137828,0,2933,8,8,4934,2121,17,855,2865710,19,126203,14,11,166416695,1712,1,0,4,427,400060978,5,1600243912,13,22,62,9,91,855,0,0,0,174149337,3519102,7017425745,0,855,663,3,1,14,14,917,3,7010938295,6702876058,236180217,405964826,405964826,1,3,1,21110170984,73389,73389,14,14,14,405964830,8,3,285778,2933802,3877752,58317,7010938295,2865710,170278092,2391
464999.86,50,253952,62,328135,21619446748,6,60571495,0,2951,9,9,4934,2150,17,855,2922702,19,128678,14,11,167056193,1712,1,0,4,427,407938535,5,1631754140,13,23,62,9,91,855,0,0,0,177357082,3588039,7156345929,0,855,663,3,1,14,14,917,3,7150270093,6834193470,240885685,413905860,413905860,1,3,1,21523104752,73389,73389,14,14,14,413905864,8,3,292483,2992064,3956664,59443,7150270093,2922702,173407046,2391
467010.29,54,253952,62,335408,22097270280,6,62174993,0,3001,9,9,4934,2206,17,927,3008663,19,131511,14,11,179800587,1856,1,0,4,427,416891399,5,1667501100,13,23,62,9,91,927,0,0,0,181538092,3854710,7321730865,0,927,765,3,1,14,14,917,3,7316031462,6986110685,246918798,422986026,423002410,1,3,1,21994421416,73389,73389,14,14,14,422969646,8,3,295686,3079702,4053447,60847,7316031462,3008663,177491410,2669
469017.58,56,253952,62,342640,22574237682,6,63686707,0,3059,9,9,4934,2244,17,972,3096795,19,134334,14,11,187896529,1946,1,0,4,427,425857541,5,1703430164,13,23,62,9,91,972,0,0,0,185735573,4123097,7486245326,0,972,820,3,1,14,14,917,3,7479479083,7137520646,252909339,432079973,432096357,1,3,1,22468158628,73389,73389,14,14,14,432079977,8,3,299916,3169592,4169502,62183,7479479083,3096795,181572977,2866
471023.29,61,253952,62,347714,22908311794,7,65838704,0,3070,9,9,4934,2284,17,1017,3133866,19,136320,14,11,195926158,2036,1,0,4,427,432132622,5,1728530488,13,23,62,9,91,1017,0,0,0,187894653,4123242,7600825997,0,1017,848,3,1,14,14,917,3,7593843226,7243359601,257220182,438475322,438475322,1,3,1,22800716776,73389,73389,14,14,14,438475326,8,3,300056,3207612,4215446,63150,7593843226,3133866,183686210,2982
473035.43,61,253952,62,354426,23349716602,7,67609791,0,3097,10,10,4934,2319,17,1035,3205643,19,138943,14,11,199119069,2072,1,0,4,427,440479285,5,1761917140,13,24,62,9,91,1035,0,0,0,191595716,4253022,7748420818,0,1035,872,3,1,14,14,917,3,7741907639,7383221770,262811406,446894095,446910479,1,3,1,23238492972,73389,73389,14,14,14,446894099,8,3,308510,3280877,4307315,64367,7741907639,3205643,187295537,3046
475040.72,63,253952,62,360982,23782126628,7,69383037,0,3128,10,10,4934,2368,17,1080,3276229,19,141462,14,11,207551392,2162,1,0,4,427,448462077,5,1793783460,13,24,62,9,91,1080,0,0,0,195111962,4338944,7903404617,0,1080,939,3,1,14,14,917,3,7897474769,7521099431,268183000,455105465,455105465,1,3,1,23665484212,73389,73389,14,14,14,455105469,8,3,312420,3352907,4385308,65671,7897474769,3276229,190733921,3199
477047.03,63,253952,62,366150,24122421454,8,72135462,0,3152,10,10,4934,2406,17,1080,3316275,19,143502,14,11,207865108,2162,1,0,4,427,454912807,5,1819651228,13,24,62,9,91,1080,0,0,0,197421088,4347536,8021966050,0,1080,939,3,1,14,14,917,3,8015024142,7628851150,273251727,461615502,461615502,1,3,1,24004006136,73389,73389,14,14,14,461615506,8,3,317503,3393875,4429245,66649,8015024142,3316275,192999196,3199
479065.01,63,253952,62,371378,24467203476,8,73760415,0,3178,10,10,4934,2426,17,1080,3355216,19,145551,14,11,207865108,2162,1,0,4,427,461392670,5,1845570680,13,24,62,9,91,1080,0,0,0,199787298,4388253,8136450056,0,1080,939,3,1,14,14,917,3,8129150166,7737449562,277277473,468235909,468235909,1,3,1,24348267300,73389,73389,14,14,14,468235913,8,3,324368,3433748,4480106,67571,8129150166,3355216,195314641,3199
481083.12,63,253952,62,377429,24866006088,8,74401979,0,3224,11,11,4934,2473,17,1080,3431497,19,147929,14,11,207865108,2162,1,0,4,427,468954246,5,1875752408,13,25,62,9,91,1080,0,0,0,203286684,4785290,8280958930,0,1080,939,3,1,14,14,917,3,8273923775,7864412397,281791381,475806588,475806588,1,3,1,24741090640,73389,73389,14,14,14,475790208,8,3,330544,3511458,4578586,68794,8273923775,3431497,198715668,3199
483092.23,64,253952,62,383452,25262285930,8,76087341,0,3287,11,11,4934,2505,18,1080,3508427,19,150267,14,11,207865108,2162,1,0,4,427,476390630,5,1905562520,13,25,62,9,91,1080,0,0,0,206729443,5244891,8417170557,0,1080,939,3,1,14,14,917,3,8409741286,7990188425,287143896,483365201,483365201,1,3,1,25134138516,73389,73389,14,14,14,483348821,8,3,339136,3589763,4683380,69909,8409741286,3508427,202053772,3199
485098.08,64,253952,62,388390,25587519542,9,78684162,0,3302,11,11,4934,2542,18,1080,3546432,19,152202,14,11,207877174,2162,1,0,4,427,482518341,5,1930073364,13,25,62,9,91,1080,0,0,0,208846214,5257002,8532716804,0,1080,939,3,1,14,14,917,3,8524932961,8093758325,292093612,489547558,489547558,1,3,1,25456473048,73389,73389,14,14,14,489547562,8,3,341615,3628688,4738317,70878,8524932961,3546432,204115696,3199
487112.04,65,253952,62,394117,25965945176,9,80676783,0,3365,12,12,4934,2571,18,1080,3618239,19,154441,14,11,207877174,2162,1,0,4,427,489620187,5,1958480748,13,26,62,9,91,1080,0,0,0,212238349,5734513,8663397403,0,1080,939,3,1,14,14,917,3,8655874195,8213811977,297925289,496767696,496767696,1,3,1,25831920224,73389,73389,14,14,14,496767700,8,3,354011,3701821,4826128,71944,8655874195,3618239,207420147,3199
489124.19,65,253952,62,399733,26335660460,9,82717856,0,3420,12,12,4934,2614,18,1080,3690335,19,156634,14,11,207877174,2162,1,0,4,427,496539151,5,1986156604,13,26,62,9,91,1080,0,0,0,215562256,6397944,8795189229,0,1080,939,3,1,14,14,917,3,8787142629,8331344182,303943141,503802021,503802021,1,3,1,26197705124,73389,73389,14,14,14,503802025,8,3,363043,3775266,4910882,73064,8787142629,3690335,210659435,3199
491139.77,65,253952,62,404874,26675054566,9,84875766,0,3475,12,12,4934,2643,18,1080,3756356,19,158647,14,11,208190890,2162,1,0,4,427,502934887,5,2011739548,13,26,62,9,91,1080,0,0,0,218780314,7091231,8914770898,0,1080,939,3,1,14,14,917,3,8906992751,8439125772,309834320,510272813,510272813,1,3,1,26534186308,73389,73389,14,14,14,510272817,8,3,373945,3842552,5011983,74053,8906992751,3756356,213776519,3199
