timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
936268.20,253952,62,93799,6177774442,2,18346773,274,5,5,11042,674,1,567,497447,0,21,36896,19,21,110784139,1136,1,4,1158,116879985,6,467519940,18,19,9,14,99,567,39258595,1427,1985516277,567,364,0,3,1,14,14,1667,3,1984858638,1948442381,57604129,118582769,118582769,1,3,1,6166304020,73389,73389,14,14,14,118582773,6,3,143749,510209,776884,16556,1984858638,497447,38483296,1298
938272.67,253952,62,100830,6644144616,3,20818780,291,6,6,11042,688,1,567,533361,0,21,39654,19,21,114790051,1136,1,4,1158,125710702,6,502778064,18,20,9,14,99,567,42098707,1471,2137231017,567,364,0,3,1,14,14,1667,3,2135548994,2095533934,62915570,127522339,127522339,1,3,1,6631161660,73389,73389,14,14,14,127522343,6,3,157236,546981,840876,17739,2135548994,533361,41259525,1298
940276.59,253952,62,110756,7297514594,3,22090674,342,6,6,11042,780,1,567,587341,0,21,43581,19,21,114790051,1136,1,4,1158,138064992,6,552259968,18,20,9,14,99,567,46161763,1685,2347578692,567,364,0,3,1,14,14,1667,3,2346309772,2301633893,68249610,140069436,140069436,1,3,1,7283610704,73389,73389,14,14,14,140069440,6,3,158836,602381,889847,19548,2346309772,587341,45273776,1298
942280.99,253952,62,117966,7772201034,4,24671199,353,7,7,11042,795,1,567,621406,0,21,46370,19,21,114790051,1136,1,4,1158,147047342,6,588060088,18,21,9,14,99,567,48973286,1760,2496841858,567,364,0,3,1,14,14,1667,3,2495547882,2451104691,73640844,149196595,149196595,1,3,1,7758222972,73389,73389,14,14,14,149196599,6,3,166190,637299,939786,20728,2495547882,621406,48035462,1298
944285.26,253952,62,128561,8469692114,4,26488492,393,7,7,11042,887,1,567,677731,0,21,50565,19,21,114790051,1136,1,4,1158,160271898,6,640958464,18,21,9,14,99,567,53221199,1881,2725314778,567,364,0,3,1,14,14,1667,3,2723730836,2670898897,79706297,162593501,162593501,1,3,1,8454862084,73389,73389,14,14,14,162593505,6,3,171021,695095,1006942,22668,2723730836,677731,52216380,1298
946289.86,253952,62,139427,9185619146,4,28285904,430,7,7,11042,931,1,576,730736,0,21,54814,19,21,116289212,1154,1,4,1158,173807280,6,695164816,18,21,9,14,99,576,57439321,1950,2951742224,576,371,0,3,1,14,14,1667,3,2949613143,2896795058,85720885,176338345,176338345,1,3,1,9169593972,73389,73389,14,14,14,176338349,6,3,175369,749483,1063767,24492,2949613143,730736,56377821,1321
948293.95,253952,62,146918,9679046984,5,29893899,463,7,7,11042,998,1,576,766518,0,21,57767,19,21,116289212,1154,1,4,1158,183111269,6,732445076,18,21,9,14,99,576,60205566,2022,3110248633,576,371,0,3,1,14,14,1667,3,3109062257,3052483765,90093758,185791025,185791025,1,3,1,9660281364,73389,73389,14,14,14,185774645,6,3,177344,786225,1105844,25854,3109062257,766518,59102093,1321
950298.12,253952,62,157276,10361633464,5,32226261,485,8,8,11042,1038,1,576,816675,0,21,61825,19,21,116289212,1154,1,4,1158,196056515,6,784226060,18,22,9,14,99,576,64192005,2123,3327072139,576,371,0,3,1,14,14,1667,3,3325364524,3267604886,96374068,198905085,198905085,1,3,1,10343064452,73389,73389,14,14,14,198905089,6,3,186419,837696,1179779,27609,3325364524,816675,63014741,1321
952302.36,253952,62,168282,11087013054,5,34038524,519,8,8,11042,1131,1,576,871849,0,21,66173,19,21,116289212,1154,1,4,1158,209774517,6,839098068,18,22,9,14,99,576,68387703,2205,3566599378,576,371,0,3,1,14,14,1667,3,3565004463,3496732840,102401200,212819802,212819802,1,3,1,11066629736,73389,73389,14,14,14,212819806,6,3,186519,894285,1234706,29625,3565004463,871849,67155657,1321
954306.38,253952,62,179377,11818249480,6,36924886,547,9,9,11042,1221,1,576,926058,0,21,70539,20,21,116602928,1154,1,4,1158,223575700,6,894302800,19,23,10,14,105,576,72578006,2326,3802536446,576,371,0,3,1,14,14,1667,3,3801039237,3727861076,109496480,226816439,226816439,1,3,1,11793602892,73389,73389,14,14,14,226800059,6,3,189061,949889,1312717,31626,3801039237,926058,71268102,1321
956310.96,253952,62,190343,12539704502,6,38808492,565,9,9,11042,1266,1,585,977726,0,21,74824,20,21,118044081,1172,1,4,1158,237231504,6,948926016,19,23,10,14,105,585,76678339,2419,4030294444,585,376,0,3,1,14,14,1667,3,4028439948,3955159443,115282142,240682448,240682448,1,3,1,12515487328,73389,73389,14,14,14,240682452,6,3,189333,1002865,1363657,33467,4028439948,977726,75317635,1343
958315.17,253952,62,201311,13262412734,6,40739948,579,9,9,11042,1356,1,585,1032326,0,21,79146,20,21,118357797,1172,1,4,1158,250888590,6,1003554360,19,23,10,14,105,585,80765251,2484,4272439068,585,376,0,3,1,14,14,1667,3,4270784964,4183373333,121498163,254533788,254550172,1,3,1,13235757008,73389,73389,14,14,14,254533792,6,3,196758,1058855,1447635,35515,4270784964,1032326,79320716,1343
960319.29,253952,62,212797,14019804640,9,45480779,616,12,12,11042,1404,1,585,1086934,0,21,83626,22,21,118357797,1172,1,4,1158,265217110,6,1060803880,21,26,11,14,116,585,85050854,2678,4515935865,585,376,0,3,1,14,14,1667,3,4513220565,4422417495,130524772,269066779,269066779,1,3,1,13991472540,73389,73389,14,14,14,269066783,6,3,206493,1114827,1523656,37481,4513220565,1086934,83530457,1343
962322.99,253952,62,220500,14528031060,11,47915753,643,14,14,11042,1468,1,585,1122526,0,21,86666,22,21,118357797,1172,1,4,1158,274787961,6,1099087380,21,28,11,14,116,585,87767242,2732,4681730580,585,376,0,3,1,14,14,1667,3,4679682441,4582993553,135653880,278807894,278807894,1,3,1,14498010520,73389,73389,14,14,14,278807898,6,3,211935,1151331,1572500,38891,4679682441,1122526,86198102,1343
964326.97,253952,62,231938,15281106836,11,49815787,656,14,14,11042,1557,1,585,1176351,0,21,91167,22,21,118357797,1172,1,4,1158,289011640,6,1156046560,21,28,11,14,116,585,91836881,2824,4932519022,585,376,0,3,1,14,14,1667,3,4929683284,4820765357,141604258,293234833,293234833,1,3,1,15248211348,73389,73389,14,14,14,293234837,6,3,214149,1206546,1641407,41003,4929683284,1176351,90198987,1343
966331.97,253952,62,243346,16032340378,11,51808599,663,14,14,11042,1604,1,612,1227766,0,21,95623,22,21,123109249,1226,1,4,1158,303223719,6,1212894876,21,28,11,14,116,612,95875798,2865,5171405568,612,394,0,3,1,14,14,1667,3,5169085205,5057469804,147677559,307665646,307665646,1,3,1,15997761656,73389,73389,14,14,14,307649266,6,3,216688,1259237,1698360,42945,5169085205,1227766,94181096,1406
968336.26,253952,62,254525,16769648930,11,53203555,671,14,14,11042,1689,1,711,1280731,0,21,100027,22,21,139919878,1424,1,4,1158,317132637,6,1268530548,21,28,11,14,116,711,99907873,2907,5415720649,711,441,0,3,1,14,14,1667,3,5412845561,5290713544,153104501,321772653,321772653,1,3,1,16732177988,73389,73389,14,14,14,321772657,6,3,220056,1313620,1769260,45007,5412845561,1280731,98142412,1621
970340.67,253952,62,265695,17505438576,11,55403426,678,14,14,11042,1738,1,738,1332023,0,21,104394,22,21,145072331,1478,1,4,1158,331063606,6,1324189972,21,28,11,14,116,738,103955467,2994,5655174977,738,456,0,3,1,14,14,1667,3,5651764039,5523270608,158761497,335869753,335869753,1,3,1,17465227188,73389,73389,14,14,14,335869757,6,3,222323,1366233,1820206,46966,5651764039,1332023,102139203,1680
972344.87,253952,62,276820,18237748198,11,57277128,689,14,14,11042,1824,1,747,1384951,0,21,108775,22,21,146921180,1496,1,4,1158,344934157,6,1379672060,21,28,11,14,116,747,108026882,3063,5897470925,747,460,0,3,1,14,14,1667,3,5893786651,5754348954,165296428,349922019,349922019,1,3,1,18195945020,73389,73389,14,14,14,349922023,6,3,224503,1420558,1897149,49008,5893786651,1384951,106133818,1703
974349.04,253952,62,287983,18973115290,11,59268733,698,14,14,11042,1910,1,756,1440977,0,21,113151,22,21,149340269,1514,1,4,1158,358736448,6,1434881312,21,28,11,14,116,756,112054322,3110,6151146467,756,465,0,3,1,14,14,1667,3,6147319742,5987653529,171316215,363937199,363953583,1,3,1,18924734380,73389,73389,14,14,14,363937203,6,3,226477,1478007,1964130,51142,6147319742,1440977,110094429,1722
976352.94,253952,62,299188,19711283158,11,61559124,720,14,14,11042,1959,1,756,1498615,0,21,117504,22,21,150848519,1514,1,4,1158,372635622,6,1490477800,21,28,11,14,116,756,116167036,3209,6404496069,756,465,0,3,1,14,14,1667,3,6400524800,6221990819,177672431,378017915,378017915,1,3,1,19656931612,73389,73389,14,14,14,378017919,6,3,231354,1537087,2032049,53212,6400524800,1498615,114139375,1722
978356.80,253952,62,310936,20486484994,11,63395229,752,14,14,11042,2048,4,756,1556996,0,21,122120,22,21,151150169,1514,1,4,1158,387203473,6,1548813892,21,28,11,14,116,756,120372373,3311,6672118111,756,465,0,3,1,14,14,1667,3,6668843533,6467424585,183759681,392841500,392841500,1,3,1,20427758032,73389,73389,14,14,14,392841504,6,3,236493,1596933,2098020,55467,6668843533,1556996,118278902,1722
980360.72,253952,62,322466,21246495032,11,65220981,774,14,14,11042,2107,4,756,1611843,0,21,126623,22,21,151150169,1514,1,4,1158,401529938,6,1606119752,21,28,11,14,116,756,124503901,3388,6928646481,756,465,0,3,1,14,14,1667,3,6925108542,6708402785,189716140,407360266,407360266,1,3,1,21182733864,73389,73389,14,14,14,407360270,6,3,241636,1653223,2174979,57580,6925108542,1611843,122333626,1722
982364.41,253952,62,334066,22011128788,11,67163728,800,14,14,11042,2185,4,756,1668628,0,21,131153,22,21,151463885,1514,1,4,1158,415892435,6,1663569740,21,28,11,14,116,756,128643709,3473,7196962178,756,465,0,3,1,14,14,1667,3,7192407023,6951274411,195798354,421928184,421928184,1,3,1,21940265600,73389,73389,14,14,14,421928188,6,3,245875,1711508,2231899,59805,7192407023,1668628,126416659,1722
984368.31,253952,62,345882,22789492336,11,68954928,826,14,14,11042,2273,4,765,1726834,0,21,135779,22,21,153277080,1532,1,4,1158,430506094,6,1722024376,21,28,11,14,116,765,132802025,3531,7472242051,765,468,0,3,1,14,14,1667,3,7468646103,7198832971,201632974,436717286,436750054,1,3,1,22709298904,73389,73389,14,14,14,436717290,6,3,249173,1771241,2284911,62130,7468646103,1726834,130522117,1741
986372.34,253952,62,357791,23573423502,11,70822923,860,14,14,11042,2329,4,765,1787142,0,21,140389,22,21,153904512,1532,1,4,1158,445182994,6,1780731976,21,28,11,14,116,765,137008974,3603,7754522136,765,468,0,3,1,14,14,1667,3,7749920351,7448304297,207806416,451635745,451635745,1,3,1,23485058772,73389,73389,14,14,14,451635749,6,3,251067,1833050,2353865,64433,7749920351,1787142,134660278,1741
988376.21,253952,62,366513,24148225984,12,72753852,900,14,14,11042,2396,4,765,1830250,0,21,143793,22,21,154519878,1532,1,4,1158,455952655,6,1823810620,21,28,11,14,116,765,140074146,3651,7964611656,765,468,0,3,1,14,14,1667,3,7959630217,7631239328,212816132,462575051,462575051,1,3,1,24053902684,73389,73389,14,14,14,462575055,6,3,255513,1877299,2402811,66188,7959630217,1830250,137676621,1741
990379.99,253952,62,375185,24719377620,13,74220877,934,16,16,11042,2462,4,765,1872492,0,21,147169,22,21,154833594,1532,1,4,1158,466627413,6,1866509652,21,30,11,14,116,765,143257655,3692,8166440861,765,468,0,3,1,14,14,1667,3,8161341593,7813494437,217466237,473385444,473401828,1,3,1,24616043120,73389,73389,14,14,14,473385448,6,3,261630,1920682,2467759,67894,8161341593,1872492,140795298,1741
992383.89,253952,62,385589,25405075284,14,75390620,961,16,16,11042,2511,4,765,1921018,0,21,151228,22,21,154833594,1532,1,4,1158,479557850,6,1918231400,21,30,11,14,116,765,147082837,3740,8396957247,765,468,0,3,1,14,14,1667,3,8392245586,8030436067,222461074,486499504,486515888,1,3,1,25297974240,73389,73389,14,14,14,486499508,6,3,261699,1970506,2515648,69794,8392245586,1921018,144572731,1741
994388.00,253952,62,395694,26071406938,14,75628582,995,16,16,11042,2583,4,765,1970853,0,21,155187,22,21,154833594,1532,1,4,1158,492081857,6,1968327428,21,30,11,14,116,765,150853395,3802,8633531906,765,468,0,3,1,14,14,1667,3,8628420923,8242382911,226468399,499169037,499185421,1,3,1,25956789956,73389,73389,14,14,14,499169041,6,3,263770,2021687,2578638,71777,8628420923,1970853,148280439,1741
996392.66,253952,62,405618,26724568234,14,75807283,1023,16,16,11042,2637,4,918,2019081,8,21,159056,22,21,180246105,1838,1,4,1158,504367087,6,2017468348,21,30,11,14,116,918,154688987,3882,8859389094,910,541,8,3,1,14,14,1667,3,8853878295,8449316865,230481796,511645195,511645195,1,3,1,26605550172,73389,73389,14,14,14,511645199,6,3,265290,2071236,2636459,73650,8853878295,2019081,152058341,2095
998396.72,253952,62,415537,27377170096,14,76050355,1060,16,16,11042,2716,4,1224,2068075,8,21,162932,22,21,231751108,2450,1,4,1158,516601892,6,2066343104,21,30,11,14,116,1224,158463570,3956,9092587762,1216,682,8,3,1,14,14,1667,3,9086810203,8656890721,234499296,524071127,524071127,1,3,1,27251698636,73389,73389,14,14,14,524071131,6,3,267305,2121589,2682472,75612,9086810203,2068075,155787044,2827
1000400.94,253952,62,425547,28036136176,14,76213386,1085,16,16,11042,2761,4,1368,2118063,8,21,166823,22,21,257476409,2738,1,4,1158,529003554,6,2115949564,21,30,11,14,116,1368,162301994,4058,9313932486,1360,754,8,3,1,14,14,1667,3,9308475870,8865275547,238499710,536648833,536663058,1,3,1,27905739348,73389,73389,14,14,14,536648837,6,3,268241,2172854,2738374,77425,9308475870,2118063,159569709,3193
1002404.67,253952,62,434272,28610424538,14,76770018,1132,16,16,11042,2831,4,1683,2163722,8,21,170216,22,21,311083870,3368,1,4,1158,539682233,6,2158728932,21,30,11,14,116,1683,165620230,4119,9524465925,1675,908,8,3,1,14,14,1667,3,9519292084,9048822579,242373210,547520444,547536828,1,3,1,28471063120,73389,73389,14,14,14,547520448,6,3,270087,2219717,2795321,79195,9519292084,2163722,162831120,3945
1004408.54,253952,62,442826,29173387604,14,78252736,1158,17,17,11042,2889,4,1926,2207532,8,21,173521,22,21,353168111,3854,1,4,1158,550130166,6,2200520664,21,31,11,14,116,1926,168887367,4170,9728405590,1918,991,8,3,1,14,14,1667,3,9723673288,9229100848,247123435,558166997,558166997,1,3,1,29024683876,73389,73389,14,14,14,558167001,6,3,275292,2264679,2849311,80881,9723673288,2207532,166044396,4511
1006412.72,253952,62,450950,29709412988,15,80615793,1193,18,18,11042,2932,4,2088,2248268,8,21,176690,22,21,382876541,4178,1,4,1158,560177280,6,2240644556,21,32,11,14,116,2088,171976360,4190,9916539240,2080,1055,8,3,1,14,14,1667,3,9911045502,9398987484,252496045,568364705,568381089,1,3,1,29554964692,73389,73389,14,14,14,568364709,6,3,279106,2306484,2897266,82415,9911176574,2248301,169085553,4884
1008417.01,253952,62,461792,30422838074,15,82345053,1240,18,18,11042,3010,5,2430,2311210,8,21,180898,22,21,442061789,4862,1,4,1158,573517719,6,2294006172,21,32,11,14,116,2430,176265985,4263,10179824723,2422,1233,8,3,1,14,14,1667,3,10174431584,9626873715,258591964,581894842,581894842,1,3,1,30257679848,73389,73389,14,14,14,581878462,6,3,285681,2370885,2970178,84619,10174431584,2311210,173302431,5737
1010421.39,253952,62,472644,31138028348,15,84002264,1289,18,18,11042,3068,5,2628,2372043,8,21,185130,22,21,477197749,5258,1,4,1158,586960349,6,2347776696,21,32,11,14,116,2628,180580828,4446,10427793751,2620,1386,8,3,1,14,14,1667,3,10422893381,9854108553,264563595,595496104,595496104,1,3,1,30965797440,73389,73389,14,14,14,595496108,6,3,289508,2433273,3041122,86643,10422893381,2372043,177546502,6234
