timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
124469.51,0,253952,62,133453,8792234344,2,21337767,0,957,5,5,3843,907,0,648,846005,0,9,52489,15,1,129556384,1298,1,0,4,554,166333381,5,665333524,14,19,9,284,648,0,0,62186184,321582,2829556202,0,648,512,0,3,1,14,14,1078,3,1,2827676504,2773203926,83637833,168754712,168754712,1,3,1,8775245056,73389,73389,14,14,14,168754716,9,3,158457,869231,1245836,23485,2827676504,846005,60942934,1764
126474.73,0,253952,62,144034,9489181966,2,22834488,0,1025,5,5,3843,994,0,648,904506,0,9,56657,15,1,129870100,1298,1,0,4,554,179523037,5,718027608,14,19,9,284,648,0,0,66693607,321778,3049851743,0,648,512,0,3,1,14,14,1078,3,1,3047357690,2993253801,89772889,182124883,182124883,1,3,1,9470493948,73389,73389,14,14,14,182124887,9,3,159163,929383,1310923,25346,3047357690,904506,65385464,1764
128479.19,0,253952,62,151964,10011066392,3,25268305,0,1073,5,5,3843,1018,0,657,945098,0,9,59750,15,1,131369261,1316,1,0,4,554,189385813,5,757543252,14,19,9,284,657,0,0,69870427,321874,3218526433,0,657,522,0,3,1,14,14,1078,3,1,3216430509,3157816920,95382316,192136778,192136778,1,3,1,9991112488,73389,73389,14,14,14,192136782,9,3,161907,971135,1366764,26692,3216430509,945098,68506578,1785
130483.96,0,253952,62,161132,10614398102,3,26617723,0,1126,6,6,3843,1097,0,657,996668,0,9,63361,15,1,131670911,1316,1,0,4,554,200790345,5,803096756,14,20,9,284,657,0,0,73725515,321964,3415862127,0,657,522,0,3,1,14,14,1078,3,1,3413601219,3348256757,100586353,203702994,203719378,1,3,1,10592555720,73389,73389,14,14,14,203702998,9,3,166359,1024163,1439708,28371,3413601219,996668,72288888,1785
132489.49,0,253952,62,171665,11307774012,3,27724389,0,1216,6,6,3843,1145,0,675,1060926,2,9,67476,15,1,134566653,1352,1,0,4,554,213891350,5,855500648,14,20,9,284,675,0,0,78648055,322177,3632522500,0,673,532,2,3,1,14,14,1078,3,1,3629631163,3566677470,106613763,217024013,217040397,1,3,1,11285248708,73389,73389,14,14,14,217024017,9,3,167896,1090102,1522800,30129,3629631163,1060926,77128542,1834
134494.56,0,253952,62,182094,11994877148,3,28761281,0,1307,6,6,3843,1235,0,684,1129782,2,9,71596,15,1,136008801,1370,1,0,4,554,226915308,5,907531948,14,20,9,284,684,0,0,83605418,322271,3861857905,0,682,535,2,3,1,14,14,1078,3,1,3859305068,3783645155,112603945,230217834,230217834,1,3,1,11971327400,73389,73389,14,14,14,230217838,9,3,169644,1160784,1593710,32078,3859305068,1129782,82015207,1866
136498.87,0,253952,62,192252,12663327144,3,30248773,0,1380,6,6,3843,1279,10,693,1190326,2,9,75557,15,1,137764121,1388,1,0,4,554,239525748,5,958102992,14,20,9,284,693,0,0,88140712,322325,4077936051,0,691,541,2,3,1,14,14,1078,3,1,4074790266,3994793312,118625891,243008532,243024916,1,3,1,12636443696,73389,73389,14,14,14,243008536,9,3,171346,1222918,1655643,33826,4074790266,1190326,86488763,1889
138503.68,0,253952,62,202905,13366021102,3,31446258,0,1447,7,7,3843,1369,10,711,1260264,2,9,79758,15,1,141017539,1424,1,0,4,554,252770867,5,1010954560,14,21,9,284,711,0,0,93178555,341994,4307529972,0,709,557,2,3,1,14,14,1078,3,1,4305815860,4216752634,124782534,256475478,256491862,1,3,1,13336724888,73389,73389,14,14,14,256475482,9,3,175932,1294716,1733433,35790,4305815860,1260264,91449032,1936
140508.62,0,253952,62,213737,14079092478,4,33588929,0,1528,7,7,3843,1417,10,711,1324687,2,9,83994,15,1,141017539,1424,1,0,4,554,266254220,5,1065016880,14,21,9,284,711,0,0,98048352,342064,4537290357,0,709,557,2,3,1,14,14,1078,3,1,4533850212,4441824869,131888867,270150912,270167296,1,3,1,14047847456,73389,73389,14,14,14,270150916,9,3,176717,1360893,1803486,37645,4533850212,1324687,96248998,1936
142514.46,0,253952,62,224549,14793025014,4,34757563,0,1614,7,7,3843,1506,10,756,1391714,2,9,88271,15,1,149137475,1514,1,0,4,554,279755014,5,1118955552,14,21,9,284,756,0,0,102903731,342241,4776115426,0,754,579,2,3,1,14,14,1078,3,1,4772196941,4667451307,137910783,283827617,283827617,1,3,1,14759036116,73389,73389,14,14,14,283827621,9,3,178110,1429696,1875435,39660,4772196941,1391714,101032641,2056
144518.59,0,253952,62,231136,15227184176,5,36870607,0,1644,7,7,3843,1524,10,774,1422707,2,9,90831,15,1,152134727,1550,1,0,4,554,287959874,5,1151774768,14,21,9,284,774,0,0,105487274,342256,4911458299,0,772,584,2,3,1,14,14,1078,3,1,4907045255,4804437110,142606015,292166185,292166185,1,3,1,15192641652,73389,73389,14,14,14,292166189,9,3,181490,1461540,1908375,40733,4907045255,1422707,103583348,2096
146522.76,0,253952,62,239618,15785896038,6,39167332,0,1692,8,8,3843,1598,10,801,1468937,2,9,94174,15,1,156583449,1604,1,0,4,554,298491880,5,1193967520,14,22,9,284,801,0,0,108915451,342315,5096789595,0,799,594,2,3,1,14,14,1078,3,1,5092764765,4981236960,148329488,302847665,302847665,1,3,1,15748078612,73389,73389,14,14,14,302847669,9,3,185768,1509054,1957283,42303,5092764765,1468937,106962754,2161
148527.11,0,253952,62,246716,16253366292,6,40339636,0,1722,9,9,3843,1622,10,846,1506310,2,9,96948,15,1,164577913,1694,1,0,4,554,307356095,5,1229359688,14,23,9,284,846,0,0,111842186,342382,5247214685,0,844,613,2,3,1,14,14,1078,3,1,5242938016,5128423252,152428097,311823050,311823050,1,3,1,16214798632,73389,73389,14,14,14,311823054,9,3,191685,1547474,2005297,43524,5242938016,1506310,109841599,2264
150532.46,0,253952,62,252948,16662414076,7,42806485,0,1746,9,9,3843,1679,10,864,1543072,2,9,99389,15,1,167888929,1730,1,0,4,554,315041914,5,1260167656,14,23,9,284,864,0,0,114381194,342433,5393950425,0,862,619,2,3,1,14,14,1078,3,1,5389968071,5258430244,157433013,319617516,319617516,1,3,1,16620110864,73389,73389,14,14,14,319617520,9,3,193595,1585214,2048231,44765,5389968071,1543072,112337776,2313
152539.55,0,253952,62,259183,17072961596,7,44265729,0,1761,10,10,3843,1703,10,882,1576111,2,9,101810,15,1,171224623,1766,1,0,4,554,322782481,5,1291065396,14,24,9,284,882,0,0,116944105,342576,5525486391,0,880,624,2,3,1,14,14,1078,3,1,5521526643,5388298573,161454826,327468882,327485266,1,3,1,17028381896,73389,73389,14,14,14,327468886,9,3,194403,1619162,2082167,45834,5521526643,1576111,114866852,2359
154545.56,0,253952,62,268389,17680352254,7,45449180,0,1848,10,10,3843,1781,10,909,1643317,2,9,105448,15,1,176673451,1820,1,0,4,554,334234201,5,1336936804,14,24,9,284,909,0,0,121727877,358272,5727529504,0,907,643,2,3,1,14,14,1078,3,1,5723256763,5580303385,167433565,339083806,339083806,1,3,1,17632357944,73389,73389,14,14,14,339083810,9,3,198537,1688082,2179217,47534,5723256763,1643317,119553762,2454
156551.80,0,253952,62,277190,18260561334,7,46553882,0,1946,10,10,3843,1822,10,909,1710527,2,9,108883,15,1,177276751,1820,1,0,4,554,345163170,5,1380652680,14,24,9,284,909,0,0,126633600,395243,5917143452,0,907,643,2,3,1,14,14,1078,3,1,5912815845,5763604347,173462985,350201177,350201177,1,3,1,18210461236,73389,73389,14,14,14,350201181,9,3,204270,1756993,2278389,49077,5912815845,1710527,124360491,2454
158558.08,0,253952,62,286213,18854876150,7,47672878,0,2050,10,10,3843,1905,10,972,1781854,2,9,112452,15,1,188082636,1946,1,0,4,554,356391256,5,1425565024,14,24,9,284,972,0,0,131529990,414096,6118520001,0,970,692,2,3,1,14,14,1078,3,1,6113480687,5951432595,179491520,361588884,361605268,1,3,1,18802622000,73389,73389,14,14,14,361588888,9,3,206316,1830145,2357576,50791,6113480687,1781854,129177884,2659
160563.35,0,253952,62,292468,19266698192,8,49739785,0,2076,10,10,3843,1923,10,990,1817089,2,9,114875,15,1,191091778,1982,1,0,4,554,364181120,5,1456724480,14,24,9,284,990,0,0,134306236,417112,6250267154,0,988,700,2,3,1,14,14,1078,3,1,6244992373,6081728307,184335853,369473018,369473018,1,3,1,19212596968,73389,73389,14,14,14,369473022,9,3,206354,1866316,2393664,51838,6244992373,1817089,131918143,2710
162568.33,0,253952,62,299717,19744604166,8,51325265,0,2117,11,11,3843,1992,10,999,1864467,2,9,117738,15,1,192904499,2000,1,0,4,554,373158904,5,1492635616,14,25,9,284,999,0,0,137618672,441797,6415986842,0,997,706,2,3,1,14,14,1078,3,1,6410449359,6233126061,189256695,378595859,378595859,1,3,1,19686984700,73389,73389,14,14,14,378595863,9,3,211061,1914927,2464691,53248,6410449359,1864467,135159681,2732
164574.56,0,253952,62,305941,20155637390,10,53597763,0,2143,13,13,3843,2009,10,1008,1901319,2,9,120157,15,1,194716523,2018,1,0,4,554,380939875,5,1523630532,14,27,9,284,1008,0,0,140400166,455820,6547179651,0,1006,712,2,3,1,14,14,1078,3,1,6542432446,6363067853,194323506,386471357,386471357,1,3,1,20096510596,73389,73389,14,14,14,386471361,9,3,218592,1952720,2524736,54297,6542432446,1901319,137881231,2763
166580.40,1,253952,62,314673,20730558878,10,54719547,0,2229,13,13,3843,2085,10,1008,1973105,2,9,123595,15,1,194716523,2018,1,0,4,554,391743439,5,1566973756,14,27,9,284,1008,0,0,145266432,502463,6744132227,0,1006,712,2,3,1,14,14,1078,3,1,6738571572,6545645662,200340210,397427047,397427047,1,3,1,20666206476,73389,73389,14,14,14,397427051,9,3,222266,2026251,2609774,55967,6738571572,1973105,142662653,2763
168586.86,1,253952,62,323599,21318670374,10,55849814,0,2324,13,13,3843,2132,10,1017,2040663,2,9,127088,15,1,196529063,2036,1,0,4,554,402849843,5,1611399372,14,27,9,284,1017,0,0,150097245,541258,6939723392,0,1015,720,2,3,1,14,14,1078,3,1,6934110679,6731103840,206345124,408710417,408710417,1,3,1,21252941716,73389,73389,14,14,14,408710421,9,3,226434,2095554,2709695,57575,6934110679,2040663,147393729,2793
170601.43,1,253952,62,331745,21855012226,10,57145403,0,2407,13,13,3843,2169,10,1017,2103555,2,9,130260,15,1,196529063,2036,1,0,4,554,412976767,5,1651842500,14,27,9,284,1017,0,0,154735317,639239,7111501480,0,1015,720,2,3,1,14,14,1078,3,1,7105980162,6900793233,212360384,418982297,418982297,1,3,1,21787079476,73389,73389,14,14,14,418982301,9,3,227578,2160084,2784555,58969,7105980162,2103555,151957113,2793
172606.68,2,253952,62,338456,22296730750,11,59677290,0,2450,13,13,3843,2232,10,1053,2151599,2,9,132898,15,1,202838174,2108,1,0,4,554,421266593,5,1685066372,14,27,9,284,1053,0,0,158028480,710953,7272333651,0,1051,747,2,3,1,14,14,1078,3,1,7265903763,7041262759,218248747,427390719,427390719,1,3,1,22224317420,73389,73389,14,14,14,427390723,9,3,230563,2209405,2848424,60330,7265903763,2151599,155186543,2872
174617.55,2,253952,62,345245,22743838600,11,61010271,0,2481,14,14,3843,2256,10,1071,2197811,2,9,135551,15,1,205848457,2144,1,0,4,554,429749382,5,1718997528,14,28,9,284,1071,0,0,161464710,764402,7416316751,0,1069,773,2,3,1,14,14,1078,3,1,7409761776,7182139039,223068536,435977206,435977206,1,3,1,22670814744,73389,73389,14,14,14,435977210,9,3,240451,2256804,2915328,61486,7409761776,2197811,158555996,2931
176622.39,2,253952,62,351391,23149120518,12,63585787,0,2512,14,14,3843,2313,10,1170,2237233,2,9,137951,15,1,223261316,2342,1,0,4,554,437343124,5,1749307940,14,28,9,284,1170,0,0,164222533,782153,7560181063,0,1168,855,2,3,1,14,14,1078,3,1,7553523347,7311244977,228415067,443678957,443678957,1,3,1,23071305796,73389,73389,14,14,14,443678961,9,3,241571,2297252,2964298,62708,7553523347,2237233,161264951,3179
178632.39,2,253952,62,358817,23637733480,12,64752360,0,2550,15,15,3843,2346,10,1224,2290432,2,9,140851,15,1,232499129,2450,1,0,4,554,446554594,5,1786218376,14,29,9,284,1224,0,0,168022158,883585,7722673335,0,1222,890,2,3,1,14,14,1078,3,1,7716266445,7465626352,233471139,453037651,453037651,1,3,1,23557957884,73389,73389,14,14,14,453037655,9,3,247287,2351834,3054215,64029,7716266445,2290432,164974799,3332
180640.60,2,253952,62,366760,24161155616,12,66242005,0,2613,15,15,3843,2411,10,1233,2356097,2,9,143968,15,1,234568275,2468,1,0,4,554,456393479,5,1825509396,14,29,9,284,1233,0,0,172418107,1029658,7904260037,0,1231,901,2,3,1,14,14,1078,3,1,7897559475,7631480852,239497815,463016334,463016334,1,3,1,24076849400,73389,73389,14,14,14,463016338,9,3,249388,2419181,3138115,65563,7897559475,2356097,169287012,3367
182648.01,2,253952,62,374787,24689670878,12,67762613,0,2674,15,15,3843,2456,10,1287,2419606,2,9,147085,15,1,243583131,2576,1,0,4,554,466284305,5,1865072720,14,29,9,284,1287,0,0,176814140,1160182,8082135959,0,1285,972,2,3,1,14,14,1078,3,1,8075009132,7799360429,245528090,473097639,473097639,1,3,1,24601077260,73389,73389,14,14,14,473097643,9,3,256247,2484393,3228785,67024,8075009132,2419606,173592550,3552
184653.87,2,253952,62,380551,25069314744,13,69749075,0,2699,15,15,3843,2495,10,1296,2454459,2,9,149340,15,1,245082373,2594,1,0,4,554,473436414,5,1893745656,14,29,9,284,1296,0,0,179374369,1179021,8213251285,0,1294,982,2,3,1,14,14,1078,3,1,8206290458,7919774734,250099520,480334605,480334605,1,3,1,24977399492,73389,73389,14,14,14,480334609,9,3,257892,2520185,3273704,68116,8206290458,2454459,176107958,3577
186659.13,6,253952,62,386183,25441574788,13,71501928,0,2733,15,15,3843,2527,10,1296,2487967,2,9,151551,15,1,245721871,2594,1,0,4,554,480474184,5,1921832088,14,29,9,284,1296,0,0,181795995,1179775,8341708395,0,1294,982,2,3,1,14,14,1078,3,1,8334391755,8037809337,254274504,487440055,487440055,1,3,1,25346882892,73389,73389,14,14,14,487440059,9,3,259331,2554604,3313712,69168,8334391755,2487967,178489664,3577
188672.01,8,253952,62,393523,25925118756,13,73638623,0,2752,16,16,3843,2564,10,1296,2544994,2,9,154418,15,1,246035587,2594,1,0,4,554,489567768,5,1958206400,14,30,9,284,1296,0,0,185747171,1231705,8504843393,0,1294,982,2,3,1,14,14,1078,3,1,8497514683,8190611198,260411261,496696127,496696127,1,3,1,25828198636,73389,73389,14,14,14,496696131,9,3,263999,2613085,3388463,70504,8497514683,2544994,182366237,3577
190677.63,10,253952,62,399784,26337997644,14,76324328,0,2781,16,16,3843,2617,10,1296,2591052,2,9,156875,15,1,246964669,2594,1,0,4,554,497336488,5,1989281428,14,30,9,284,1296,0,0,188813236,1294086,8653483730,0,1294,982,2,3,1,14,14,1078,3,1,8646170954,8322090220,266224047,504543175,504543175,1,3,1,26236245132,73389,73389,14,14,14,504543179,9,3,265843,2660372,3449571,71756,8646170954,2591052,185371306,3577
192693.91,10,253952,62,405736,26730227730,14,77343286,0,2794,17,17,3843,2642,10,1296,2634203,2,9,159187,15,1,246964669,2594,1,0,4,554,504704056,5,2018816224,14,31,9,284,1296,0,0,191782939,1326154,8787757271,0,1294,982,2,3,1,14,14,1078,3,1,8780471353,8446588936,270244825,512015550,512015550,1,3,1,26624808632,73389,73389,14,14,14,512015554,9,3,268368,2704620,3512567,72844,8780471353,2634203,188278107,3577
194702.01,11,253952,62,412577,27180779650,14,79268102,0,2821,17,17,3843,2696,16,1296,2693763,2,9,161877,15,1,247278385,2594,1,0,4,554,513186997,5,2052747988,14,31,9,284,1296,0,0,195750527,1459792,8947016831,0,1294,982,2,3,1,14,14,1078,3,1,8939609010,8589530642,276259074,520618421,520618421,1,3,1,27072157924,73389,73389,14,14,14,520618425,9,3,273137,2765694,3589506,74187,8939609010,2693763,192168891,3577
196717.59,13,253952,62,419245,27620307558,14,81126649,0,2854,17,17,3843,2736,16,1296,2752319,2,9,164464,15,1,247592101,2594,1,0,4,554,521389543,5,2085558172,14,31,9,284,1296,0,0,199769711,1650838,9097558404,0,1294,982,2,3,1,14,14,1078,3,1,9089608065,8729420892,282321733,528973373,528973373,1,3,1,27506615428,73389,73389,14,14,14,528973377,9,3,278504,2825710,3674240,75422,9089608065,2752319,196103476,3577
198723.04,13,253952,62,425055,28002978146,15,83659531,0,2889,17,17,3843,2779,16,1296,2794424,2,9,166724,15,1,247592101,2594,1,0,4,554,528548694,5,2114194776,14,31,9,284,1296,0,0,202612593,1755160,9237764965,0,1294,982,2,3,1,14,14,1078,3,1,9230099134,8851093949,287793151,536251299,536251299,1,3,1,27885067580,73389,73389,14,14,14,536251303,9,3,282665,2868907,3733079,76593,9230099134,2794424,198887628,3577
200730.29,14,253952,62,431199,28407839408,15,84937241,0,2905,18,18,3843,2815,16,1296,2844083,2,9,169120,15,1,247905817,2594,1,0,4,554,536158101,5,2144567844,14,32,9,284,1296,0,0,205825485,1821063,9382919120,0,1294,982,2,3,1,14,14,1078,3,1,9375142165,8979784055,292324025,543953050,543969434,1,3,1,28285558632,73389,73389,14,14,14,543953054,9,3,290636,2919799,3807074,77784,9375142165,2844083,202026639,3577
202739.19,14,253952,62,438717,28903084982,15,86574267,0,2969,18,18,3843,2852,16,1296,2905356,2,9,172055,15,1,247905817,2594,1,0,4,554,545526562,5,2181976732,14,32,9,284,1296,0,0,210108490,1947860,9547081237,0,1294,982,2,3,1,14,14,1078,3,1,9539285654,9136740006,298371105,553422114,553422114,1,3,1,28777949960,73389,73389,14,14,14,553422118,9,3,294008,2982585,3889924,79128,9539285654,2905356,206226946,3577
204749.98,15,253952,62,446439,29412279068,15,88074993,0,3034,18,18,3843,2910,16,1296,2975346,2,9,175082,15,1,247905817,2594,1,0,4,554,555068102,5,2220272408,14,32,9,284,1296,0,0,214479032,2123908,9733552079,0,1294,982,2,3,1,14,14,1078,3,1,9725467310,9298619373,304406947,563116236,563116236,1,3,1,29282044304,73389,73389,14,14,14,563116240,9,3,296110,3054281,3976737,80684,9725467310,2975346,210510841,3577
