timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
729483.37,7,253952,62,171939,11327874150,31,48081820,0,391,33,33,4287,142,675,975239,7,44234,43,144004148,1352,1,0,42,47,10,14,254,675,0,0,0,36900054,540741,3364735718,0,675,444,2,1,14,14,400,1,3363670992,3315108373,136577760,257090963,257107347,1,2,1,11312002372,73389,73389,14,14,14,257090963,9,3,575158,996631,2146337,25685,3363670992,975239,34754169,2046
731490.22,7,253952,62,189335,12474309254,31,50693502,0,431,36,36,4287,145,675,1094242,7,49145,43,144535052,1352,1,0,42,50,10,14,254,675,0,0,0,41380133,805080,3699148342,0,675,444,2,1,14,14,400,1,3698691024,3650233523,145381128,283147051,283163435,1,2,1,12458470244,73389,73389,14,14,14,283147051,9,3,596498,1118209,2347411,28241,3698691024,1094242,39034354,2046
733498.59,7,253952,62,206631,13613925306,31,51898725,0,454,40,40,4287,147,675,1222850,7,53972,43,144800504,1352,1,0,42,54,10,14,254,675,0,0,0,45969377,1592574,4028572679,0,675,444,2,1,14,14,400,1,4031613904,3983337609,158353956,309049650,309066034,1,2,1,13598184600,73389,73389,14,14,14,309049650,9,3,636854,1249401,2622970,30781,4031613904,1222850,43348213,2046
735503.69,7,253952,62,227321,14977297802,32,53308766,0,456,40,40,4287,151,675,1322166,7,59834,43,145596860,1352,1,0,42,54,10,14,254,675,0,0,0,50274118,1697763,4428123219,0,675,444,2,1,14,14,400,1,4429679568,4381954481,168119835,340045070,340045070,1,2,1,14961983080,73389,73389,14,14,14,340045070,9,3,639644,1350978,2745879,33818,4429679568,1322166,47530216,2046
737510.56,7,253952,62,245794,16194387574,35,59182905,0,497,41,41,4287,154,675,1437809,7,65047,43,145862312,1352,1,0,42,55,10,14,254,675,0,0,0,54696072,1912678,4785729911,0,675,444,2,1,14,14,400,1,4785408976,4737734813,190976492,367698598,367721015,1,2,1,16178738312,73389,73389,14,14,14,367698598,9,3,664639,1469078,2933967,36532,4785408976,1437809,51764264,2046
739519.60,7,253952,62,263969,17392068278,35,62377379,0,515,43,43,4287,157,675,1563857,7,70160,43,146393216,1352,1,0,42,57,10,14,254,675,0,0,0,59497089,2203750,5134823996,0,675,444,2,1,14,14,400,1,5135371216,5087829197,204451552,394915791,394932175,1,2,1,17376294804,73389,73389,14,14,14,394915791,9,3,687838,1597947,3166076,39203,5135502288,1563899,56333351,2046
741524.95,7,253952,62,277214,18264870734,41,69108971,0,542,43,43,4287,159,675,1635662,7,73878,43,146658668,1352,1,0,42,57,10,14,254,675,0,0,0,62471825,2301586,5391456980,0,675,444,2,1,14,14,400,1,5390568400,5342972180,216802977,414758913,414758913,1,2,1,18248671276,73389,73389,14,14,14,414742529,9,3,691529,1671296,3267541,41149,5390568400,1635662,59206750,2046
743531.64,7,253952,62,293680,19349135018,41,71165476,0,572,46,46,4287,162,675,1733662,7,78536,43,146924120,1352,1,0,42,60,10,14,254,675,0,0,0,66378262,2403130,5704621362,0,675,444,2,1,14,14,400,1,5706586955,5659988692,223923932,439387878,439404262,1,2,1,19333066632,73389,73389,14,14,14,439387878,9,3,709800,1771527,3429542,43564,5706586955,1733662,62951343,2046
745537.59,7,253952,62,312249,20572516002,41,74642662,0,594,48,48,4287,166,675,1855058,7,83822,43,147720476,1352,1,0,42,62,10,14,254,675,0,0,0,71117920,2707674,6063708078,0,675,444,2,1,14,14,400,1,6063396201,6017410474,235263859,467209120,467225504,1,2,1,20557201280,73389,73389,14,14,14,467209120,9,3,731410,1895571,3661157,46293,6063396201,1855058,67459562,2046
747546.76,7,253952,62,330963,21805593006,43,79151200,0,623,49,49,4287,169,675,1981490,7,89093,43,148251380,1352,1,0,42,63,10,14,254,675,0,0,0,75879102,3011749,6423943643,0,675,444,2,1,14,14,400,1,6423713129,6377894715,247081312,495237321,495253705,1,2,1,21790442124,73389,73389,14,14,14,495237321,9,3,744034,2024777,3835475,49042,6423713129,1981490,72045585,2046
749553.62,7,253952,62,349559,23030522844,44,80227060,0,625,52,52,4287,173,675,2105209,7,94423,43,148782284,1352,1,0,42,66,10,14,254,675,0,0,0,80653101,3162340,6780319032,0,675,444,2,1,14,14,400,1,6781218826,6735970502,258488161,523068914,523085298,1,2,1,23015032216,73389,73389,14,14,14,523068914,9,3,767329,2151143,4031814,51776,6781218826,2105209,76624488,2046
751558.90,7,253952,62,368977,24310107564,44,80227060,0,625,52,52,4287,177,675,2224245,7,99940,43,149844092,1352,1,0,42,66,10,14,254,675,0,0,0,85278813,3215394,7154054655,0,675,444,2,1,14,14,400,1,7154113347,7109920150,267833484,552163790,552180174,1,2,1,24295206760,73389,73389,14,14,14,552163790,9,3,777965,2272875,4196829,54627,7154113347,2224245,81085374,2046
753564.41,7,253952,62,388437,25591455140,44,80227060,0,625,52,52,4287,182,675,2341329,7,105517,43,150640448,1352,1,0,42,66,10,14,254,675,0,0,0,89871956,3222207,7526893961,0,675,444,2,1,14,14,400,1,7527160091,7484385630,275807722,581295752,581295752,1,2,1,25577013088,73389,73389,14,14,14,581295752,9,3,789849,2392715,4355023,57486,7527160091,2341329,85520515,2046
755011.31,7,253952,62,400982,26415782060,47,80242727,3,628,52,52,4287,191,675,2412537,7,109422,50,158511825,1359,1,1035,49,73,10,42,276,675,471,1035,86,93205955,3225382,7767538368,8,675,444,2,1,14,14,400,1,7763869224,7725268584,353293572,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,797035,2465627,4474219,59330,7763869224,2412537,88735457,2046
