timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
607911.39,8,253952,62,66660,4391229378,3,17915978,381,6,6,4125,475,1,567,512014,8,26208,9,111025459,1136,1,1081,4,3998,83044895,7,332115024,8,20,4,3680,567,1081,9,33909851,969169,1416555223,567,630,3,1,14,14,4586,3,1415806478,1385489053,52774237,84263112,84279496,1,3,1,4381681856,73389,73389,14,14,14,84263116,7,1,3,123405,525133,817081,11799,1415806478,512014,33094056,1831
609920.57,8,253952,62,73430,4836488744,3,19782924,422,6,6,4125,507,1,567,579431,8,28863,9,111351241,1136,1,1081,4,3998,91498621,7,365994484,8,20,4,3680,567,1081,9,37965564,1201758,1556540364,567,630,3,1,14,14,4586,3,1555392388,1525428057,58826187,92837533,92837533,1,3,1,4827551748,73389,73389,14,14,14,92837537,7,1,3,126074,594025,894806,12932,1555392388,579431,37072176,1831
611932.93,8,253952,62,80750,5319047774,3,21347223,480,6,6,4125,576,1,567,654264,8,31762,9,112931887,1136,1,1081,4,3998,100621258,7,402485032,8,20,4,3680,567,1081,9,42222481,1393436,1709348733,567,630,3,1,14,14,4586,3,1708680885,1677436945,64848897,102107830,102107830,1,3,1,5308755224,73389,73389,14,14,14,102091450,7,1,3,133282,670476,1005418,14247,1708680885,654264,41218630,1831
613940.97,8,253952,62,88349,5820808364,3,22843905,552,6,6,4125,612,1,576,728022,8,34748,9,116916644,1154,1,1081,4,3998,110117951,7,440471804,8,20,4,3680,576,1081,9,46692754,1509259,1869410414,576,643,3,1,14,14,4586,3,1868217505,1835843541,70918346,111723906,111723906,1,3,1,5809643144,73389,73389,14,14,14,111723910,7,1,3,143913,745832,1112353,15543,1868217505,728022,45582129,1867
615947.18,8,253952,62,96283,6342991132,3,24156519,614,6,6,4125,688,1,576,794013,8,37886,9,116916644,1154,1,1081,4,3998,120005974,7,480023896,8,20,4,3680,576,1081,9,51021569,1560833,2026746388,576,643,3,1,14,14,4586,3,2025261021,2000252360,76607213,121768569,121768569,1,3,1,6331113652,73389,73389,14,14,14,121752189,7,1,3,148980,813292,1189317,16893,2025261021,794013,49834141,1867
617953.21,8,253952,62,101535,6689358084,4,26945472,634,6,6,4125,701,1,576,826438,8,39944,9,116916644,1154,1,1081,4,3998,126597825,7,506391300,8,20,4,3680,576,1081,9,53253797,1561998,2144122726,576,643,3,1,14,14,4586,3,2142156695,2109012590,81628114,128438128,128454512,1,3,1,6678782688,73389,73389,14,14,14,128438132,7,1,3,151484,846533,1228380,17822,2142156695,826438,52027398,1867
619958.39,8,253952,62,107162,7059396086,4,27869801,656,6,6,4125,753,1,585,862311,8,42154,9,118415669,1172,1,1081,4,3998,133576234,7,534240200,8,20,4,3680,585,1081,9,55786704,1562078,2256607889,585,648,3,1,14,14,4586,3,2254670097,2225794411,85085587,135548340,135548340,1,3,1,7048513712,73389,73389,14,14,14,135548344,7,1,3,152341,883361,1272349,18789,2254670097,862311,54516434,1893
621964.55,8,253952,62,112543,7413638014,4,30006076,693,6,6,4125,769,1,585,896971,8,44257,9,118415669,1172,1,1081,4,3998,140301821,7,561207284,8,20,4,3680,585,1081,9,58213815,1563725,2370293670,585,648,3,1,14,14,4586,3,2368515660,2337460177,89647676,142353289,142353289,1,3,1,7402371060,73389,73389,14,14,14,142353293,7,1,3,154354,918956,1313436,19697,2368515660,896971,56902555,1893
623970.00,8,253952,62,118120,7781026648,4,31353713,719,6,6,4125,825,1,585,937368,8,46462,9,118415669,1172,1,1081,4,3998,147251278,7,588940424,8,20,4,3680,585,1081,9,60842633,1564991,2491892059,585,648,3,1,14,14,4586,3,2489613978,2453159223,93624353,149418223,149418223,1,3,1,7769747628,73389,73389,14,14,14,149418227,7,1,3,157167,960399,1363438,20737,2489613978,937368,59481483,1893
625983.38,8,253952,62,124225,8183307874,4,32803030,736,7,7,4125,845,1,585,984274,8,48859,9,118415669,1172,1,1081,4,3998,154860922,7,619443688,8,21,4,3680,585,1081,9,64016050,1615574,2613941415,585,648,3,1,14,14,4586,3,2612533431,2580002940,98275271,157136358,157152742,1,3,1,8171090648,73389,73389,14,14,14,157136362,7,1,3,164773,1008447,1432478,21724,2612533431,984274,62585964,1893
627988.67,10,253952,62,130030,8566266148,5,35162436,760,7,7,4125,904,1,585,1031310,8,51163,9,118415669,1172,1,1081,4,3998,162113348,7,648453392,8,21,4,3680,585,1081,9,66978787,1660707,2742898882,585,648,3,1,14,14,4586,3,2741055537,2700818130,103658542,164475502,164491886,1,3,1,8552726136,73389,73389,14,14,14,164475506,7,1,3,165640,1056655,1499454,22825,2741055537,1031310,65481844,1893
629993.64,10,253952,62,135527,8929039334,5,36614798,786,8,8,4125,917,1,585,1071447,8,53315,9,118729385,1172,1,1081,4,3998,169012243,7,675984512,8,22,4,3680,585,1081,9,69602181,1683108,2855525383,585,648,3,1,14,14,4586,3,2852922851,2815084721,107757677,171470582,171470582,1,3,1,8916470296,73389,73389,14,14,14,171470586,7,1,3,168223,1097744,1548408,23715,2852922851,1071447,68056387,1893
631999.64,10,253952,62,140744,9272798810,6,39445622,821,8,8,4125,971,1,585,1105880,8,55368,9,118729385,1172,1,1081,4,3998,175459134,7,701836536,8,22,4,3680,585,1081,9,71936615,1703645,2962603171,585,648,3,1,14,14,4586,3,2960160912,2923580762,112943162,178052188,178052188,1,3,1,9258713808,73389,73389,14,14,14,178052192,7,1,3,173222,1133054,1594496,24645,2960160912,1105880,70344831,1893
634019.69,10,253952,62,146135,9627370316,6,40901259,846,9,9,4125,987,1,594,1145590,8,57477,9,120170538,1190,1,1081,4,3998,182211479,7,728781280,8,23,4,3680,594,1081,9,74461204,1748291,3080370877,594,654,3,1,14,14,4586,3,3077934490,3035248114,116963352,184875680,184875680,1,3,1,9613535392,73389,73389,14,14,14,184875684,7,1,3,177563,1173711,1659420,25587,3077934490,1145590,72804597,1915
636032.58,10,253952,62,152368,10038643450,6,43092359,893,9,9,4125,1015,1,594,1204341,8,59925,9,120170538,1190,1,1081,4,3998,190010300,7,759911920,8,23,4,3680,594,1081,9,78029358,2045892,3212722443,594,654,3,1,14,14,4586,3,3210061375,3164686514,122559285,192786105,192786105,1,3,1,10024877492,73389,73389,14,14,14,192786109,7,1,3,182394,1233773,1740213,26665,3210061375,1204341,76292087,1915
638038.54,10,253952,62,158451,10439844864,7,45576723,950,9,9,4125,1072,1,594,1258296,8,62336,9,120170538,1190,1,1081,4,3998,197585496,7,790341984,8,23,4,3680,594,1081,9,81281688,2257462,3333166811,594,654,3,1,14,14,4586,3,3330100199,3291494493,128958025,200469313,200469313,1,3,1,10424404308,73389,73389,14,14,14,200469317,7,1,3,189957,1288919,1809953,27693,3330100199,1258296,79474804,1915
640047.31,10,253952,62,164094,10811208960,7,46985385,968,10,10,4125,1096,1,594,1298036,8,64545,9,120170538,1190,1,1081,4,3998,204616912,7,818467648,8,24,4,3680,594,1081,9,83893543,2274817,3454629498,594,654,3,1,14,14,4586,3,3451857696,3408353988,132995259,207618326,207618326,1,3,1,10796152984,73389,73389,14,14,14,207618330,7,1,3,193424,1329641,1851956,28684,3451857696,1298036,82044760,1915
642059.54,10,253952,62,171152,11276271776,8,48382661,987,10,10,4125,1159,1,594,1365882,8,67326,9,120170538,1190,1,1081,4,3998,213403931,7,853551336,8,24,4,3680,594,1081,9,87780816,2314680,3607235040,594,654,3,1,14,14,4586,3,3604455234,3554981993,138323051,216546718,216546718,1,3,1,11259577400,73389,73389,14,14,14,216530338,7,1,3,203673,1399043,1960844,29975,3604455234,1365882,85823281,1915
644070.75,10,253952,62,178133,11735986670,8,49726583,1011,11,11,4125,1191,1,594,1427637,8,70066,9,120170538,1190,1,1081,4,3998,222127693,7,888446076,8,25,4,3680,594,1081,9,91697063,2403527,3746057016,594,654,3,1,14,14,4586,3,3742614835,3699794851,143669540,225378965,225378965,1,3,1,11719706212,73389,73389,14,14,14,225378969,7,1,3,208716,1462195,2031680,31094,3742614835,1427637,89668824,1915
646087.39,11,253952,62,185127,12196855182,9,51782375,1041,12,12,4125,1249,1,594,1493173,8,72825,9,120170538,1190,1,1081,4,3998,230849354,7,923268296,8,26,4,3680,594,1081,9,95568198,2506090,3898151820,594,654,3,1,14,14,4586,3,3895871810,3845063701,149695745,234225437,234225437,1,3,1,12179722756,73389,73389,14,14,14,234225441,7,1,3,211191,1529275,2114729,32386,3895871810,1493173,93457041,1915
648092.48,11,253952,62,191121,12591886044,10,53796685,1068,12,12,4125,1278,1,603,1537161,8,75174,9,121983671,1208,1,1081,4,3998,238332961,7,953267232,8,26,4,3680,603,1081,9,98473159,2526952,4028061543,603,663,3,1,14,14,4586,3,4024896197,3969640495,154632693,241812500,241812500,1,3,1,12574250032,73389,73389,14,14,14,241812504,7,1,3,212048,1574319,2164610,33440,4024896197,1537161,96312233,1946
650100.16,11,253952,62,197160,12989866026,10,54808528,1084,12,12,4125,1304,1,603,1583800,8,77543,9,121983671,1208,1,1081,4,3998,245860372,7,983441488,8,26,4,3680,603,1081,9,101549890,2563314,4151641817,603,663,3,1,14,14,4586,3,4147840865,4095311824,158755577,249448715,249448715,1,3,1,12971333212,73389,73389,14,14,14,249448719,7,1,3,222623,1622077,2235555,34443,4147840865,1583800,99318135,1946
652112.30,11,253952,62,204012,13440611124,10,54890589,1100,13,13,4125,1369,1,639,1645988,8,80241,9,128116439,1280,1,1081,4,3998,254350481,7,1017337456,8,27,4,3680,639,1081,9,105431359,2613235,4299089092,639,697,3,1,14,14,4586,3,4295416595,4237594472,162758700,258092546,258092546,1,3,1,13419960456,73389,73389,14,14,14,258076166,7,1,3,224756,1685731,2310480,35711,4295416595,1645988,103124805,2078
654117.98,11,253952,62,210338,13857412004,10,57387007,1150,13,13,4125,1396,1,639,1700995,8,82726,9,128116439,1280,1,1081,4,3998,262282613,7,1049130452,8,27,4,3680,639,1081,9,109068352,2755024,4431725796,639,697,3,1,14,14,4586,3,4427659474,4368687686,169027028,266105593,266105593,1,3,1,13837490868,73389,73389,14,14,14,266105597,7,1,3,228364,1742047,2368527,36786,4427659474,1700995,106703889,2078
656131.50,11,253952,62,215696,14210317182,11,60057006,1169,13,13,4125,1450,1,648,1739180,8,84851,9,129614005,1298,1,1081,4,3998,268948840,7,1075795360,8,27,4,3680,648,1081,9,111430858,2765667,4549573822,648,701,3,1,14,14,4586,3,4545809285,4480073256,174067485,272883807,272883807,1,3,1,14189957996,73389,73389,14,14,14,272883811,7,1,3,232180,1781150,2418462,37813,4545809285,1739180,109016553,2099
658139.38,11,253952,62,222528,14660791012,12,61498696,1195,15,15,4125,1479,1,657,1802408,8,87514,9,131137417,1316,1,1081,4,3998,277415926,7,1109663704,8,29,4,3680,657,1081,9,115265549,2852055,4685873211,657,709,3,1,14,14,4586,3,4682367399,4622429372,179425590,281521161,281521161,1,3,1,14639100404,73389,73389,14,14,14,281521165,7,1,3,237195,1845706,2501351,38919,4682367399,1802408,112768492,2144
660145.10,13,253952,62,229107,15094763734,12,63298880,1238,15,15,4125,1511,1,657,1868367,8,90098,9,131740717,1316,1,1081,4,3998,285651122,7,1142604488,8,29,4,3680,657,1081,9,118975171,2931612,4831034553,657,709,3,1,14,14,4586,3,4827002916,4759477738,185002088,289824802,289841186,1,3,1,15070889736,73389,73389,14,14,14,289824806,7,1,3,239465,1913092,2586143,40102,4827002916,1868367,116393454,2144
662152.23,13,253952,62,234356,15439751610,13,66038316,1254,15,15,4125,1559,1,666,1904364,8,92165,9,133251257,1334,1,1081,4,3998,292169751,7,1168679004,8,29,4,3680,666,1081,9,121258345,2942035,4943485601,666,713,3,1,14,14,4586,3,4939495729,4868610798,190041465,296437461,296437461,1,3,1,15414748004,73389,73389,14,14,14,296437465,7,1,3,243818,1949960,2641093,41061,4939495729,1904364,118621767,2169
664157.91,13,253952,62,239925,15807736318,13,67265471,1282,15,15,4125,1579,1,666,1947350,8,94341,9,133552907,1334,1,1081,4,3998,299127128,7,1196508512,8,29,4,3680,666,1081,9,123896102,2977223,5064380589,666,713,3,1,14,14,4586,3,5060286355,4984638650,193939533,303493759,303493759,1,3,1,15781675500,73389,73389,14,14,14,303493763,7,1,3,246069,1993973,2698987,42039,5060286355,1947350,121201730,2169
666166.99,13,253952,62,246218,16221317664,13,67934022,1307,15,15,4125,1640,1,684,2003815,8,96832,9,136561401,1370,1,1081,4,3998,306943532,7,1227709496,8,29,4,3680,684,1081,9,127295639,3042395,5201170227,684,730,3,1,14,14,4586,3,5196692595,5115193060,198067107,311437396,311437396,1,3,1,16194744624,73389,73389,14,14,14,311437400,7,1,3,248906,2051725,2763256,43211,5196692595,2003815,124537117,2235
668179.41,13,253952,62,252872,16659324768,13,69724998,1347,16,16,4125,1668,1,684,2063600,8,99417,9,136585533,1370,1,1081,4,3998,315168039,7,1260672156,8,30,4,3680,684,1081,9,131085797,3250409,5342505660,684,730,3,1,14,14,4586,3,5338283598,5253509678,203803717,319829434,319829434,1,3,1,16630278632,73389,73389,14,14,14,319813054,7,1,3,252664,2112910,2837083,44358,5338283598,2063600,128253589,2235
670191.92,13,253952,62,259412,17090452002,13,71891190,1387,16,16,4125,1731,1,684,2128399,8,102005,9,137188833,1370,1,1081,4,3998,323340659,7,1293297976,8,30,4,3680,684,1081,9,134873115,3336617,5485731151,684,730,3,1,14,14,4586,3,5481375915,5389771259,209548861,328069698,328086082,1,3,1,17059624328,73389,73389,14,14,14,328069702,7,1,3,256331,2179157,2915072,45588,5481375915,2128399,131963049,2235
672205.39,13,253952,62,265962,17521908814,13,73998677,1433,16,16,4125,1760,1,684,2193329,8,104572,9,137188833,1370,1,1081,4,3998,331499279,7,1325997116,8,30,4,3680,684,1081,9,138615669,3529249,5625494363,684,730,3,1,14,14,4586,3,5621265069,5525917456,215860049,336361273,336361273,1,3,1,17490786228,73389,73389,14,14,14,336361277,7,1,3,265100,2245486,3019996,46722,5621265069,2193329,135600820,2235
674210.94,13,253952,62,271532,17888452584,14,76482995,1471,16,16,4125,1785,1,684,2237338,8,106742,9,137188833,1370,1,1081,4,3998,338434744,7,1353738976,8,30,4,3680,684,1081,9,141352216,3601677,5746767176,684,730,3,1,14,14,4586,3,5741508404,5641256305,221151400,343428366,343428366,1,3,1,17858275064,73389,73389,14,14,14,343428370,7,1,3,265893,2290537,3061957,47706,5741508404,2237338,138295513,2235
676221.74,13,253952,62,277431,18276364642,14,77826184,1502,17,17,4125,1839,1,684,2288710,8,109055,9,137188833,1370,1,1081,4,3998,345712245,7,1382784256,8,31,4,3680,684,1081,9,144318796,3688106,5879496799,684,730,3,1,14,14,4586,3,5874925248,5764343099,225541730,350825298,350825298,1,3,1,18242063560,73389,73389,14,14,14,350808918,7,1,3,273842,2343041,3128861,48838,5874925248,2288710,141195300,2235
678235.91,13,253952,62,284084,18715199094,14,79560543,1533,17,17,4125,1866,1,684,2349387,8,111661,9,137188833,1370,1,1081,4,3998,354043997,7,1416111356,8,31,4,3680,684,1081,9,148095859,3793303,6020080757,684,730,3,1,14,14,4586,3,6014969004,5902719764,231158621,359243627,359243627,1,3,1,18679816668,73389,73389,14,14,14,359227247,7,1,3,277003,2405116,3201722,49979,6014969004,2349387,144899640,2235
680255.27,13,253952,62,290887,19163550230,14,82000908,1575,17,17,4125,1931,1,684,2420724,8,114353,9,137188833,1370,1,1081,4,3998,362492701,7,1449970804,8,31,4,3680,684,1081,9,151875264,4001005,6174619355,684,730,3,1,14,14,4586,3,6169381846,6045048610,237583101,367778803,367795187,1,3,1,19124497788,73389,73389,14,14,14,367778807,7,1,3,281806,2478001,3293622,51295,6169381846,2420724,148587274,2235
682262.66,13,253952,62,297799,19619346440,14,83748959,1600,17,17,4125,1961,3,684,2482495,8,117063,9,137188833,1370,1,1081,4,3998,371147994,7,1484527356,8,31,4,3680,684,1081,9,155855524,4126365,6319448681,684,730,3,1,14,14,4586,3,6314187968,6188594153,243431828,376557580,376557580,1,3,1,19580994192,73389,73389,14,14,14,376557584,7,1,3,288184,2541219,3386148,52461,6314187968,2482495,152475151,2235
684274.33,13,253952,62,304870,20085285356,14,85715841,1633,17,17,4125,2000,3,684,2550672,8,119838,9,137188833,1370,1,1081,4,3998,379950825,7,1519803300,8,31,4,3680,684,1081,9,159992939,4270743,6470755201,684,730,3,1,14,14,4586,3,6465351330,6335364467,249644728,385518740,385518740,1,3,1,20046974512,73389,73389,14,14,14,385518744,7,1,3,295505,2610936,3479359,53711,6465351330,2550672,156519499,2235
686282.83,14,253952,62,312278,20574504438,14,87268792,1696,17,17,4125,2061,3,684,2627396,8,122756,9,137502549,1370,1,1081,4,3998,389183789,7,1556735156,8,31,4,3680,684,1081,9,164349081,4423272,6636688276,684,730,3,1,14,14,4586,3,6630870617,6490434257,255712931,394848096,394848096,1,3,1,20532101024,73389,73389,14,14,14,394848100,7,1,3,298330,2689323,3563149,55107,6630870617,2627396,160792001,2235
688294.22,14,253952,62,319729,21065347034,14,88721187,1763,17,17,4125,2096,3,684,2701290,8,125673,9,137502549,1370,1,1081,4,3998,398469924,7,1593815108,8,31,4,3680,684,1081,9,168776126,4588612,6795270906,684,730,3,1,14,14,4586,3,6789796688,6645297276,261742889,404268008,404268008,1,3,1,21021936448,73389,73389,14,14,14,404268012,7,1,3,302654,2764856,3653155,56409,6789796688,2701290,165129195,2235
690299.60,14,253952,62,325681,21457939100,15,90913398,1797,17,17,4125,2147,3,684,2749234,8,128006,9,137804199,1370,1,1081,4,3998,405835250,7,1623341000,8,31,4,3680,684,1081,9,171609343,4637531,6932887303,684,730,3,1,14,14,4586,3,6926688184,6769956182,266815093,411754608,411754608,1,3,1,21411239648,73389,73389,14,14,14,411754612,7,1,3,304533,2813922,3707187,57565,6926688184,2749234,167908486,2235
692306.43,14,253952,62,332873,21931168374,15,92553757,1840,18,18,4125,2181,3,693,2813991,8,130815,9,139314107,1388,1,1081,4,3998,414763286,7,1658988680,8,32,4,3680,693,1081,9,175327551,4726384,7090566198,693,740,3,1,14,14,4586,3,7084476208,6919394316,272253292,420826582,420826582,1,3,1,21882982296,73389,73389,14,14,14,420826586,7,1,3,310129,2880142,3781141,58863,7084476208,2813991,171552874,2264
694314.65,14,253952,62,340821,22454292778,15,93849676,1929,18,18,4125,2240,3,693,2894623,8,133924,9,139929473,1388,1,1081,4,3998,424586052,7,1698344208,8,32,4,3680,693,1081,9,179962276,4859793,7272597195,693,740,3,1,14,14,4586,3,7266751027,7085595465,278304446,430789325,430805709,1,3,1,22401044932,73389,73389,14,14,14,430789329,7,1,3,313864,2962674,3877029,60388,7266751027,2894623,176091880,2264
696319.15,14,253952,62,348210,22941699574,15,95078812,1994,18,18,4125,2281,3,702,2957286,8,136812,9,141371140,1406,1,1081,4,3998,433796362,7,1735185448,8,32,4,3680,702,1081,9,183851080,4889743,7432416174,702,748,3,1,14,14,4586,3,7426283438,7239520940,283408377,440131191,440131191,1,3,1,22886821964,73389,73389,14,14,14,440131195,7,1,3,319478,3026810,3945967,61700,7426283438,2957286,179911888,2292
698327.62,14,253952,62,354713,23369460828,16,97534723,2013,19,19,4125,2329,3,702,3005770,8,139359,9,141371140,1406,1,1081,4,3998,441830119,7,1767320476,8,33,4,3680,702,1081,9,186800801,4896913,7582191054,702,748,3,1,14,14,4586,3,7575291986,7375351383,288856073,448279628,448296012,1,3,1,23310540688,73389,73389,14,14,14,448279632,7,1,3,346083,3076431,4030886,62947,7575291986,3005770,182776798,2292
700332.58,15,253952,62,363411,23942388796,16,98619450,2096,19,19,4125,2377,3,702,3077786,8,142757,9,141371140,1406,1,1081,4,3998,452650291,7,1810536688,8,33,4,3680,702,1081,9,191454738,4930948,7773254701,702,748,3,1,14,14,4586,3,7766304184,7556546806,294620235,459253861,459253861,1,3,1,23881200804,73389,73389,14,14,14,459253865,7,1,3,354232,3150208,4112945,64528,7766304184,3077786,187348858,2292
