timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
188171.02,11,253952,62,67078,4417127242,4,18657766,455,7,7,4030,483,0,567,528723,0,8,26351,12,0,110156707,1136,1,0,4,864,83476688,5,333906752,11,21,6,7,332,567,0,0,0,35776647,706370,1427646194,0,567,589,0,3,1,14,14,1441,3,1,1426482822,1393973540,55050045,84732659,84732659,1,3,1,4406098300,73389,73389,14,14,14,84732663,10,3,118936,541943,851926,11878,1426482822,528723,34926025,1855
190176.85,11,253952,62,73044,4810588548,4,20115678,490,7,7,4030,508,0,567,579588,0,8,28678,12,0,111664957,1136,1,0,4,864,90921865,5,363687460,11,21,6,7,332,567,0,0,0,39324108,780847,1558284070,0,567,589,0,3,1,14,14,1441,3,1,1557248152,1518123276,60127206,92284795,92284795,1,3,1,4798809372,73389,73389,14,14,14,92284799,10,3,119665,594165,903858,12938,1557248152,579588,38421666,1855
192184.37,11,253952,62,78110,5144777870,5,22677994,502,7,7,4030,558,0,567,610403,0,8,30697,12,0,112931887,1136,1,0,4,864,97255137,5,388955736,11,21,6,7,332,567,0,0,0,41845029,793541,1661695821,0,567,589,0,3,1,14,14,1441,3,1,1660428273,1623260774,65222604,98708594,98708594,1,3,1,5132846920,73389,73389,14,14,14,98708598,10,3,119681,625876,926783,13831,1660428273,610403,40919760,1855
194194.90,12,253952,62,84521,5568392108,5,24176991,521,8,8,4030,584,0,567,671712,0,8,33207,12,0,115103767,1136,1,0,4,864,105259525,5,420973676,11,22,6,7,332,567,0,0,0,45767174,857056,1805058021,0,567,589,0,3,1,14,14,1441,3,1,1804950989,1757544187,70686023,106778541,106811309,1,3,1,5552484164,73389,73389,14,14,14,106778545,10,3,122654,688682,1007696,15003,1804950989,671712,44761123,1855
196202.64,14,253952,62,91086,6000868158,5,26017869,547,8,8,4030,652,0,567,730993,0,8,35813,12,0,115103767,1136,1,0,4,864,113433529,5,453734116,11,22,6,7,332,567,0,0,0,49762542,962428,1940531252,0,567,589,0,3,1,14,14,1441,3,1,1939137484,1894146107,76577238,115086500,115086500,1,3,1,5984498032,73389,73389,14,14,14,115086504,10,3,125355,749448,1083398,16173,1939137484,730993,48680914,1855
198207.85,14,253952,62,97214,6403627428,6,28639186,580,8,8,4030,674,1,585,782287,0,8,38180,12,0,118100892,1172,1,0,4,864,121006805,5,484027220,11,22,6,7,332,585,0,0,0,53117785,1017752,2080264130,0,585,610,0,3,1,14,14,1441,3,1,2078357736,2021416910,82679309,122800761,122817145,1,3,1,6385639604,73389,73389,14,14,14,122800765,10,3,130186,802024,1138530,17298,2078357736,782287,51981142,1927
200219.12,14,253952,62,102726,6767033740,6,29957270,586,9,9,4030,706,6,594,819386,0,8,40358,12,0,119913764,1190,1,0,4,864,127905742,5,511622968,11,23,6,7,332,594,0,0,0,55807071,1045484,2196281609,0,594,615,0,3,1,14,14,1441,3,1,2194279588,2136227108,86715254,129781616,129781616,1,3,1,6748644064,73389,73389,14,14,14,129781620,10,3,130454,840091,1183483,18262,2194279588,819386,54625573,1946
202228.72,15,253952,62,109871,7238172234,6,31701322,636,9,9,4030,762,6,612,880031,0,8,43168,12,0,123225666,1226,1,0,4,864,136771907,5,547023040,11,23,6,7,332,612,0,0,0,60007601,1205581,2343935268,0,612,640,0,3,1,14,14,1441,3,1,2342851772,2284850775,92790866,138806153,138822537,1,3,1,7217919988,73389,73389,14,14,14,138806157,10,3,135306,902195,1262425,19502,2342851772,880031,58747308,2019
204238.33,15,253952,62,117231,7722966592,6,33215906,705,9,9,4030,796,6,612,949784,0,8,46045,12,0,123539382,1226,1,0,4,864,145947414,5,583789656,11,23,6,7,332,612,0,0,0,64397214,1339011,2510989670,0,612,640,0,3,1,14,14,1441,3,1,2508692163,2438224916,98817310,148094993,148094993,1,3,1,7700939668,73389,73389,14,14,14,148094997,10,3,137646,973616,1343507,20843,2508692163,949784,63055991,2019
206252.17,20,253952,62,124679,8212557388,6,34682105,777,9,9,4030,863,6,621,1018047,0,8,48961,12,0,125062849,1244,1,0,4,864,155118249,5,620408560,11,23,6,7,332,621,0,0,0,68863815,1483054,2676220982,0,621,652,0,3,1,14,14,1441,3,1,2673903219,2593313267,104869958,157445495,157461879,1,3,1,8187165772,73389,73389,14,14,14,157445499,10,3,139302,1043538,1413289,22251,2673903219,1018047,67452975,2061
208262.85,20,253952,62,131974,8694660486,6,36207526,844,9,9,4030,893,6,621,1086328,0,8,51812,12,0,125666149,1244,1,0,4,864,164201130,5,656804520,11,23,6,7,332,621,0,0,0,73241429,1614323,2832391750,0,621,652,0,3,1,14,14,1441,3,1,2830316320,2745443016,110876957,166674388,166690772,1,3,1,8667068208,73389,73389,14,14,14,166674392,10,3,142645,1113339,1504068,23513,2830316320,1086328,71739972,2061
210272.06,20,253952,62,139224,9172668194,6,37673199,917,9,9,4030,935,6,621,1157907,0,8,54669,12,0,125666149,1244,1,0,4,864,173276817,5,693107268,11,23,6,7,332,621,0,0,0,77664267,1779357,2995105257,0,621,652,0,3,1,14,14,1441,3,1,2992354684,2896613360,116926121,175829997,175829997,1,3,1,9143159876,73389,73389,14,14,14,175830001,10,3,148561,1186486,1610917,24846,2992354684,1157907,76056111,2061
212279.52,21,253952,62,146427,9647221664,6,39251276,976,9,9,4030,993,6,621,1223692,0,8,57501,12,0,125666149,1244,1,0,4,864,182224932,5,728899728,11,23,6,7,332,621,0,0,0,81959666,1879316,3153140586,0,621,652,0,3,1,14,14,1441,3,1,3151007080,3047170549,122831866,184889461,184889461,1,3,1,9614252004,73389,73389,14,14,14,184889465,10,3,151015,1253804,1669920,26177,3151007080,1223692,80292655,2061
214289.33,21,253952,62,154089,10151325254,6,40659981,1061,9,9,4030,1033,6,630,1296981,0,8,60489,12,0,127107302,1262,1,0,4,864,191735108,5,766940432,11,23,6,7,332,630,0,0,0,86541146,2007708,3323058388,0,630,661,0,3,1,14,14,1441,3,1,3320004624,3206284341,128993695,194551259,194551259,1,3,1,10116665500,73389,73389,14,14,14,194551263,10,3,154003,1328726,1760730,27556,3320004624,1296981,84783478,2091
216294.43,22,253952,62,161706,10652986496,6,41713608,1128,9,9,4030,1095,6,630,1358595,0,8,63480,12,0,127107302,1262,1,0,4,864,201167312,5,804669248,11,23,6,7,332,630,0,0,0,90585932,2059196,3493069159,0,630,661,0,3,1,14,14,1441,3,1,3490493529,3365123516,134132336,204135011,204135011,1,3,1,10615020604,73389,73389,14,14,14,204135015,10,3,155048,1391887,1827748,28989,3490493529,1358595,88761393,2091
218300.66,23,253952,62,168148,11076146754,7,44344076,1147,10,10,4030,1121,6,630,1397408,0,8,65986,12,0,127107302,1262,1,0,4,864,209190436,5,836697200,11,24,6,7,332,630,0,0,0,93403765,2076018,3628674740,0,630,661,0,3,1,14,14,1441,3,1,3625888210,3498732359,139573578,212254998,212254998,1,3,1,11037259928,73389,73389,14,14,14,212255002,10,3,158790,1431716,1876708,30088,3625888210,1397408,91530375,2091
220307.31,23,253952,62,177014,11662184254,7,45490949,1245,10,10,4030,1192,6,630,1474456,0,8,69482,12,0,127107302,1262,1,0,4,864,220207628,5,880830512,11,24,6,7,332,630,0,0,0,98242461,2125261,3826054613,0,630,661,0,3,1,14,14,1441,3,1,3823346977,3684304300,145600502,223427110,223443494,1,3,1,11618209752,73389,73389,14,14,14,223427114,10,3,165658,1510549,1977778,31739,3823346977,1474456,96268180,2091
222315.04,23,253952,62,185775,12240121808,7,46631992,1334,10,10,4030,1238,8,630,1552247,0,8,72913,12,0,127107302,1262,1,0,4,864,231131075,5,924459740,11,24,6,7,332,630,0,0,0,103085037,2182804,4021153836,0,630,661,0,3,1,14,14,1441,3,1,4017609095,3867184814,151645954,234509554,234509554,1,3,1,12194496840,73389,73389,14,14,14,234509558,10,3,167803,1590140,2078106,33325,4017609095,1552247,101010614,2091
224319.90,25,253952,62,193215,12729941858,7,47713789,1393,10,10,4030,1300,10,630,1611209,0,8,75840,12,0,127107302,1262,1,0,4,864,240356308,5,961425232,11,24,6,7,332,630,0,0,0,106854557,2211076,4185654236,0,630,661,0,3,1,14,14,1441,3,1,4182229639,4022152271,156512701,243882473,243882473,1,3,1,12681888628,73389,73389,14,14,14,243882477,10,3,169920,1650609,2148225,34714,4182229639,1611209,104710156,2091
226324.92,26,253952,62,199135,13119181908,8,50505838,1426,10,10,4030,1321,10,630,1643616,0,8,78128,12,0,127107302,1262,1,0,4,864,247697606,5,990725828,11,24,6,7,332,630,0,0,0,109311506,2211124,4309482408,0,630,661,0,3,1,14,14,1441,3,1,4306107105,4145412399,161759752,251328557,251328557,1,3,1,13069084996,73389,73389,14,14,14,251328561,10,3,173633,1683928,2186241,35708,4306107105,1643616,107129182,2091
228332.00,27,253952,62,205241,13521480406,8,52017958,1441,11,11,4030,1371,10,630,1684563,0,8,80542,12,0,127107302,1262,1,0,4,864,255306943,5,1021227772,11,25,6,7,332,630,0,0,0,112147907,2219334,4445115096,0,630,661,0,3,1,14,14,1441,3,1,4441900911,4272204401,166062615,259030308,259046692,1,3,1,13469576048,73389,73389,14,14,14,259030312,10,3,178132,1725960,2243123,36851,4441900911,1684563,109908796,2091
230337.11,27,253952,62,210743,13884315820,9,54336683,1459,11,11,4030,1398,10,639,1716663,0,8,82694,12,0,128618785,1280,1,0,4,864,262173225,5,1048692900,11,25,6,7,332,639,0,0,0,114545840,2221215,4562318572,0,639,663,0,3,1,14,14,1441,3,1,4558607154,4386889997,170834516,265994779,265994779,1,3,1,13831728540,73389,73389,14,14,14,265994783,10,3,181629,1758970,2285075,37802,4558607154,1716663,112264869,2113
232345.61,27,253952,62,217879,14354755896,9,55858208,1519,12,12,4030,1452,10,684,1779775,0,8,85494,12,0,137041405,1370,1,0,4,864,271010675,5,1083977804,11,26,6,7,332,684,0,0,0,118609331,2358123,4722861248,0,684,692,0,3,1,14,14,1441,3,1,4718743080,4535928454,176548489,274972323,274988707,1,3,1,14298560828,73389,73389,14,14,14,274972327,10,3,186297,1823600,2375943,39138,4718743080,1779775,116237635,2257
234354.38,30,253952,62,225134,14833079218,9,57340788,1589,12,12,4030,1489,10,693,1847911,0,8,88314,12,0,138866254,1388,1,0,4,864,279970608,5,1119882432,11,26,6,7,332,693,0,0,0,122999830,2529096,4881299194,0,693,697,0,3,1,14,14,1441,3,1,4877176714,4687436977,182561364,284111548,284111548,1,3,1,14773800528,73389,73389,14,14,14,284111552,10,3,191705,1893290,2455979,40423,4877176714,1847911,120548246,2290
236362.96,31,253952,62,232536,15320420966,9,58620390,1662,12,12,4030,1551,11,729,1918737,0,8,91223,12,0,144968901,1460,1,0,4,864,289166033,5,1156599484,11,26,6,7,332,729,0,0,0,127514110,2719959,5046832588,0,729,732,0,3,1,14,14,1441,3,1,5043069137,4841892004,188543471,293404706,293404706,1,3,1,15256192776,73389,73389,14,14,14,293388326,10,3,195538,1965769,2557228,41835,5043069137,1918737,124961419,2444
238368.77,31,253952,62,237939,15676104686,10,61337832,1678,12,12,4030,1569,11,738,1949847,0,8,93337,12,0,146769437,1478,1,0,4,864,295923792,5,1183695168,11,26,6,7,332,738,0,0,0,129821290,2720014,5161091161,0,738,738,0,3,1,14,14,1441,3,1,5156848282,4953726635,193567091,300242423,300242423,1,3,1,15612606028,73389,73389,14,14,14,300242427,10,3,195911,1997702,2589284,42744,5156848282,1949847,127236629,2468
240379.35,31,253952,62,244195,16088195610,10,62496317,1719,13,13,4030,1628,11,792,1994371,0,8,95797,12,0,155604620,1586,1,0,4,864,303670416,5,1214681664,11,27,6,7,332,792,0,0,0,132772856,2729275,5302837455,0,792,775,0,3,1,14,14,1441,3,1,5298480496,5084531636,197686332,308116206,308116206,1,3,1,16022042744,73389,73389,14,14,14,308116210,10,3,200479,2043356,2650226,43959,5298480496,1994371,130127364,2633
242385.45,31,253952,62,251026,16538905554,10,63877215,1774,13,13,4030,1656,11,810,2056567,0,8,98465,12,0,158822874,1622,1,0,4,864,312168123,5,1248672492,11,27,6,7,332,810,0,0,0,136742423,2844222,5452229251,0,810,788,0,3,1,14,14,1441,3,1,5447995397,5226683026,203100426,316751401,316751401,1,3,1,16471072884,73389,73389,14,14,14,316751405,10,3,202170,2107006,2717399,45172,5447995397,2056567,134029894,2707
244394.45,31,253952,62,256289,16886644966,11,66697460,1791,13,13,4030,1704,12,810,2089819,0,8,100545,12,0,159438240,1622,1,0,4,864,318707202,5,1274828808,11,27,6,7,332,810,0,0,0,139008215,2848849,5572209832,0,810,788,0,3,1,14,14,1441,3,1,5567641836,5337045147,208230342,323383874,323400258,1,3,1,16815961480,73389,73389,14,14,14,323383878,10,3,203780,2141208,2760428,46192,5567748074,2089880,136252748,2707
246401.64,31,253952,62,261863,17252944108,11,68129785,1818,13,13,4030,1725,12,810,2126953,0,8,102717,12,0,159462372,1622,1,0,4,864,325630411,5,1302521644,11,27,6,7,332,810,0,0,0,141578463,2853140,5690825873,0,810,788,0,3,1,14,14,1441,3,1,5686407167,5452945771,212235313,330389749,330406133,1,3,1,17179415012,73389,73389,14,14,14,330373369,10,3,204051,2179279,2805323,47144,5686407167,2126953,138778196,2707
248415.37,33,253952,62,268487,17689540168,11,69092247,1843,14,14,4030,1783,12,810,2192464,0,8,105324,12,0,160077738,1622,1,0,4,864,333868403,5,1335473612,11,28,6,7,332,810,0,0,0,145513294,2938142,5846531346,0,810,788,0,3,1,14,14,1441,3,1,5841325681,5591480935,217211543,338728317,338728317,1,3,1,17613872516,73389,73389,14,14,14,338728321,10,3,206780,2246346,2878998,48468,5841325681,2192464,142639488,2707
250426.07,34,253952,62,275279,18136965286,11,71395807,1879,14,14,4030,1814,12,810,2258412,0,8,107966,12,0,160994754,1622,1,0,4,864,342269372,5,1369077488,11,28,6,7,332,810,0,0,0,149536212,3119781,6001395557,0,810,788,0,3,1,14,14,1441,3,1,5996575528,5733213172,223700550,347282036,347282036,1,3,1,18058665904,73389,73389,14,14,14,347282040,10,3,209519,2313858,2957906,49735,5996575528,2258412,146583639,2707
252437.46,34,253952,62,282252,18596445476,11,73233824,1932,14,14,4030,1856,12,810,2323823,0,8,110693,12,0,160994754,1622,1,0,4,864,350927306,5,1403709224,11,28,6,7,332,810,0,0,0,153694701,3343001,6158101470,0,810,788,0,3,1,14,14,1441,3,1,6153006769,5879025833,229907807,356046588,356062972,1,3,1,18514422608,73389,73389,14,14,14,356046592,10,3,212692,2380842,3038800,51039,6153006769,2323823,150661379,2707
254443.03,43,253952,62,288908,19035488602,11,74657241,1979,14,14,4030,1904,12,810,2380426,0,8,113301,12,0,160994754,1622,1,0,4,864,359194922,5,1436779688,11,28,6,7,332,810,0,0,0,157392411,3449494,6308319172,0,810,788,0,3,1,14,14,1441,3,1,6302961179,6017978674,235105145,364432149,364432149,1,3,1,18950471780,73389,73389,14,14,14,364432153,10,3,217003,2438815,3112825,52299,6302961179,2380426,154285203,2707
256450.30,43,253952,62,294438,19399809110,12,77199678,1989,14,14,4030,1934,12,810,2415464,0,8,115466,12,0,161308470,1622,1,0,4,864,366080388,5,1464321552,11,28,6,7,332,810,0,0,0,159883011,3457582,6429513610,0,810,788,0,3,1,14,14,1441,3,1,6424065732,6133330926,240165061,371398779,371415163,1,3,1,19312736540,73389,73389,14,14,14,371398783,10,3,217934,2474744,3150819,53299,6424065732,2415464,156737900,2707
258461.45,43,253952,62,301224,19846165316,12,78763951,2016,15,15,4030,1985,12,828,2482067,0,8,118108,12,0,164248731,1658,1,0,4,864,374445770,5,1497653880,11,29,6,7,332,828,0,0,0,163912287,3554184,6585540963,0,828,806,0,3,1,14,14,1441,3,1,6580482597,6275339474,245775919,379899472,379899472,1,3,1,19754772576,73389,73389,14,14,14,379899476,10,3,221254,2542870,3236741,54609,6580482597,2482067,160681386,2784
260469.80,43,253952,62,308062,20296174144,12,80669811,2046,15,15,4030,2018,12,864,2548608,0,8,120766,12,0,170558524,1730,1,0,4,864,382881972,5,1531527888,11,29,6,7,332,864,0,0,0,167961275,3680570,6739402794,0,864,841,0,3,1,14,14,1441,3,1,6733921824,6417960543,251935579,388488118,388488118,1,3,1,20200530200,73389,73389,14,14,14,388471738,10,3,224474,2610990,3305737,55866,6733921824,2548608,164661512,2929
262479.78,43,253952,62,315039,20756464410,12,82464779,2081,15,15,4030,2079,12,927,2621043,0,8,123512,12,0,181561516,1856,1,0,4,864,391550229,5,1566200916,11,29,6,7,332,927,0,0,0,172095904,3840153,6902044027,0,927,916,0,3,1,14,14,1441,3,1,6896182440,6563975517,257961651,397248352,397248352,1,3,1,20656914336,73389,73389,14,14,14,397248356,10,3,228723,2685063,3389664,57242,6896182440,2621043,168712360,3165
264489.82,43,253952,62,322071,21219331770,12,84191631,2129,15,15,4030,2110,12,963,2688972,0,8,126235,12,0,188183952,1928,1,0,4,864,400214832,5,1600859328,11,29,6,7,332,963,0,0,0,176240405,4012677,7060402039,0,963,957,0,3,1,14,14,1441,3,1,7054642428,6711120501,264041729,406070248,406070248,1,3,1,21115652928,73389,73389,14,14,14,406070252,10,3,230709,2754628,3469425,58531,7054642428,2688972,172777247,3312
266494.98,44,253952,62,328010,21610227248,13,86431054,2160,15,15,4030,2162,12,1008,2732175,0,8,128550,12,0,196129905,2018,1,0,4,864,407497027,5,1629988108,11,29,6,7,332,1008,0,0,0,179027467,4066981,7197593943,0,1008,973,0,3,1,14,14,1441,3,1,7191220185,6835177328,269126053,413522365,413522365,1,3,1,21503163012,73389,73389,14,14,14,413522369,10,3,232342,2798969,3528490,59693,7191220185,2732175,175505356,3428
268505.21,44,253952,62,334337,22028767164,13,87934653,2174,16,16,4030,2188,12,1026,2784569,2,8,131044,12,0,199709393,2054,1,0,4,864,415439099,5,1661756396,11,30,6,7,332,1026,0,0,0,182447441,4107870,7337979974,0,1024,990,2,3,1,14,14,1441,3,1,7331619985,6967646197,274088511,421528491,421544875,1,3,1,21919481564,73389,73389,14,14,14,421528495,10,3,236028,2852648,3579389,60833,7331619985,2784569,178874554,3495
270510.71,45,253952,62,341096,22473365964,13,89532610,2211,16,16,4030,2246,12,1026,2849505,2,8,133665,12,0,200035175,2054,1,0,4,864,423715865,5,1694863460,11,30,6,7,332,1026,0,0,0,186224075,4194836,7497802540,0,1024,990,2,3,1,14,14,1441,3,1,7491831689,7109249650,279541504,429971840,429971840,1,3,1,22358535712,73389,73389,14,14,14,429971844,10,3,238105,2919149,3656304,62190,7491831689,2849505,182574415,3495
272520.41,45,253952,62,345780,22781881036,15,92119619,2224,17,17,4030,2262,12,1026,2878541,2,8,135487,12,0,200035175,2054,1,0,4,864,429552636,5,1718210544,11,31,6,7,332,1026,0,0,0,188377145,4199738,7597710862,0,1024,990,2,3,1,14,14,1441,3,1,7591651248,7206724572,284280087,435892053,435892053,1,3,1,22666386788,73389,73389,14,14,14,435892057,10,3,245558,2948984,3709301,62992,7591651248,2878541,184674578,3495
274532.69,46,253952,62,351503,23157957108,15,93242767,2277,19,19,4030,2310,12,1026,2925317,2,8,137737,13,0,200674673,2054,1,0,4,864,436654283,5,1746617132,12,33,6,7,339,1026,0,0,0,191400253,4366173,7730048416,0,1024,990,2,3,1,14,14,1441,3,1,7724526621,7325979531,288586270,443061768,443061768,1,3,1,23038360000,73389,73389,14,14,14,443045388,10,3,250886,2996963,3785974,64121,7724526621,2925317,187621129,3495
