timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1002119.82,253952,62,168887,11126496596,3,20807975,0,452,5,5,4769,1142,1,648,789275,0,33,66390,19,15,130104158,1298,1,0,4,857,210445397,6,841716916,18,19,14,83,648,0,0,61868407,1667,3579746475,0,648,412,0,3,1,14,14,1328,3,3577849355,3510015079,82668383,213493705,213493705,1,3,1,11101672692,73389,73389,14,14,14,213493709,5,3,122836,810901,1034715,29816,3577849355,789275,60835965,1352
1004123.92,253952,62,176951,11659648442,3,22275801,0,473,6,6,4769,1170,1,648,827577,0,33,69549,19,15,130417874,1298,1,0,4,857,220525732,6,882102928,18,20,14,83,648,0,0,64979269,1714,3746234551,0,648,412,0,3,1,14,14,1328,3,3745580795,3678030815,87203099,223734088,223734088,1,3,1,11633320640,73389,73389,14,14,14,223717708,5,3,126018,850266,1078626,31181,3745580795,827577,63903027,1352
1006128.16,253952,62,184496,12155987792,4,24575593,0,509,7,7,4769,1236,1,657,867679,0,33,72526,19,15,131859027,1316,1,0,4,857,229906514,6,919561228,18,21,14,83,657,0,0,67930689,1750,3918523653,0,657,416,0,3,1,14,14,1328,3,3916800626,3834681062,92483808,233264814,233264814,1,3,1,12129770360,73389,73389,14,14,14,233264818,5,3,129306,891436,1137550,32621,3916800626,867679,66795638,1370
1008132.78,253952,62,194967,12845086956,4,26321164,0,555,7,7,4769,1298,1,657,928340,0,33,76622,19,15,131859027,1316,1,0,4,857,242908605,6,971634420,18,21,14,83,657,0,0,72228946,1818,4139744687,0,657,416,0,3,1,14,14,1328,3,4137448488,4052403372,98540724,246453046,246453046,1,3,1,12815558424,73389,73389,14,14,14,246453050,5,3,135633,953656,1230457,34460,4137448488,928340,71001155,1370
1010137.01,253952,62,205684,13552129942,4,27993493,0,615,7,7,4769,1371,1,657,991114,0,33,80850,19,15,131859027,1316,1,0,4,857,256316973,6,1025203192,18,21,14,83,657,0,0,76539992,1868,4365560573,0,657,416,0,3,1,14,14,1328,3,4363888566,4275354684,104483330,260035765,260035765,1,3,1,13521859812,73389,73389,14,14,14,260035769,5,3,139831,1018063,1318434,36338,4363888566,991114,75224382,1370
1012141.62,253952,62,216462,14262012288,4,29739954,0,652,7,7,4769,1457,1,657,1054242,0,33,85073,19,15,132172743,1316,1,0,4,857,269635577,6,1078542308,18,21,14,83,657,0,0,80808999,1912,4601212455,0,657,416,0,3,1,14,14,1328,3,4598726337,4500098015,110538378,273594352,273594352,1,3,1,14226906336,73389,73389,14,14,14,273594356,5,3,142630,1082884,1389372,38332,4598726337,1054242,79422619,1370
1014146.58,253952,62,227198,14970565910,4,31472937,0,691,7,7,4769,1505,1,675,1112618,0,33,89281,19,15,135483020,1352,1,0,4,857,283073977,6,1132231408,18,21,14,83,675,0,0,85061867,1987,4821053640,0,675,424,0,3,1,14,14,1328,3,4819567230,4723586528,116523595,287174912,287191296,1,3,1,14933095456,73389,73389,14,14,14,287174916,5,3,146035,1142823,1449262,40127,4819567230,1112618,83615750,1413
1016151.20,253952,62,238011,15682164258,4,33236505,0,733,7,7,4769,1591,1,720,1173340,0,33,93539,19,15,143302336,1442,1,0,4,857,296517234,6,1186004280,18,21,14,83,720,0,0,89313524,2052,5064741228,0,720,441,0,3,1,14,14,1328,3,5062076596,4948193122,122538893,300842154,300858538,1,3,1,15643792040,73389,73389,14,14,14,300842158,5,3,149217,1205238,1510323,42173,5062076596,1173340,87806506,1523
1018155.61,253952,62,248670,16383737374,4,35086906,0,755,7,7,4769,1639,1,738,1225392,0,33,97697,19,15,146499728,1478,1,0,4,857,309757704,6,1238966112,18,21,14,83,738,0,0,93462389,2126,5286287438,0,738,450,0,3,1,14,14,1328,3,5283212793,5169835975,128537267,314269669,314286053,1,3,1,16342022820,73389,73389,14,14,14,314269673,5,3,151584,1258745,1563178,43983,5283212793,1225392,91902667,1562
1020160.28,253952,62,259474,17094075400,4,36755214,0,772,7,7,4769,1722,2,828,1285075,4,33,101948,19,15,162083541,1658,1,0,4,857,323152683,6,1292610732,18,21,14,83,828,0,0,97555101,2270,5523777040,0,824,508,4,3,1,14,14,1328,3,5521539850,5394479432,134298621,327874164,327874164,1,3,1,17049456560,73389,73389,14,14,14,327874168,5,3,153481,1320027,1641222,46017,5521539850,1285075,95917481,1762
1022164.45,253952,62,268389,17680862700,5,39193315,0,809,7,7,4769,1760,2,828,1331348,4,33,105428,19,15,162083541,1658,1,0,4,857,334281274,6,1337125096,18,21,14,83,828,0,0,100927400,2312,5709576777,0,824,508,4,3,1,14,14,1328,3,5707202901,5579330617,140107807,339161852,339161852,1,3,1,17636416336,73389,73389,14,14,14,339161856,5,3,155449,1367535,1691139,47530,5707202901,1331348,99239994,1762
1024168.11,253952,62,277864,18305605024,5,40992791,0,820,8,8,4769,1836,2,846,1383622,4,33,109147,19,15,165093632,1694,1,0,4,857,346030255,6,1384056368,18,22,14,83,846,0,0,104440836,2399,5921710048,0,842,520,4,3,1,14,14,1328,3,5918964163,5777346394,145321882,351079880,351079880,1,3,1,18256153792,73389,73389,14,14,14,351079884,5,3,158906,1421213,1743054,49314,5918964163,1383622,102701642,1799
1026171.85,253952,62,288697,19020274318,5,42961647,0,831,8,8,4769,1920,2,846,1437971,4,33,113417,19,15,165419414,1694,1,0,4,857,359485774,6,1437943096,18,22,14,83,846,0,0,108500060,2504,6165848216,0,842,520,4,3,1,14,14,1328,3,6161980387,6003653036,151449765,364744519,364744519,1,3,1,18966715020,73389,73389,14,14,14,364744523,5,3,159771,1477098,1815021,51374,6161980387,1437971,106689042,1799
1028175.72,253952,62,299963,19762053770,5,44892990,0,848,8,8,4769,1972,2,846,1495152,4,33,117828,19,15,165708998,1694,1,0,4,857,373548337,6,1494193348,18,22,14,83,846,0,0,112556222,2667,6400630196,0,842,520,4,3,1,14,14,1328,3,6398550136,6237325881,157213198,378974850,378991234,1,3,1,19706692232,73389,73389,14,14,14,378974854,5,3,166314,1535733,1889054,53311,6398550136,1495152,110671322,1799
1030179.41,253952,62,309065,20362351166,6,46936892,0,894,8,8,4769,2039,2,864,1544161,4,33,121396,19,15,169031912,1730,1,0,4,857,384829950,6,1539319800,18,22,14,83,864,0,0,115797297,2798,6612395541,0,860,525,4,3,1,14,14,1328,3,6608124234,6427607037,162719594,390450510,390450510,1,3,1,20303426552,73389,73389,14,14,14,390450514,5,3,170268,1586017,1952060,55077,6608124234,1544161,113849527,1838
1032183.90,253952,62,318098,20958229722,6,48407619,0,933,9,9,4769,2080,2,882,1589828,4,33,124922,19,15,172028981,1766,1,0,4,857,396059293,6,1584237172,18,23,14,83,882,0,0,119002879,2890,6804772221,0,878,531,4,3,1,14,14,1328,3,6802498240,6616254307,167396588,401839932,401839932,1,3,1,20894824528,73389,73389,14,14,14,401823552,5,3,176682,1632856,2008018,56672,6802498240,1589828,116999276,1878
1034187.65,253952,62,326113,21485057276,7,50621648,0,971,10,10,4769,2144,2,900,1633321,4,33,128065,19,15,175026870,1802,1,0,4,857,406016344,6,1624000792,18,24,14,83,900,0,0,121868903,2999,6990187273,0,896,535,4,3,1,14,14,1328,3,6986600899,6783317728,172475506,411905297,411905297,1,3,1,21419075476,73389,73389,14,14,14,411905301,5,3,180108,1677494,2066057,58212,6986600899,1633321,119807366,1918
1036192.00,253952,62,334453,22034356086,8,53191149,0,996,11,11,4769,2210,2,909,1679643,4,33,131327,19,15,176525748,1820,1,0,4,857,416336242,6,1665215852,18,25,14,83,909,0,0,124880177,3073,7182633796,0,905,539,4,3,1,14,14,1328,3,7178279507,6957616761,178055720,422371626,422371626,1,3,1,21963324584,73389,73389,14,14,14,422371630,5,3,185799,1725046,2125976,59832,7178279507,1679643,122758834,1942
1038196.79,253952,62,345564,22765934156,8,55073820,0,1023,11,11,4769,2264,3,936,1741338,4,33,135661,19,15,181400573,1874,1,0,4,857,430114375,6,1720457500,18,25,14,83,936,0,0,129032818,3236,7428795107,0,932,550,4,3,1,14,14,1328,3,7424554540,7189448324,184090283,436362230,436362230,1,3,1,22690835992,73389,73389,14,14,14,436362234,5,3,191623,1788353,2211847,61835,7424554540,1741338,126825759,2008
1040200.93,253952,62,356673,23497496852,8,56834262,0,1063,11,11,4769,2344,3,954,1811571,4,33,139988,19,15,184977578,1910,1,0,4,857,443820782,6,1775218652,18,25,14,83,954,0,0,133257264,3334,7697766504,0,950,556,4,3,1,14,14,1328,3,7693767733,7422185637,190074772,450264881,450281265,1,3,1,23413773844,73389,73389,14,14,14,450264885,5,3,193849,1860412,2277792,64067,7693767733,1811571,130984406,2052
1042205.07,253952,62,367716,24225059954,8,58695658,0,1091,11,11,4769,2399,3,1035,1874518,4,33,144272,19,15,199521336,2072,1,0,4,857,457438868,6,1829755472,18,25,14,83,1035,0,0,137469186,3440,7956600452,0,1031,587,4,3,1,14,14,1328,3,7951796400,7653628820,196040314,464077420,464093804,1,3,1,24132025872,73389,73389,14,14,14,464077424,5,3,195286,1925061,2351816,66195,7951796400,1874518,135122457,2249
1044209.66,253952,62,378765,24953674452,8,60443684,0,1124,11,11,4769,2478,3,1170,1933869,4,33,148578,19,15,223047587,2342,1,0,4,857,471054719,6,1884218876,18,25,14,83,1170,0,0,141680818,3577,8216855552,0,1166,636,4,3,1,14,14,1328,3,8212031653,7886451210,202106203,477903740,477903740,1,3,1,24850994512,73389,73389,14,14,14,477903744,5,3,199136,1986122,2414706,68379,8212031653,1933869,139271356,2588
1046214.57,253952,62,389822,25682499522,8,62244334,0,1163,11,11,4769,2536,3,1224,1994298,4,33,152865,19,15,232365986,2450,1,0,4,857,484650268,6,1938601072,18,25,14,83,1224,0,0,145927571,3694,8477414505,0,1220,659,4,3,1,14,14,1328,3,8472828916,8118766504,208152585,491724027,491724027,1,3,1,25569649436,73389,73389,14,14,14,491724031,5,3,201003,2048281,2469838,70543,8472828916,1994298,143463130,2725
1048219.08,253952,62,400765,26402885022,8,63955248,0,1207,11,11,4769,2618,3,1377,2061929,4,33,157122,19,15,259121360,2756,1,0,4,857,498115015,6,1992460060,18,25,14,83,1377,0,0,150192501,3798,8744752187,0,1373,742,4,3,1,14,14,1328,3,8740665556,8348559245,214126839,505383077,505383077,1,3,1,26279920036,73389,73389,14,14,14,505383081,5,3,205478,2117676,2555874,72771,8740665556,2061929,147642166,3097
1050223.55,253952,62,411624,27119468336,8,65819368,0,1239,11,11,4769,2675,3,1458,2128935,4,33,161328,19,15,273279765,2918,1,0,4,857,511464922,6,2045859688,18,25,14,83,1458,0,0,154395849,3917,9001746811,0,1454,791,4,3,1,14,14,1328,3,8998535901,8576973847,220193952,518969670,518986054,1,3,1,26986422872,73389,73389,14,14,14,518969674,5,3,209988,2186466,2639932,74872,8998666973,2128977,151761616,3315
1052228.44,253952,62,422391,27828198596,8,67384439,0,1271,11,11,4769,2756,3,1566,2198207,4,33,165508,19,15,292268797,3134,1,0,4,857,524687336,6,2098684896,18,25,14,83,1566,0,0,158598062,4013,9269270814,0,1562,834,4,3,1,14,14,1328,3,9264091435,8803608057,225932667,532366576,532366576,1,3,1,27683061984,73389,73389,14,14,14,532366580,5,3,212343,2257525,2713980,77088,9264091435,2198207,155889936,3605
1054232.72,253952,62,429065,28268095588,9,69918897,0,1296,11,11,4769,2806,3,1737,2238510,4,33,168107,19,15,321680751,3476,1,0,4,857,532894894,6,2131579576,18,25,14,83,1737,0,0,161080068,4092,9434874694,0,1733,876,4,3,1,14,14,1328,3,9429077900,8944038361,230976622,540688760,540688760,1,3,1,28115815552,73389,73389,14,14,14,540688764,5,3,215733,2298868,2754938,78479,9429077900,2238510,158331077,3993
1056238.18,253952,62,436669,28769218578,9,71193264,0,1334,12,12,4769,2843,3,1845,2280388,4,33,171070,19,15,340907042,3692,1,0,4,857,542339374,6,2169357496,18,26,14,83,1845,0,0,164086798,4168,9603281438,0,1841,961,4,3,1,14,14,1328,3,9598035688,9102774296,235147150,550270353,550270353,1,3,1,28614058388,73389,73389,14,14,14,550270357,5,3,219575,2341959,2810897,79856,9598035688,2280388,161281964,4227
1058242.78,253952,62,446788,29435924766,9,72913299,0,1380,12,12,4769,2915,3,2016,2347111,4,33,175011,19,15,370408719,4034,1,0,4,857,554818234,6,2219272936,18,26,14,83,2016,0,0,168386187,4276,9849546382,0,2012,1113,4,3,1,14,14,1328,3,9844106115,9315323788,241276056,562911436,562911436,1,3,1,29271394704,73389,73389,14,14,14,562911440,5,3,223299,2410508,2883915,81894,9844106115,2347111,165508502,4679
1060247.61,253952,62,457227,30123759332,9,74661765,0,1424,12,12,4769,2973,3,2025,2405871,4,33,179073,19,15,373101712,4052,1,0,4,857,567730751,6,2270858120,18,26,14,83,2025,0,0,172667419,4408,10089448842,0,2021,1120,4,3,1,14,14,1328,3,10083707656,9533819612,247304600,576025496,576025496,1,3,1,29953325824,73389,73389,14,14,14,576025500,5,3,227134,2471124,2960876,83853,10083707656,2405871,169712935,4703
1062251.96,253952,62,465746,30684814750,10,76793068,0,1472,12,12,4769,3032,3,2304,2457253,4,33,182395,19,15,420599947,4610,1,0,4,857,578251427,6,2313005708,18,26,14,83,2304,0,0,176150669,4497,10297604174,0,2300,1261,4,3,1,14,14,1328,3,10291068121,9712525757,252916383,586678082,586678082,1,3,1,30507260296,73389,73389,14,14,14,586678086,5,3,229701,2524001,3023854,85574,10291068121,2457253,173133344,5349
1064256.95,253952,62,473742,31211688182,11,78558806,0,1501,14,14,4769,3082,3,2484,2505378,4,33,185524,19,15,452709175,4970,1,0,4,857,588229667,6,2352918668,18,28,14,83,2484,0,0,179499220,4557,10480132524,0,2480,1369,4,3,1,14,14,1328,3,10474379330,9879992289,258031972,596718427,596718427,1,3,1,31029358236,73389,73389,14,14,14,596718431,5,3,235916,2573410,3078811,87067,10474379330,2505378,176427072,5803
1064843.45,253952,62,476385,31385828912,12,79067014,1,1512,14,14,4769,3127,3,2484,2522017,4,33,186584,26,15,460978730,4977,1,1225,4,857,591599349,6,2366397396,25,35,18,105,2484,1225,81,180759806,4605,10539149489,8,2480,1369,4,3,1,14,14,1328,3,10532419514,9935111598,354591370,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,5,3,236156,2590476,3096799,87510,10532419514,2522017,177669724,5803
