timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
389168.40,6,253952,62,94195,6204674462,1,15867549,0,595,4,4,5141,646,0,585,548750,28,37034,19,30,114372532,1172,1,0,4,851,117388738,5,469554952,18,18,8,14,100,585,0,0,42821954,64464,2000187096,0,585,331,3,1,14,14,1320,0,3,1999887189,1956598870,58730607,119096262,119112646,1,3,1,0,6193005656,73389,73389,14,14,14,119096266,6,3,115487,563230,802949,16617,1999887189,548750,42020840,1368
391176.44,6,253952,62,102235,6733574792,1,17183420,0,685,4,4,5141,713,0,585,607223,28,40197,19,30,115410208,1172,1,0,4,851,127374828,5,509434572,18,18,8,14,100,585,0,0,47500758,114180,2161124739,0,585,331,3,1,14,14,1320,0,3,2159905550,2123373099,64760099,129257772,129257772,1,3,1,0,6721404176,73389,73389,14,14,14,129257776,6,3,120417,623143,882979,17968,2159905550,607223,46619785,1368
393188.82,7,253952,62,110162,7257084576,1,18533197,0,772,4,4,5141,746,0,594,669306,28,43321,19,30,119925368,1190,1,0,4,851,137346452,5,549385808,18,18,8,14,100,594,0,0,52122679,179319,2324851297,0,594,340,3,1,14,14,1320,0,3,2323332415,2288119249,70787497,139338633,139338633,1,3,1,0,7245608948,73389,73389,14,14,14,139338637,6,3,124472,686659,960917,19288,2323332415,669306,51163933,1404
395197.72,9,253952,62,117934,7768409192,1,19846639,0,854,4,4,5141,825,1,612,740235,28,46388,19,30,123548997,1226,1,0,4,851,146979758,5,587919032,18,18,8,14,100,612,0,0,56759282,299052,2497867958,0,612,352,3,1,14,14,1320,0,3,2496054874,2449698356,76824591,149109086,149125470,1,3,1,0,7753672504,73389,73389,14,14,14,149109090,6,3,126542,759317,1038480,20774,2496054874,740235,55723136,1468
397208.05,9,253952,62,125574,8272458580,1,21113293,0,939,4,4,5141,856,1,612,807850,28,49387,19,30,123548997,1226,1,0,4,851,156551566,5,626206264,18,18,8,14,100,612,0,0,61368685,458514,2658405284,0,612,352,3,1,14,14,1320,0,3,2656694691,2608340236,82829940,158817433,158817433,1,3,1,0,8258506548,73389,73389,14,14,14,158817437,6,3,129769,828518,1131606,22066,2656694691,807850,60239570,1468
399212.99,9,253952,62,131945,8691894864,2,23226559,0,981,4,4,5141,880,1,612,854864,28,51872,19,30,123862713,1226,1,0,4,851,164486639,5,657881884,18,18,8,14,100,612,0,0,64689228,500079,2786977956,0,612,352,3,1,14,14,1320,0,3,2784767397,2740456143,88303218,166865407,166865407,1,3,1,0,8677001196,73389,73389,14,14,14,166865411,6,3,133568,876685,1197649,23108,2784767397,854864,63494189,1468
401220.92,10,253952,62,138063,9095377972,2,24859588,0,1012,5,5,5141,937,1,612,893854,28,54295,19,30,123862713,1226,1,0,4,851,172112137,5,688384016,18,19,8,14,100,612,0,0,67514121,510757,2920515372,0,612,352,3,1,14,14,1320,0,3,2918309149,2867751891,92755191,174599926,174616310,1,3,1,0,9079196184,73389,73389,14,14,14,174599930,6,3,140761,916748,1241500,24238,2918309149,893854,66275341,1468
403229.35,15,253952,62,145936,9614579774,2,26196684,0,1078,5,5,5141,980,2,648,958043,28,57384,19,30,130484994,1298,1,0,4,851,181883757,5,727535028,18,19,8,14,100,648,0,0,71947249,766793,3087495404,0,648,392,3,1,14,14,1320,0,3,3085255174,3031738405,98787690,184560066,184560066,1,3,1,0,9597123464,73389,73389,14,14,14,184560070,6,3,146630,982553,1330020,25610,3085255174,958043,70620119,1600
405236.08,16,253952,62,153809,10133983512,2,27506285,0,1160,5,5,5141,1051,9,648,1028961,28,60500,19,30,130798710,1298,1,0,4,851,191699476,5,766797904,18,19,8,14,100,648,0,0,76510836,941258,3257881476,0,648,392,3,1,14,14,1320,0,3,3255081420,3195750736,104801642,194514173,194514173,1,3,1,0,10114737028,73389,73389,14,14,14,194514177,6,3,151243,1055101,1415031,27063,3255081420,1028961,75098856,1600
407249.02,17,253952,62,161938,10669259516,2,28767831,0,1250,5,5,5141,1086,9,648,1099217,28,63676,19,30,130798710,1298,1,0,4,851,201842633,5,807370532,18,19,8,14,100,648,0,0,81159053,1086984,3423319041,0,648,392,3,1,14,14,1320,0,3,3420730782,3364261077,110839539,204802437,204802437,1,3,1,0,10649726756,73389,73389,14,14,14,204802441,6,3,156040,1126954,1494023,28397,3420730782,1099217,79668261,1600
409259.14,19,253952,62,169893,11193397708,2,30105234,0,1336,5,5,5141,1130,9,657,1166383,28,66801,19,30,132297715,1316,1,0,4,851,211757935,5,847031740,18,19,8,14,100,657,0,0,85742844,1227899,3591249443,0,657,402,3,1,14,14,1320,0,3,3588373385,3529335031,116857117,214875550,214891934,1,3,1,0,11172676664,73389,73389,14,14,14,214859170,6,3,161188,1195719,1575902,29780,3588373385,1166383,84170337,1632
411269.36,20,253952,62,177768,11712003436,2,31393583,0,1421,5,5,5141,1201,9,657,1236742,28,69907,19,30,132297715,1316,1,0,4,851,221561665,5,886182052,18,19,8,14,100,657,0,0,90322284,1420581,3763601333,0,657,402,3,1,14,14,1320,0,3,3760565788,3693352379,122905929,224803366,224819750,1,3,1,0,11689775064,73389,73389,14,14,14,224803370,6,3,169360,1267731,1673070,31236,3760565788,1236742,88652776,1632
413280.08,20,253952,62,185884,12246137888,2,32611195,0,1500,5,5,5141,1238,9,657,1304778,28,73069,19,30,132309781,1316,1,0,4,851,231662105,5,926583980,18,19,8,14,100,657,0,0,94984215,1591004,3934764214,0,657,402,3,1,14,14,1320,0,3,3931302043,3861696229,128948783,235061021,235061021,1,3,1,0,12223173124,73389,73389,14,14,14,235061025,6,3,173072,1337388,1747992,32618,3931302043,1304778,93239968,1632
415287.43,22,253952,62,194036,12783500388,2,33842019,0,1579,5,5,5141,1312,9,657,1375700,28,76298,19,30,132309781,1316,1,0,4,851,241814827,5,967194692,18,19,8,14,100,657,0,0,99662814,1723991,4110725703,0,657,402,3,1,14,14,1320,0,3,4106946239,4031506269,134971276,245353159,245353159,1,3,1,0,12758364300,73389,73389,14,14,14,245353163,6,3,174828,1410031,1835954,34121,4106946239,1375700,97830771,1632
417303.36,22,253952,62,202278,13325844112,2,35157698,0,1668,5,5,5141,1349,9,666,1444226,28,79516,19,30,133750934,1334,1,0,4,851,252065492,5,1008261968,18,19,8,14,100,666,0,0,104320469,1820856,4286392705,0,666,413,3,1,14,14,1320,0,3,4282570831,4202435504,140994831,255774654,255774654,1,3,1,0,13299430072,73389,73389,14,14,14,255758274,6,3,176390,1480221,1905984,35541,4282570831,1444226,102418569,1665
419312.73,22,253952,62,210444,13864244776,2,36230445,0,1756,5,5,5141,1394,9,666,1523616,28,82706,19,30,133750934,1334,1,0,4,851,262204960,5,1048755100,18,19,8,14,100,666,0,0,109126890,2000511,4465817870,0,666,413,3,1,14,14,1320,0,3,4462084018,4373084671,147040158,266058600,266058600,1,3,1,0,13835047232,73389,73389,14,14,14,266058604,6,3,177454,1561299,2003816,37024,4462084018,1523616,107127325,1665
421319.83,23,253952,62,218903,14421183858,2,37299709,0,1852,5,5,5141,1466,9,675,1600832,28,86025,19,30,135250071,1352,1,0,4,851,272688329,5,1090632572,18,19,8,14,100,675,0,0,114001289,2123988,4656858437,0,675,430,3,1,14,14,1320,0,3,4652551402,4549293818,153085012,276707312,276707312,1,3,1,0,14388780256,73389,73389,14,14,14,276707316,6,3,179095,1640354,2089551,38638,4652551402,1600832,111916177,1700
423327.49,24,253952,62,227267,14973007092,2,38433743,0,1942,5,5,5141,1507,9,675,1673544,28,89323,19,30,135563787,1352,1,0,4,851,283161784,5,1132647136,18,19,8,14,100,675,0,0,118785489,2214300,4827056933,0,675,430,3,1,14,14,1320,0,3,4823337978,4722976831,159048568,287314620,287314620,1,3,1,0,14939508304,73389,73389,14,14,14,287298240,6,3,180380,1714671,2178260,40025,4823337978,1673544,116611844,1700
425335.61,25,253952,62,235473,15514258450,2,39498541,0,2045,5,5,5141,1553,9,684,1750833,28,92545,19,30,137062688,1370,1,0,4,851,293412481,5,1173649924,18,19,8,14,100,684,0,0,123685439,2317416,5005249775,0,684,444,3,1,14,14,1320,0,3,5001001871,4893686826,165112926,297694711,297711095,1,3,1,0,15480125004,73389,73389,14,14,14,297694715,6,3,181836,1793726,2273308,41485,5001001871,1750833,121416920,1730
427343.28,26,253952,62,244006,16076167612,2,40611151,0,2139,5,5,5141,1623,9,720,1823538,28,95905,19,30,143402094,1442,1,0,4,851,303996051,5,1215984204,18,19,8,14,100,720,0,0,128520087,2409002,5187773466,0,720,1030,3,1,14,14,1320,0,3,5183979151,5071379031,171128832,308461985,308461985,1,3,1,0,16040023252,73389,73389,14,14,14,308461989,6,3,183555,1868138,2344292,43033,5183979151,1823538,126180766,1870
429357.17,29,253952,62,252631,16645204336,2,41656866,0,2238,5,5,5141,1670,9,720,1897142,28,99297,19,30,143426226,1442,1,0,4,851,314794067,5,1259176268,18,19,8,14,100,720,0,0,133417597,2522332,5372281584,0,720,1030,3,1,14,14,1320,0,3,5367789150,5250558583,177153217,319380589,319396973,1,3,1,0,16607790660,73389,73389,14,14,14,319380593,6,3,185699,1943458,2435395,44532,5367789150,1897142,130987364,1870
431362.22,30,253952,62,260609,17171151506,2,42689368,0,2308,5,5,5141,1733,9,765,1959926,28,102430,19,30,151210816,1532,1,0,4,851,324706992,5,1298827968,18,19,8,14,100,765,0,0,137580815,2569707,5549188302,0,765,1069,3,1,14,14,1320,0,3,5544272599,5417240083,182379194,329435159,329435159,1,3,1,0,17130628300,73389,73389,14,14,14,329435163,6,3,187645,2007739,2508490,46024,5544272599,1959926,135077639,1986
433371.68,30,253952,62,266819,17579396996,3,45229601,0,2330,6,6,5141,1761,9,765,1999647,28,104857,19,30,151524532,1532,1,0,4,851,332428658,5,1329650036,18,20,8,14,100,765,0,0,140456167,2595265,5680074941,0,765,1069,3,1,14,14,1320,0,3,5674788318,5545853350,187816535,337282651,337282651,1,3,1,0,17538697884,73389,73389,14,14,14,337282655,6,3,194841,2048423,2571241,47080,5674788318,1999647,137890348,1986
435384.93,30,253952,62,275217,18132338382,3,46325870,0,2417,6,6,5141,1829,9,765,2078467,28,108154,19,30,151524532,1532,1,0,4,851,342830127,5,1371320508,18,20,8,14,100,765,0,0,145202189,2815391,5867633006,0,765,1069,3,1,14,14,1320,0,3,5862167856,5720942882,193853811,347849443,347849443,1,3,1,0,18088171068,73389,73389,14,14,14,347849447,6,3,195556,2128983,2672246,48655,5862167856,2078467,142535546,1986
437397.62,31,253952,62,283819,18699831580,4,48429806,0,2509,7,7,5141,1872,9,765,2150007,28,111521,20,30,151524532,1532,1,0,4,851,353546728,5,1414122392,19,21,8,14,111,765,0,0,150018764,2931646,6049068021,0,765,1069,3,1,14,14,1320,0,3,6044730090,5900159080,200849169,358702511,358735279,1,3,1,0,18652530604,73389,73389,14,14,14,358702515,6,3,201549,2202193,2764344,50142,6044730090,2150007,147260205,1986
439406.35,31,253952,62,292798,19290801118,4,49505554,0,2603,7,7,5141,1924,9,765,2222834,28,115036,20,30,151548664,1532,1,0,4,851,364709411,5,1458837644,19,21,8,14,111,765,0,0,154926251,3015631,6244330211,0,765,1069,3,1,14,14,1320,0,3,6238883842,6086923098,206922512,370039351,370039351,1,3,1,0,19242046284,73389,73389,14,14,14,370039355,6,3,205090,2276707,2857299,51736,6238883842,2222834,152074924,1986
441410.77,31,253952,62,299386,19724772430,5,51335971,0,2645,7,7,5141,1977,9,765,2267979,28,117630,20,30,152151964,1532,1,0,4,851,372931612,5,1491726448,19,21,8,14,111,765,0,0,157998487,3028473,6388988014,0,765,1069,3,1,14,14,1320,0,3,6383432152,6223880360,211837668,378363694,378363694,1,3,1,0,19674912120,73389,73389,14,14,14,378363698,6,3,206527,2322945,2917283,52953,6383432152,2267979,155087303,1986
443415.80,31,253952,62,306853,20215674190,5,53092628,0,2688,8,8,5141,2013,9,765,2321712,28,120536,20,30,152465680,1532,1,0,4,851,382176003,5,1528704012,19,22,8,14,111,765,0,0,161694905,3070002,6551440083,0,765,1069,3,1,14,14,1320,0,3,6545334195,6379274445,217327227,387757315,387757315,1,3,1,0,20163380412,73389,73389,14,14,14,387757319,6,3,212584,2378002,2983163,54275,6545334195,2321712,158717985,1986
445421.07,32,253952,62,312124,20563117402,7,55862548,0,2705,9,9,5141,2057,9,765,2352928,28,122605,20,30,152465680,1532,1,0,4,851,388722260,5,1554824484,19,23,8,14,111,765,0,0,163881818,3070170,6674703079,0,765,1069,3,1,14,14,1320,0,3,6668510517,6489359930,222283958,394379881,394379881,1,3,1,0,20507753844,73389,73389,14,14,14,394379885,6,3,217811,2410091,3027175,55318,6668510517,2352928,160860975,1986
447431.15,32,253952,62,319724,21065800214,7,56876970,0,2779,10,10,5141,2099,9,765,2421709,28,125603,20,30,152465680,1532,1,0,4,851,398238257,5,1592953028,19,24,8,14,111,765,0,0,168452181,3185430,6833676813,0,765,1069,3,1,14,14,1320,0,3,6827327452,6647870044,227971661,404030440,404030440,1,3,1,0,21009582912,73389,73389,14,14,14,404030444,6,3,226925,2480434,3135965,56623,6827327452,2421709,165322704,1986
449439.05,33,253952,62,327414,21572722774,7,58052959,0,2878,10,10,5141,2146,9,774,2496717,28,128623,20,30,153963988,1550,1,0,4,851,407807692,5,1631230768,19,24,8,14,111,774,0,0,173195631,3295790,7003421062,0,774,1077,3,1,14,14,1320,0,3,6997040409,6807999180,233982528,413738787,413738787,1,3,1,0,21514416956,73389,73389,14,14,14,413738791,6,3,228127,2558878,3236977,58030,6997040409,2496717,169965303,2029
451444.90,34,253952,62,333410,21966769186,8,60414684,0,2912,10,10,5141,2188,9,783,2538975,28,130957,20,30,155487366,1568,1,0,4,851,415203616,5,1660814464,19,24,8,14,111,783,0,0,176022007,3307315,7139720877,0,783,1086,3,1,14,14,1320,0,3,7133594573,6933025871,239179420,421240056,421256440,1,3,1,0,21904482944,73389,73389,14,14,14,421240060,6,3,232831,2602248,3298033,59174,7133594573,2538975,172730737,2059
453449.55,34,253952,62,338858,22325365828,8,62107516,0,2942,10,10,5141,2214,9,783,2572565,28,133092,20,30,156090666,1568,1,0,4,851,422009166,5,1688036664,19,24,8,14,111,783,0,0,178462330,3307373,7257128677,0,783,1086,3,1,14,14,1320,0,3,7250820025,7046058081,243311514,428143309,428143309,1,3,1,0,22263452100,73389,73389,14,14,14,428143313,6,3,235617,2636722,3337938,60132,7250820025,2572565,175131260,2059
455458.71,36,253952,62,345039,22733001836,8,63642462,0,2978,11,11,5141,2264,9,792,2621889,28,135514,20,30,157902224,1586,1,0,4,851,429649277,5,1718532468,19,25,8,14,111,792,0,0,181757263,3385991,7399774004,0,792,1094,3,1,14,14,1320,0,3,7393596725,7175637698,248205680,435908437,435908437,1,3,1,0,22667238756,73389,73389,14,14,14,435908441,6,3,241953,2687277,3393926,61331,7393596725,2621889,178370322,2088
457471.51,36,253952,62,352031,23194909678,8,64999083,0,3064,11,11,5141,2303,9,792,2692680,28,138266,20,30,157902224,1586,1,0,4,851,438379782,5,1753454600,19,25,8,14,111,792,0,0,186246256,3600235,7551200318,0,792,1094,3,1,14,14,1320,0,3,7544743540,7321530471,254249344,444762657,444762657,1,3,1,0,23127658196,73389,73389,14,14,14,444762661,6,3,245720,2759617,3472617,62567,7544743540,2692680,182780767,2088
459479.80,36,253952,62,359289,23671710786,8,66332407,0,3147,11,11,5141,2362,9,801,2764475,28,141114,20,30,159412541,1604,1,0,4,851,447374245,5,1789432256,19,25,8,14,111,801,0,0,190803435,3749629,7713549062,0,801,1101,3,1,14,14,1320,0,3,7707719071,7472490886,260235007,453869558,453869558,1,3,1,0,23601217048,73389,73389,14,14,14,453869562,6,3,249334,2833060,3560476,63950,7707719071,2764475,187250244,2117
461489.94,37,253952,62,366031,24116015962,8,67872611,0,3214,11,11,5141,2397,9,801,2833519,28,143751,20,30,159714191,1604,1,0,4,851,455740340,5,1822961360,19,25,8,14,111,801,0,0,195159853,3917732,7860095556,0,801,1101,3,1,14,14,1320,0,3,7853362209,7612688940,266317388,462396542,462396542,1,3,1,0,24043768248,73389,73389,14,14,14,462380162,6,3,256208,2903599,3650486,65132,7853362209,2833519,191516794,2117
463495.13,37,253952,62,371278,24461777716,9,70087218,0,3240,11,11,5141,2424,9,810,2867764,28,145811,20,30,161212641,1622,1,0,4,851,462293868,5,1849175472,19,25,8,14,111,810,0,0,197658743,3921755,7974579020,0,810,1107,3,1,14,14,1320,0,3,7967993407,7721876225,271033495,469019108,469019108,1,3,1,0,24388993648,73389,73389,14,14,14,469019112,6,3,257620,2938727,3693436,66073,7967993407,2867764,193972839,2150
465502.59,37,253952,62,377497,24870926746,9,71939530,0,3279,12,12,5141,2469,9,810,2927707,28,148220,20,30,161526357,1622,1,0,4,851,469923002,5,1879627444,19,26,8,14,111,810,0,0,201439632,4099977,8122403291,0,810,1107,3,1,14,14,1320,0,3,8115298402,7852044857,276840355,476790713,476807097,1,3,1,0,24793117108,73389,73389,14,14,14,476790717,6,3,284744,3000063,3797393,67296,8115298402,2927707,197649898,2150
467510.37,37,253952,62,383872,25290447370,9,73526376,0,3335,12,12,5141,2512,9,846,2992666,28,150708,20,30,167835698,1694,1,0,4,851,477799226,5,1911132472,19,26,8,14,111,846,0,0,205615499,4350879,8271392380,0,846,1153,3,1,14,14,1320,0,3,8263891775,7985419951,282847181,484795568,484795568,1,3,1,0,25209369568,73389,73389,14,14,14,484795572,6,3,297134,3066607,3908410,68525,8263891775,2992666,201714891,2297
469516.02,38,253952,62,389886,25687130230,9,75017754,0,3385,12,12,5141,2543,9,909,3050626,28,153044,20,30,178663217,1820,1,0,4,851,485228527,5,1940914108,19,26,8,14,111,909,0,0,209374224,4501299,8413363570,0,909,1223,3,1,14,14,1320,0,3,8405609294,8111762843,288095107,492331320,492331320,1,3,1,0,25601228672,73389,73389,14,14,14,492331324,6,3,302170,3126014,3987051,69695,8405609294,3050626,205395101,2557
471524.17,39,253952,62,394780,26008157960,10,77842040,0,3394,12,12,5141,2582,9,1098,3087230,28,154946,20,30,210233981,2198,1,0,4,851,491242323,5,1964969292,19,26,8,14,111,1098,0,0,211666422,4503911,8531184686,0,1098,1359,3,1,14,14,1320,0,3,8523467579,8214355300,293359383,498413658,498413658,1,3,1,0,25917510248,73389,73389,14,14,14,498413662,6,3,308614,3163605,4037079,70688,8523467579,3087230,207637362,3083
473536.31,39,253952,62,401311,26439588254,10,79190880,0,3419,13,13,5141,2619,9,1125,3156139,28,157508,20,30,216249944,2252,1,0,4,851,499360339,5,1997441356,19,27,8,14,111,1125,0,0,215601065,4717900,8685489098,0,1125,1394,3,1,14,14,1320,0,3,8677637912,8351315130,298857900,506647445,506647445,1,3,1,0,26345667172,73389,73389,14,14,14,506647449,6,3,312934,3234195,4124777,71962,8677637912,3156139,211484442,3187
475541.30,39,253952,62,407090,26819937642,11,81711691,0,3455,13,13,5141,2660,9,1125,3207117,28,159755,20,30,216599858,2252,1,0,4,851,506473169,5,2025892676,19,27,8,14,111,1125,0,0,218653427,4784527,8823394561,0,1125,1394,3,1,14,14,1320,0,3,8815299545,8472293824,304493609,513878378,513878378,1,3,1,0,26721675688,73389,73389,14,14,14,513878382,6,3,315148,3289528,4185007,73102,8815299545,3207117,214476683,3187
477547.28,39,253952,62,412276,27162691112,11,83449933,0,3487,13,13,5141,2692,9,1125,3246236,28,161768,20,30,217565138,2252,1,0,4,851,512851446,5,2051405784,19,27,8,14,111,1125,0,0,221012041,4792127,8946109483,0,1125,1394,3,1,14,14,1320,0,3,8937916596,8581654534,308594263,520363395,520363395,1,3,1,0,27058896572,73389,73389,14,14,14,520363399,6,3,319995,3329726,4245975,74112,8937916596,3246236,216774426,3187
