timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
450557.91,253952,62,163914,10799293230,25,39438780,0,196,35,35,4235,140,3,675,1154470,2,5,41936,28,23,143738696,1352,1,0,27,49,8,5,1701,675,0,0,0,39263786,7180821,3205630531,0,673,482,2,2,1,14,14,587,0,1,3209399248,3160620325,150592307,245078505,245094889,1,2,1,0,10783454220,73389,73389,14,14,14,245078505,8,3,651314,1177388,2675882,24508,3209399248,1154470,36589200,1965
452563.50,253952,62,184013,12123403046,27,41438884,0,196,35,35,4235,144,3,675,1256258,2,5,47636,28,23,144269600,1352,1,0,27,49,8,5,1701,675,0,0,0,43798268,7240392,3594434026,0,673,482,2,2,1,14,14,587,0,1,3596323792,3547759992,164786224,275177123,275177123,1,2,1,0,12107793412,73389,73389,14,14,14,275177123,8,3,655392,1281694,2808818,27460,3596323792,1256258,40990924,1965
454570.22,253952,62,204613,13480877302,27,41438884,0,196,35,35,4235,147,3,675,1359861,2,5,53420,28,23,144800504,1352,1,0,27,49,8,5,1701,675,0,0,0,48351384,7242446,3992282810,0,673,482,2,2,1,14,14,587,0,1,3992685520,3944501652,175780203,306016895,306033279,1,2,1,0,13464743380,73389,73389,14,14,14,306016895,8,3,665034,1387813,2937953,30484,3992685520,1359861,45415084,1965
456577.44,253952,62,220477,14526380350,27,45429293,0,222,36,36,4235,150,3,675,1503017,2,5,57947,28,23,145331408,1352,1,0,27,50,8,5,1701,675,0,0,0,52652730,8937902,4295580641,0,673,482,2,2,1,14,14,587,0,1,4298214352,4250144782,206198295,329791733,329808117,1,2,1,0,14510836252,73389,73389,14,14,14,329791733,8,3,690280,1533337,3143995,32815,4298214352,1503017,49510513,1965
458589.84,253952,62,236581,15587346586,27,46186221,0,236,38,38,4235,152,3,675,1639286,2,5,62418,28,23,145596860,1352,1,0,27,52,8,5,1701,675,0,0,0,57294627,10994279,4605294570,0,673,482,2,2,1,14,14,587,0,1,4608199632,4560251394,222777888,353912794,353912794,1,2,1,0,15571442040,73389,73389,14,14,14,353896410,8,3,727057,1672100,3433289,35180,4608199632,1639286,53863242,1965
460604.78,253952,62,251875,16595228662,27,47870975,0,258,38,38,4235,155,3,675,1771386,2,5,66760,28,23,146127764,1352,1,0,27,52,8,5,1701,675,0,0,0,61494045,12953230,4898492392,0,673,482,2,2,1,14,14,587,0,1,4902325200,4854887088,241207084,376805055,376821439,1,2,1,0,16579422420,73389,73389,14,14,14,376805055,8,3,747242,1806588,3643795,37424,4902325200,1771386,57852274,1965
462610.35,253952,62,269680,17768467990,30,52132586,0,271,38,38,4235,158,3,675,1888591,2,5,71771,28,23,146658668,1352,1,0,27,52,8,5,1701,675,0,0,0,66306887,14495661,5242039100,0,673,482,2,2,1,14,14,587,0,1,5245471696,5197899955,264635488,403459159,403475543,1,2,1,0,17752202996,73389,73389,14,14,14,403459159,8,3,820346,1926066,3954557,40042,5245471696,1888591,62354494,1965
464622.07,253952,62,288845,19030675746,30,52421316,0,280,38,38,4235,161,3,675,2005509,2,5,77172,28,23,146924120,1352,1,0,27,52,8,5,1701,675,0,0,0,70661075,14897521,5613132318,0,673,482,2,2,1,14,14,587,0,1,5613525835,5566862553,280116643,432167296,432167296,1,2,1,0,19015361024,73389,73389,14,14,14,432167296,8,3,852860,2045371,4155777,42854,5613525835,2005509,66507620,1965
466632.72,253952,62,304018,20030627966,32,57193931,0,308,38,38,4235,164,3,675,2137913,2,5,81469,28,23,147455024,1352,1,0,27,52,8,5,1701,675,0,0,0,74930299,17167053,5906603213,0,673,482,2,2,1,14,14,587,0,1,5905554251,5859132505,296563009,454879333,454895717,1,2,1,0,20014690652,73389,73389,14,14,14,454879333,8,3,862955,2181455,4342746,45082,5905554251,2137913,70589014,1965
468640.29,253952,62,318808,21004490242,32,59497855,0,336,40,40,4235,167,3,675,2256105,2,5,85668,28,23,147720476,1352,1,0,27,54,8,5,1701,675,0,0,0,79145060,19596656,6186601406,0,673,482,2,2,1,14,14,587,0,1,6189487465,6143798171,310506540,477014056,477030440,1,2,1,0,20988618464,73389,73389,14,14,14,477014056,8,3,876576,2301785,4520645,47255,6189487465,2256105,74627001,1965
470645.80,253952,62,329739,21725111490,38,67977672,0,361,40,40,4235,169,3,675,2310087,2,5,88755,28,23,148251380,1352,1,0,27,54,8,5,1701,675,0,0,0,81820903,20092862,6402056710,0,673,482,2,2,1,14,14,587,0,1,6400382313,6354382322,324182037,493396280,493412664,1,2,1,0,21709436320,73389,73389,14,14,14,493396280,8,3,878432,2357153,4588211,48864,6400382313,2310087,77235382,1965
472662.80,253952,62,341891,22525338276,39,71860700,0,386,44,44,4235,172,3,675,2391523,2,5,92278,28,23,148782284,1352,1,0,27,58,8,5,1701,675,0,0,0,85127273,20982352,6634762841,0,673,482,2,2,1,14,14,587,0,1,6633369610,6588245297,332901875,511588936,511605320,1,2,1,0,22509913184,73389,73389,14,14,14,511588936,8,3,895329,2440382,4711802,50648,6633369610,2391523,80418282,1965
474668.41,253952,62,355189,23401614140,41,76895993,0,428,47,47,4235,174,3,675,2488019,2,5,96065,28,23,149047736,1352,1,0,27,61,8,5,1701,675,0,0,0,88792047,22313616,6887336979,0,673,482,2,2,1,14,14,587,0,1,6889484298,6844454331,343118690,531497594,531513978,1,2,1,0,23385894136,73389,73389,14,14,14,531497594,8,3,902858,2538976,4851327,52602,6889484298,2488019,83943662,1965
476675.66,253952,62,365115,24055414820,45,82790590,0,444,47,47,4235,176,3,675,2534112,2,5,98828,28,23,149578640,1352,1,0,27,61,8,5,1701,675,0,0,0,91137628,22437876,7082982217,0,673,482,2,2,1,14,14,587,0,1,7080057667,7035518258,352718681,546376808,546376808,1,2,1,0,24040579552,73389,73389,14,14,14,546376808,8,3,904108,2586280,4904216,54062,7080057667,2534112,86236440,1965
478681.84,253952,62,375276,24725042444,45,84134607,0,475,47,47,4235,178,3,675,2589922,2,5,101710,28,23,149844092,1352,1,0,27,61,8,5,1701,675,0,0,0,93479543,22467079,7278113965,0,673,482,2,2,1,14,14,587,0,1,7275354947,7231188060,356452392,561600086,561600086,1,2,1,0,24710403784,73389,73389,14,14,14,561600086,8,3,904798,2643387,4960199,55552,7275354947,2589922,88522475,1965
480695.85,253952,62,387117,25504941004,45,86986481,0,514,52,52,4235,181,3,675,2692673,2,5,105107,28,23,150374996,1352,1,0,27,66,8,5,1701,675,0,0,0,96649845,23447492,7503747877,0,673,482,2,2,1,14,14,587,0,1,7502716350,7459105908,362732794,579325798,579325798,1,2,1,0,25489614216,73389,73389,14,14,14,579309414,8,3,906934,2748148,5072464,57293,7502716350,2692673,91580621,1965
482709.53,253952,62,399068,26291101560,48,93743900,0,552,53,53,4235,186,3,675,2782993,2,5,108609,28,23,151171352,1352,1,0,27,67,8,5,1701,675,0,0,0,100268449,25268622,7730619149,0,673,482,2,2,1,14,14,587,0,1,7730000323,7688920762,376340492,597196807,597196807,1,2,1,0,26276659508,73389,73389,14,14,14,597196807,8,3,917810,2840341,5188508,59042,7730000323,2782993,95083288,1965
483212.02,253952,62,400982,26415782060,51,95828461,3,567,53,53,4235,194,3,675,2793722,2,5,109422,35,23,158511825,1359,1,1035,34,74,8,27,1732,675,637,1035,128,101209727,25481497,7767137801,8,673,482,2,2,1,14,14,587,52742368,1,7763869224,7725268584,486255465,600037902,600037902,1,2,1,52742368,26401667688,73389,73389,14,14,14,600037902,8,3,919116,2851364,5205724,59330,7763869224,2793722,96007373,1965
