timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
616103.16,253952,62,183420,12084286812,32,57237211,0,432,36,36,3924,144,675,1153267,14,47508,41,144269600,1352,1,0,40,50,1,14,245,675,0,0,0,39807874,7489778,3582862180,0,675,482,2,1,14,14,435,0,1,3584789456,3536331224,116722322,274286354,274286354,1,2,1,0,12068599576,73389,73389,14,14,14,274286354,8,3,571769,1179914,2389210,27372,3584789456,1153267,37419180,1927
618109.20,253952,62,196060,12917162470,34,60953806,0,447,37,37,3924,146,675,1212199,14,51034,41,144535052,1352,1,0,40,51,1,14,245,675,0,0,0,42142823,7491384,3828580927,0,675,482,2,1,14,14,435,0,1,3828059088,3779744938,122801248,293222323,293238707,1,2,1,0,12901782212,73389,73389,14,14,14,293222323,8,3,578011,1240162,2477394,29228,3828059088,1212199,39667025,1927
620114.49,253952,62,208595,13743434366,35,62745188,0,466,37,37,3924,148,675,1274760,14,54561,41,145065956,1352,1,0,40,51,1,14,245,675,0,0,0,44524546,7491800,4070114353,0,675,482,2,1,14,14,435,0,1,4069493712,4021222098,126995130,311992293,312008677,1,2,1,0,13727660892,73389,73389,14,14,14,311992293,8,3,578325,1304133,2545479,31070,4069493712,1274760,41980762,1927
622119.71,253952,62,221285,14579598890,36,64795426,0,508,38,38,3924,150,675,1339645,14,58131,41,145331408,1352,1,0,40,52,1,14,245,675,0,0,0,46952038,7491991,4313863811,0,675,482,2,1,14,14,435,0,1,4313549776,4265701110,131491624,330993798,331010182,1,2,1,0,14563727112,73389,73389,14,14,14,330993798,8,3,585488,1370464,2620360,32932,4313549776,1339645,44333459,1927
624124.28,253952,62,234415,15444599254,37,67261550,0,534,39,39,3924,152,675,1411483,14,61821,41,145596860,1352,1,0,40,53,1,14,245,675,0,0,0,49582199,7505082,4567721254,0,675,482,2,1,14,14,435,0,1,4566387664,4518542673,136649708,350667047,350667047,1,2,1,0,15429350068,73389,73389,14,14,14,350667047,8,3,590583,1443929,2698707,34861,4566387664,1411483,46885427,1927
626139.79,253952,62,249639,16447893810,37,68960604,0,564,43,43,3924,154,675,1512199,14,66087,41,145862312,1352,1,0,40,57,1,14,245,675,0,0,0,52879212,7950944,4857636894,0,675,482,2,1,14,14,435,0,1,4859595728,4811838774,142393476,373469196,373469196,1,2,1,0,16431923728,73389,73389,14,14,14,373452812,8,3,606380,1546704,2845096,37098,4859595728,1512199,50036162,1927
628144.56,253952,62,262655,17305423070,41,74638162,0,591,43,43,3924,157,675,1587749,14,69766,41,146127764,1352,1,0,40,57,1,14,245,675,0,0,0,55716576,8220145,5111500344,0,675,482,2,1,14,14,435,0,1,5110205392,5062551147,151442759,392954029,392954029,1,2,1,0,17289977276,73389,73389,14,14,14,392954029,8,3,608610,1623956,2931228,39010,5110205392,1587749,52787509,1927
630149.23,253952,62,275410,18145847434,42,77576568,0,622,44,44,3924,159,675,1657670,14,73388,41,146658668,1352,1,0,40,58,1,14,245,675,0,0,0,58350837,8293846,5357104750,0,675,482,2,1,14,14,435,0,1,5355703248,5308187658,157143087,412053838,412053838,1,2,1,0,18130368872,73389,73389,14,14,14,412053838,8,3,614093,1695488,3016919,40883,5355703248,1657670,55336181,1927
632155.13,253952,62,287315,18929874762,42,79442375,0,664,44,44,3924,161,675,1719203,14,76743,41,146924120,1352,1,0,40,58,1,14,245,675,0,0,0,60703618,8300601,5585525746,0,675,482,2,1,14,14,435,0,1,5584034635,5537369904,161378676,429877854,429877854,1,2,1,0,18913904680,73389,73389,14,14,14,429861470,8,3,620317,1758442,3108893,42629,5584034635,1719203,57597083,1927
634165.51,253952,62,299836,19754963702,42,81034441,0,687,46,46,3924,163,675,1789393,14,80273,41,147189572,1352,1,0,40,60,1,14,245,675,0,0,0,63321283,8550723,5826674660,0,675,482,2,1,14,14,435,0,1,5825076043,5778481851,165909237,448625407,448641791,1,2,1,0,19739517908,73389,73389,14,14,14,448625407,8,3,626950,1830249,3193999,44468,5825076043,1789393,60129740,1927
636177.61,253952,62,314235,20703201402,43,84687477,0,726,46,46,3924,166,675,1895052,14,84408,41,147720476,1352,1,0,40,60,1,14,245,675,0,0,0,66789155,9298680,6102475967,0,675,482,2,1,14,14,435,0,1,6101538153,6055667518,174008326,470186690,470186690,1,2,1,0,20687493464,73389,73389,14,14,14,470170306,8,3,638032,1938763,3318427,46584,6101538153,1895052,63472800,1927
638182.64,253952,62,328254,21627259626,44,86852689,0,774,47,47,3924,169,675,1974206,14,88352,41,148251380,1352,1,0,40,61,1,14,245,675,0,0,0,70014075,9818710,6374047869,0,675,482,2,1,14,14,435,0,1,6371546473,6325748983,180086683,491188758,491188758,1,2,1,0,21612305352,73389,73389,14,14,14,491188758,8,3,642037,2019859,3412848,48644,6371546473,1974206,66603925,1927
640196.10,253952,62,341450,22496436900,45,89442740,0,790,49,49,3924,172,675,2036924,14,92158,41,148782284,1352,1,0,40,63,1,14,245,675,0,0,0,72690926,9983660,6623262040,0,675,482,2,1,14,14,435,0,1,6625112074,6579793221,185630332,510933576,510949960,1,2,1,0,22481077344,73389,73389,14,14,14,510933576,8,3,654098,2084282,3489042,50585,6625112074,2036924,69204693,1927
642206.67,253952,62,358846,23642606552,45,91742349,0,821,49,49,3924,174,675,2135616,14,97012,41,149047736,1352,1,0,40,63,1,14,245,675,0,0,0,76639279,10788501,6959887764,0,675,482,2,1,14,14,435,0,1,6960001034,6914912163,193137570,536983631,537000015,1,2,1,0,23627279764,73389,73389,14,14,14,536983631,8,3,657608,2185564,3609938,53140,6960001034,2135616,73032318,1927
644213.30,253952,62,375739,24755385612,47,96493241,0,855,51,51,3924,178,675,2250746,14,101858,41,149844092,1352,1,0,40,65,1,14,245,675,0,0,0,80492067,11750585,7284968801,0,675,482,2,1,14,14,435,0,1,7284136771,7240077799,203443459,562288214,562288214,1,2,1,0,24739960520,73389,73389,14,14,14,562271830,8,3,673228,2303190,3779782,55619,7284136771,2250746,76715419,1927
646222.23,253952,62,392382,25850797632,47,99487052,0,884,51,51,3924,184,675,2354702,14,106701,41,150905900,1352,1,0,40,65,1,14,245,675,0,0,0,84415982,12688693,7602186033,0,675,482,2,1,14,14,435,0,1,7602124527,7560209724,211972660,587175005,587191389,1,2,1,0,25835700220,73389,73389,14,14,14,587175005,8,3,686586,2409533,3945267,58063,7602124527,2354702,80473994,1927
647548.85,253952,62,400982,26415782060,50,102478730,3,908,51,51,3924,194,675,2397418,14,109422,48,158511825,1359,1,1035,47,72,1,40,269,675,468,1035,82,86519554,12846804,7767160409,8,675,482,2,1,14,14,435,53547661,1,7763869224,7725268584,324391901,600037902,600037902,1,2,1,53547661,26401667688,73389,73389,14,14,14,600037902,8,3,690466,2453397,3995900,59330,7763869224,2397418,82527011,1927
