timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
178839.86,1,253952,62,167892,11061322698,33,47383929,282,38,38,5000,141,675,1054014,93,43076,37,52,144004148,1352,1,0,36,52,145,9,555,675,0,0,0,38655598,2446085,3285125039,0,675,391,2,1,14,14,407,1,3285814224,3237238154,216974454,251031486,251047870,1,2,1,11045385384,73389,73389,14,14,14,251031486,8,3,583508,1077722,2265357,25091,3285814224,1054014,36391631,1853
180846.34,1,253952,62,183332,12078507578,34,51017062,330,40,40,5000,144,675,1176317,93,47452,37,52,144269600,1352,1,0,36,54,145,9,555,675,0,0,0,42959357,4387538,3581357042,0,675,391,2,1,14,14,407,1,3583085520,3534647286,227271495,274155282,274155282,1,2,1,12062111512,73389,73389,14,14,14,274138898,8,3,591699,1202659,2429636,27359,3583085520,1176317,40531251,1853
182854.82,1,253952,62,199118,13118633366,36,54926779,381,42,42,5000,146,675,1302770,93,51866,37,52,144535052,1352,1,0,36,56,145,9,555,675,0,0,0,47340542,5132328,3886254236,0,675,391,2,1,14,14,407,1,3886779344,3838606713,237150920,297801207,297801207,1,2,1,13102532212,73389,73389,14,14,14,297784823,8,3,601917,1331751,2614828,29676,3886779344,1302770,44727390,1853
184859.98,1,253952,62,210095,13842269270,40,59820498,401,42,42,5000,148,675,1355560,93,54971,37,52,145065956,1352,1,0,36,56,145,9,555,675,0,0,0,49763271,5172328,4098421105,0,675,391,2,1,14,14,407,1,4098460624,4050123802,244841717,314248967,314248967,1,2,1,13826954548,73389,73389,14,14,14,314248967,8,3,602477,1385850,2677158,31291,4098460624,1355560,47087878,1853
186871.16,1,253952,62,221795,14613287702,40,62018818,438,42,42,5000,150,675,1415034,93,58272,37,52,145331408,1352,1,0,36,56,145,9,555,675,0,0,0,52338454,5173227,4325677676,0,675,391,2,1,14,14,407,1,4323773392,4275590229,249650225,331769879,331786263,1,2,1,14597874676,73389,73389,14,14,14,331769879,8,3,602942,1446793,2741043,33010,4323773392,1415034,49599279,1853
188884.99,1,253952,62,236328,15570765978,40,63611515,467,46,46,5000,152,675,1527531,93,62348,37,52,145596860,1352,1,0,36,60,145,9,555,675,0,0,0,56204288,6790712,4600022071,0,675,391,2,1,14,14,407,1,4603087824,4555420056,258353260,353535962,353535962,1,2,1,15554861432,73389,73389,14,14,14,353519578,8,3,623028,1561670,2912052,35141,4603087824,1527531,53294245,1853
190890.53,1,253952,62,248329,16361510746,44,69886547,499,46,46,5000,154,675,1603385,93,65727,37,52,145862312,1352,1,0,36,60,145,9,555,675,0,0,0,59211410,7345622,4835402655,0,675,391,2,1,14,14,407,1,4833905616,4786561555,268992466,371507434,371507434,1,2,1,16346327096,73389,73389,14,14,14,371507434,8,3,628509,1639117,2994875,36902,4833905616,1603385,56218656,1853
192899.86,1,253952,62,260904,17190138630,44,71712267,518,48,48,5000,156,675,1684227,93,69266,37,52,146127764,1352,1,0,36,62,145,9,555,675,0,0,0,62367492,7798303,5077219203,0,675,391,2,1,14,14,407,1,5076257744,5028900823,274675472,390328715,390328715,1,2,1,17174463460,73389,73389,14,14,14,390328715,8,3,638321,1721861,3123001,38751,5076257744,1684227,59246735,1853
194909.79,1,253952,62,274516,18087258250,47,77381021,557,52,52,5000,158,675,1807353,93,73097,37,52,146658668,1352,1,0,36,66,145,9,555,675,0,0,0,66271113,10278137,5336086543,0,675,391,2,1,14,14,407,1,5338794960,5291071821,287010452,410710350,410726734,1,2,1,18071255400,73389,73389,14,14,14,410710350,8,3,650719,1847350,3303099,40754,5338794960,1807353,62970393,1853
196918.60,1,253952,62,287866,18966250550,47,81435290,591,53,53,5000,161,675,1928448,93,76897,37,52,146924120,1352,1,0,36,67,145,9,555,675,0,0,0,70193698,11741700,5593238965,0,675,391,2,1,14,14,407,1,5594520395,5548009123,297461549,430703087,430703087,1,2,1,18950214932,73389,73389,14,14,14,430686703,8,3,661517,1970801,3473260,42709,5594520395,1928448,66722931,1853
198923.70,1,253952,62,298281,19652524318,51,86855163,618,53,53,5000,163,675,1996340,93,79845,37,52,147189572,1352,1,0,36,67,145,9,555,675,0,0,0,73000939,11964148,5797023829,0,675,391,2,1,14,14,407,1,5795060555,5748605524,306812217,446303197,446303197,1,2,1,19636619772,73389,73389,14,14,14,446286813,8,3,663075,2040236,3570339,44239,5795060555,1996340,69433193,1853
200931.83,1,253952,62,310431,20452575198,51,89011972,645,57,57,5000,166,675,2094781,93,83337,37,52,147455024,1352,1,0,36,71,148,9,555,675,0,0,0,76208636,12367611,6029165024,0,675,391,2,1,14,14,407,1,6028399977,5982396581,312676570,464487661,464504045,1,2,1,20437457084,73389,73389,14,14,14,464487661,8,3,671305,2140710,3696610,46026,6028399977,2094781,72514726,1853
202942.49,1,253952,62,325808,21465896762,53,93377445,701,57,57,5000,168,675,2214341,93,87630,37,52,147985928,1352,1,0,36,71,148,9,555,675,0,0,0,80664027,13239782,6324886747,0,675,391,2,1,14,14,407,1,6324622697,6278599162,322758153,487519186,487535570,1,2,1,21450844184,73389,73389,14,14,14,487519186,8,3,676139,2262873,3840312,48286,6324622697,2214341,76826566,1853
204952.39,1,253952,62,340889,22459405752,53,97534826,751,58,58,5000,172,675,2329815,93,92010,37,52,148516832,1352,1,0,36,72,148,9,555,675,0,0,0,85030374,14031953,6614250317,0,675,391,2,1,14,14,407,1,6614233098,6568940788,333701428,510091959,510108343,1,2,1,22444046196,73389,73389,14,14,14,510091959,8,3,689701,2380902,4015961,50502,6614233098,2329815,81017415,1853
206966.87,1,253952,62,356729,23503070484,54,100637600,802,58,58,5000,174,675,2452053,93,96435,37,52,149047736,1352,1,0,36,72,148,9,555,675,0,0,0,89532437,14758045,6919002077,0,675,391,2,1,14,14,407,1,6919237642,6874121377,342837426,533819804,533819804,1,2,1,23487350480,73389,73389,14,14,14,533803420,8,3,695926,2505739,4159592,52829,6919237642,2452053,85375961,1853
208981.80,1,253952,62,371691,24488768624,55,104621887,849,62,62,5000,178,675,2568812,93,100740,37,52,149844092,1352,1,0,36,76,148,9,555,675,0,0,0,93829045,15701833,7206972235,0,675,391,2,1,14,14,407,1,7206542147,7162135009,353241566,556228737,556228737,1,2,1,24474064428,73389,73389,14,14,14,556228737,8,3,713017,2625014,4346566,55027,7206542147,2568812,89485740,1853
210989.73,1,253952,62,387015,25498256332,57,109887694,902,62,62,5000,181,675,2695545,93,105080,37,52,150374996,1352,1,0,36,76,148,9,555,675,0,0,0,98338237,16909483,7501441800,0,675,391,2,1,14,14,407,1,7500619198,7457175885,366298560,579161958,579178342,1,2,1,25483126152,73389,73389,14,14,14,579161958,8,3,734270,2754333,4533059,57277,7500619198,2695545,93808565,1853
213000.85,1,253952,62,400810,26404721448,59,115935052,949,69,69,5000,190,675,2802444,93,109270,37,52,151171352,1352,1,0,36,83,148,9,555,675,0,0,0,102431245,17968289,7759919204,0,675,391,2,1,14,14,407,1,7761121761,7722063513,379965379,599785035,599785035,1,2,1,26390541540,73389,73389,14,14,14,599785035,8,3,759944,2863438,4726258,59304,7761121761,2802444,97708490,1853
213100.40,1,253952,62,400982,26415782060,59,115935052,949,71,71,5000,191,675,2803588,93,109422,44,52,158511825,1359,1,1035,43,92,148,36,638,675,583,1035,137,102868347,18111691,7767447520,8,675,391,2,1,14,14,407,1,7763869224,7725268584,436458464,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,8,3,761788,2864616,4741486,59330,7763869224,2803588,98130374,1853
