timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
298985.28,9,253952,62,237658,15658459762,51,89523374,0,600,56,56,4351,152,3,675,1878833,38,62724,32,2525,145596860,1352,1,31,70,124,8,6123,675,0,61362013,16841430,4627172966,0,675,413,2,1,14,14,3624,1,4628909008,4581018151,190075919,355530492,355530492,1,2,1,15642620752,73389,73389,14,14,14,355514108,9,3,709459,1914712,3573424,35338,4628909008,1878833,57790707,1997
300990.46,9,253952,62,250846,16527526666,54,94483411,0,647,57,57,4351,155,3,675,1980812,38,66470,32,2525,146127764,1352,1,31,71,124,8,6123,675,0,65034516,17287661,4883146317,0,675,413,2,1,14,14,3624,1,4882795472,4835130641,200506716,375275310,375275310,1,2,1,16512113640,73389,73389,14,14,14,375275310,9,3,719968,2018755,3733694,37275,4882795472,1980812,61303057,1997
302999.76,9,253952,62,263122,17336293834,55,96873909,0,668,60,60,4351,157,3,675,2062249,38,69935,32,2525,146393216,1352,1,31,74,124,8,6123,675,0,67867428,17405973,5119180804,0,675,413,2,1,14,14,3624,1,5118987216,5071506291,206081146,393648190,393664574,1,2,1,17320520360,73389,73389,14,14,14,393648190,9,3,731553,2101810,3834938,39077,5118987216,2062249,64034831,1997
305011.44,9,253952,62,278981,18381203750,56,100493997,0,729,60,60,4351,159,3,675,2201652,38,74375,32,2525,146658668,1352,1,31,74,124,8,6123,675,0,72452866,18115606,5424572331,0,675,413,2,1,14,14,3624,1,5424384976,5376953206,215652822,417392419,417408803,1,2,1,18365266436,73389,73389,14,14,14,417392419,9,3,742053,2243734,4026850,41407,5424384976,2201652,68428486,1997
307016.63,9,253952,62,294714,19417430146,56,103152650,0,775,61,61,4351,162,3,675,2329824,38,78854,32,2525,146924120,1352,1,31,75,124,8,6123,675,0,76896547,18619256,5725650847,0,675,413,2,1,14,14,3624,1,5726509899,5679932884,224013441,440956424,440956424,1,2,1,19402082656,73389,73389,14,14,14,440956424,9,3,754737,2374356,4215606,43716,5726509899,2329824,72683546,1997
309023.67,9,253952,62,305914,20155415126,59,107829300,0,786,62,62,4351,164,3,675,2385506,38,81986,32,2525,147455024,1352,1,31,76,124,8,6123,675,0,79307532,18621063,5943721148,0,675,413,2,1,14,14,3624,1,5941992267,5895543478,231120073,457725831,457742215,1,2,1,20139936564,73389,73389,14,14,14,457725831,9,3,757758,2431365,4280598,45360,5941992267,2385506,75029634,1997
311029.27,9,253952,62,319709,21063803630,64,113952526,0,827,66,66,4351,167,3,675,2480319,38,85908,32,2525,147720476,1352,1,31,80,124,8,6123,675,0,82823517,19122350,6209032927,0,675,413,2,1,14,14,3624,1,6206920041,6161132101,242714651,478379961,478379961,1,2,1,21048718284,73389,73389,14,14,14,478379961,9,3,780159,2528074,4442217,47388,6206920041,2480319,78384122,1997
313039.03,9,253952,62,332424,21901872006,64,115484789,0,851,67,67,4351,169,3,675,2559791,38,89491,32,2525,148251380,1352,1,31,81,124,8,6123,675,0,85741623,19252793,6453850877,0,675,413,2,1,14,14,3624,1,6451893609,6406057970,247408354,497428459,497428459,1,2,1,21886131300,73389,73389,14,14,14,497412075,9,3,789102,2609167,4549123,49257,6451893609,2559791,81195428,1997
315048.30,9,253952,62,349372,23018267612,64,116627567,0,873,74,74,4351,173,3,675,2678953,38,94372,32,2525,148782284,1352,1,31,88,124,8,6123,675,0,90391460,20149610,6775066532,0,675,413,2,1,14,14,3624,1,6777548810,6732342742,261537092,522806770,522806770,1,2,1,23003497880,73389,73389,14,14,14,522806770,9,3,821128,2730893,4793945,51748,6777548810,2678953,85600590,1997
317060.19,9,253952,62,366527,24148748008,65,118997790,0,888,76,76,4351,177,4,675,2809270,38,99271,32,2525,149844092,1352,1,31,90,124,8,6123,675,0,94997009,21075604,7104198946,0,675,413,2,1,14,14,3624,1,7106927427,7062703205,281349184,548492059,548508443,1,2,1,24133650596,73389,73389,14,14,14,548492059,9,3,852553,2863805,5043944,54267,7106927427,2809270,89956295,1997
319069.24,9,253952,62,383690,25279021872,66,122419251,0,912,76,76,4351,180,4,675,2951903,38,104095,32,2525,149844092,1352,1,31,90,124,8,6123,675,0,99764133,22195141,7434780500,0,675,413,2,1,14,14,3624,1,7436698472,7393105944,303815192,574192017,574192017,1,2,1,25264448748,73389,73389,14,14,14,574192017,9,3,884775,3009089,5300118,56789,7436698472,2951903,94467392,1997
321073.84,9,253952,62,400982,26415782060,75,126376286,7,926,76,76,4351,191,5,675,3052641,38,109422,39,2525,158511825,1359,1,38,97,124,8,6145,675,658,104323930,22694920,7767348841,8,675,413,2,1,14,14,3624,1,7763869224,7725268584,381357946,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,897583,3112033,5437052,59330,7763869224,3052641,98890412,1997
