timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
616262.45,253952,62,154305,10165841478,34,58520485,0,417,38,38,6419,139,675,1105146,25,39288,44,70,143473244,1352,1,626,0,43,52,79,13,263,675,0,626,5,0,0,37399767,7861212,3023232425,0,675,483,2,1,14,14,375,0,1,3024194512,2975535424,120569235,230690811,230690811,1,2,1,0,10150395684,73389,73389,14,14,14,230690811,9,3,577265,1131023,2396554,23095,3024194512,1105146,35004456,2001
618268.40,253952,62,166387,10962160114,36,62120855,0,429,39,39,6419,141,675,1166384,25,42663,44,70,144004148,1352,1,626,0,43,53,79,13,263,675,0,626,5,0,0,39842262,7862064,3258211729,0,675,483,2,1,14,14,375,0,1,3256978384,3208220937,126636611,248791196,248791196,1,2,1,0,10946091728,73389,73389,14,14,14,248774812,9,3,582718,1193494,2480464,24871,3256978384,1166384,37363139,2001
620273.60,253952,62,177677,11705777882,37,64038139,0,447,39,39,6419,143,675,1221989,25,45852,44,70,144004148,1352,1,626,0,43,53,79,13,263,675,0,626,5,0,0,42084408,7862245,3474573316,0,675,483,2,1,14,14,375,0,1,3473902544,3425605885,130810078,265677450,265693834,1,2,1,0,11689807800,73389,73389,14,14,14,265677450,9,3,583111,1250290,2554392,26526,3473902544,1221989,39531452,2001
622278.83,253952,62,189483,12484008582,37,66129444,0,491,39,39,6419,145,675,1284008,25,49182,44,70,144535052,1352,1,626,0,43,53,79,13,263,675,0,626,5,0,0,44505313,7862787,3701807419,0,675,483,2,1,14,14,375,0,1,3701705680,3653116010,135337592,283376427,283376427,1,2,1,0,12468562788,73389,73389,14,14,14,283376427,9,3,588155,1313656,2624781,28264,3701705680,1284008,41882056,2001
624283.77,253952,62,201622,13283797318,37,67764521,0,518,39,39,6419,147,675,1353156,25,52604,44,70,144800504,1352,1,626,0,43,53,79,13,263,675,0,626,5,0,0,47136364,7869471,3936136824,0,675,483,2,1,14,14,375,0,1,3935144912,3886889792,139641706,301552699,301552699,1,2,1,0,13268318756,73389,73389,14,14,14,301552699,9,3,591281,1384264,2704629,30045,3935144912,1353156,44433361,2001
626294.03,253952,62,215712,14212243146,37,69267317,0,545,42,42,6419,149,675,1453073,25,56556,44,70,145065956,1352,1,626,0,43,56,79,13,263,675,0,626,5,0,0,50641133,8479922,4206663458,0,675,483,2,1,14,14,375,0,1,4206595024,4158285682,145746539,322647038,322663422,1,2,1,0,14196469672,73389,73389,14,14,14,322647038,9,3,607446,1486068,2859814,32116,4206595024,1453073,47783066,2001
628299.09,253952,62,226648,14933192074,40,73120502,0,566,42,42,6419,151,675,1522031,25,59649,44,70,145596860,1352,1,626,0,43,56,79,13,263,675,0,626,5,0,0,53269337,8624373,4417139136,0,675,483,2,1,14,14,375,0,1,4416965584,4369010570,152524237,339045646,339045646,1,2,1,0,14917022076,73389,73389,14,14,14,339023229,9,3,608275,1556527,2950584,33721,4416965584,1522031,50320601,2001
630304.02,253952,62,237985,15679890034,41,76294707,0,597,43,43,6419,153,675,1595423,25,62852,44,70,145596860,1352,1,626,0,43,57,79,13,263,675,0,626,5,0,0,55860500,8689238,4636001515,0,675,483,2,1,14,14,375,0,1,4635200464,4587311386,158403497,356013820,356013820,1,2,1,0,15664608080,73389,73389,14,14,14,356013820,9,3,614170,1631419,3049663,35386,4635200464,1595423,52812785,2001
632309.08,253952,62,249408,16432489542,41,78003299,0,641,43,43,6419,154,675,1656177,25,66021,44,70,145862312,1352,1,626,0,43,57,79,13,263,675,0,626,5,0,0,58265874,8695676,4856432349,0,675,483,2,1,14,14,375,0,1,4855008208,4807325085,162551274,373119099,373119099,1,2,1,0,16417240356,73389,73389,14,14,14,373119099,9,3,616298,1693521,3126962,37063,4855008208,1656177,55140961,2001
634322.68,253952,62,261192,17209012998,41,79546536,0,662,44,44,6419,156,675,1733711,25,69347,44,70,146127764,1352,1,626,0,43,58,79,13,263,675,0,626,5,0,0,60967685,8961741,5083026003,0,675,483,2,1,14,14,375,0,1,5082155984,5034356740,167055370,390754699,390771083,1,2,1,0,17193206756,73389,73389,14,14,14,390754699,9,3,623097,1772615,3217032,38796,5082155984,1733711,57752797,2001
636331.85,253952,62,274354,18076641418,42,83198200,0,696,46,46,6419,158,675,1850017,25,73066,44,70,146658668,1352,1,626,0,43,60,79,13,263,675,0,626,5,0,0,64437859,10020707,5336125029,0,675,483,2,1,14,14,375,0,1,5335649232,5287940588,175117518,410480974,410480974,1,2,1,0,18060441960,73389,73389,14,14,14,410464590,9,3,633803,1890955,3367264,40730,5335649232,1850017,61072872,2001
638337.15,253952,62,287095,18915456842,44,86431832,0,736,46,46,6419,161,675,1931061,25,76685,44,70,146924120,1352,1,626,0,43,60,79,13,263,675,0,626,5,0,0,67571552,10661935,5581340804,0,675,483,2,1,14,14,375,0,1,5579840331,5533149887,183125704,429550174,429550174,1,2,1,0,18900207656,73389,73389,14,14,14,429550174,9,3,638080,1973623,3462823,42597,5579840331,1931061,64111108,2001
640344.38,253952,62,299622,19740938998,44,87846613,0,758,49,49,6419,163,675,2011947,25,80213,44,70,147189572,1352,1,626,0,43,63,79,13,263,675,0,626,5,0,0,70407406,10889451,5820922064,0,675,483,2,1,14,14,375,0,1,5821012811,5774427468,187612123,448314111,448314111,1,2,1,0,19725099988,73389,73389,14,14,14,448297727,9,3,642337,2056180,3554004,44437,5821012811,2011947,66855887,2001
642354.55,253952,62,314343,20710544742,44,92986243,0,796,50,50,6419,166,675,2122152,25,84392,44,70,147720476,1352,1,626,0,43,64,79,13,263,675,0,626,5,0,0,74295669,11959145,6104475398,0,675,483,2,1,14,14,375,0,1,6103504233,6057791590,197679797,470340179,470356563,1,2,1,0,20694967876,73389,73389,14,14,14,470340179,9,3,645968,2169269,3691733,46599,6103504233,2122152,70606573,2001
644363.70,253952,62,329024,21677987798,47,98764108,0,832,51,51,6419,169,675,2229428,25,88562,44,70,148251380,1352,1,626,0,43,65,79,13,263,675,0,626,5,0,0,78193898,12760833,6385640745,0,675,483,2,1,14,14,375,0,1,6386357609,6340611574,209117680,492341671,492341671,1,2,1,0,21663033524,73389,73389,14,14,14,492341671,9,3,650069,2278843,3846610,48757,6386357609,2229428,74350075,2001
646371.35,253952,62,343365,22622469244,49,103010506,0,865,54,54,6419,172,675,2337947,25,92682,44,70,148782284,1352,1,626,0,43,68,80,13,263,675,0,626,5,0,0,82115903,14005973,6664376081,0,675,483,2,1,14,14,375,0,1,6661943306,6616626196,220681500,513812842,513812842,1,2,1,0,22607765048,73389,73389,14,14,14,513812842,9,3,659748,2389651,3980026,50866,6661943306,2337947,78138797,2001
648376.72,253952,62,355409,23416032060,52,107402214,0,895,54,54,6419,174,675,2398239,25,96073,44,70,149047736,1352,1,626,0,43,68,80,13,263,675,0,626,5,0,0,84750806,14118677,6896090006,0,675,483,2,1,14,14,375,0,1,6893809674,6848673774,227913075,531841658,531841658,1,2,1,0,23401032952,73389,73389,14,14,14,531841658,9,3,659992,2451409,4051597,52635,6893809674,2398239,80702238,2001
650393.84,253952,62,368798,24298376620,52,108998311,0,920,57,57,6419,177,675,2484966,25,99895,44,70,149844092,1352,1,626,0,43,71,80,13,263,675,0,626,5,0,0,88010719,14747033,7150882074,0,675,483,2,1,14,14,375,0,1,7150967619,7106482174,233701042,551901646,551901646,1,2,1,0,24282951528,73389,73389,14,14,14,551885262,9,3,682666,2539990,4217679,54603,7150967619,2484966,83796197,2001
652410.66,253952,62,383479,25265288772,53,114336919,0,956,58,58,6419,179,675,2610176,25,104004,44,70,149844092,1352,1,626,0,43,72,80,13,263,675,0,626,5,0,0,91917685,15775886,7433624440,0,675,483,2,1,14,14,375,0,1,7433292240,7389140885,243291946,573874688,573874688,1,2,1,0,25250486272,73389,73389,14,14,14,573874688,9,3,693440,2667403,4386782,56758,7433292240,2610176,87534195,2001
654416.48,253952,62,395967,26086547164,58,120485557,0,1000,60,60,6419,185,675,2698531,25,107726,44,70,150905900,1352,1,626,0,43,74,80,13,263,675,0,626,5,0,0,95381242,16688820,7673195687,0,675,483,2,1,14,14,375,0,1,7670536045,7629145652,256090496,592529970,592546354,1,2,1,0,26071318680,73389,73389,14,14,14,592529970,9,3,704633,2757558,4522515,58588,7670536045,2698531,90862144,2001
655603.67,253952,62,400982,26415782060,59,121706614,1,1004,60,60,6419,194,675,2717834,25,109422,51,70,158511825,1359,1,626,1035,50,81,80,50,282,675,532,626,5,1035,98,96607231,16689059,7767365601,8,675,483,2,1,14,14,375,59435962,1,7763869224,7725268584,377386262,600037902,600037902,2,2,1,59435962,26401667688,73389,73389,14,14,14,600037902,9,3,705556,2777392,4544247,59330,7763869224,2717834,92066449,2001
