timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
799469.88,0,253952,62,99756,6570730386,2,18156041,409,5,5,5205,696,0,567,523510,26,39179,18,28,111785617,1136,1,0,4,732,124179426,5,496588460,17,19,7,13,102,567,0,0,0,39327125,1960,2130190476,0,567,390,3,1,14,14,1196,3,2130017903,2074453334,57407862,125987449,125987449,1,3,1,6550495412,73389,73389,14,14,14,125971069,8,3,117518,538074,772928,17732,2130017903,523510,38555672,1353
801474.44,0,253952,62,110156,7257577628,2,19944948,445,5,5,5205,734,0,567,576673,26,43266,18,28,114802117,1136,1,0,4,732,137212090,5,548848360,17,19,7,13,102,567,0,0,0,43538611,2026,2350601548,0,567,390,3,1,14,14,1196,3,2349761997,2290704615,63476647,139189018,139205402,1,3,1,7237828968,73389,73389,14,14,14,139189022,8,3,123641,592665,842043,19502,2349761997,576673,42698197,1353
803478.69,0,253952,62,118931,7836408554,3,22420431,491,5,5,5205,813,0,567,622314,26,46735,18,28,114802117,1136,1,0,4,732,148138870,5,592555480,17,19,7,13,102,567,0,0,0,46938703,2263,2546980540,0,567,390,3,1,14,14,1196,3,2545730119,2473736307,69350994,150271462,150287846,1,3,1,7814116056,73389,73389,14,14,14,150271466,8,3,126414,639563,895025,21161,2545730119,622314,46045440,1353
805483.39,0,253952,62,127540,8402248954,4,24168979,524,7,7,5205,889,0,567,665762,26,50131,18,28,114802117,1136,1,0,4,732,158854032,5,635416128,17,21,7,13,102,567,0,0,0,50228744,2397,2724521734,0,567,390,3,1,14,14,1196,3,2723407709,2652074655,74390162,161139643,161156027,1,3,1,8379261468,73389,73389,14,14,14,161139647,8,3,131105,684178,961923,22679,2723407709,665762,49268712,1353
807488.15,0,253952,62,138199,9104501440,4,25798589,582,7,7,5205,930,0,576,725572,26,54302,18,28,116301278,1154,1,0,4,732,172162953,5,688651812,17,21,7,13,102,576,0,0,0,54619147,2497,2943771001,0,576,399,3,1,14,14,1196,3,2942876540,2873208335,80408550,174655111,174655111,1,3,1,9082065804,73389,73389,14,14,14,174655115,8,3,135203,745567,1021069,24443,2942876540,725572,53600144,1382
809493.11,1,253952,62,148748,9799363976,4,27568631,624,7,7,5205,1020,0,576,787628,26,58454,18,28,116301278,1154,1,0,4,732,185255831,5,741023324,17,21,7,13,102,576,0,0,0,58913810,2659,3172030305,0,576,399,3,1,14,14,1196,3,3170851316,3092717819,86427940,187935170,187967938,1,3,1,9772628872,73389,73389,14,14,14,187935174,8,3,142556,809270,1105169,26374,3170851316,787628,57810874,1382
811497.87,1,253952,62,159095,10480467138,4,29337112,654,7,7,5205,1061,0,603,840604,26,62510,18,28,120997075,1208,1,0,4,732,198184163,5,792736652,17,21,7,13,102,603,0,0,0,63114871,2815,3384570088,0,603,412,3,1,14,14,1196,3,3382823995,3307018332,92440753,201063455,201079839,1,3,1,10455299692,73389,73389,14,14,14,201063459,8,3,145477,863722,1150218,28092,3382823995,840604,61967046,1454
813503.31,1,253952,62,169652,11174485290,4,31091545,698,7,7,5205,1151,0,666,899413,26,66670,18,28,131541096,1334,1,0,4,732,211311171,5,845115588,17,21,7,13,102,666,0,0,0,67431060,2984,3616158132,0,666,449,3,1,14,14,1196,3,3613981732,3526199982,98510832,214377356,214377356,1,3,1,11147622544,73389,73389,14,14,14,214377360,8,3,149815,924144,1220197,30076,3613981732,899413,66213417,1623
815508.44,1,253952,62,180347,11879351624,4,32749164,750,7,7,5205,1196,0,684,954343,26,70857,18,28,135177690,1370,1,0,4,732,224645236,5,898516236,17,21,7,13,102,684,0,0,0,71789507,3127,3834676454,0,684,458,3,1,14,14,1196,3,3832597029,3748459125,104525294,227916956,227916956,1,3,1,11851681744,73389,73389,14,14,14,227916960,8,3,152809,980645,1292063,31858,3832597029,954343,70500157,1669
817513.79,1,253952,62,191005,12581689982,4,34418412,791,7,7,5205,1282,0,738,1010156,26,75070,18,28,144914519,1478,1,0,4,732,237925483,5,951637380,17,21,7,13,102,738,0,0,0,76047554,3247,4068719759,0,738,487,3,1,14,14,1196,3,4066485644,3970362748,110452443,241370762,241370762,1,3,1,12551279656,73389,73389,14,14,14,241370766,8,3,156184,1038087,1347971,33831,4066485644,1010156,74702455,1813
819518.43,1,253952,62,201829,13293664518,4,36166713,842,7,7,5205,1331,0,756,1062568,26,79313,18,28,148539253,1514,1,0,4,732,251425356,5,1005701424,17,21,7,13,102,756,0,0,0,80389736,3442,4293080344,0,756,499,3,1,14,14,1196,3,4290030690,4194585975,116542761,255062580,255062580,1,3,1,13263254192,73389,73389,14,14,14,255062584,8,3,159544,1092050,1410027,35653,4290030690,1062568,78982744,1865
821523.04,1,253952,62,212790,14017060268,5,38809634,878,8,8,5205,1420,0,792,1118796,26,83631,19,28,154858430,1586,1,0,4,732,265073839,5,1060295356,18,22,7,13,112,792,0,0,0,84738298,3607,4532244039,0,792,516,3,1,14,14,1196,3,4530214854,4423345844,123532093,268905284,268905284,1,3,1,13983074800,73389,73389,14,14,14,268905288,8,3,167534,1149968,1484900,37667,4530214854,1118796,83256603,1955
823527.32,1,253952,62,222528,14658435260,5,40190213,926,8,8,5205,1485,0,792,1168688,26,87444,19,28,154858430,1586,1,0,4,732,277168281,5,1108608612,18,22,7,13,112,792,0,0,0,88490245,3724,4750909830,0,792,516,3,1,14,14,1196,3,4747956988,4626320898,128633498,281171694,281171694,1,3,1,14620928120,73389,73389,14,14,14,281171698,8,3,169408,1201305,1543010,39477,4747956988,1168688,86950571,1955
825531.56,1,253952,62,230919,15211123016,7,42830279,946,10,10,5205,1530,1,792,1206475,26,90726,19,28,154858430,1586,1,0,4,732,287599032,5,1150267084,18,24,7,13,112,792,0,0,0,91603437,3864,4919688995,0,792,516,3,1,14,14,1196,3,4917265330,4800601548,134391368,291785479,291785479,1,3,1,15172844940,73389,73389,14,14,14,291785483,8,3,176823,1240203,1600052,40862,4917265330,1206475,90006845,1955
827535.49,1,253952,62,242090,15946588412,7,44691655,977,10,10,5205,1619,1,855,1263500,26,95141,19,28,166228707,1712,1,0,4,732,301523113,5,1206092452,18,24,7,13,112,855,0,0,0,95784945,4192,5173099985,0,855,547,3,1,14,14,1196,3,5169751155,5032883915,140366499,305874387,305874387,1,3,1,15905468156,73389,73389,14,14,14,305874391,8,3,181699,1298870,1683927,42986,5169751155,1263500,94104632,2102
829539.58,1,253952,62,252571,16636958302,7,45858413,1015,10,10,5205,1665,1,873,1313509,26,99220,19,28,169539283,1748,1,0,4,732,314551549,5,1258141552,18,24,7,13,112,873,0,0,0,99661093,4490,5390430589,0,873,556,3,1,14,14,1196,3,5387610760,5251037050,145502812,319105294,319105294,1,3,1,16593475320,73389,73389,14,14,14,319105298,8,3,184933,1350335,1734963,44749,5387610760,1313509,97929890,2146
831543.79,1,253952,62,260495,17158751162,8,48347525,1030,11,11,5205,1729,1,873,1353253,26,102339,19,28,169539283,1748,1,0,4,732,324404151,5,1297552032,18,25,7,13,112,873,0,0,0,102572443,4706,5569224283,0,873,556,3,1,14,14,1196,3,5565626409,5415929947,150901902,329098646,329098646,1,3,1,17113129624,73389,73389,14,14,14,329098650,8,3,189090,1391138,1785970,46245,5565626409,1353253,100790343,2146
833548.94,1,253952,62,267444,17617008402,9,50712224,1063,12,12,5205,1753,1,873,1391528,26,105046,19,28,169852999,1748,1,0,4,732,333026572,5,1332106288,18,26,7,13,112,873,0,0,0,105326192,4767,5719829244,0,873,556,3,1,14,14,1196,3,5716491784,5561318391,156001340,337844655,337844655,1,3,1,17567922092,73389,73389,14,14,14,337844659,8,3,193134,1430421,1833934,47466,5716491784,1391528,103496235,2146
835553.39,1,253952,62,277893,18305631054,9,52512988,1100,12,12,5205,1837,1,873,1454737,26,109144,19,28,169877131,1748,1,0,4,732,346005367,5,1383892548,18,26,7,13,112,873,0,0,0,109563874,4833,5949893025,0,873,556,3,1,14,14,1196,3,5946151780,5778958904,162057968,351024251,351024251,1,3,1,18253261084,73389,73389,14,14,14,351024255,8,3,197472,1495241,1914999,49392,5946151780,1454737,107653023,2146
837558.15,1,253952,62,288048,18974853396,9,53959229,1139,12,12,5205,1884,1,873,1512226,26,113134,19,28,169877131,1748,1,0,4,732,358726095,5,1434839840,18,26,7,13,112,873,0,0,0,113683323,4935,6164308224,0,873,556,3,1,14,14,1196,3,6160148844,5989816663,167623191,363892551,363892551,1,3,1,18922412684,73389,73389,14,14,14,363892555,8,3,204435,1554195,1985001,51135,6160148844,1512226,111702630,2146
839562.46,1,253952,62,295173,19444005474,11,56203738,1158,13,13,5205,1946,1,873,1551618,26,115939,19,28,169877131,1748,1,0,4,732,367547220,5,1470188880,18,27,7,13,112,873,0,0,0,116396260,4976,6327313673,0,873,556,3,1,14,14,1196,3,6323052627,6138624556,172579368,372839486,372839486,1,3,1,19387653304,73389,73389,14,14,14,372839490,8,3,214978,1594641,2046987,52509,6323052627,1551618,114353691,2146
841566.76,1,253952,62,306069,20163129318,11,57907169,1190,14,14,5205,2031,1,873,1607978,26,120230,19,28,170178781,1748,1,0,4,732,381097758,5,1524326368,18,28,7,13,112,873,0,0,0,120611599,5090,6570477767,0,873,556,3,1,14,14,1196,3,6566192105,6366103718,178497913,386600270,386600270,1,3,1,20103214072,73389,73389,14,14,14,386600274,8,3,219973,1652608,2125822,54545,6566192105,1607978,118490350,2146
843571.36,2,253952,62,316579,20855411818,11,59373351,1237,14,14,5205,2081,1,873,1658678,26,124349,19,28,170492497,1748,1,0,4,732,394207004,5,1576828016,18,28,7,13,112,873,0,0,0,124624129,5133,6792571071,0,873,556,3,1,14,14,1196,3,6788781534,6584602270,183938823,399880329,399896713,1,3,1,20793777140,73389,73389,14,14,14,399880333,8,3,223356,1704776,2174882,56360,6788781534,1658678,122453968,2146
845575.95,2,253952,62,323950,21341313184,12,61755939,1256,15,15,5205,2142,1,882,1698595,26,127235,19,28,172003529,1766,1,0,4,732,403330316,5,1613256520,18,29,7,13,112,882,0,0,0,127425164,5187,6960496600,0,882,559,3,1,14,14,1196,3,6956982807,6739039529,189055071,409134242,409134242,1,3,1,21274980616,73389,73389,14,14,14,409134246,8,3,228456,1745784,2220869,57780,6956982807,1698595,125209118,2167
847580.50,2,253952,62,334595,22042660232,12,63429582,1308,15,15,5205,2191,1,918,1754780,26,131391,19,28,177996596,1838,1,0,4,732,416583643,5,1666269872,18,29,7,13,112,918,0,0,0,131753918,5258,7184377526,0,918,568,3,1,14,14,1196,3,7180055915,6960293869,195159647,422592366,422592366,1,3,1,21974803064,73389,73389,14,14,14,422592370,8,3,230599,1803550,2302951,59594,7180055915,1754780,129455951,2253
849585.47,2,253952,62,345368,22751539202,12,65166192,1361,15,15,5205,2278,1,981,1816567,26,135616,19,28,188824991,1964,1,0,4,732,429906978,5,1719627912,18,29,7,13,112,981,0,0,0,136048202,5392,7432033598,0,981,589,3,1,14,14,1196,3,7427697993,7185599140,201129144,436089735,436106119,1,3,1,22676666252,73389,73389,14,14,14,436089739,8,3,235608,1867017,2384023,61677,7427697993,1816567,133669334,2416
851590.26,2,253952,62,355930,23447495026,12,66930845,1403,15,15,5205,2326,1,1017,1873199,26,139733,19,28,195251035,2036,1,0,4,732,443023651,5,1772094604,18,29,7,13,112,1017,0,0,0,140314338,5447,7662059404,0,1017,609,3,1,14,14,1196,3,7657035721,7405044471,207219506,449443522,449459906,1,3,1,23371063176,73389,73389,14,14,14,449443526,8,3,240755,1925219,2449105,63542,7657035721,1873199,137870540,2508
853594.76,2,253952,62,363642,23955152934,13,68928306,1444,15,15,5205,2389,1,1071,1916196,26,142746,19,28,204427341,2144,1,0,4,732,452572306,5,1810289224,18,29,7,13,112,1071,0,0,0,143274147,5528,7838414123,0,1071,633,3,1,14,14,1196,3,7833409237,7566268524,212175364,459111353,459111353,1,3,1,23873790388,73389,73389,14,14,14,459111357,8,3,241766,1969417,2494034,65032,7833409237,1916196,140785540,2636
855599.73,2,253952,62,373425,24599697420,13,70831613,1479,16,16,5205,2437,1,1125,1970835,26,146573,19,28,213828502,2252,1,0,4,732,464718146,5,1858872584,18,30,7,13,112,1125,0,0,0,147160816,5633,8055035131,0,1125,653,3,1,14,14,1196,3,8050279854,7770352737,217964414,471430789,471447173,1,3,1,24514401060,73389,73389,14,14,14,471430793,8,3,248548,2025548,2559121,66804,8050279854,1970835,144607260,2774
857604.37,2,253952,62,384128,25305714308,13,72563942,1526,16,16,5205,2518,1,1179,2033272,26,150761,19,28,223132957,2360,1,0,4,732,477947977,5,1911791908,18,30,7,13,112,1179,0,0,0,151461447,5791,8298054860,0,1179,671,3,1,14,14,1196,3,8293128553,7994410520,223998159,484882436,484898820,1,3,1,25213886704,73389,73389,14,14,14,484882440,8,3,251258,2089626,2630134,68837,8293128553,2033272,148837049,2908
859609.56,3,253952,62,394792,26007875350,13,74063104,1574,16,16,5205,2571,1,1215,2093043,26,154918,19,28,230056366,2432,1,0,4,732,491170634,5,1964682536,18,30,7,13,112,1215,0,0,0,155726514,5926,8535877827,0,1215,690,3,1,14,14,1196,3,8530536373,8216976930,229744590,498299600,498315984,1,3,1,25911579232,73389,73389,14,14,14,498299604,8,3,257545,2151072,2701165,70776,8530536373,2093043,153031255,3006
861614.81,3,253952,62,401510,26449545854,15,76393227,1591,18,18,5205,2627,1,1260,2132562,26,157543,19,28,238084698,2522,1,0,4,732,499455316,5,1997821264,18,32,7,13,112,1260,0,0,0,158288929,6020,8700063455,0,1260,712,3,1,14,14,1196,3,8694758767,8357517661,234595950,506695956,506695956,1,3,1,26348189744,73389,73389,14,14,14,506695960,8,3,262775,2191647,2756955,72163,8694758767,2132562,155537978,3109
863619.96,3,253952,62,412331,27164032016,15,78031094,1643,18,18,5205,2681,1,1260,2197259,26,161752,19,28,239049978,2522,1,0,4,732,512859433,5,2051437732,18,32,7,13,112,1260,0,0,0,162648619,6480,8959160935,0,1260,712,3,1,14,14,1196,3,8953424942,8585152625,240648719,520274357,520274357,1,3,1,27054266596,73389,73389,14,14,14,520274361,8,3,267610,2258107,2810775,74278,8953424942,2197259,159844007,3109
865625.38,3,253952,62,422953,27863425294,15,79720669,1686,18,18,5205,2760,1,1521,2266116,26,165854,19,28,284734844,3044,1,0,4,732,525844465,5,2103313308,18,32,7,13,112,1521,0,0,0,166964428,6770,9221800601,0,1521,827,3,1,14,14,1196,3,9216153599,8809006427,246653879,533476814,533476814,1,3,1,27740794360,73389,73389,14,14,14,533476818,8,3,271728,2328718,2898718,76477,9216153599,2266116,164072040,3804
867629.69,3,253952,62,430526,28362978362,16,81461624,1714,18,18,5205,2810,1,1755,2313037,26,168804,19,28,325555675,3512,1,0,4,732,535167444,5,2140669776,18,32,7,13,112,1755,0,0,0,170000970,6904,9403542412,0,1755,922,3,1,14,14,1196,3,9398158998,8968466594,251430695,542953626,542953626,1,3,1,28233588584,73389,73389,14,14,14,542953630,8,3,273620,2376835,2962646,78002,9398158998,2313037,167044773,4353
869634.92,3,253952,62,439805,28974899762,16,83725993,1754,19,19,5205,2865,1,1989,2373239,26,172403,19,28,367392177,3980,1,0,4,732,546586032,5,2186279452,18,33,7,13,112,1989,0,0,0,173844122,7028,9626117658,0,1989,1085,3,1,14,14,1196,3,9620063746,9163826045,257482064,554513365,554513365,1,3,1,28834695012,73389,73389,14,14,14,554513369,8,3,282636,2438609,3050635,79842,9620063746,2373239,170800092,4954
871639.87,3,253952,62,446377,29407025898,17,85851061,1776,19,19,5205,2912,1,2322,2413081,26,174940,19,28,423776550,4646,1,0,4,732,554601197,5,2218340200,18,33,7,13,112,2322,0,0,0,176442924,7111,9788705461,0,2322,1330,3,1,14,14,1196,3,9782025481,9301885221,262261579,562708795,562708795,1,3,1,29260857372,73389,73389,14,14,14,562708799,8,3,284108,2479522,3098752,81181,9782025481,2413081,173350882,5691
873644.96,3,253952,62,456701,30087408286,17,87787969,1824,20,20,5205,2969,1,2403,2480833,26,178950,19,28,439771608,4808,1,0,4,732,567353021,5,2269347472,18,34,7,13,112,2403,0,0,0,180743649,7294,10037502893,0,2403,1399,3,1,14,14,1196,3,10031174065,9518815493,268473459,575593479,575609863,1,3,1,29930860940,73389,73389,14,14,14,575593483,8,3,288697,2549019,3177633,83228,10031174065,2480833,177572905,5902
875649.46,3,253952,62,467396,30792478576,17,89404994,1887,20,20,5205,3046,1,2403,2556042,26,183102,19,28,441086802,4808,1,0,4,732,580474936,5,2321835208,18,34,7,13,112,2403,0,0,0,185107606,7603,10310369974,0,2403,1399,3,1,14,14,1196,3,10304903148,9744649693,274451907,588918372,588934756,1,3,1,30623755376,73389,73389,14,14,14,588918376,8,3,293571,2626127,3256466,85511,10304903148,2556042,181858207,5902
877379.93,3,253952,62,476208,31373143100,17,90915324,1923,20,20,5205,3127,1,2403,2606145,26,186584,26,28,449983789,4815,1,1225,4,732,591599349,5,2366397396,25,41,7,18,133,2403,1,1225,95,188824978,7789,10510367406,8,2403,1399,3,1,14,14,1196,3,10503187047,9928265063,475618289,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,8,3,298396,2677615,3325299,87105,10503187047,2606145,185506888,5902
