timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
76699.04,1,253952,62,94647,6232989932,2,17102995,0,479,5,5,4742,678,2,621,541863,16,37225,19,36,121672109,1244,1,0,4,526,117889502,7,471558008,18,19,14,106,621,0,0,39985038,1014,2006632812,0,621,277,3,1,14,14,970,0,3,2006162710,1966257294,57078845,119618835,119618835,1,3,1,0,6220179452,73389,73389,14,14,14,119618839,6,3,130751,556916,841248,16742,2006162710,541863,39145445,1337
78704.59,1,253952,62,100921,6648506556,3,19664230,0,492,5,5,4742,691,2,621,573479,16,39672,19,36,125352239,1244,1,0,4,526,125742672,7,502906084,18,19,14,106,621,0,0,42458510,1056,2141873782,0,621,277,3,1,14,14,970,0,3,2140131794,2097408929,62113334,127584001,127584001,1,3,1,0,6634368084,73389,73389,14,14,14,127584005,6,3,136131,589421,883244,17795,2140131794,573479,41577017,1337
80710.19,1,253952,62,111168,7323830606,3,21001328,0,558,6,6,4742,782,2,621,633466,16,43743,19,36,125352239,1244,1,0,4,526,138559006,7,554236024,18,20,14,106,621,0,0,46963663,1144,2356383229,0,621,277,3,1,14,14,970,0,3,2354440107,2310222802,67955065,140566989,140566989,1,3,1,0,7309483460,73389,73389,14,14,14,140566993,6,3,139962,651084,953088,19617,2354440107,633466,46012523,1337
82715.46,1,253952,62,121481,8003154250,3,22456608,0,626,6,6,4742,825,2,621,693860,16,47761,19,36,125352239,1244,1,0,4,526,151411182,7,605580016,18,20,14,106,621,0,0,51517698,1317,2568767251,0,621,277,3,1,14,14,970,0,3,2566881167,2524418271,73963091,153601288,153601288,1,3,1,0,7987267008,73389,73389,14,14,14,153601292,6,3,143806,713169,1024985,21338,2566881167,693860,50494865,1337
84720.64,1,253952,62,131868,8687327558,3,23991845,0,685,6,6,4742,912,8,621,753756,16,51870,19,36,125352239,1244,1,0,4,526,164358659,7,657434636,18,20,14,106,621,0,0,55966851,1406,2790907436,0,621,277,3,1,14,14,970,0,3,2789224372,2740032324,79926772,166733891,166750275,1,3,1,0,8670162364,73389,73389,14,14,14,166733895,6,3,147452,774820,1098828,23218,2789224372,753756,54870367,1337
86725.84,1,253952,62,141948,9352032878,3,25512436,0,744,6,6,4742,957,8,657,814085,16,55819,19,36,131662211,1316,1,0,4,526,176938640,7,707689960,18,20,14,106,657,0,0,60484052,1500,3001454230,0,657,300,3,1,14,14,970,0,3,2999312834,2949623826,85982418,179509920,179509920,1,3,1,0,9334515872,73389,73389,14,14,14,179509924,6,3,151643,836823,1185697,24921,2999312834,814085,59300901,1438
88731.79,2,253952,62,151877,10005083812,3,26952322,0,822,6,6,4742,1045,8,720,878621,16,59747,19,36,142720425,1442,1,0,4,526,189293883,7,757175532,18,20,14,106,720,0,0,65070426,1855,3217333188,0,720,325,3,1,14,14,970,0,3,3214854462,3155666279,92006583,192040633,192040633,1,3,1,0,9986112948,73389,73389,14,14,14,192040637,6,3,154499,903148,1269756,26763,3214854462,878621,63803423,1613
90736.79,2,253952,62,158194,10421246604,4,29299999,0,838,6,6,4742,1063,8,720,909227,16,62210,19,36,142732491,1442,1,0,4,526,197177894,7,788711576,18,20,14,106,720,0,0,67607806,1961,3340195886,0,720,325,3,1,14,14,970,0,3,3337882550,3286654867,96891208,200037296,200037296,1,3,1,0,10401939424,73389,73389,14,14,14,200037300,6,3,155049,934655,1305722,27739,3337882550,909227,66304933,1613
92742.32,2,253952,62,168286,11085495558,4,30537164,0,911,7,7,4742,1151,8,720,975840,16,66180,19,36,143359923,1442,1,0,4,526,209710512,7,838777584,18,21,14,106,720,0,0,72185900,6028,3563104542,0,720,325,3,1,14,14,970,0,3,3560591843,3496510690,102709730,212748233,212764617,1,3,1,0,11062908148,73389,73389,14,14,14,212748237,6,3,159540,1003093,1394672,29628,3560591843,975840,70794283,1613
94748.75,2,253952,62,178321,11746563996,4,31684002,0,1005,7,7,4742,1199,8,720,1043844,16,70113,19,36,143661573,1442,1,0,4,526,222239863,7,888894864,18,21,14,106,720,0,0,77064165,10880,3776038437,0,720,325,3,1,14,14,970,0,3,3772794644,3704973939,108735351,225471236,225471236,1,3,1,0,11724504304,73389,73389,14,14,14,225471240,6,3,161584,1072895,1473544,31348,3772794644,1043844,75593892,1613
96754.41,2,253952,62,188189,12397387750,4,32728625,0,1092,7,7,4742,1241,8,738,1111933,16,73977,19,36,147540531,1478,1,0,4,526,234561655,7,938181988,18,21,14,106,738,0,0,81845858,14709,3981725881,0,738,337,3,1,14,14,970,0,3,3980225244,3910087315,114489200,237968737,237968737,1,3,1,0,12374374356,73389,73389,14,14,14,237968741,6,3,163578,1142778,1559487,33050,3980225244,1111933,80289830,1665
98760.50,2,253952,62,193685,12758976448,6,35388094,0,1107,8,8,4742,1297,8,828,1143098,16,76152,19,36,163096244,1658,1,0,4,526,241360743,7,965442972,18,22,14,106,828,0,0,84113286,14769,4107496459,0,828,394,3,1,14,14,970,0,3,4103964531,4024610889,119487360,244886215,244886215,1,3,1,0,12734083212,73389,73389,14,14,14,244886219,6,3,169250,1174855,1613357,34102,4103964531,1143098,82503474,1916
100766.73,3,253952,62,202463,13337352418,6,36273910,0,1188,9,9,4742,1334,8,837,1210553,16,79584,19,36,164549240,1676,1,0,4,526,252313598,7,1009254392,18,23,14,106,837,0,0,88858482,61308,4286369364,0,837,399,3,1,14,14,970,0,3,4282656186,4206957645,125163890,255989361,255989361,1,3,1,0,13311446804,73389,73389,14,14,14,255989365,6,3,172556,1244013,1716447,35564,4282656186,1210553,87145758,1941
102772.56,3,253952,62,211150,13910452374,6,37392805,0,1291,9,9,4742,1416,8,855,1279952,16,83026,19,36,167546604,1712,1,0,4,526,263143671,7,1052574684,18,23,14,106,855,0,0,93719856,107680,4473960006,0,855,415,3,1,14,14,970,0,3,4470197738,4387838873,131181297,266973501,266973501,1,3,1,0,13882622084,73389,73389,14,14,14,266973505,6,3,174511,1315226,1794435,37148,4470197738,1279952,91929330,2005
104780.36,3,253952,62,219338,14450524084,6,38696095,0,1369,9,9,4742,1453,8,855,1346444,16,86242,19,36,167558670,1712,1,0,4,526,273380179,7,1093520716,18,23,14,106,855,0,0,98333716,198938,4652952314,0,855,415,3,1,14,14,970,0,3,4649281364,4557926762,137170777,277353592,277353592,1,3,1,0,14422386816,73389,73389,14,14,14,277353596,6,3,177977,1383454,1853470,38597,4649281364,1346444,96484316,2005
106786.23,4,253952,62,228376,15046615110,6,39916355,0,1458,9,9,4742,1535,8,909,1418011,16,89793,19,36,177166157,1820,1,0,4,526,284581077,7,1138259808,18,23,14,106,909,0,0,103125938,247835,4844805629,0,909,476,3,1,14,14,970,0,3,4840683917,4746782682,143220167,288733107,288749491,1,3,1,0,15014121596,73389,73389,14,14,14,288733111,6,3,180185,1456779,1939432,40234,4840683917,1418011,101190768,2168
108792.11,4,253952,62,237536,15649265430,6,41249838,0,1538,9,9,4742,1576,8,954,1487945,16,93381,19,36,185285998,1910,1,0,4,526,295999094,7,1183931668,18,23,14,106,954,0,0,107781151,292022,5037141524,0,954,527,3,1,14,14,970,0,3,5032829723,4937135312,149241014,300297164,300297164,1,3,1,0,15615452560,73389,73389,14,14,14,300297168,6,3,182484,1528417,2027442,41791,5032829723,1487945,105758159,2295
110797.82,10,253952,62,247010,16273640568,6,42612912,0,1616,9,9,4742,1656,8,999,1562386,16,97108,19,36,193106466,2000,1,0,4,526,307767881,7,1231007056,18,23,14,106,999,0,0,112419048,304093,5250392509,0,999,568,3,1,14,14,970,0,3,5246015227,5134351065,155252570,312233735,312250119,1,3,1,0,16236154252,73389,73389,14,14,14,312233739,6,3,184605,1604648,2109395,43591,5246015227,1562386,110314296,2411
112803.79,10,253952,62,256659,16909448308,6,44066291,0,1688,9,9,4742,1700,8,1017,1632346,16,100876,19,36,196671642,2036,1,0,4,526,319746231,7,1278984924,18,23,14,106,1017,0,0,116976162,308492,5463554557,0,1017,586,3,1,14,14,970,0,3,5459241374,5335460169,161263261,324399682,324416066,1,3,1,0,16868783496,73389,73389,14,14,14,324399686,6,3,189285,1676292,2203303,45315,5459241374,1632346,114777700,2461
114808.38,10,253952,62,266246,17541180750,6,45501433,0,1741,9,9,4742,1773,8,1017,1700310,16,104640,19,36,196985358,2036,1,0,4,526,331690999,7,1326635064,18,23,14,106,1017,0,0,121387743,308777,5672192812,0,1017,586,3,1,14,14,970,0,3,5667441122,5535328706,167109086,336500093,336500093,1,3,1,0,17498004868,73389,73389,14,14,14,336500097,6,3,192371,1745891,2273262,47061,5667441122,1700310,119119520,2461
116813.14,10,253952,62,276484,18215299610,7,47803355,0,1821,10,10,4742,1827,8,1017,1775165,16,108648,20,36,197600724,2036,1,0,4,526,344430632,7,1377658020,19,24,14,115,1017,0,0,126285256,317067,5892773368,0,1017,586,3,1,14,14,970,0,3,5887796973,5748073974,174314393,349421863,349421863,1,3,1,0,18169936908,73389,73389,14,14,14,349421867,6,3,198943,1822598,2367078,48861,5887796973,1775165,123923427,2461
118817.55,10,253952,62,286690,18887912552,7,49220654,0,1894,10,10,4742,1899,8,1017,1847801,16,112656,20,36,197914440,2036,1,0,4,526,357085093,7,1428340372,19,24,14,115,1017,0,0,130885073,317226,6117668793,0,1017,586,3,1,14,14,970,0,3,6112770213,5960903629,180329749,362290163,362306547,1,3,1,0,18839088508,73389,73389,14,14,14,362290167,6,3,202761,1896984,2473086,50739,6112770213,1847801,128417422,2461
120822.21,10,253952,62,297141,19575990580,7,50765082,0,1947,10,10,4742,1959,8,1017,1911449,16,116749,20,36,197926506,2036,1,0,4,526,370099190,7,1480396760,19,24,14,115,1017,0,0,135320564,317439,6336955819,0,1017,586,3,1,14,14,970,0,3,6331991012,6178293077,186308976,375474077,375474077,1,3,1,0,19524652036,73389,73389,14,14,14,375474081,6,3,206000,1962264,2540057,52536,6331991012,1911449,132786128,2461
122826.36,10,253952,62,307589,20264487366,7,52375374,0,2000,10,10,4742,2038,8,1017,1980279,16,120855,20,36,198228156,2036,1,0,4,526,383095608,7,1532382432,19,24,14,115,1017,0,0,139760696,317516,6572989619,0,1017,586,3,1,14,14,970,0,3,6567446018,6395804525,192358846,388653673,388670057,1,3,1,0,20209991028,73389,73389,14,14,14,388653677,6,3,211907,2032821,2620085,54511,6567446018,1980279,137146425,2461
124830.70,10,253952,62,317934,20946258076,7,53991823,0,2049,10,10,4742,2088,8,1017,2043947,16,124904,20,36,198541872,2036,1,0,4,526,395976232,7,1583904928,19,24,14,115,1017,0,0,144146981,317633,6792770160,0,1017,586,3,1,14,14,970,0,3,6787542962,6611098800,198360515,401718581,401734965,1,3,1,0,20889366244,73389,73389,14,14,14,401718585,6,3,216966,2098076,2702121,56298,6787542962,2043947,141450853,2461
126835.56,10,253952,62,328201,21622687724,7,55556136,0,2113,10,10,4742,2168,8,1017,2113414,16,128933,20,36,198578070,2036,1,0,4,526,408713757,7,1634855028,19,24,14,115,1017,0,0,148592502,317754,7023912704,0,1017,586,3,1,14,14,970,0,3,7018645336,6825510215,204362369,414654576,414654576,1,3,1,0,21562037984,73389,73389,14,14,14,414654580,6,3,225046,2169265,2797246,58239,7018645336,2113414,145801441,2461
128840.43,10,253952,62,335204,22085026878,8,57222807,0,2147,10,10,4742,2196,8,1017,2151427,16,131671,20,36,199495086,2036,1,0,4,526,417461019,7,1669844076,19,24,14,115,1017,0,0,151358130,317790,7179873746,0,1017,586,3,1,14,14,970,0,3,7173581372,6971819872,208799500,423494571,423494571,1,3,1,0,22021717724,73389,73389,14,14,14,423494575,6,3,227154,2208270,2840148,59486,7173581372,2151427,148524280,2461
130845.48,10,253952,62,345214,22744203530,9,59187901,0,2220,12,12,4742,2274,8,1017,2212626,16,135596,20,36,199808802,2036,1,0,4,526,429844758,7,1719379032,19,26,14,115,1017,0,0,155684668,317943,7405852158,0,1017,586,3,1,14,14,970,0,3,7400416783,7180740242,215089780,436072277,436105045,1,3,1,0,22675758436,73389,73389,14,14,14,436072281,6,3,233088,2271120,2923301,61390,7400416783,2212626,152767866,2461
132851.81,10,253952,62,355563,23426236384,9,60232379,0,2319,12,12,4742,2328,8,1017,2279388,16,139653,20,36,199808802,2036,1,0,4,526,442758768,7,1771035072,19,26,14,115,1017,0,0,160662514,318092,7623670557,0,1017,586,3,1,14,14,970,0,3,7617899364,7396118093,221109226,449153569,449169953,1,3,1,0,23355985620,73389,73389,14,14,14,449153573,6,3,240239,2339621,3012236,63168,7617899364,2279388,157656996,2461
134856.47,10,253952,62,365855,24104521620,9,61331454,0,2418,12,12,4742,2407,8,1017,2350902,16,143698,20,36,199808802,2036,1,0,4,526,455572802,7,1822161936,19,26,14,115,1017,0,0,165596727,318303,7858668455,0,1017,586,3,1,14,14,970,0,3,7851749088,7610701954,227139649,462152941,462152941,1,3,1,0,24031952964,73389,73389,14,14,14,462152945,6,3,240509,2412961,3089304,65128,7851749088,2350902,162514358,2461
136861.59,10,253952,62,375971,24771224256,9,62839650,0,2484,12,12,4742,2460,8,1017,2412261,16,147646,20,36,199808802,2036,1,0,4,526,468098693,7,1872394772,19,26,14,115,1017,0,0,170086130,318443,8076662282,0,1017,586,3,1,14,14,970,0,3,8070195264,7821765488,233135319,474873785,474890169,1,3,1,0,24693436852,73389,73389,14,14,14,474873789,6,3,243290,2475929,3151420,66918,8070195264,2412261,166941838,2461
138866.24,10,253952,62,386698,25477740134,10,64931837,0,2553,13,13,4742,2542,8,1107,2487137,16,151852,20,36,215132169,2216,1,0,4,526,481417227,7,1925604224,19,27,14,115,1107,0,0,175176259,345777,8327387895,0,1107,634,3,1,14,14,970,0,3,8320313685,8045910857,240342585,488366836,488366836,1,3,1,0,25395075504,73389,73389,14,14,14,488366840,6,3,250316,2552629,3253320,69017,8320313685,2487137,171930290,2691
140871.71,15,253952,62,397560,26193368824,10,66062002,0,2641,13,13,4742,2600,8,1215,2554900,16,156093,20,36,233454307,2432,1,0,4,526,494895775,7,1979583100,19,27,14,115,1215,0,0,180089285,345863,8566019818,0,1215,697,3,1,14,14,970,0,3,8558464021,8272500144,246384612,502054336,502054336,1,3,1,0,26106825504,73389,73389,14,14,14,502054340,6,3,254398,2622159,3328547,70969,8558464021,2554900,176768305,2978
142876.34,15,253952,62,408173,26891584230,10,67180135,0,2720,13,13,4742,2670,8,1350,2622517,16,160232,20,36,256663749,2702,1,0,4,526,507999764,7,2031999056,19,27,14,115,1350,0,0,184733848,346102,8805651832,0,1350,771,3,1,14,14,970,0,3,8799598635,8493989842,252084562,515377514,515393898,1,3,1,0,26799630760,73389,73389,14,14,14,515377518,6,3,256657,2691457,3399450,72974,8799598635,2622520,181342179,3310
144880.92,15,253952,62,414794,27328321530,11,69635745,0,2738,13,13,4742,2707,8,1359,2657188,16,162810,20,36,258744808,2720,1,0,4,526,516218917,7,2064746552,19,27,14,115,1359,0,0,187303153,346168,8955593088,0,1359,775,3,1,14,14,970,0,3,8947866797,8632982204,257168716,523697539,523697539,1,3,1,0,27232272060,73389,73389,14,14,14,523697543,6,3,257220,2727034,3444469,74183,8947866797,2657188,183866553,3329
146885.37,15,253952,62,422614,27843081458,12,71822147,0,2781,14,14,4742,2764,8,1359,2703152,16,165858,20,36,260011738,2720,1,0,4,526,525866147,7,2103464588,19,28,14,115,1359,0,0,190417259,346269,9142122972,0,1359,775,3,1,14,14,970,0,3,9134140712,8796939794,262468428,533463674,533463674,1,3,1,0,27740111080,73389,73389,14,14,14,533463678,6,3,261105,2774216,3496583,75733,9134140712,2703152,186928670,3329
148890.36,15,253952,62,429752,28315257384,13,73920328,0,2814,15,15,4742,2798,8,1359,2743971,16,168660,20,36,260615038,2720,1,0,4,526,534766108,7,2139064432,19,29,14,115,1359,0,0,193351855,346304,9304614339,0,1359,775,3,1,14,14,970,0,3,9296640644,8946183736,267500751,542493800,542510184,1,3,1,0,28209677632,73389,73389,14,14,14,542493804,6,3,265353,2816117,3549587,77056,9296640644,2743971,189810379,3329
150895.17,15,253952,62,436350,28750776940,13,75366251,0,2839,15,15,4742,2849,8,1359,2785829,16,171221,20,36,261869902,2720,1,0,4,526,542870710,7,2171482840,19,29,14,115,1359,0,0,195959228,346354,9473828058,0,1359,775,3,1,14,14,970,0,3,9465752778,9086035815,271553978,550713362,550713362,1,3,1,0,28637094856,73389,73389,14,14,14,550713366,6,3,266665,2859029,3588624,78477,9465752778,2785829,192378822,3329
152902.71,15,253952,62,443268,29205783898,14,76813090,0,2861,17,17,4742,2881,8,1359,2829380,16,173926,20,36,262485268,2720,1,0,4,526,551469672,7,2205878688,19,31,14,115,1359,0,0,198914197,371709,9627892377,0,1359,775,3,1,14,14,970,0,3,9620325625,9229888347,275979061,559435239,559435239,1,3,1,0,29090632460,73389,73389,14,14,14,559435243,6,3,274356,2903656,3655540,79734,9620325625,2829380,195266989,3329
154910.12,15,253952,62,453001,29846264108,14,78009320,0,2954,17,17,4742,2955,8,1359,2918960,16,177692,20,36,262509400,2720,1,0,4,526,563391324,7,2253500692,19,31,14,115,1359,0,0,203746750,384813,9870282447,0,1359,775,3,1,14,14,970,0,3,9862022115,9434643501,282017628,571542127,571542127,1,3,1,0,29720190636,73389,73389,14,14,14,571542131,6,3,279988,2995270,3766577,81772,9862022115,2918960,199988706,3329
156916.16,16,253952,62,462412,30465582806,14,79079502,0,3048,17,17,4742,3010,9,1467,3002423,16,181351,20,36,281347478,2936,1,0,4,526,575016696,7,2300002172,19,31,14,115,1467,0,0,208659266,426442,10096042684,0,1467,876,3,1,14,14,970,0,3,10087586662,9631566358,288031333,583317017,583317017,1,3,1,0,30332484916,73389,73389,14,14,14,583317021,6,3,286100,3080727,3886557,83650,10087586662,3002423,204781431,3701
158921.20,21,253952,62,472021,31097926376,14,80173904,0,3137,17,17,4742,3060,9,1647,3072612,16,185079,20,36,312522504,3296,1,0,4,526,586861575,7,2347446300,19,31,14,115,1647,0,0,213507513,447061,10313821719,0,1647,1028,3,1,14,14,970,0,3,10306759330,9832672574,293990039,595346933,595346933,1,3,1,0,30957188580,73389,73389,14,14,14,595330553,6,3,286581,3152793,3961327,85465,10306759330,3072612,209555119,4299
160270.40,21,253952,62,475716,31340465012,16,82252457,1,3146,17,17,4742,3129,10,1674,3092665,16,186584,27,47,324948424,3357,1,1225,4,526,591599349,7,2366397396,26,38,19,153,1674,1225,84,215157337,447126,10396434434,8,1674,1039,3,1,14,14,970,103620349,3,10387448287,9908669258,504931933,600037902,600037902,1,3,1,103620349,31201970936,73389,73389,14,14,14,600037906,6,3,294221,3173415,3996795,86111,10387448287,3092665,211169544,4389
