timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
70643.52,1,253952,62,260443,17157530118,6,48108213,906,9,9,6163,1704,756,1267012,0,23,102333,19,35,150177286,1514,1,0,4,480,324469972,5,1297879888,18,23,14,88,756,0,0,100249283,3783,5548491130,0,756,300,0,3,1,14,14,901,3,5545036161,5413670186,148345007,329179936,329179936,1,3,1,17117356704,73389,73389,14,14,14,329179940,4,3,185333,1300007,1675742,45973,5545036161,1267012,98577466,1434
72647.93,1,253952,62,269498,17755374754,6,49357070,970,9,9,6163,1780,801,1319526,0,23,105888,19,35,158307825,1604,1,0,4,480,335698884,5,1342795536,18,23,14,88,801,0,0,104208908,3900,5744218635,0,801,335,0,3,1,14,14,901,3,5740312412,5602951346,153551718,340602126,340602126,1,3,1,17710458616,73389,73389,14,14,14,340585746,4,3,188459,1353902,1732863,47620,5740312412,1319526,102480142,1542
74652.70,1,253952,62,276693,18230031368,7,52017434,991,10,10,6163,1832,810,1361015,0,23,108718,19,35,160434213,1622,1,0,4,480,344659071,5,1378507020,18,24,14,88,810,0,0,107131470,3961,5908188178,0,810,342,0,3,1,14,14,901,3,5904964633,5753559375,159100058,349657272,349657272,1,3,1,18182178176,73389,73389,14,14,14,349657276,4,3,193869,1396460,1791904,49001,5904964633,1361015,105343780,1561
76657.68,4,253952,62,286555,18879484560,7,53381577,1057,10,10,6163,1889,810,1419187,0,23,112594,19,35,160434213,1622,1,0,4,480,356961542,5,1427781880,18,24,14,88,810,0,0,111586085,4077,6115465373,0,810,342,0,3,1,14,14,901,3,6111378048,5958201095,164950640,362120290,362136674,1,3,1,18830255112,73389,73389,14,14,14,362120294,4,3,197447,1456122,1857910,50710,6111378048,1419187,109732584,1561
78662.66,4,253952,62,292769,19290188206,8,55945549,1072,10,10,6163,1947,810,1452655,0,23,115056,19,35,160434213,1622,1,0,4,480,364708393,5,1458768832,18,24,14,88,810,0,0,114049064,4177,6261552871,0,810,342,0,3,1,14,14,901,3,6257109688,6088524528,169976592,369977245,369977245,1,3,1,19238816772,73389,73389,14,14,14,369977249,4,3,200456,1490431,1906897,51957,6257109688,1452655,112146669,1561
80668.16,4,253952,62,302790,19949723774,8,57248633,1126,11,11,6163,1991,810,1515720,0,23,118969,19,35,160434213,1622,1,0,4,480,377192884,5,1508706704,18,25,14,88,810,0,0,118532078,4324,6471332387,0,810,342,0,3,1,14,14,901,3,6467134677,6296505433,175762817,382639030,382639030,1,3,1,19897229592,73389,73389,14,14,14,382639034,4,3,206761,1555109,1986833,53676,6467134677,1515720,116549943,1561
82673.22,4,253952,62,312512,20589422758,8,58724950,1192,11,11,6163,2074,810,1577504,0,23,122779,19,35,160434213,1622,1,0,4,480,389228380,5,1556849060,18,25,14,88,810,0,0,123089119,4488,6689281259,0,810,342,0,3,1,14,14,901,3,6685103695,6499447302,181794725,394844222,394844222,1,3,1,20531899576,73389,73389,14,14,14,394844226,4,3,209605,1618457,2067834,55537,6685103695,1577504,121026184,1561
84678.98,4,253952,62,322289,21234246538,8,60259393,1249,11,11,6163,2116,810,1633949,0,23,126611,19,35,160735863,1622,1,0,4,480,401442270,5,1605704436,18,25,14,88,810,0,0,127566986,4625,6899034872,0,810,342,0,3,1,14,14,901,3,6894272689,6702623266,187805276,407235227,407235227,1,3,1,21176231836,73389,73389,14,14,14,407235231,4,3,213705,1676392,2149836,57242,6894272689,1633949,125422242,1561
86684.66,4,253952,62,331792,21859593138,8,61797122,1321,11,11,6163,2196,810,1696238,0,23,130345,19,35,160735863,1622,1,0,4,480,413199817,5,1652799268,18,25,14,88,810,0,0,132048889,4813,7114918471,0,810,342,0,3,1,14,14,901,3,7110358611,6900830984,193798911,419161891,419178275,1,3,1,21796418364,73389,73389,14,14,14,419161895,4,3,220073,1740261,2220831,59088,7110358611,1696238,129833344,1561
88689.90,4,253952,62,341211,22479411992,8,63221134,1398,11,11,6163,2239,819,1757335,0,23,134014,19,35,162234513,1640,1,0,4,480,424882100,5,1699528400,18,25,14,88,819,0,0,136652605,7979,7314563867,0,819,344,0,3,1,14,14,901,3,7309780297,7096592924,199817963,431043277,431043277,1,3,1,22414250436,73389,73389,14,14,14,431043281,4,3,225219,1802907,2298865,60723,7309780297,1757335,134359209,1587
90694.50,4,253952,62,347478,22892937482,9,65255724,1415,11,11,6163,2298,873,1793248,0,23,136487,19,35,171487445,1748,1,0,4,480,432666860,5,1730667440,18,25,14,88,873,0,0,139254616,8022,7462817472,0,873,356,0,3,1,14,14,901,3,7457310679,7227827446,204487800,438937318,438937318,1,3,1,22824740568,73389,73389,14,14,14,438937322,4,3,227846,1839777,2342920,61980,7457310679,1793248,136917266,1709
92699.75,4,253952,62,356896,23512601254,9,66935474,1481,12,12,6163,2337,927,1858099,4,23,140157,19,35,180959442,1856,1,0,4,480,444389491,5,1777557964,18,26,14,88,927,0,0,143759439,24440,7664164839,0,923,396,4,3,1,14,14,901,3,7658731279,7423529875,210688187,450812671,450812671,1,3,1,23442258924,73389,73389,14,14,14,450812675,4,3,234266,1906138,2434805,63610,7658731279,1858099,141330399,1860
94705.82,4,253952,62,366522,24147387492,9,68093565,1571,12,12,6163,2387,981,1935795,4,23,143901,19,35,190476136,1964,1,0,4,480,456265109,5,1825060436,18,26,14,88,981,0,0,148631247,28718,7884812781,0,977,433,4,3,1,14,14,901,3,7879709190,7625197085,216700651,462906605,462906605,1,3,1,24070291524,73389,73389,14,14,14,462890225,4,3,236219,1985549,2521882,65426,7879709190,1935795,146115330,2011
96711.71,5,253952,62,375932,24766651310,9,69134444,1658,12,12,6163,2465,1053,2014368,6,23,147579,19,35,202057808,2108,1,0,4,480,467878794,5,1871450436,18,26,14,88,1053,0,0,153457924,40141,8107114890,0,1047,477,6,3,1,14,14,901,3,8101035492,7822170000,222595227,474685813,474702197,1,3,1,24683662308,73389,73389,14,14,14,474685817,4,3,240190,2065897,2623977,67280,8101035492,2014368,150840107,2213
98717.19,5,253952,62,381375,25125435436,10,71896832,1672,12,12,6163,2483,1089,2044090,6,23,149691,19,35,208699256,2180,1,0,4,480,474629712,5,1898454216,18,26,14,88,1089,0,0,155705526,40471,8227269271,0,1083,490,6,3,1,14,14,901,3,8221498274,7936021966,227605230,481533437,481533437,1,3,1,25039738756,73389,73389,14,14,14,481533441,4,3,242175,2096430,2656035,68253,8221498274,2044090,153055734,2309
100727.89,5,253952,62,390299,25713146090,10,72856900,1750,13,13,6163,2557,1116,2124519,8,23,153194,19,35,213036217,2234,1,0,4,480,485707984,5,1942767296,18,27,14,88,1116,0,0,160419863,61983,8442169481,0,1108,516,8,3,1,14,14,901,3,8436348595,8122353286,233294550,492753430,492753430,1,3,1,25623178392,73389,73389,14,14,14,492753434,4,3,247953,2178663,2743027,70055,8436348595,2124519,157683263,2393
102734.58,5,253952,62,399301,26307023256,10,73964308,1849,13,13,6163,2602,1134,2205302,8,23,156720,19,35,216803183,2270,1,0,4,480,496922440,5,1987560492,18,27,14,88,1134,0,0,165304384,114677,8638300695,0,1126,533,8,3,1,14,14,901,3,8632791033,8309997084,239321061,504126468,504126468,1,3,1,26214576368,73389,73389,14,14,14,504126472,4,3,251689,2261188,2851254,71656,8632791033,2205302,162459742,2455
104740.83,5,253952,62,407864,26869754606,10,75258960,1931,13,13,6163,2677,1179,2290650,8,23,160058,19,35,224647028,2360,1,0,4,480,507429816,5,2029719264,18,27,14,88,1179,0,0,169930124,223737,8843549157,0,1171,581,8,3,1,14,14,901,3,8837629550,8489556934,245330887,514790923,514790923,1,3,1,26769128028,73389,73389,14,14,14,514790927,4,3,254393,2348291,2956044,73395,8837629550,2290650,166980857,2597
106747.45,5,253952,62,416856,27464266830,10,76489242,2017,13,13,6163,2720,1188,2372218,8,23,163575,19,35,226749197,2378,1,0,4,480,518611129,5,2074444516,18,27,14,88,1188,0,0,174708159,270352,9043932168,0,1180,589,8,3,1,14,14,901,3,9037563247,8678125358,251370711,526124716,526124716,1,3,1,27358485264,73389,73389,14,14,14,526124720,4,3,257180,2431601,3037130,75024,9037563247,2372218,171677992,2628
108755.66,5,253952,62,426184,28077818848,10,77806638,2095,13,13,6163,2768,1188,2453378,8,23,167212,19,35,227062913,2378,1,0,4,480,530195234,5,2120780936,18,27,14,88,1188,0,0,179361270,313492,9252591877,0,1180,589,8,3,1,14,14,901,3,9246021020,8871979307,257377729,537873315,537889699,1,3,1,27969412412,73389,73389,14,14,14,537873319,4,3,260478,2514464,3128273,76732,9246021020,2453378,176240143,2628
110761.23,5,253952,62,435934,28720318120,10,79169247,2177,13,13,6163,2844,1224,2539179,8,23,171007,19,35,234009527,2450,1,0,4,480,542167499,5,2168669996,18,27,14,88,1224,0,0,184022361,316778,9485881721,0,1216,611,8,3,1,14,14,901,3,9478729692,9077107085,263400559,550047454,550047454,1,3,1,28602467640,73389,73389,14,14,14,550047458,4,3,265592,2602017,3245264,78689,9478729692,2539179,180784449,2742
112767.70,5,253952,62,445841,29372588872,10,80633739,2245,13,13,6163,2892,1386,2613168,8,23,174850,19,35,261574842,2774,1,0,4,480,554406815,5,2217562792,18,27,14,88,1386,0,0,188565607,320054,9719668797,0,1378,706,8,3,1,14,14,901,3,9712972487,9284627188,269410842,562463035,562463035,1,3,1,29248077852,73389,73389,14,14,14,562463039,4,3,268920,2677689,3329394,80606,9712972487,2613168,185243761,3209
114772.43,5,253952,62,455599,30014309304,10,82112536,2304,13,13,6163,2967,1764,2684323,8,23,178617,19,35,325911454,3530,1,0,4,480,566331147,5,2265259872,18,27,14,88,1764,0,0,192992799,320145,9965229382,0,1756,911,8,3,1,14,14,901,3,9957947628,9490323848,275314654,574557857,574557857,1,3,1,29877008596,73389,73389,14,14,14,574557861,4,3,274611,2750522,3410359,82644,9957947628,2684323,189590188,4271
116777.10,5,253952,62,465825,30688447646,10,83363709,2389,13,13,6163,3023,1944,2760125,8,23,182577,19,35,359395409,3890,1,0,4,480,578873475,5,2315429244,18,27,14,88,1944,0,0,197865072,320694,10210104462,0,1936,1037,8,3,1,14,14,901,3,10202746708,9705266882,281423095,587333442,587333442,1,3,1,30541339016,73389,73389,14,14,14,587333446,4,3,277193,2828047,3499464,84661,10202746708,2760125,194373566,4812
118782.66,5,253952,62,475851,31349288240,10,84778080,2466,13,13,6163,3121,2178,2830691,8,23,186507,19,35,400910376,4358,1,0,4,480,591421621,5,2365621716,18,27,14,88,2178,0,0,202485025,320838,10448324496,0,2170,1187,8,3,1,14,14,901,3,10440633538,9915612411,287469489,599890446,599890446,1,3,1,31194303224,73389,73389,14,14,14,599890450,4,3,280309,2900244,3588444,86582,10440633538,2830691,198904740,5441
118833.08,5,253952,62,475972,31357230162,10,84803113,2467,13,13,6163,3127,2178,2831562,8,23,186584,26,35,408262915,4365,1,1225,4,480,591599349,5,2366397396,25,34,18,112,2178,1225,80,202602859,320838,10451872802,8,2170,1187,8,3,1,14,14,901,3,10443779266,9918161906,387925726,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,4,3,280331,2901137,3588470,86606,10443779266,2831562,199022553,5441
