timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
343823.59,12,253952,62,93964,6188026900,0,11215272,888,3,3,3850,650,0,657,703242,4,7,36910,18,127505911,1316,1,0,4,1242,116932406,8,467729624,17,17,0,14,187,657,0,0,48403916,219963,2003474891,0,653,718,4,3,1,14,14,1808,0,3,2001641132,1953080997,59793388,118683418,118683418,1,3,1,0,6171537768,73389,73389,14,14,14,118683422,11,3,126058,720055,1039783,16690,2001641132,703242,47366098,2029
345828.67,12,253952,62,100434,6613335882,2,13641352,905,4,4,3850,713,0,657,739136,4,7,39459,18,128471191,1316,1,0,4,1242,124953722,8,499750268,17,18,0,14,187,657,0,0,50949251,220010,2151148907,0,653,718,4,3,1,14,14,1808,0,3,2150017160,2087493189,64764646,126836173,126836173,1,3,1,0,6594629060,73389,73389,14,14,14,126819793,11,3,130772,756945,1076866,17959,2150017160,739136,49874449,2029
347833.82,12,253952,62,110724,7293058626,2,15088585,981,5,5,3850,755,1,657,803628,4,7,43475,19,131258437,1316,1,0,4,1242,137760446,8,551041784,18,19,0,14,200,657,0,0,55466006,220649,2369720011,0,653,718,4,3,1,14,14,1808,0,3,2368258677,2302324543,70723185,139824750,139841134,1,3,1,0,7270887032,73389,73389,14,14,14,139824754,11,3,133923,822968,1135851,19724,2368258677,803628,54332415,2029
349838.43,13,253952,62,120806,7956893540,2,16666506,1035,5,5,3850,842,5,666,869266,4,7,47456,19,132757462,1334,1,0,4,1242,150298801,8,601195204,18,19,0,14,200,666,0,0,59909391,225875,2590135676,0,662,723,4,3,1,14,14,1808,0,3,2587677686,2512389515,76749712,152541720,152541720,1,3,1,0,7932169472,73389,73389,14,14,14,152541724,11,3,136670,890197,1216934,21589,2587677686,869266,58694917,2054
351843.71,13,253952,62,130959,8624544672,2,18213850,1099,5,5,3850,884,5,702,934146,4,7,51401,19,139301148,1406,1,0,4,1242,162906433,8,651496540,18,19,0,14,200,702,0,0,64364290,226074,2811617841,0,698,737,4,3,1,14,14,1808,0,3,2809488620,2723749983,82751692,165311716,165311716,1,3,1,0,8596209264,73389,73389,14,14,14,165311720,11,3,139290,956633,1289032,23392,2809488620,934146,63077907,2147
353848.58,13,253952,62,141132,9295634424,2,19840816,1158,5,5,3850,969,5,711,1003808,4,7,55406,19,141346716,1424,1,0,4,1242,175508588,8,701969888,18,19,0,14,200,711,0,0,68754340,232983,3042462983,0,707,743,4,3,1,14,14,1808,0,3,3040403863,2936419672,88669695,178110162,178126546,1,3,1,0,9261728456,73389,73389,14,14,14,178110166,11,3,141355,1027951,1359086,25329,3040403863,1003808,67398095,2171
355852.57,13,253952,62,149768,9863883794,3,22083706,1213,5,5,3850,998,5,720,1052713,4,7,58747,19,142845877,1442,1,0,4,1242,186196856,8,744722892,18,19,0,14,200,720,0,0,72263439,233053,3234827738,0,716,751,4,3,1,14,14,1808,0,3,3231841824,3116489260,94524137,188982217,188982217,1,3,1,0,9827075316,73389,73389,14,14,14,188982221,11,3,145778,1078108,1427911,26863,3231841824,1052713,70838507,2192
357857.56,13,253952,62,157967,10404061034,3,23590226,1235,6,6,3850,1071,5,738,1098924,4,7,61975,19,146157534,1478,1,0,4,1242,196354844,8,785419376,18,20,0,14,200,738,0,0,75534067,233115,3417691870,0,734,761,4,3,1,14,14,1808,0,3,3414580511,3288058537,99301157,199268322,199268322,1,3,1,0,10361952776,73389,73389,14,14,14,199268326,11,3,148827,1125490,1477912,28408,3414580511,1098924,74059256,2240
359862.05,13,253952,62,168463,11095993132,3,25265540,1282,6,6,3850,1114,5,738,1164670,4,7,66057,19,146784966,1478,1,0,4,1242,209392985,8,837571940,18,20,0,14,200,738,0,0,79847486,233309,3655077927,0,734,761,4,3,1,14,14,1808,0,3,3651800858,3507345756,105288481,212478527,212478527,1,3,1,0,11048883436,73389,73389,14,14,14,212478531,11,3,149675,1192792,1558866,30331,3651800858,1164670,78291891,2240
361866.79,18,253952,62,177544,11693985190,4,27594544,1334,6,6,3850,1190,5,792,1219068,4,7,69606,19,156089082,1586,1,0,4,1242,220600211,8,882400844,18,20,0,14,200,792,0,0,83473362,233378,3866931896,0,788,789,4,3,1,14,14,1808,0,3,3863512482,3697240320,111241911,223878744,223878744,1,3,1,0,11641694720,73389,73389,14,14,14,223878748,11,3,153206,1248542,1609749,32095,3863512482,1219068,81867024,2381
363870.51,18,253952,62,183973,12118127512,4,29070063,1374,6,6,3850,1250,5,855,1249473,4,7,72157,19,167520180,1712,1,0,4,1242,228628143,8,914447992,18,20,0,14,200,855,0,0,85992689,233422,4001078038,0,851,817,4,3,1,14,14,1808,0,3,3997825628,3831401643,115236064,231987936,231987936,1,3,1,0,12063372704,73389,73389,14,14,14,231987940,11,3,248354,1279769,1775777,33241,3997825628,1249473,84220423,2519
365874.62,18,253952,62,193116,12720134538,4,30687447,1403,7,7,3850,1283,5,873,1295942,4,7,75730,19,171086823,1748,1,0,4,1242,240038204,8,960088184,18,21,0,14,200,873,0,0,89691322,233486,4195975726,0,869,825,4,3,1,14,14,1808,0,3,4193284762,4020945965,120552405,243560185,243560185,1,3,1,0,12665129652,73389,73389,14,14,14,243560189,11,3,256388,1327521,1832784,34812,4193284762,1295942,87862197,2564
367879.72,18,253952,62,203242,13387109608,4,32432721,1446,7,7,3850,1368,5,882,1353659,4,7,79704,19,173211871,1766,1,0,4,1242,252556053,8,1010224212,18,21,0,14,200,882,0,0,93977842,233548,4430561168,0,878,830,4,3,1,14,14,1808,0,3,4427655986,4233026622,126582478,256256453,256256453,1,3,1,0,13325335588,73389,73389,14,14,14,256256457,11,3,258534,1386869,1883747,36792,4427655986,1353659,92097917,2590
369884.02,18,253952,62,213887,14088842768,4,34158071,1495,7,7,3850,1413,5,882,1414259,4,7,83841,19,173211871,1766,1,0,4,1242,265742137,8,1062968548,18,21,0,14,200,882,0,0,98302233,233638,4672230274,0,878,830,4,3,1,14,14,1808,0,3,4668507561,4455480690,132631839,269630498,269663266,1,3,1,0,14020785928,73389,73389,14,14,14,269630502,11,3,262746,1449136,1954751,38748,4668507561,1414259,96351467,2590
371888.34,19,253952,62,223772,14740080806,4,35676581,1536,7,7,3850,1492,5,882,1468227,4,7,87710,19,173549719,1766,1,0,4,1242,277964632,8,1111793736,18,21,0,14,200,882,0,0,102492567,233681,4897115148,0,878,830,4,3,1,14,14,1808,0,3,4893359252,4662186234,138339018,282058589,282058589,1,3,1,0,14667046660,73389,73389,14,14,14,282058593,11,3,264212,1504701,2017818,40642,4893359252,1468227,100478911,2590
373892.52,19,253952,62,230782,15202082356,5,38076945,1558,8,8,3850,1519,5,945,1503469,4,7,90441,19,184980369,1892,1,0,4,1242,286688841,8,1146755364,18,22,0,14,200,945,0,0,105104819,233771,5056062055,0,941,861,4,3,1,14,14,1808,0,3,5053221404,4808227689,143351784,290890836,290890836,1,3,1,0,15126323504,73389,73389,14,14,14,290890840,11,3,266750,1540876,2059876,41935,5053221404,1503469,103049208,2754
375897.36,21,253952,62,241414,15903051196,5,39787317,1612,8,8,3850,1597,5,1053,1563689,4,7,94592,19,204234249,2108,1,0,4,1242,299809142,8,1199171988,18,22,0,14,200,1053,0,0,109402862,233915,5301231356,0,1049,911,4,3,1,14,14,1808,0,3,5297619584,5031004675,149334714,304229954,304229954,1,3,1,0,15819957640,73389,73389,14,14,14,304229958,11,3,270345,1602763,2129946,43966,5297619584,1563689,107277347,3021
377901.82,21,253952,62,252003,16600185258,5,41501947,1664,8,8,3850,1681,6,1053,1624017,4,7,98744,19,205163331,2108,1,0,4,1242,312922403,8,1251625092,18,22,0,14,200,1053,0,0,113689001,234020,5546843250,0,1049,911,4,3,1,14,14,1808,0,3,5542397202,5252680507,155359123,317495788,317512172,1,3,1,0,16509781008,73389,73389,14,14,14,317495792,11,3,272328,1664724,2189853,46008,5542397202,1624017,111503736,3021
379907.10,23,253952,62,262555,17296089022,5,43189187,1712,8,8,3850,1729,6,1071,1685795,4,7,102843,19,208502942,2144,1,0,4,1242,325977079,8,1303908316,18,22,0,14,200,1071,0,0,118023408,234185,5787825105,0,1067,922,4,3,1,14,14,1808,0,3,5784255976,5473464741,161379916,330769370,330769370,1,3,1,0,17199155304,73389,73389,14,14,14,330752990,11,3,274328,1728123,2256959,47962,5784255976,1685795,115771225,3076
381912.13,23,253952,62,272779,17970569374,5,44785103,1767,8,8,3850,1810,6,1233,1750277,4,7,106845,19,237723001,2468,1,0,4,1242,338632669,8,1354465896,18,22,0,14,200,1233,0,0,122448350,234376,6031138662,0,1229,1072,4,3,1,14,14,1808,0,3,6026594584,5688068316,167399628,343572134,343572134,1,3,1,0,17865751000,73389,73389,14,14,14,343572138,11,3,276874,1794239,2317023,49982,6026594584,1750277,120136295,3504
383917.75,24,253952,62,282788,18629499256,5,46359813,1827,8,8,3850,1856,6,1296,1810940,4,7,110748,19,250010741,2594,1,0,4,1242,351031003,8,1404124012,18,22,0,14,200,1296,0,0,126890970,234440,6254777105,0,1292,1124,4,3,1,14,14,1808,0,3,6250168128,5896816770,173415611,356164065,356164065,1,3,1,0,18520531412,73389,73389,14,14,14,356164069,11,3,278835,1856549,2383922,51811,6250168128,1810940,124512209,3673
385924.69,25,253952,62,292349,19259250244,5,47520548,1917,8,8,3850,1934,6,1314,1887336,4,7,114487,19,253624183,2630,1,0,4,1242,362847803,8,1451326484,18,22,0,14,200,1314,0,0,131723006,261324,6480422273,0,1310,1148,4,3,1,14,14,1808,0,3,6475483257,6096679360,179418613,368151947,368151947,1,3,1,0,19143901276,73389,73389,14,14,14,368151951,11,3,280318,1934846,2478811,53709,6475483257,1887336,129249550,3727
387930.54,26,253952,62,301895,19888006126,5,48648741,2012,8,8,3850,1977,6,1314,1962378,4,7,118201,19,254565331,2630,1,0,4,1242,374682662,8,1498730648,18,22,0,14,200,1314,0,0,136611802,277978,6694117064,0,1310,1148,4,3,1,14,14,1808,0,3,6689241650,6295843716,185454983,380156213,380172597,1,3,1,0,19768123108,73389,73389,14,14,14,380156217,11,3,281778,2011673,2564959,55448,6689241650,1962378,134052398,3727
389937.07,27,253952,62,310650,20465248814,5,49904962,2091,8,8,3850,2054,6,1314,2033770,4,7,121630,19,254891113,2630,1,0,4,1242,385481978,8,1541927912,18,22,0,14,200,1314,0,0,141298193,346767,6902279216,0,1310,1148,4,3,1,14,14,1808,0,3,6897473415,6479929660,191443479,391109744,391126128,1,3,1,0,20337706720,73389,73389,14,14,14,391109748,11,3,317709,2084879,2713027,57224,6897473415,2033770,138590909,3727
391943.42,27,253952,62,318594,20989631390,5,51258981,2173,8,8,3850,2088,6,1314,2098811,4,7,124705,19,254891113,2630,1,0,4,1242,395295269,8,1581116448,18,22,0,14,200,1314,0,0,145927231,416777,7084320546,0,1310,1148,4,3,1,14,14,1808,0,3,7078572885,6646340058,197497130,401094460,401110844,1,3,1,0,20856911952,73389,73389,14,14,14,401094464,11,3,322420,2151580,2817206,58697,7078572885,2098811,143115933,3727
393956.67,28,253952,62,326356,21500566098,5,52550191,2258,8,8,3850,2131,6,1314,2166667,4,7,127736,19,254891113,2630,1,0,4,1242,404937923,8,1619687004,18,22,0,14,200,1314,0,0,150532511,537093,7264160441,0,1310,1148,4,3,1,14,14,1808,0,3,7258656423,6808367122,203497229,410860595,410860595,1,3,1,0,21364750972,73389,73389,14,14,14,410860599,11,3,324573,2221181,2897171,60192,7258656423,2166667,147641416,3727
395965.66,28,253952,62,333905,21998699974,5,53790652,2343,8,8,3850,2194,6,1314,2238760,4,7,130693,19,255204829,2630,1,0,4,1242,414251342,8,1657005368,18,22,0,14,200,1314,0,0,155197284,675029,7448432894,0,1310,1148,4,3,1,14,14,1808,0,3,7443259251,6967287074,209529574,420306798,420306798,1,3,1,0,21855953528,73389,73389,14,14,14,420306802,11,3,326679,2295074,3001190,61746,7443259251,2238760,152202330,3727
397976.48,28,253952,62,341225,22480981486,5,55064340,2425,8,8,3850,2230,6,1314,2302052,4,7,133544,19,255542677,2630,1,0,4,1242,423315335,8,1693261340,18,22,0,14,200,1314,0,0,159773831,853903,7611746503,0,1310,1148,4,3,1,14,14,1808,0,3,7606313422,7120268820,215520693,429513718,429513718,1,3,1,0,22334713368,73389,73389,14,14,14,429513722,11,3,328692,2359950,3090180,63083,7606313422,2302052,156690041,3727
399981.81,28,253952,62,346444,22823665434,6,57390619,2441,8,8,3850,2275,6,1314,2335959,4,7,135575,19,255566809,2630,1,0,4,1242,429721678,8,1718886712,18,22,0,14,200,1314,0,0,162119094,854244,7740854967,0,1310,1148,4,3,1,14,14,1808,0,3,7734930129,7229468220,220209408,436030232,436030232,1,3,1,0,22673572096,73389,73389,14,14,14,436030236,11,3,329976,2394747,3128244,64166,7734930129,2335959,158997341,3727
401990.69,28,253952,62,353191,23268418950,6,58666539,2494,9,9,3850,2309,6,1314,2386643,4,7,138212,19,255566809,2630,1,0,4,1242,438137378,8,1752485084,18,23,0,14,200,1314,0,0,165869475,968328,7888501181,0,1310,1148,4,3,1,14,14,1808,0,3,7882571507,7370510209,225356369,444516256,444516256,1,3,1,0,23114845344,73389,73389,14,14,14,444516260,11,3,332474,2446788,3198277,65381,7882571507,2386643,162677817,3727
404001.35,30,253952,62,360558,23754106436,6,60031072,2556,9,9,3850,2348,6,1314,2454123,4,7,141078,19,255566809,2630,1,0,4,1242,447245059,8,1788980236,18,23,0,14,200,1314,0,0,170348085,1168621,8061534413,0,1310,1148,4,3,1,14,14,1808,0,3,8055192737,7524673027,231337809,453753785,453786553,1,3,1,0,23595196852,73389,73389,14,14,14,453753789,11,3,333072,2515991,3267236,66806,8055192737,2454123,167087623,3727
406012.77,31,253952,62,368120,24252561376,6,61352221,2632,9,9,3850,2409,8,1314,2528292,4,7,144032,19,255868459,2630,1,0,4,1242,456564558,8,1826258232,18,23,0,14,200,1314,0,0,174930221,1302325,8243708042,0,1310,1148,4,3,1,14,14,1808,0,3,8237663186,7683895740,237411567,463204306,463220690,1,3,1,0,24086623944,73389,73389,14,14,14,463204310,11,3,333864,2591941,3355368,68350,8237663186,2528292,171581787,3727
408025.08,32,253952,62,375757,24755931516,6,62623251,2725,9,9,3850,2450,8,1314,2598842,4,7,147003,19,255868459,2630,1,0,4,1242,466025634,8,1864102536,18,23,0,14,200,1314,0,0,179614696,1414477,8420589855,0,1310,1148,4,3,1,14,14,1808,0,3,8414516300,7843800079,243459043,472802283,472802283,1,3,1,0,24585718748,73389,73389,14,14,14,472802287,11,3,334678,2664224,3430333,69803,8414516300,2598842,176191457,3727
410036.62,33,253952,62,383186,25245018604,6,63953389,2806,9,9,3850,2513,8,1314,2677266,4,7,149906,19,255868459,2630,1,0,4,1242,475184420,8,1900673088,18,23,0,14,200,1314,0,0,184157404,1567697,8603319654,0,1310,1148,4,3,1,14,14,1808,0,3,8596508005,7999669346,249440680,482093282,482093282,1,3,1,0,25068850696,73389,73389,14,14,14,482093286,11,3,335570,2744345,3505330,71339,8596508005,2677266,180659318,3727
412049.93,33,253952,62,390516,25727062592,6,65242246,2892,9,9,3850,2547,9,1314,2746674,4,7,152736,19,255868459,2630,1,0,4,1242,484219703,8,1936749476,18,23,0,14,200,1314,0,0,188790392,1736691,8773551063,0,1310,1148,4,3,1,14,14,1808,0,3,8766195373,8153034275,255539426,491257527,491257527,1,3,1,0,25545391436,73389,73389,14,14,14,491257531,11,3,335723,2815419,3565338,72729,8766195373,2746674,185232459,3727
414061.41,34,253952,62,398298,26239911320,6,66532895,2974,9,9,3850,2593,9,1314,2817723,4,7,155768,19,256158043,2630,1,0,4,1242,493828169,8,1975248064,18,23,0,14,200,1314,0,0,193434651,1846822,8953918692,0,1310,1148,4,3,1,14,14,1808,0,3,8946808197,8316016221,261552453,501019344,501035728,1,3,1,0,26053005920,73389,73389,14,14,14,501019348,11,3,337452,2888222,3651400,74225,8946808197,2817723,189790810,3727
416072.97,36,253952,62,406014,26749665404,6,67753771,3061,9,9,3850,2651,9,1314,2895599,4,7,158786,19,256170109,2630,1,0,4,1242,503363285,8,2013388412,18,23,0,14,200,1314,0,0,198132011,1992698,9142000173,0,1310,1148,4,3,1,14,14,1808,0,3,9134848200,8478537143,267616574,510706989,510706989,1,3,1,0,26556763460,73389,73389,14,14,14,510706993,11,3,338089,2967915,3752236,75797,9134848200,2895599,194387495,3727
418080.00,36,253952,62,413735,27258444040,6,68984708,3149,9,9,3850,2694,9,1314,2969072,4,7,161794,19,256170109,2630,1,0,4,1242,512941258,8,2051635792,18,23,0,14,200,1314,0,0,202808800,2119582,9319883129,0,1310,1148,4,3,1,14,14,1808,0,3,9312563626,8640256288,273626523,520403270,520403270,1,3,1,0,27060970072,73389,73389,14,14,14,520403274,11,3,338095,3043092,3854369,77262,9312563626,2969072,198962312,3727
420088.29,37,253952,62,421548,27771367916,6,70058637,3255,9,9,3850,2735,11,1395,3044377,4,7,164814,19,269659628,2792,1,0,4,1242,522527348,8,2090109392,18,23,0,14,200,1395,0,0,207646572,2234012,9502311493,0,1391,1234,4,3,1,14,14,1808,0,3,9494445234,8803621785,279640670,530145273,530145273,1,3,1,0,27567554228,73389,73389,14,14,14,530145277,11,3,340350,3120159,3941561,78758,9494445234,3044377,203713051,4020
422095.39,37,253952,62,429474,28293948374,6,71184616,3358,9,9,3850,2798,12,1620,3119328,4,7,167898,19,308349122,3242,1,0,4,1242,532285384,8,2129076892,18,23,0,14,200,1620,0,0,212505640,2340249,9696077816,0,1616,1469,4,3,1,14,14,1808,0,3,9687914742,8970333579,285699715,540058420,540058420,1,3,1,0,28083037872,73389,73389,14,14,14,540058424,11,3,342990,3196857,4034684,80377,9687914742,3119328,208479168,4797
424104.42,37,253952,62,437357,28813416238,6,72299946,3455,9,9,3850,2836,13,1656,3192249,4,7,170976,19,315547401,3314,1,0,4,1242,542072254,8,2168289016,18,23,0,14,200,1656,0,0,217329982,2417895,9879654778,0,1652,1511,4,3,1,14,14,1808,0,3,9872376959,9135032115,291685636,549967693,549967693,1,3,1,0,28598320068,73389,73389,14,14,14,549967697,11,3,343808,3271545,4120936,81878,9872376959,3192249,213217432,4934
426112.67,37,253952,62,445343,29341190824,6,73383100,3562,9,9,3850,2899,13,1683,3271232,4,7,174092,19,321208916,3368,1,0,4,1242,551912181,8,2207648724,18,23,0,14,200,1683,0,0,222201209,2521903,10078291496,0,1679,1546,4,3,1,14,14,1808,0,3,10071096706,9304063346,297722371,559931707,559931707,1,3,1,0,29116448796,73389,73389,14,14,14,559931711,11,3,344746,3352362,4208094,83532,10071096706,3271232,218001666,5049
428118.94,39,253952,62,452989,29845054260,6,74492275,3662,9,9,3850,2939,13,1683,3344279,4,7,177055,19,322753364,3368,1,0,4,1242,561326798,8,2245242460,18,23,0,14,200,1683,0,0,227046391,2603658,10259276597,0,1679,1546,4,3,1,14,14,1808,0,3,10251015869,9464335660,303741593,569513300,569513300,1,3,1,0,29614691632,73389,73389,14,14,14,569513304,11,3,346405,3427074,4285070,84998,10251015869,3344279,222770032,5049
430129.12,39,253952,62,460518,30340719080,6,75518595,3758,9,9,3850,2982,13,1683,3416073,4,7,179992,19,323103278,3368,1,0,4,1242,570665021,8,2282595464,18,23,0,14,200,1683,0,0,231996517,2652335,10439514737,0,1679,1546,4,3,1,14,14,1808,0,3,10432004520,9621820610,309746783,578951755,578968139,1,3,1,0,30105491292,73389,73389,14,14,14,578951759,11,3,347487,3500608,4368788,86487,10432004520,3416073,227636601,5049
