timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
651598.87,9,253952,62,146918,9679662350,26,53157606,329,33,33,8752,138,675,1034745,30,37198,9,24,13,767,143207792,1352,1,0,23,47,13,9,7073,675,0,0,0,35271426,8722013,2882142273,0,675,410,2,1,14,14,366,1,2883058480,2833456629,105379124,219636817,219653201,1,2,1,9664019948,73389,73389,14,14,14,219636817,6,3,458148,1059888,2070554,22015,2883058480,1034745,33202242,2017
653607.24,9,253952,62,160035,10543486374,29,58903262,361,34,34,8752,140,675,1136998,30,40897,9,24,13,767,143738696,1352,1,0,23,48,13,9,7073,675,0,0,0,39050196,9853435,3134689499,0,675,410,2,1,14,14,366,1,3134557136,3085891176,116509831,239275139,239275139,1,2,1,10527385220,73389,73389,14,14,14,239258755,6,3,466934,1164562,2194178,23937,3134557136,1136998,36857516,2017
655612.08,9,253952,62,170787,11252111226,32,63406575,388,34,34,8752,142,675,1193382,30,43919,9,24,13,767,144004148,1352,1,0,23,48,13,9,7073,675,0,0,0,41521034,10020543,3342007326,0,675,410,2,1,14,14,366,1,3341650896,3292981119,123987066,255380994,255380994,1,2,1,11236763736,73389,73389,14,14,14,255380994,6,3,469540,1222259,2267438,25517,3341650896,1193382,39255185,2017
657623.05,9,253952,62,183705,12103217958,32,66079637,421,39,39,8752,144,675,1296318,30,47554,9,24,13,767,144269600,1352,1,0,23,53,13,9,7073,675,0,0,0,45076238,11321741,3589209030,0,675,410,2,1,14,14,366,1,3590294480,3541855268,133065888,274718371,274718371,1,2,1,12086887428,73389,73389,14,14,14,274701987,6,3,493496,1327234,2434428,27414,3590294480,1296318,42643528,2017
659630.85,9,253952,62,197402,13005642686,33,70706291,454,39,39,8752,146,675,1406901,30,51404,9,24,13,767,144535052,1352,1,0,23,53,13,9,7073,675,0,0,0,48974707,13218313,3851746204,0,675,410,2,1,14,14,366,1,3854011344,3805576359,146044922,295233237,295233237,1,2,1,12989541532,73389,73389,14,14,14,295216853,6,3,509048,1440014,2614636,29426,3854011344,1406901,46361930,2017
661636.35,9,253952,62,208105,13711056274,37,76210073,480,39,39,8752,148,675,1460557,30,54428,9,24,13,767,145065956,1352,1,0,23,53,13,9,7073,675,0,0,0,51434239,13376951,4061694320,0,675,410,2,1,14,14,366,1,4060056528,4011792176,154314123,311265364,311265364,1,2,1,13695676016,73389,73389,14,14,14,311265364,6,3,509699,1494949,2680718,30998,4060056528,1460557,48755478,2017
663641.97,9,253952,62,219783,14480632914,39,79439030,513,41,41,8752,150,675,1531390,30,57720,9,24,13,767,145331408,1352,1,0,23,55,13,9,7073,675,0,0,0,54279004,13575387,4286857006,0,675,410,2,1,14,14,366,1,4284976080,4236801756,160680649,328753508,328753508,1,2,1,14465154352,73389,73389,14,14,14,328753508,6,3,514290,1567378,2765855,32714,4284976080,1531390,51515224,2017
665656.70,9,253952,62,231765,15270132498,39,81048936,535,43,43,8752,151,675,1611545,30,61048,9,24,13,767,145596860,1352,1,0,23,57,13,9,7073,675,0,0,0,57219273,13823846,4517263965,0,675,410,2,1,14,14,366,1,4515400656,4467560945,165518982,346700404,346700404,1,2,1,15254096880,73389,73389,14,14,14,346684020,6,3,527084,1649255,2881688,34472,4515400656,1611545,54339775,2017
667672.05,9,253952,62,244788,16128120510,40,84329518,556,45,45,8752,154,675,1729577,30,64763,9,24,13,767,145862312,1352,1,0,23,59,13,9,7073,675,0,0,0,61021382,14516875,4766568280,0,675,410,2,1,14,14,366,1,4766010320,4718350196,173750250,366201621,366201621,1,2,1,16112150428,73389,73389,14,14,14,366185237,6,3,532864,1769517,3030783,36384,4766010320,1729577,57992923,2017
669686.02,9,253952,62,257845,16988602198,41,88438367,587,46,46,8752,156,675,1842449,30,68434,9,24,13,767,146127764,1352,1,0,23,60,13,9,7073,675,0,0,0,64791286,15265383,5018626520,0,675,410,2,1,14,14,366,1,5017537488,4969980407,182731494,385749831,385749831,1,2,1,16972271668,73389,73389,14,14,14,385733447,6,3,542970,1884674,3163335,38303,5017537488,1842449,61630417,2017
671694.55,9,253952,62,271220,17869924334,43,92489043,621,46,46,8752,158,675,1954049,30,72191,9,24,13,767,146658668,1352,1,0,23,60,13,9,7073,675,0,0,0,68597729,16029427,5276585412,0,675,410,2,1,14,14,366,1,5275225040,5227550533,191714846,405781369,405781369,1,2,1,17853659340,73389,73389,14,14,14,405764985,6,3,546710,1998503,3310682,40269,5275225040,1954049,65289656,2017
673700.40,9,253952,62,282794,18632419778,45,95759862,664,47,47,8752,160,675,2049409,30,75456,9,24,13,767,146658668,1352,1,0,23,61,13,9,7073,675,0,0,0,71720104,16414087,5498741135,0,675,410,2,1,14,14,366,1,5497523152,5450408844,198627872,423116024,423116024,1,2,1,18616384160,73389,73389,14,14,14,423099640,6,3,550657,2095672,3426434,41965,5497523152,2049409,68296399,2017
675709.73,9,253952,62,293053,19307778494,45,97246372,681,49,49,8752,162,675,2118874,30,78368,9,24,13,767,146924120,1352,1,0,23,63,13,9,7073,675,0,0,0,74255482,16617587,5694794757,0,675,410,2,1,14,14,366,1,5694135115,5647902493,202919323,438464341,438480725,1,2,1,19292431004,73389,73389,14,14,14,438464341,6,3,560796,2166523,3540416,43469,5694135115,2118874,70717893,2017
677724.26,9,253952,62,306637,20203063106,45,100478625,720,50,50,8752,164,675,2238246,30,82189,9,24,13,767,147455024,1352,1,0,23,64,13,9,7073,675,0,0,0,77981393,17492013,5957201275,0,675,410,2,1,14,14,366,1,5956016971,5909557243,211083764,458813208,458813208,1,2,1,20187060256,73389,73389,14,14,14,458796824,6,3,569915,2291404,3707187,45467,5956016971,2238246,74277167,2017
679732.90,9,253952,62,320446,21112369114,47,103723099,749,51,51,8752,167,675,2351148,30,86111,9,24,13,767,147720476,1352,1,0,23,65,13,9,7073,675,0,0,0,81769412,18352550,6221749151,0,675,410,2,1,14,14,366,1,6221337961,6175314863,219143094,479467338,479483722,1,2,1,21096562872,73389,73389,14,14,14,479467338,6,3,576836,2406605,3849942,47498,6221337961,2351148,77922570,2017
681746.31,9,253952,62,334095,22011925632,47,108172236,785,52,52,8752,170,675,2458459,30,90002,9,24,13,767,148251380,1352,1,0,23,66,13,9,7073,675,0,0,0,85669607,19494236,6485081223,0,675,410,2,1,14,14,366,1,6483875177,6438186858,229892503,499930893,499947277,1,2,1,21996959292,73389,73389,14,14,14,499930893,6,3,584400,2516128,4002774,49501,6483875177,2458459,81670074,2017
683755.36,9,253952,62,348184,22939879940,47,110892691,833,53,53,8752,173,675,2571457,30,94048,9,24,13,767,148782284,1352,1,0,23,67,13,9,7073,675,0,0,0,89780871,20648879,6755695297,0,675,410,2,1,14,14,366,1,6754480138,6709434000,239048966,521025232,521025232,1,2,1,22925110208,73389,73389,14,14,14,521025232,6,3,594422,2631436,4152363,51572,6754480138,2571457,85631896,2017
685763.87,9,253952,62,362909,23910046048,49,115503268,875,56,56,8752,176,675,2698439,30,98234,9,24,13,767,149578640,1352,1,0,23,70,13,9,7073,675,0,0,0,94004142,21738993,7034092949,0,675,410,2,1,14,14,366,1,7037590339,6992982752,250975543,543065525,543081909,1,2,1,23894883100,73389,73389,14,14,14,543065525,6,3,605533,2760866,4312942,53738,7037590339,2698439,89694724,2017
687774.32,9,253952,62,377989,24903637968,50,120828206,910,56,56,8752,179,675,2823661,30,102513,9,24,13,767,149844092,1352,1,0,23,70,13,9,7073,675,0,0,0,98370441,23012394,7327829060,0,675,410,2,1,14,14,366,1,7327652675,7283400062,263872484,565656841,565656841,1,2,1,24888180108,73389,73389,14,14,14,565640457,6,3,622745,2890831,4533251,55951,7327652675,2823661,93840849,2017
689779.17,9,253952,62,390748,25743705192,56,127729798,942,58,58,8752,183,675,2908198,30,106201,9,24,13,767,150640448,1352,1,0,23,72,13,9,7073,675,0,0,0,101986942,23880475,7574514257,0,675,410,2,1,14,14,366,1,7571542209,7528903042,278728616,584754491,584754491,1,2,1,25729197604,73389,73389,14,14,14,584754491,6,3,634902,2977233,4672189,57827,7571542209,2908198,97318533,2017
691752.65,9,253952,62,400982,26415782060,56,129100423,953,70,70,8752,191,675,2967594,30,109422,9,29,13,767,158511825,1359,1,1035,28,91,13,24,7285,675,611,1035,136,104854877,24300901,7767684381,8,675,410,2,1,14,14,366,1,7763869224,7725268584,348462322,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,6,3,660759,3037957,4823932,59330,7763869224,2967594,100034822,2017
