timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
318569.05,10,253952,62,70673,4654769482,4,17420195,544,7,7,4580,515,1,621,539162,0,27,27779,13,119937248,1244,1,1081,0,4,4015,87937382,8,351684852,12,21,8,2393,621,1081,5,0,0,38308117,855022,1510971503,0,621,712,0,3,1,14,14,4715,3,1509837396,1469233199,56465784,89274013,89274013,1,3,1,4642248708,73389,73389,14,14,14,89274017,10,1,3,120285,552546,858284,12614,1509837396,539162,37451231,2303
320574.30,15,253952,62,77902,5130423588,4,18486126,605,7,7,4580,541,1,621,590117,0,27,30588,13,120576746,1244,1,1081,0,4,4015,96922865,8,387691460,12,21,8,2393,621,1081,5,0,0,42080165,888756,1662017221,0,621,712,0,3,1,14,14,4715,3,1660741829,1619393917,61344380,98386947,98403331,1,3,1,5116121276,73389,73389,14,14,14,98386951,10,1,3,124702,604849,930065,13829,1660741829,590117,41151645,2303
322582.87,15,253952,62,84265,5549950950,5,21252577,632,8,8,4580,601,1,621,633514,0,27,33118,13,122145326,1244,1,1081,0,4,4015,104884765,8,419474440,12,22,8,2393,621,1081,5,0,0,45119381,914851,1807506547,0,621,712,0,3,1,14,14,4715,3,1805988689,1751749245,67160714,106446987,106446987,1,3,1,5535243356,73389,73389,14,14,14,106446991,10,1,3,132310,649469,992097,15068,1805988689,633514,44128943,2303
324593.68,15,253952,62,92655,6104177948,5,22508532,719,8,8,4580,639,1,621,699566,0,27,36395,13,124932572,1244,1,1081,0,4,4015,115306651,8,461226604,12,22,8,2393,621,1081,5,0,0,49791226,1005639,1983655666,0,621,712,0,3,1,14,14,4715,3,1982223367,1927042422,73164966,117033593,117049977,1,3,1,6085746868,73389,73389,14,14,14,117033597,10,1,3,135607,717067,1083248,16500,1982223367,699566,48709812,2303
326605.59,15,253952,62,101197,6666194538,5,23715436,795,8,8,4580,718,1,621,769092,0,27,39764,13,125246288,1244,1,1081,0,4,4015,125953578,8,503620340,12,22,8,2393,621,1081,5,0,0,54553347,1111211,2165386216,0,621,712,0,3,1,14,14,4715,3,2163907024,2104740666,79229508,127815536,127815536,1,3,1,6646407904,73389,73389,14,14,14,127815540,10,1,3,142626,788297,1175268,18064,2163907024,769092,53380093,2303
328612.90,16,253952,62,110477,7277276524,5,24753065,888,8,8,4580,758,1,630,846439,0,27,43387,13,127058304,1262,1,1081,0,4,4015,137482688,8,549930752,12,22,8,2393,630,1081,5,0,0,59533843,1129779,2376167525,0,630,719,0,3,1,14,14,4715,3,2374364996,2298003774,85246406,139510665,139510665,1,3,1,7254554612,73389,73389,14,14,14,139510669,10,1,3,145198,867419,1264140,19775,2374364996,846439,58271909,2335
330619.07,16,253952,62,119571,7876575384,5,25833276,984,8,8,4580,810,2,657,916617,0,27,46954,13,132494588,1316,1,1081,0,4,4015,148789656,8,595158624,12,22,8,2393,657,1081,5,0,0,64428666,1157480,2569040152,0,657,744,0,3,1,14,14,4715,3,2567181273,2487361964,91256543,150978133,150994517,1,3,1,7850862948,73389,73389,14,14,14,150978137,10,1,3,149115,939260,1339167,21372,2567181273,916617,63091891,2428
332625.88,16,253952,62,128233,8446468360,5,26987990,1076,8,8,4580,879,2,666,986512,0,27,50361,13,133992406,1334,1,1081,0,4,4015,159565544,8,638262176,12,22,8,2393,666,1081,5,0,0,69275585,1186341,2758235617,0,666,754,0,3,1,14,14,4715,3,2756066051,2667522516,97282999,161907532,161907532,1,3,1,8419191696,73389,73389,14,14,14,161907536,10,1,3,151863,1010824,1419109,22958,2756066051,986512,67859043,2461
334635.37,19,253952,62,137123,9032268824,5,27827990,1178,8,8,4580,923,2,666,1063103,0,27,53832,13,134306122,1334,1,1081,0,4,4015,170626596,8,682441744,12,22,8,2393,666,1081,5,0,0,74453547,1206358,2955694906,0,666,754,0,3,1,14,14,4715,3,2953180599,2852705761,103314143,173125366,173125366,1,3,1,9002519064,73389,73389,14,14,14,173125370,10,1,3,152506,1089187,1496101,24565,2953180599,1063103,72960205,2461
336641.14,19,253952,62,146028,9619655628,5,28944472,1273,8,8,4580,1000,2,666,1135475,0,27,57346,13,134306122,1334,1,1081,0,4,4015,181716401,8,726800920,12,22,8,2393,666,1081,5,0,0,79374092,1212914,3152572209,0,666,754,0,3,1,14,14,4715,3,3149636290,3038325576,109354958,184371650,184371650,1,3,1,9587325832,73389,73389,14,14,14,184371654,10,1,3,154707,1163332,1571145,26233,3149636290,1135475,77804897,2461
338648.68,20,253952,62,155042,10214415110,5,30022103,1377,8,8,4580,1043,2,666,1207321,0,27,60873,13,134306122,1334,1,1081,0,4,4015,192929163,8,771651892,12,22,8,2393,666,1081,5,0,0,84288919,1226267,3345916439,0,666,754,0,3,1,14,14,4715,3,3343450277,3226221055,115355779,195763231,195763231,1,3,1,10179688044,73389,73389,14,14,14,195763235,10,1,3,157989,1236864,1665064,27807,3343450277,1207321,82626983,2461
340653.66,26,253952,62,164517,10838590332,5,31130251,1470,8,8,4580,1097,2,666,1283708,0,27,64575,13,134318188,1334,1,1081,0,4,4015,204683804,8,818735216,12,22,8,2393,666,1081,5,0,0,89187967,1242875,3555527651,0,666,754,0,3,1,14,14,4715,3,3553252127,3423764986,121366128,207701961,207701961,1,3,1,10800502004,73389,73389,14,14,14,207701965,10,1,3,159556,1314978,1750056,29548,3553252127,1283708,87441225,2461
342658.68,26,253952,62,174049,11466718294,5,32504548,1548,8,8,4580,1169,5,666,1355930,0,27,68328,13,134318188,1334,1,1081,0,4,4015,216565474,8,866261896,12,22,8,2393,666,1081,5,0,0,93821100,1243135,3769870086,0,666,754,0,3,1,14,14,4715,3,3766891771,3622444955,127382700,219720452,219720452,1,3,1,11425463536,73389,73389,14,14,14,219720456,10,1,3,167989,1388859,1846191,31328,3766891771,1355930,91978411,2461
344662.79,26,253952,62,182114,11998101644,6,34678374,1600,8,8,4580,1208,6,666,1409150,0,27,71460,13,134318188,1334,1,1081,0,4,4015,226547889,8,906191556,12,22,8,2393,666,1081,5,0,0,97385680,1243224,3945929901,0,666,754,0,3,1,14,14,4715,3,3942411727,3790805783,133119844,229875485,229875485,1,3,1,11953525252,73389,73389,14,14,14,229875489,10,1,3,176489,1443310,1923148,32768,3942411727,1409150,95466193,2461
346667.96,28,253952,62,189875,12508029668,6,36227608,1625,9,9,4580,1265,6,675,1457911,0,27,74497,13,135759341,1352,1,1081,0,4,4015,236156251,8,944495876,12,23,8,2393,675,1081,5,0,0,100790182,1243296,4115741152,0,675,760,0,3,1,14,14,4715,3,4112348331,3952318087,138073517,239623521,239623521,1,3,1,12460423124,73389,73389,14,14,14,239623525,10,1,3,182064,1493256,1991135,34179,4112348331,1457911,98802841,2486
348672.71,29,253952,62,199490,13142586530,6,37746991,1685,9,9,4580,1341,6,675,1525382,0,27,78291,13,135759341,1352,1,1081,0,4,4015,248128722,8,992450276,12,23,8,2393,675,1081,5,0,0,105283489,1243533,4330337107,0,675,760,0,3,1,14,14,4715,3,4326636367,4153076190,144085056,251750223,251750223,1,3,1,13091011628,73389,73389,14,14,14,251750227,10,1,3,184062,1562354,2057018,35981,4326636367,1525382,103230451,2486
350678.32,29,253952,62,209327,13791282140,6,39301403,1742,9,9,4580,1390,6,693,1592506,0,27,82132,13,139384876,1388,1,1081,0,4,4015,260363439,8,1041324456,12,23,8,2393,693,1081,5,0,0,109752715,1243856,4541264911,0,693,767,0,3,1,14,14,4715,3,4537614768,4357987963,150107501,264176155,264176155,1,3,1,13737160092,73389,73389,14,14,14,264176159,10,1,3,185901,1630996,2133746,37694,4537614768,1592506,107623157,2538
352683.18,29,253952,62,219121,14436303016,6,40919691,1801,9,9,4580,1465,6,720,1662221,0,27,85977,13,143820115,1442,1,1081,0,4,4015,272508658,8,1090034632,12,23,8,2393,720,1081,5,0,0,114144111,1243937,4762223622,0,720,789,0,3,1,14,14,4715,3,4758266720,4562288138,156028406,276493876,276493876,1,3,1,14376829616,73389,73389,14,14,14,276477496,10,1,3,189111,1702260,2231017,39548,4758266720,1662221,111917480,2620
354687.63,29,253952,62,229167,15097974876,6,42534162,1858,9,9,4580,1517,6,765,1725386,0,27,89891,13,152219174,1532,1,1081,0,4,4015,284960775,8,1139713712,12,23,8,2393,765,1081,5,0,0,118539174,1244073,4976826619,0,765,812,0,3,1,14,14,4715,3,4973317991,4771591458,162121205,289157376,289157376,1,3,1,15036183584,73389,73389,14,14,14,289157380,10,1,3,191614,1766944,2312953,41304,4973317991,1725386,116230797,2735
356691.52,29,253952,62,235686,15527122554,7,44726521,1890,9,9,4580,1573,6,810,1760928,0,27,92456,13,160026708,1622,1,1081,0,4,4015,293016973,8,1172067892,12,23,8,2393,810,1081,5,0,0,121059525,1244137,5124950201,0,810,829,0,3,1,14,14,4715,3,5120557728,4907640590,166837225,297344614,297344614,1,3,1,15461919960,73389,73389,14,14,14,297344618,10,1,3,192820,1803394,2350974,42553,5120557728,1760928,118713227,2840
358695.81,29,253952,62,245706,16187594064,7,46323418,1933,10,10,4580,1623,6,846,1817058,0,27,96368,13,166647483,1694,1,1081,0,4,4015,305495350,8,1221916968,12,24,8,2393,846,1081,5,0,0,125281062,1244676,5337595081,0,846,843,0,3,1,14,14,4715,3,5333290771,5116169776,172655452,309999922,309999922,1,3,1,16119995976,73389,73389,14,14,14,309999926,10,1,3,199524,1860965,2416884,44291,5333290771,1817058,122869019,2940
360700.09,29,253952,62,256001,16865861906,7,48031003,1983,10,10,4580,1704,6,945,1877497,0,27,100428,13,183715753,1892,1,1081,0,4,4015,318293295,8,1273173180,12,24,8,2393,945,1081,5,0,0,129597760,1245371,5567151182,0,945,900,0,3,1,14,14,4715,3,5562276690,5330778258,178666131,322980751,322997135,1,3,1,16794999084,73389,73389,14,14,14,322980755,10,1,3,201448,1922914,2489788,46217,5562276690,1877497,127112990,3215
362703.81,30,253952,62,262868,17318721062,8,50422339,2021,10,10,4580,1730,6,963,1914333,0,27,103113,13,187282794,1928,1,1081,0,4,4015,326884842,8,1307474724,12,24,8,2393,963,1081,5,0,0,132260450,1245645,5718787689,0,963,911,0,3,1,14,14,4715,3,5714464681,5473804837,183732863,331661224,331661224,1,3,1,17246383680,73389,73389,14,14,14,331661228,10,1,3,204484,1960678,2538831,47437,5714464681,1914333,129726745,3266
364707.58,31,253952,62,270473,17819656202,8,51735008,2061,11,11,4580,1790,6,963,1955053,0,27,106093,13,187620642,1928,1,1081,0,4,4015,336284883,8,1345139532,12,25,8,2393,963,1081,5,0,0,135145756,1246002,5888226421,0,963,911,0,3,1,14,14,4715,3,5883528917,5632719711,187931324,341212208,341212208,1,3,1,17743034848,73389,73389,14,14,14,341212212,10,1,3,213920,2002708,2590757,48854,5883528917,1955053,132560235,3266
366712.14,31,253952,62,281151,18523202136,8,53482266,2103,11,11,4580,1849,6,981,2011337,0,27,110279,13,191558602,1964,1,1081,0,4,4015,349588891,8,1398291056,12,25,8,2393,981,1081,5,0,0,139432901,1246140,6114708735,0,981,926,0,3,1,14,14,4715,3,6110114156,5854414961,193965038,354719484,354735868,1,3,1,18445413200,73389,73389,14,14,14,354719488,10,1,3,216324,2060460,2671603,50721,6110114156,2011337,136766692,3310
368715.77,31,253952,62,291860,19228767620,8,55223309,2142,11,11,4580,1926,6,1062,2070249,0,27,114480,13,205236198,2126,1,1081,0,4,4015,362864039,8,1451456156,12,25,8,2393,1062,1081,5,0,0,143712995,1246282,6352652653,0,1062,1003,0,3,1,14,14,4715,3,6347767787,6077874465,199945432,368185800,368218568,1,3,1,19145661632,73389,73389,14,14,14,368185804,10,1,3,220498,2120861,2734546,52692,6347767787,2070249,140984011,3535
370719.38,31,253952,62,302411,19923929908,8,56912707,2182,11,11,4580,1984,6,1071,2126613,0,27,118616,13,207060385,2144,1,1081,0,4,4015,376035713,8,1504078164,12,25,8,2393,1071,1081,5,0,0,148024458,1246424,6574523665,0,1071,1012,0,3,1,14,14,4715,3,6569474608,6297058554,205985237,381551653,381568037,1,3,1,19840685988,73389,73389,14,14,14,381551657,10,1,3,222809,2178653,2800545,54519,6569474608,2126613,145229639,3562
372723.24,32,253952,62,311299,20510154336,9,59074299,2230,11,11,4580,2049,6,1134,2177715,0,27,122112,13,217902877,2270,1,1081,0,4,4015,387081136,8,1548324544,12,25,8,2393,1134,1081,5,0,0,151557605,1246652,6778226835,0,1134,1074,0,3,1,14,14,4715,3,6772909905,6483189007,211678934,392732401,392732401,1,3,1,20422084884,73389,73389,14,14,14,392732405,10,1,3,226369,2231040,2852690,56204,6772909905,2177715,148710782,3728
374727.33,32,253952,62,319729,21065144610,9,60737521,2250,12,12,4580,2093,6,1134,2223769,0,27,125411,13,218228659,2270,1,1081,0,4,4015,397579814,8,1590254604,12,26,8,2393,1134,1081,5,0,0,154848885,1246809,6958728676,0,1134,1074,0,3,1,14,14,4715,3,6953157814,6658402291,216633594,403381113,403381113,1,3,1,20975817908,73389,73389,14,14,14,403381117,10,1,3,231189,2278253,2897669,57686,6953157814,2223769,151957198,3728
376731.18,32,253952,62,330272,21759819052,9,62510637,2299,12,12,4580,2166,6,1134,2286377,0,27,129545,13,219157741,2270,1,1081,0,4,4015,410669588,8,1642613716,12,26,8,2393,1134,1081,5,0,0,159120436,1247008,7193564485,0,1134,1074,0,3,1,14,14,4715,3,7188091078,6878295228,222634067,416675397,416675397,1,3,1,21666268708,73389,73389,14,14,14,416659017,10,1,3,232254,2342414,2967699,59624,7188091078,2286377,156158113,3728
378736.16,33,253952,62,340857,22456715102,9,64262606,2349,12,12,4580,2244,6,1134,2349556,0,27,133696,13,219471457,2270,1,1081,0,4,4015,423818421,8,1695209084,12,26,8,2393,1134,1081,5,0,0,163426277,1247339,7428578724,0,1134,1074,0,3,1,14,14,4715,3,7422825258,7099007512,228719272,429990383,429990383,1,3,1,22359499948,73389,73389,14,14,14,429990387,10,1,3,234909,2407162,3046689,61601,7422825258,2349556,160385896,3728
380740.83,33,253952,62,351229,23140544868,9,65887273,2399,12,12,4580,2298,6,1134,2413613,0,27,137749,13,219797239,2270,1,1081,0,4,4015,436708625,8,1746769828,12,26,8,2393,1134,1081,5,0,0,167803264,1247542,7654805209,0,1134,1074,0,3,1,14,14,4715,3,7648724860,7314925513,234734507,443102284,443102284,1,3,1,23041318800,73389,73389,14,14,14,443102288,10,1,3,239552,2472786,3136529,63437,7648724860,2413613,164673225,3728
382745.54,33,253952,62,361412,23811674614,9,67461368,2459,12,12,4580,2375,6,1134,2481873,0,27,141758,13,220110955,2270,1,1081,0,4,4015,449381055,8,1797524220,12,26,8,2393,1134,1081,5,0,0,172262976,1247827,7883271119,0,1134,1074,0,3,1,14,14,4715,3,7876860187,7527565302,240766854,455921432,455921432,1,3,1,23707914496,73389,73389,14,14,14,455921436,10,1,3,242750,2542696,3232443,65358,7876860187,2481873,169037228,3728
384751.51,33,253952,62,371138,24452287306,9,68870544,2529,12,12,4580,2427,6,1134,2553276,0,27,145560,13,220424671,2270,1,1081,0,4,4015,461477212,8,1845908848,12,26,8,2393,1134,1081,5,0,0,176869419,1256170,8097889130,0,1134,1074,0,3,1,14,14,4715,3,8091018521,7730199404,246784943,468187842,468187842,1,3,1,24345767816,73389,73389,14,14,14,468187846,10,1,3,246703,2615756,3319479,67102,8091018521,2553276,173556830,3728
386762.39,33,253952,62,380348,25059373006,9,70000819,2619,12,12,4580,2482,6,1134,2634109,0,27,149159,13,221040037,2270,1,1081,0,4,4015,472903942,8,1891559604,12,26,8,2393,1134,1081,5,0,0,181728036,1284049,8300243495,0,1134,1074,0,3,1,14,14,4715,3,8293441002,7922556992,252796786,479780349,479796733,1,3,1,24948578180,73389,73389,14,14,14,479780353,10,1,3,250777,2698446,3417595,68784,8293441002,2634109,178317528,3728
388767.60,34,253952,62,389782,25681416288,9,71207161,2708,12,12,4580,2551,6,1134,2713650,0,27,152864,13,221064169,2270,1,1081,0,4,4015,484605393,8,1938421572,12,26,8,2393,1134,1081,5,0,0,186512574,1315343,8514403696,0,1134,1074,0,3,1,14,14,4715,3,8508307931,8119675583,258807208,491665609,491665609,1,3,1,25566611700,73389,73389,14,14,14,491665613,10,1,3,255146,2779854,3513515,70569,8508307931,2713650,183006333,3728
390780.41,35,253952,62,398526,26256057194,9,72545826,2787,12,12,4580,2601,6,1206,2789186,0,27,156271,13,232955785,2414,1,1081,0,4,4015,495430766,8,1981723064,12,26,8,2393,1206,1081,5,0,0,191173752,1367684,8708261121,0,1206,1148,0,3,1,14,14,4715,3,8700946925,8301414644,264848518,502660544,502660544,1,3,1,26138348320,73389,73389,14,14,14,502660548,10,1,3,262472,2857147,3614494,72164,8700946925,2789186,187566723,3975
392788.53,35,253952,62,407070,26819092526,9,73889811,2869,12,12,4580,2658,6,1269,2872836,4,27,159614,13,244024599,2540,1,1081,0,4,4015,506006345,8,2024025380,12,26,8,2393,1269,1081,5,0,0,195826188,1430537,8905385045,0,1265,1215,4,3,1,14,14,4715,3,8898284509,8480174710,270886630,513403872,513403872,1,3,1,26696149408,73389,73389,14,14,14,513387492,10,1,3,273136,2942582,3712482,73813,8898284509,2872836,192121346,4203
394796.99,36,253952,62,415311,27360124242,9,75180242,2950,12,12,4580,2710,6,1350,2951447,4,27,162824,13,257501545,2702,1,1081,0,4,4015,516189607,8,2064758428,12,26,8,2393,1350,1081,5,0,0,200415903,1563900,9090640486,0,1346,1312,4,3,1,14,14,4715,3,9084038449,8651733253,276861057,523717156,523717156,1,3,1,27232440176,73389,73389,14,14,14,523700776,10,1,3,278284,3022985,3811575,75348,9084038449,2951447,196612139,4521
396810.32,36,253952,62,423353,27891310008,9,76461804,3037,12,12,4580,2765,7,1395,3034677,4,27,165975,13,265610029,2792,1,1081,0,4,4015,526167493,8,2104669972,12,26,8,2393,1395,1081,5,0,0,205075748,1701147,9282781357,0,1391,1386,4,3,1,14,14,4715,3,9275209013,8820716540,282901455,533818275,533834659,1,3,1,27758550332,73389,73389,14,14,14,533818279,10,1,3,284628,3108107,3939641,76940,9275209013,3034677,201144099,4702
398815.56,36,253952,62,430649,28371506434,9,77606312,3097,12,12,4580,2807,7,1449,3101841,4,27,168802,13,274629519,2900,1,1081,0,4,4015,535162401,8,2140649604,12,26,8,2393,1449,1081,5,0,0,208898443,1811694,9454416324,0,1445,1460,4,3,1,14,14,4715,3,9446309029,8973494060,287984616,542943275,542943275,1,3,1,28233050332,73389,73389,14,14,14,542943279,10,1,3,286316,3176799,4023716,78343,9446309029,3101841,204882864,4895
400821.84,37,253952,62,436361,28747754494,10,80308027,3125,12,12,4580,2848,7,1476,3145439,4,27,171032,13,279777826,2954,1,1081,0,4,4015,542208909,8,2168835636,12,26,8,2393,1476,1081,5,0,0,211331478,1811750,9595207723,0,1472,1489,4,3,1,14,14,4715,3,9587004006,9093638256,293118242,550090129,550090129,1,3,1,28604686740,73389,73389,14,14,14,550090133,10,1,3,290342,3221407,4092593,79519,9587004006,3145439,207247120,4975
402829.45,37,253952,62,444036,29252785634,10,81460971,3179,13,13,4580,2894,7,1485,3214512,4,27,174019,13,282519512,2972,1,1081,0,4,4015,551682254,8,2206664376,12,27,8,2393,1485,1081,5,0,0,215651452,1966064,9773742840,0,1481,1497,4,3,1,14,14,4715,3,9766037784,9253965958,298748078,559714841,559714841,1,3,1,29105171764,73389,73389,14,14,14,559714845,10,1,3,300315,3292127,4179468,80995,9766037784,3214512,211480377,5003
