timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
897143.04,0,253952,62,111056,7316193764,3,19910977,0,471,6,6,4886,753,648,547176,0,11,43653,15,11,129996831,1298,1,0,4,640,138341014,6,553299404,14,20,1,8,349,648,0,0,43165641,3778,2354629088,0,648,490,0,3,1,14,14,1101,0,3,2353588382,2307844803,63067727,140394957,140394957,1,3,1,0,7300537796,73389,73389,14,14,14,140394961,6,3,122828,563131,765482,19595,2353588382,547176,42401686,1445
899146.54,0,253952,62,121547,8006844968,8,26018614,0,516,10,10,4886,837,675,598167,0,11,47770,17,11,134678573,1352,1,0,4,640,151388728,6,605554912,16,24,15,8,360,675,0,0,47073781,3843,2579380953,0,675,503,0,3,1,14,14,1101,0,3,2577929053,2526120940,73082356,153628023,153628023,1,3,1,0,7988657228,73389,73389,14,14,14,153628027,6,3,132061,615562,841450,21488,2577929053,598167,46234004,1510
901149.98,0,253952,62,128179,8444182260,8,27572513,0,557,10,10,4886,881,684,629132,0,11,50388,17,11,136501964,1370,1,0,4,640,159661932,6,638647728,16,24,15,8,360,684,0,0,49605190,3869,2721527301,0,684,511,0,3,1,14,14,1101,0,3,2720925560,2664117848,76938559,162019617,162019617,1,3,1,0,8425020116,73389,73389,14,14,14,162019621,6,3,233499,647415,1043340,22684,2720925560,629132,48563624,1532
903153.61,0,253952,62,136047,8962293038,9,29358682,0,599,11,11,4886,919,693,666619,0,11,53463,17,11,138302775,1388,1,0,4,640,169442124,6,677703796,16,25,15,8,360,693,0,0,52585722,3922,2880956513,0,693,517,0,3,1,14,14,1101,0,3,2879293684,2827451418,81933380,171972009,171972009,1,3,1,0,8942544500,73389,73389,14,14,14,171972013,6,3,242710,685959,1113259,23968,2879293684,666619,51474356,1552
905157.78,0,253952,62,146124,9625872668,9,31502838,0,632,12,12,4886,1000,693,721201,0,11,57439,17,11,138302775,1388,1,0,4,640,182003375,6,727884188,16,26,15,8,360,693,0,0,56490361,3968,3099297755,0,693,517,0,3,1,14,14,1101,0,3,3097883103,3036678523,87981148,184713555,184713555,1,3,1,0,9605104892,73389,73389,14,14,14,184713559,6,3,246182,742061,1188260,25812,3097883103,721201,55304145,1552
907161.37,0,253952,62,157248,10358370140,9,33261908,0,672,12,12,4886,1046,693,779645,0,11,61797,17,11,138616491,1388,1,0,4,640,195887167,6,783484112,16,26,15,8,360,693,0,0,60772416,4018,3331617388,0,693,517,0,3,1,14,14,1101,0,3,3330176337,3267753495,94022587,198780046,198780046,1,3,1,0,10336562424,73389,73389,14,14,14,198780050,6,3,247575,802107,1241294,27688,3330176337,779645,59533327,1552
909165.46,3,253952,62,168087,11071827872,9,34730034,0,715,12,12,4886,1134,702,835131,0,11,66070,17,11,140114399,1406,1,0,4,640,209387534,6,837550136,16,26,15,8,360,702,0,0,64835599,4077,3565082492,0,702,523,0,3,1,14,14,1101,0,3,3563227784,3492619830,99553881,212471864,212471864,1,3,1,0,11048536960,73389,73389,14,14,14,212471868,6,3,248499,859163,1301309,29654,3563227784,835131,63536636,1574
911169.12,4,253952,62,175110,11535001722,11,37153328,0,754,13,13,4886,1192,711,867483,0,11,68840,17,11,142227639,1424,1,0,4,640,218128337,6,872448696,16,27,15,8,360,711,0,0,67376060,4115,3710800326,0,711,527,0,3,1,14,14,1101,0,3,3708452244,3638895164,104516448,221352819,221352819,1,3,1,0,11510346620,73389,73389,14,14,14,221352823,6,3,253027,892483,1352217,30884,3708452244,867483,66026292,1595
913172.91,5,253952,62,185072,12190996448,11,38349008,0,812,14,14,4886,1232,711,914803,0,11,72722,17,11,142541355,1424,1,0,4,640,230513447,6,922053788,16,28,15,8,360,711,0,0,71091065,4156,3923126056,0,711,527,0,3,1,14,14,1101,0,3,3921423202,3845843201,109425889,233946909,233946909,1,3,1,0,12165239300,73389,73389,14,14,14,233946913,6,3,256430,941204,1407203,32598,3921423202,914803,69686460,1595
915176.80,6,253952,62,192554,12685728824,12,40660375,0,841,14,14,4886,1298,711,950392,0,11,75684,17,11,142541355,1424,1,0,4,640,239836319,6,959345276,16,28,15,8,360,711,0,0,73804520,4231,4086236596,0,711,527,0,3,1,14,14,1101,0,3,4084028099,4001900715,114449589,243403019,243419403,1,3,1,0,12656957020,73389,73389,14,14,14,243403023,6,3,258359,977812,1448065,33983,4084028099,950392,72359162,1595
917181.05,6,253952,62,200593,13215468568,12,41847024,0,856,15,15,4886,1323,711,988643,0,11,78828,17,11,142541355,1424,1,0,4,640,249896968,6,999523184,16,29,15,8,360,711,0,0,76856797,4283,4253951242,0,711,527,0,3,1,14,14,1101,0,3,4251902787,4168809666,118687889,253607204,253607204,1,3,1,0,13187574640,73389,73389,14,14,14,253607208,6,3,262937,1017157,1485942,35331,4251902787,988643,75373680,1595
919185.18,6,253952,62,211000,13900928464,12,44063087,0,872,15,15,4886,1411,711,1042433,0,11,82935,17,11,142541355,1424,1,0,4,640,262845451,6,1051317240,16,29,15,8,360,711,0,0,80961688,4372,4476460376,0,711,527,0,3,1,14,14,1101,0,3,4474543612,4385628522,125009105,266739807,266739807,1,3,1,0,13870469996,73389,73389,14,14,14,266739811,6,3,265572,1072524,1549908,37206,4474543612,1042433,79414754,1595
921189.56,6,253952,62,221079,14564502766,12,45802401,0,895,15,15,4886,1451,747,1095648,0,11,86867,17,11,148428541,1496,1,0,4,640,275380146,6,1101520584,16,29,15,8,360,747,0,0,84990273,4398,4695272054,0,747,553,0,3,1,14,14,1101,0,3,4692408504,4594687592,130576724,279487386,279487386,1,3,1,0,14533344104,73389,73389,14,14,14,279487390,6,3,269824,1127277,1613842,38982,4692408504,1095648,83379552,1693
923194.34,6,253952,62,227467,14985318614,14,48187202,0,923,16,16,4886,1510,765,1128149,0,11,89394,17,11,151612540,1532,1,0,4,640,283329643,6,1133318572,16,30,15,8,360,765,0,0,87432198,4470,4835373753,0,765,562,0,3,1,14,14,1101,0,3,4832157365,4727889844,135602201,287533201,287533201,1,3,1,0,14951726484,73389,73389,14,14,14,287533205,6,3,273388,1160781,1653708,40163,4832157365,1128149,85781706,1739
925199.66,6,253952,62,237947,15674996946,14,49848308,0,962,17,17,4886,1594,783,1189025,2,11,93519,17,11,155192240,1568,1,0,4,640,296374106,6,1185431840,16,31,15,8,360,783,0,0,91645956,4535,5058152983,0,781,575,2,3,1,14,14,1101,0,3,5055710974,4945901907,141477061,300731340,300747724,1,3,1,0,15638029712,73389,73389,14,14,14,300731344,6,3,278394,1223371,1735594,42049,5055710974,1189025,89913737,1787
927204.90,6,253952,62,248499,16369703748,14,51646757,0,1003,17,17,4886,1647,837,1248161,8,11,97648,17,11,164079315,1676,1,0,4,640,309504541,6,1237953532,16,31,15,8,360,837,0,0,95887312,4590,5284316439,0,829,600,8,3,1,14,14,1101,0,3,5281426829,5164796379,147515876,314081883,314081883,1,3,1,0,16332257948,73389,73389,14,14,14,314081887,6,3,282798,1284171,1806546,43906,5281426829,1248161,94084303,1923
929208.97,6,253952,62,259162,17071234572,14,53322636,0,1030,17,17,4886,1734,864,1307762,8,11,101839,17,11,168598666,1730,1,0,4,640,322743352,6,1290917208,16,31,15,8,360,864,0,0,100062892,4662,5519697910,0,856,616,8,3,1,14,14,1101,0,3,5516270155,5387075032,153367178,327493014,327493014,1,3,1,0,17029636760,73389,73389,14,14,14,327493018,6,3,286159,1345434,1866474,45884,5516270155,1307762,98200116,2001
931213.91,6,253952,62,269672,17763722194,14,55190872,0,1050,17,17,4886,1779,864,1364102,8,11,105956,17,11,168888250,1730,1,0,4,640,335866735,6,1343402268,16,31,15,8,360,864,0,0,104166460,4747,5740805173,0,856,616,8,3,1,14,14,1101,0,3,5737622745,5605280551,159264172,340787298,340787298,1,3,1,0,17720939528,73389,73389,14,14,14,340787302,6,3,289823,1403381,1932370,47674,5737622745,1364102,102237936,2001
933218.69,6,253952,62,279897,18437314868,14,57124556,0,1067,17,17,4886,1862,864,1423579,8,11,109984,17,11,168888250,1730,1,0,4,640,348572675,6,1394290700,16,31,15,8,360,864,0,0,108267254,4795,5968660196,0,856,616,8,3,1,14,14,1101,0,3,5964805589,5818558776,165172553,353674141,353674141,1,3,1,0,18391055364,73389,73389,14,14,14,353674145,6,3,295608,1464591,2021304,49593,5964805589,1423579,106249937,2001
935223.36,6,253952,62,290196,19115069444,14,59183884,0,1091,17,17,4886,1908,864,1479200,8,11,113998,17,11,168900316,1730,1,0,4,640,361394025,6,1445511456,16,31,15,8,360,864,0,0,112418226,4905,6181325389,0,856,616,8,3,1,14,14,1101,0,3,6177580059,6031993909,171481622,366696374,366696374,1,3,1,0,19068211480,73389,73389,14,14,14,366696378,6,3,299329,1521835,2082270,51315,6177580059,1479200,110340094,2001
937227.92,6,253952,62,297677,19609446700,15,61689158,0,1131,17,17,4886,1974,945,1522059,8,11,116940,17,11,183014698,1892,1,0,4,640,370640360,6,1482561440,16,31,15,8,360,945,0,0,115331820,4939,6359416165,0,937,641,8,3,1,14,14,1101,0,3,6355428152,6188979659,177000085,376091266,376091266,1,3,1,0,19556745864,73389,73389,14,14,14,376091270,6,3,304513,1565913,2130356,52817,6355428152,1522059,113205713,2201
939232.24,7,253952,62,307155,20235338846,15,63069850,0,1162,18,18,4886,2015,972,1573694,8,11,120644,17,11,188439445,1946,1,0,4,640,382432507,6,1529665504,16,32,15,8,360,972,0,0,119155455,5076,6557634129,0,964,649,8,3,1,14,14,1101,0,3,6554155529,6386434484,182204455,388101121,388117505,1,3,1,0,20181258324,73389,73389,14,14,14,388101125,6,3,310375,1619050,2187167,54426,6554155529,1573694,116972674,2265
941236.61,7,253952,62,314892,20744828210,16,64943627,0,1192,18,18,4886,2081,1008,1616286,8,11,123687,17,11,194575235,2018,1,0,4,640,392060698,6,1568242792,16,32,15,8,360,1008,0,0,122133653,5128,6737845473,0,1000,673,8,3,1,14,14,1101,0,3,6733731457,6547950124,187055884,397818104,397818104,1,3,1,0,20686541440,73389,73389,14,14,14,397818108,6,3,311283,1662901,2235166,55943,6733731457,1616286,119902979,2354
943240.72,7,253952,62,324686,21389571568,16,66983194,0,1224,19,19,4886,2124,1044,1668740,8,11,127523,17,11,200558919,2090,1,0,4,640,404264897,6,1617059588,16,33,15,8,360,1044,0,0,125983580,5239,6943957859,0,1036,692,8,3,1,14,14,1101,0,3,6940193996,6751325751,192890344,410193169,410193169,1,3,1,0,21330044820,73389,73389,14,14,14,410193173,6,3,317145,1716948,2309985,57625,6940193996,1668740,123678230,2445
945244.73,8,253952,62,335598,22108323386,16,68748582,0,1257,19,19,4886,2213,1125,1728078,8,11,131804,17,11,214221539,2252,1,0,4,640,417780382,6,1671121528,16,33,15,8,360,1125,0,0,130214154,5451,7187659047,0,1117,729,8,3,1,14,14,1101,0,3,7183774963,6978914020,198941386,423903086,423919470,1,3,1,0,22042960504,73389,73389,14,14,14,423903090,6,3,318985,1778003,2368988,59679,7183774963,1728078,127849950,2659
947248.93,11,253952,62,345777,22779432308,16,70187666,0,1300,19,19,4886,2257,1170,1781092,8,11,135779,17,11,222216225,2342,1,0,4,640,430449822,6,1721734804,16,33,15,8,360,1170,0,0,134101476,5553,7412691612,0,1162,753,8,3,1,14,14,1101,0,3,7407878161,7190827487,204266389,436785611,436785611,1,3,1,0,22712851804,73389,73389,14,14,14,436785615,6,3,323511,1832558,2430732,61503,7407878161,1781092,131675670,2774
949253.39,11,253952,62,353779,23306397306,17,72800814,0,1316,20,20,4886,2322,1170,1822230,8,11,138928,17,11,222216225,2342,1,0,4,640,440415601,6,1761597796,16,34,15,8,360,1170,0,0,137026181,5574,7594233109,0,1162,753,8,3,1,14,14,1101,0,3,7590113641,7357660335,209803287,446860883,446860883,1,3,1,0,23236765948,73389,73389,14,14,14,446860887,6,3,328706,1874949,2481718,63029,7590113641,1822230,134549500,2774
951257.15,11,253952,62,365012,24046122664,17,74650725,0,1345,20,20,4886,2407,1251,1879530,8,11,143314,17,11,236272458,2504,1,0,4,640,454290450,6,1817097164,16,34,15,8,360,1251,0,0,141184662,5675,7849378345,0,1243,782,8,3,1,14,14,1101,0,3,7845103811,7592644079,215811543,460945917,460945917,1,3,1,0,23969187716,73389,73389,14,14,14,460945921,6,3,330632,1933928,2552558,65168,7845103811,1879530,138637285,2966
953261.19,11,253952,62,376303,24790593444,17,76470943,0,1376,21,21,4886,2458,1305,1930007,8,11,147734,17,11,246474527,2612,1,0,4,640,468362050,6,1873383536,16,35,15,8,360,1305,0,0,145405978,5747,8091425248,0,1297,806,8,3,1,14,14,1101,0,3,8086442318,7827719037,221852134,475206413,475206413,1,3,1,0,24710733508,73389,73389,14,14,14,475206417,6,3,333344,1985991,2609446,67129,8086442318,1930007,142801862,3092
955265.61,11,253952,62,387583,25533700644,18,79322449,0,1400,21,21,4886,2546,1467,1990475,8,11,152127,17,11,274216955,2936,1,0,4,640,482222692,6,1928826036,16,35,15,8,360,1467,0,0,149531801,5792,8368817555,0,1459,936,8,3,1,14,14,1101,0,3,8363579269,8065435631,228639903,489278937,489278937,1,3,1,0,25442504756,73389,73389,14,14,14,489278941,6,3,338015,2048183,2691394,69438,8363579269,1990475,146845892,3475
957269.80,11,253952,62,398762,26271383242,18,81155965,0,1416,21,21,4886,2598,1476,2046112,8,11,156462,17,11,276029563,2954,1,0,4,640,496028918,6,1984051084,16,35,15,8,360,1476,0,0,153634581,5840,8625874167,0,1468,944,8,3,1,14,14,1101,0,3,8620751601,8299796799,234365854,503301865,503318249,1,3,1,0,26171697012,73389,73389,14,14,14,503301869,6,3,340098,2105427,2744260,71525,8620751601,2046112,150895948,3495
959273.92,12,253952,62,410208,27025043636,18,83111219,0,1448,24,24,4886,2683,1476,2109997,8,11,160920,17,11,276693193,2954,1,0,4,640,510140270,6,2040496348,16,38,15,8,360,1476,0,0,157831009,5912,8911509492,0,1468,944,8,3,1,14,14,1101,0,3,8908110745,8540519478,240850547,517597732,517597732,1,3,1,0,26915082096,73389,73389,14,14,14,517597736,6,3,349625,2171128,2825137,73918,8908110745,2109997,155011658,3495
961277.66,12,253952,62,420010,27671180034,22,88089602,0,1494,24,24,4886,2751,1476,2161906,8,11,164734,17,11,277911859,2954,1,0,4,640,522199423,6,2088797692,16,38,15,8,360,1476,0,0,161421543,5980,9150946914,0,1468,944,8,3,1,14,14,1101,0,3,9145142262,8746493430,249484685,529859824,529859824,1,3,1,0,27552710880,73389,73389,14,14,14,529859828,6,3,354303,2224483,2901019,75890,9145142262,2161906,158526450,3495
963281.47,12,253952,62,429330,28284355742,23,90108592,0,1509,26,26,4886,2796,1539,2209487,8,11,168348,17,11,288740028,3080,1,0,4,640,533703584,6,2134749668,16,40,15,8,360,1539,0,0,164728947,6077,9370902360,0,1531,976,8,3,1,14,14,1101,0,3,9364844473,8941792672,254811920,541513993,541513993,1,3,1,0,28158727668,73389,73389,14,14,14,541513997,6,3,363873,2273361,2969000,77682,9364844473,2209487,161765999,3638
965285.35,12,253952,62,440591,29026881388,23,91798777,0,1519,26,26,4886,2877,1827,2269360,8,11,172734,17,11,339030622,3656,1,0,4,640,547582641,6,2190330564,16,40,15,8,360,1827,0,0,168752657,6217,9647961152,0,1819,1124,8,3,1,14,14,1101,0,3,9642150422,9178963087,260525401,555574007,555590391,1,3,1,0,28889848396,73389,73389,14,14,14,555574011,6,3,367014,2334870,3038971,79997,9642150422,2269360,165719887,4272
967289.35,14,253952,62,451875,29769538838,23,93904969,0,1533,26,26,4886,2939,1872,2327216,8,11,177107,17,11,347938960,3746,1,0,4,640,561485014,6,2245940056,16,40,15,8,360,1872,0,0,172788435,6273,9919533881,0,1864,1148,8,3,1,14,14,1101,0,3,9915138493,9415237773,266667630,569675425,569708193,1,3,1,0,29623122132,73389,73389,14,14,14,569675429,6,3,372512,2394393,3105939,82240,9915269565,2327244,169688849,4374
969293.90,14,253952,62,462676,30481495614,23,95999766,0,1539,26,26,4886,3007,1872,2380996,8,11,181295,17,11,348892174,3746,1,0,4,640,574770701,6,2299018112,16,40,15,8,360,1872,0,0,176831332,6473,10181397818,0,1864,1148,8,3,1,14,14,1101,0,3,10175688677,9642872139,272805275,583180542,583180542,1,3,1,0,30325388216,73389,73389,14,14,14,583180546,6,3,374367,2449802,3159936,84391,10175688677,2380996,173677892,4374
971298.06,14,253952,62,473378,31187036722,23,97809278,0,1547,26,26,4886,3089,1872,2438272,8,11,185480,17,11,350134972,3746,1,0,4,640,588084247,6,2352336988,16,40,15,8,360,1872,0,0,180860774,6568,10444466559,0,1864,1148,8,3,1,14,14,1101,0,3,10438875024,9867913431,278644723,596570971,596570971,1,3,1,0,31021690524,73389,73389,14,14,14,596570975,6,3,377692,2508750,3235885,86566,10438875024,2438272,177631532,4374
971848.95,14,253952,62,476110,31367010156,24,98568704,1,1551,26,26,4886,3130,1872,2452087,8,11,186584,24,11,357801227,3753,1,1225,4,640,591599349,6,2366397396,23,47,24,16,384,1872,1225,86,182025115,6610,10505592872,8,1864,1148,8,3,1,14,14,1101,94751450,3,10498907036,9924491024,470050094,600037902,600037902,1,3,1,94751450,31201970936,73389,73389,14,14,14,600037906,6,3,379334,2522965,3257987,87035,10498907036,2452087,178773808,4374
