event,value,description
LogDebug,1,Number of log messages with level Debug
LogInfo,49,Number of log messages with level Info
LogWarning,3,Number of log messages with level Warning
LoggerElapsedNanoseconds,6662202,Cumulative time spend in logging
InterfaceHTTPReceiveBytes,249,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,1,Number of created server HTTP connections
MemoryWorkerRun,6676,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,1171522,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,54,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,54,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,3,How many messages (accepted or dropped) have been sent to the async queue for the error file log
