timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55656.08,6,262144,64,101487,6687467220,64,42,129,1,585,1348396,11,24934,61,67,41103,126571674,1172,1,66,15357,4288085,2,126930,585,28576982,68681922,2012975397,585,1161,2,1,2,2,749,1,1,2004132252,1958212707,587403900,151633049,151649433,2,1,6671854156,73389,73389,2,2,2,151633049,15,1,3,208356,44605487,1931042,86483,15292,2004132252,1261913,26646331,179417
60667.78,6,262144,64,107116,7058480914,64,42,130,1,585,1423541,11,26526,61,67,41103,126837126,1172,1,66,16183,4491270,2,126930,585,29908124,73349375,2121613001,585,1161,2,1,2,2,749,1,1,2112266652,2066668719,601371611,160078113,160078113,2,1,7043436972,73389,73389,2,2,2,160078113,15,1,3,209725,47539963,2007365,89958,16117,2112266652,1333583,27900442,179417
65695.00,6,262144,64,113883,7504352094,64,42,131,1,585,1511151,11,28403,61,67,41103,126837126,1172,1,66,17178,4635673,2,126930,585,32410787,78492317,2252622974,585,1161,2,1,2,2,749,1,1,2242683292,2196981317,657873861,170200378,170216762,2,1,7488816632,73389,73389,2,2,2,170200378,15,1,3,214947,50147967,2096926,93591,17112,2242683292,1417560,30314120,179417
70720.50,6,262144,64,120683,7952385962,64,42,133,1,585,1597214,11,30393,61,67,41103,127102578,1172,1,66,18176,4765704,2,126930,585,35227913,84257321,2384027681,585,1161,2,1,2,2,749,1,1,2373493148,2327901248,774973867,180388179,180404563,2,1,7937079876,73389,73389,2,2,2,180388179,15,1,3,222663,52705361,2201055,97316,18111,2373493148,1499898,33026744,179417
75805.13,6,262144,64,125744,8285921822,64,42,133,1,585,1667100,11,31773,61,67,41103,127102578,1172,1,66,18919,5061078,2,126930,585,36530585,89258775,2482006860,585,1161,2,1,2,2,749,1,1,2471010716,2425419343,790578713,187967050,187983434,2,1,8270550200,73389,73389,2,2,2,187967050,15,1,3,222978,55780358,2249313,100463,18854,2471010716,1566637,34281207,179417
80824.72,6,262144,64,130133,8575152038,64,42,134,1,585,1737955,11,33024,61,67,41103,127368030,1172,1,66,19564,5299826,2,126930,585,37700565,94163228,2566953440,585,1161,2,1,2,2,749,1,1,2555552156,2509980127,911047196,194540464,194556848,2,1,8559780416,73389,73389,2,2,2,194540464,15,1,3,229097,59028377,2327661,115564,19499,2555552156,1622391,35372634,179417
85921.26,6,262144,64,134257,8846749762,64,42,135,1,585,1794616,11,34197,61,67,41103,127368030,1172,1,66,20169,5560335,2,126930,585,40409992,101026785,2646636260,585,1161,2,1,2,2,749,1,1,2634850716,2589439776,1041186229,200706437,200722821,2,1,8831083228,73389,73389,2,2,2,200706437,15,1,3,232041,62519864,2422916,118423,20104,2634850716,1676193,37987256,179417
90960.15,6,262144,64,139236,9174911670,64,42,136,1,585,1885295,11,35614,61,67,41103,127621416,1172,1,66,20903,5895719,2,126930,585,41821464,106255220,2743164149,585,1161,2,1,2,2,749,1,1,2730926492,2685279450,1083439384,208170620,208187004,2,1,9159507280,73389,73389,2,2,2,208170620,15,1,3,239493,66017719,2520591,144111,20837,2730926492,1741184,39300491,179417
96061.32,6,262144,64,143091,9428880210,64,42,136,1,585,1938186,11,36668,61,67,41103,127621416,1172,1,66,21469,6185108,2,126930,585,43071612,111790652,2817842549,585,1161,2,1,2,2,749,1,1,2805244316,2759569065,1106947048,213951569,213951569,2,1,9413869036,73389,73389,2,2,2,213951569,15,1,3,245438,69569862,2598259,146618,21404,2805244316,1791568,40473090,179417
101741.34,6,262144,64,147199,9699694810,64,42,137,1,585,1996492,11,37842,61,67,41103,127886868,1172,1,66,22073,6651567,2,126930,585,44294022,117853054,2897257829,585,1161,2,1,2,2,749,1,1,2884280732,2838751733,1206144243,220090807,220107191,2,1,9683995508,73389,73389,2,2,2,220090807,15,1,3,247454,73684071,2648517,149260,22007,2884280732,1847232,41645501,179417
107472.74,6,262144,64,151933,10011534946,64,42,138,1,585,2065580,11,39189,61,67,41103,127886868,1172,1,66,22768,6948922,2,126930,585,46108418,124024807,2988791497,585,1161,2,1,2,2,749,1,1,2975375772,2929904253,1279640829,227180317,227196701,2,1,9995933948,73389,73389,2,2,2,227180317,15,1,3,249294,77524206,2706682,152403,22702,2975375772,1913177,43402347,179417
112937.21,6,262144,64,155502,10246760190,64,42,138,1,585,2114413,11,40161,61,67,41103,127886868,1172,1,66,23293,7252846,2,126930,585,47164559,129277529,3057934944,585,1161,2,1,2,2,749,1,1,3044188572,2998683398,1393936831,232535282,232535282,2,1,10231552408,73389,73389,2,2,2,232535282,15,1,3,249889,80971282,2750545,154769,23227,3044188572,1959644,44414723,179417
118078.95,6,262144,64,160218,10557686130,64,42,139,1,585,2179499,11,41502,61,67,41103,128152320,1172,1,66,23983,7564651,2,126930,585,49106412,136056310,3148795528,585,1161,2,1,2,2,749,1,1,3134628252,3089536591,1634160663,239589865,239606249,2,1,10541954060,73389,73389,2,2,2,239589865,15,1,3,252023,84739676,2804270,157775,23917,3134628252,2021724,46303166,179417
123125.15,6,262144,64,164445,10836034062,64,42,140,1,585,2237883,11,42711,61,67,41103,128152320,1172,1,66,24607,7764085,2,126930,585,50981975,141921569,3230972636,585,1161,2,1,2,2,749,1,1,3216417180,3170913705,1837545572,245919678,245936062,2,1,10820465832,73389,73389,2,2,2,245919678,15,1,3,253315,88090614,2868537,160376,24541,3216417180,2077507,48114745,179417
128164.67,6,262144,64,169745,11185233026,64,42,141,1,585,2306840,11,44211,61,67,41103,128417772,1172,1,66,25383,8012726,2,126930,585,52650249,147593856,3333288638,585,1161,2,1,2,2,749,1,1,3318260124,3272946923,1871101207,253858997,253875381,2,1,11169795868,73389,73389,2,2,2,253858997,15,1,3,253851,91445705,2937493,163463,25318,3318260124,2143377,49714402,179417
133200.74,6,262144,64,175933,11592893410,64,42,142,1,585,2382665,11,45952,61,67,41103,128417772,1172,1,66,26292,8183510,2,126930,585,54728300,153203014,3452719331,585,1161,2,1,2,2,749,1,1,3437142428,3392098286,2039504537,263123261,263139645,2,1,11577423484,73389,73389,2,2,2,263123261,15,1,3,255378,94216998,3015214,166984,26226,3437142428,2215681,51715551,179417
138401.67,6,262144,64,180380,11885924714,64,42,143,1,585,2438061,11,47220,61,67,41103,128417772,1172,1,66,26947,8537043,2,126930,585,56730173,159020145,3539243994,585,1161,2,1,2,2,749,1,1,3523256732,3477830705,2068554702,269778595,269794979,2,1,11870258180,73389,73389,2,2,2,269778595,15,1,3,256031,97499523,3078933,169681,26882,3523256732,2268380,53653775,179417
143467.52,6,262144,64,184741,12173319922,64,42,143,1,585,2492694,11,48408,61,67,41103,128683224,1172,1,66,27589,8719451,2,126930,585,58107528,164787750,3623658414,585,1161,2,1,2,2,749,1,1,3607273884,3561861651,2190917280,276319241,276319241,2,1,12158046604,73389,73389,2,2,2,276319241,15,1,3,257594,101083817,3139750,172364,27523,3607273884,2320330,54970171,179417
148518.45,6,262144,64,189599,12493551974,64,42,144,1,585,2554762,11,49791,61,67,41103,128948676,1172,1,66,28302,9008920,2,126930,585,59850239,170766637,3717554571,585,1161,2,1,2,2,749,1,1,3700728220,3655352871,2443497807,283595008,283611392,2,1,12478180352,73389,73389,2,2,2,283595008,15,1,3,260869,104036710,3220084,175221,28236,3700728220,2379541,56632352,179417
153968.80,6,262144,64,194502,12816467694,64,42,145,1,585,2616801,11,51183,61,67,41103,128948676,1172,1,66,29022,9244534,2,126930,585,61541673,176309304,3812369675,585,1161,2,1,2,2,749,1,1,3795100060,3749788159,2509493992,290930278,290946662,2,1,12800932232,73389,73389,2,2,2,290930278,15,1,3,262634,107492842,3282117,178231,28956,3795100060,2438570,58262072,179417
159710.21,6,262144,64,198745,13096129654,64,42,146,1,585,2672643,11,52394,61,67,41103,129214128,1172,1,66,29643,9556348,2,126930,585,63044053,182928171,3894152012,585,1161,2,1,2,2,749,1,1,3876495772,3831615841,2536699105,297290700,297290700,2,1,13080790800,73389,73389,2,2,2,297290700,15,1,3,264814,112024077,3344533,180958,29577,3876495772,2491685,59702467,179417
166499.05,6,262144,64,203129,13385032190,64,42,146,1,585,2729834,11,53587,61,67,41103,129214128,1172,1,66,30289,10107171,2,126930,585,64255796,189231757,3979230456,585,1161,2,1,2,2,749,1,1,3961168284,3916026324,2568899405,303847730,303864114,2,1,13369300120,73389,73389,2,2,2,303847730,15,1,3,265072,116759979,3402797,183871,30223,3961168284,2545963,60855948,179417
171948.23,6,262144,64,207367,13664101018,64,42,147,1,585,2783187,11,54801,61,67,41103,129214128,1172,1,66,30911,10539370,2,126930,585,65771711,195399064,4061141373,585,1161,2,1,2,2,749,1,1,4042695068,3997587852,2626562660,310193927,310210311,2,1,13648532788,73389,73389,2,2,2,310193927,15,1,3,266719,120901350,3473621,186432,30845,4042695068,2596755,62301029,179417
176980.49,6,262144,64,212008,13970111758,64,42,148,1,585,2839112,11,56117,61,67,41103,129479580,1172,1,66,31590,10878910,2,126930,585,67193353,200754344,4150692377,585,1161,2,1,2,2,749,1,1,4131824028,4087043024,2828078513,317150206,317166590,2,1,13954609064,73389,73389,2,2,2,317150206,15,1,3,268332,124297091,3530690,189248,31525,4131824028,2649864,63666104,179417
182087.82,6,262144,64,216960,14296238742,64,42,149,1,585,2899429,11,57525,61,67,41103,129479580,1172,1,66,32319,11071906,2,126930,585,69306197,206624117,4246565726,585,1161,2,1,2,2,749,1,1,4227244444,4182447812,3428072205,324551012,324567396,2,1,14280244528,73389,73389,2,2,2,324551012,15,1,3,272157,127179328,3599534,194548,32253,4227244444,2704881,65710041,179417
187106.80,6,262144,64,225355,14849598886,64,42,150,1,585,2987766,11,59871,61,67,41103,129745032,1172,1,66,33553,11285214,2,126930,585,71753530,211943654,4409018768,585,1161,2,1,2,2,749,1,1,4388987292,4344172197,3597078703,337140784,337157168,2,1,14834194496,73389,73389,2,2,2,337140784,15,1,3,273979,129854391,3685746,199281,33487,4388987292,2788485,68070988,179417
192120.53,6,262144,64,245308,16164478294,64,42,153,1,585,3156747,11,65477,61,67,41103,130275936,1172,1,66,36485,11355584,2,126930,585,77483872,217497122,4794870156,585,1161,2,1,2,2,749,1,1,4773290396,4728601934,3839375120,367024251,367024251,2,1,16149067044,73389,73389,2,2,2,367024251,15,1,3,285896,131919309,3868743,205256,36419,4773290396,2951491,73618730,179417
197166.77,6,262144,64,258989,17065588994,64,42,156,1,585,3286090,11,69372,61,67,41103,130541388,1172,1,66,38493,11413342,2,126930,585,82251897,223046228,5059161069,585,1161,2,1,2,2,749,1,1,5036482972,4991951070,3880738995,387508508,387508508,2,1,17049653456,73389,73389,2,2,2,387492124,15,1,3,300999,134232631,4022466,210549,38427,5036482972,3075541,78233439,179417
202202.68,6,262144,64,265129,17470369102,64,42,157,1,585,3357149,11,71100,61,67,41103,130806840,1172,1,66,39395,11534611,2,126930,585,84302660,228044680,5177932412,585,1161,2,1,2,2,749,1,1,5154709916,5110323555,3906839761,396705077,396705077,2,1,17455023388,73389,73389,2,2,2,396705077,15,1,3,304815,136715927,4109428,213702,39329,5154709916,3143447,80197369,179417
207239.38,6,262144,64,271094,17863414958,64,42,158,1,585,3428289,11,72783,61,67,41103,130806840,1172,1,66,40273,11649006,2,126930,585,86186864,233006201,5293544198,585,1161,2,1,2,2,749,1,1,5269791132,5225195002,3958455077,405641661,405641661,2,1,17847246736,73389,73389,2,2,2,405619244,15,1,3,309677,139181532,4188707,217079,40207,5269791132,3211210,82002267,179417
212262.26,6,262144,64,279626,18425488082,64,42,159,1,585,3517507,11,75167,61,67,41103,131072292,1172,1,66,41527,11763546,2,126930,585,88949173,238526847,5458632468,585,1161,2,1,2,2,749,1,1,5434155420,5389542545,4043127720,418422008,418422008,2,1,18410568352,73389,73389,2,2,2,418422008,15,1,3,316554,141840481,4291961,222886,41461,5434155420,3294621,84661455,179417
217296.14,6,262144,64,288604,19017055714,64,42,161,1,585,3612728,11,77725,61,67,41103,131337744,1172,1,66,42846,11970635,2,126930,585,91556885,243475882,5632280840,585,1161,2,1,2,2,749,1,1,5607039388,5562399066,4088860243,431863748,431880132,2,1,19002004912,73389,73389,2,2,2,431863748,15,1,3,318998,144475279,4361298,226923,42780,5607039388,3385805,87198674,179417
222307.83,6,262144,64,300334,19790040226,64,42,163,1,585,3727385,11,81033,61,67,41103,131603196,1172,1,66,44570,12088399,2,126930,585,95482149,248884744,5859209160,585,1161,2,1,2,2,749,1,1,5833007516,5788487485,4162462399,449433812,449433812,2,1,19775087728,73389,73389,2,2,2,449433812,15,1,3,324822,146926271,4491493,234026,44504,5833007516,3493359,90994893,179417
227345.58,6,262144,64,310794,20479263114,64,42,164,1,585,3832994,11,83940,61,67,41103,131868648,1172,1,66,46107,12200714,2,126930,585,98749280,254214654,6061531753,585,1161,2,1,2,2,749,1,1,6034465180,5989942367,4252042219,465083074,465099458,2,1,20463655256,73389,73389,2,2,2,465083074,15,1,3,327013,149286707,4593880,240074,46041,6034465180,3592920,94160258,179417
232393.93,6,262144,64,317115,20895639786,64,42,165,1,585,3932858,11,85719,61,67,41103,131868648,1172,1,66,47035,12291051,2,126930,585,100681712,259109692,6183725919,585,1161,2,1,2,2,749,1,1,6156099996,6111711642,4283774562,474543946,474560330,2,1,20879933624,73389,73389,2,2,2,474543946,15,1,3,330784,152094008,4674843,267746,46969,6156099996,3665112,96012185,179417
237426.97,6,262144,64,323446,21313202722,64,42,167,1,585,4006380,11,87545,61,67,41103,132399552,1172,1,66,47966,12395176,2,126930,585,102866421,264705868,6306315226,585,1161,2,1,2,2,749,1,1,6278128028,6233716543,4380820609,484049652,484049652,2,1,21297463792,73389,73389,2,2,2,484033268,15,1,3,337881,154900267,4767479,271195,47900,6278128028,3735185,98103776,179417
242438.27,6,262144,64,336845,22195844336,64,42,169,1,585,4129578,11,91312,61,67,41103,132665004,1172,1,66,49931,12489822,2,126930,585,106338179,270089177,6564948779,585,1161,2,1,2,2,749,1,1,6535684508,6491716799,4746060201,504099733,504116117,2,1,22180388252,73389,73389,2,2,2,504099733,15,1,3,347637,157211513,4903219,278248,49865,6535684508,3851330,101439669,179417
247494.95,6,262144,64,348965,22994641274,64,42,171,1,585,4245798,11,94734,61,67,41103,132930456,1172,1,66,51711,12584186,2,126930,585,109818638,275516444,6799241568,585,1161,2,1,2,2,749,1,1,6768992668,6725260640,4782876499,522249270,522265654,2,1,22978967880,73389,73389,2,2,2,522249270,15,1,3,352186,159719640,5024217,283519,51645,6768992668,3962279,104799439,179417
252554.36,6,262144,64,355708,23438674138,64,42,172,1,585,4325329,11,96630,61,67,41103,132930456,1172,1,66,52703,12733286,2,126930,585,112382091,280739442,6929855230,585,1161,2,1,2,2,749,1,1,6899016092,6854985840,4821578516,532349118,532365502,2,1,23423361192,73389,73389,2,2,2,532349118,15,1,3,356991,162486563,5109744,289003,52637,6899016092,4036326,107277364,179417
257620.82,6,262144,64,363182,23931410174,64,42,173,1,585,4413048,11,98723,61,67,41103,133195908,1172,1,66,53798,12863868,2,126930,585,115301859,286723806,7074025937,585,1161,2,1,2,2,749,1,1,7042539932,6999054006,4962305318,543556601,543556601,2,1,23916490444,73389,73389,2,2,2,543556601,15,1,3,361121,165154663,5202190,292665,53732,7042539932,4120383,110104827,179417
262634.22,6,262144,64,374882,24702175220,64,42,175,1,585,4528598,11,102024,61,67,41103,133461360,1172,1,66,55517,12955158,2,126930,585,119298864,292500441,7300428677,585,1161,2,1,2,2,749,1,1,7267983772,7224346511,5074318647,561063288,561079672,2,1,24686784672,73389,73389,2,2,2,561063288,15,1,3,376356,167692977,5361216,297872,55452,7267983772,4230726,113943887,179417
267655.06,6,262144,64,387555,25537225632,64,42,177,1,585,4648857,11,105588,61,67,41103,133726812,1172,1,66,57380,13054122,2,126930,585,123106984,297884835,7545641581,585,1161,2,1,2,2,749,1,1,7512170908,7468542165,5134920407,580032025,580048409,2,1,25521409100,73389,73389,2,2,2,580032025,15,1,3,384202,170091068,5496865,302561,57315,7512170908,4346296,117616529,179417
272677.24,6,262144,64,395334,26049684696,64,42,179,2,585,4732117,11,107820,61,67,41103,133992264,1172,1,66,58521,13112798,2,126930,585,124906751,302325514,7695738001,585,1161,2,1,2,2,749,1,1,7661592988,7618312482,5150890513,591684035,591700419,2,1,26034097540,73389,73389,2,2,2,591684035,15,1,3,386891,172583793,5577283,306264,58455,7661592988,4425853,119336260,179417
