timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
105585.83,2,262144,64,213236,14051120870,64,91,148,0,585,2680967,11,56457,67,1165,129479580,1172,1,66,31771,4528851,2,170353,585,61037439,106138863,4173538826,585,12513,2,1,2,2,666,1,1,4155548060,4110735239,1260331481,318997280,319013664,2,1,14035880320,73389,73389,2,2,2,318997280,12,3,490834,62671340,3970060,147699,31706,4155548060,2533268,57067642,10526
110613.25,2,262144,64,220173,14507867718,64,91,149,0,585,2772254,11,58401,67,1165,129479580,1172,1,66,32790,4651127,2,170353,585,63942933,111819773,4307578858,585,12513,2,1,2,2,666,1,1,4288979356,4244321478,1366002885,329375656,329375656,2,1,14492528864,73389,73389,2,2,2,329375656,12,3,501458,65327809,4110001,157621,32724,4288979356,2614633,59833502,10526
115643.50,2,262144,64,226723,14939783038,64,91,150,0,585,2853428,11,60243,67,1165,129745032,1172,1,66,33755,4764262,2,170353,585,65926139,116647703,4434642776,585,12513,2,1,2,2,666,1,1,4415463836,4370522190,1415077868,339184466,339200850,2,1,14924116504,73389,73389,2,2,2,339184466,12,3,506939,67877481,4205294,161838,33689,4415463836,2691590,61720570,10526
120671.56,2,262144,64,232554,15324047070,64,91,151,0,585,2927376,11,61890,67,1165,130010484,1172,1,66,34612,4922855,2,170353,585,67358092,121207787,4547494791,585,12513,2,1,2,2,666,1,1,4527792540,4482873172,1428522755,347924442,347940826,2,1,15308675448,73389,73389,2,2,2,347924442,12,3,508683,70820457,4272409,165321,34546,4527792540,2762055,63085542,10526
125704.87,2,262144,64,237032,15618916934,64,91,152,1,585,2986841,11,63165,67,1165,130010484,1172,1,66,35268,5212639,2,170353,585,69141229,126108746,4633896936,585,12513,2,1,2,2,666,1,1,4613775772,4569124558,1520391429,354614703,354631087,2,1,15603046932,73389,73389,2,2,2,354614703,12,3,511187,73801016,4336458,168235,35202,4613775772,2818606,64804372,10526
130774.96,2,262144,64,241480,15912279226,64,91,153,1,585,3047515,11,64431,67,1165,130275936,1172,1,66,35922,5498722,2,170353,585,70274388,130834306,4720023905,585,12513,2,1,2,2,666,1,1,4699496860,4654875895,1540851179,361292454,361292454,2,1,15896867976,73389,73389,2,2,2,361292454,12,3,512173,77174810,4381403,171048,35856,4699496860,2876467,65892715,10526
135839.35,2,262144,64,245720,16191479126,64,91,153,1,585,3105696,11,65589,67,1165,130275936,1172,1,66,36544,5857171,2,170353,585,71969574,136715327,4802075866,585,12513,2,1,2,2,666,1,1,4781154716,4736457252,1606629117,367630459,367646843,2,1,16175740196,73389,73389,2,2,2,367630459,12,3,515097,80714709,4450481,173825,36479,4781154716,2931871,67518231,10526
140916.32,2,262144,64,249668,16451542514,64,91,154,1,585,3163178,11,66722,67,1165,130275936,1172,1,66,37122,6159270,2,170353,585,73136366,141483057,4878072591,585,12513,2,1,2,2,666,1,1,4856783260,4812519076,1643429347,373550672,373550672,2,1,16436229568,73389,73389,2,2,2,373550672,12,3,515716,84310174,4500682,176411,37056,4856783260,2986767,68634946,10526
145953.12,2,262144,64,253524,16705842042,64,91,155,1,585,3217528,11,67827,67,1165,130541388,1172,1,66,37691,6467959,2,170353,585,74450238,147361093,4953012460,585,12513,2,1,2,2,666,1,1,4931363228,4886797276,1670060450,379321270,379337654,2,1,16690135880,73389,73389,2,2,2,379321270,12,3,517591,88035710,4560720,178838,37625,4931363228,3038690,69887259,10526
150998.59,2,262144,64,257169,16946048022,64,91,155,1,585,3267744,11,68820,67,1165,130541388,1172,1,66,38229,6738358,2,170353,585,75825835,153055886,5023871427,585,12513,2,1,2,2,666,1,1,5001879964,4957040879,1698316298,384790923,384790923,2,1,16930079716,73389,73389,2,2,2,384774539,12,3,519519,91734203,4626173,181364,38163,5001879964,3086380,71198615,10526
156663.40,2,262144,64,261498,17231080626,64,91,156,1,585,3328203,11,70056,67,1165,130541388,1172,1,66,38862,7030245,2,170353,585,77925969,159613019,5107250463,585,12513,2,1,2,2,666,1,1,5084848540,5040365438,1757934207,391268192,391268192,2,1,17215800448,73389,73389,2,2,2,391268192,12,3,521418,95462471,4701769,184214,38796,5084848540,3143989,73223173,10526
162059.55,2,262144,64,265887,17520310842,64,91,157,1,585,3406200,11,71309,67,1165,130806840,1172,1,66,39509,7261054,2,170353,585,79036317,164739220,5192457431,585,12513,2,1,2,2,666,1,1,5169652124,5124895039,1878861114,397841606,397841606,2,1,17505030664,73389,73389,2,2,2,397841606,12,3,522792,99004208,4749522,204555,39443,5169652124,3201645,74286350,10526
167164.48,2,262144,64,269673,17769757398,64,91,158,1,585,3454446,11,72391,67,1165,130806840,1172,1,66,40065,7641159,2,170353,585,80606086,170638510,5265684415,585,12513,2,1,2,2,666,1,1,5242528156,5197739375,1915711243,403516059,403532443,2,1,17754706596,73389,73389,2,2,2,403516059,12,3,523297,102621604,4809402,207006,39999,5242528156,3247440,75796503,10526
172499.12,2,262144,64,274690,18100144222,64,91,158,1,585,3526205,11,73767,67,1165,130806840,1172,1,66,40801,8011989,2,170353,585,82589495,177415209,5362604784,585,12513,2,1,2,2,666,1,1,5338997148,5294350101,1953866747,411023361,411039745,2,1,18085027884,73389,73389,2,2,2,411023361,12,3,525146,106189402,4880928,217313,40736,5338997148,3308892,77707504,10526
177536.73,2,262144,64,279333,18406286034,64,91,159,1,585,3584377,11,75087,67,1165,131072292,1172,1,66,41482,8277154,2,170353,585,83466616,182078418,5452430394,585,12513,2,1,2,2,666,1,1,5428388252,5383867159,1964478953,417979640,417996024,2,1,18391104160,73389,73389,2,2,2,417979640,12,3,529337,109423462,4947050,220021,41417,5428388252,3364356,78518387,10526
182571.45,2,262144,64,285099,18786290226,64,91,160,1,585,3656341,11,76715,67,1165,131337744,1172,1,66,42331,8396276,2,170353,585,85772085,187957910,5564227656,585,12513,2,1,2,2,666,1,1,5539668380,5495028798,2113424454,426621312,426621312,2,1,18771337728,73389,73389,2,2,2,426621312,12,3,533844,112157528,5046458,223300,42266,5539668380,3433041,80724184,10526
187658.35,2,262144,64,289744,19092297658,64,91,161,1,585,3717337,11,78036,67,1165,131337744,1172,1,66,43014,8577199,2,170353,585,88185876,194160176,5654042671,585,12513,2,1,2,2,666,1,1,5629059484,5584465416,2254296789,433579750,433579750,2,1,19076788104,73389,73389,2,2,2,433563366,12,3,538355,115722434,5123514,226093,42948,5629059484,3491244,83060888,10526
192762.02,2,262144,64,294123,19380872514,64,91,162,1,585,3772523,11,79284,67,1165,131603196,1172,1,66,43658,8790126,2,170353,585,89878778,200350615,5738860767,585,12513,2,1,2,2,666,1,1,5713469852,5668838738,2304086733,440136780,440136780,2,1,19366018320,73389,73389,2,2,2,440136780,12,3,542414,118822057,5200032,228671,43592,5713469852,3543852,84676683,10526
197927.24,2,262144,64,298997,19702153142,64,91,162,1,585,3832145,11,80613,67,1165,131603196,1172,1,66,44374,9122707,2,170353,585,91659677,205776516,5833156613,585,12513,2,1,2,2,666,1,1,5807317404,5762777499,2350337581,447437123,447437123,2,1,19687233412,73389,73389,2,2,2,447437123,12,3,547756,122051899,5278836,231518,44308,5807317404,3600627,86378475,10526
203577.88,2,262144,64,303481,19997343826,64,91,163,1,585,3891382,11,81888,67,1165,131603196,1172,1,66,45033,9457387,2,170353,585,92926816,211547623,5919943569,585,12513,2,1,2,2,666,1,1,5893693852,5849104187,2394156726,454143768,454143768,2,1,19982325792,73389,73389,2,2,2,454143768,12,3,549962,125878340,5344206,234460,44967,5893693852,3656922,87579706,10526
210086.87,2,262144,64,307250,20245941722,64,91,164,1,585,3940443,11,82974,67,1165,131868648,1172,1,66,45584,9833233,2,170353,585,94161044,217863611,5992644769,585,12513,2,1,2,2,666,1,1,5966045596,5921714554,2421759822,459783294,459799678,2,1,20230464936,73389,73389,2,2,2,459783294,12,3,555146,130503618,5419543,236923,45519,5966045596,3703520,88738784,10526
216644.81,2,262144,64,311755,20542508662,64,91,165,2,585,3998764,11,84258,67,1165,131868648,1172,1,66,46247,10539698,2,170353,585,95938981,225778307,6079959076,585,12513,2,1,2,2,666,1,1,6052946332,6008457468,2596953139,466522707,466539091,2,1,20526999108,73389,73389,2,2,2,466522707,12,3,557277,135657452,5491738,239764,46182,6052946332,3759000,90444725,10526
221771.30,2,262144,64,316174,20833704958,64,91,165,2,585,4054932,11,85462,67,1165,131868648,1172,1,66,46895,10808129,2,170353,585,97662910,231188991,6165288930,585,12513,2,1,2,2,666,1,1,6137880988,6093534369,2687860194,473145273,473161657,2,1,20818392012,73389,73389,2,2,2,473145273,12,3,558461,139024890,5563412,242387,46830,6137880988,3812545,92097009,10526
226801.46,2,262144,64,321206,21165340274,64,91,166,2,585,4119006,11,86891,67,1165,132134100,1172,1,66,47634,11073238,2,170353,585,99113085,236709298,6262607307,585,12513,2,1,2,2,666,1,1,6234743196,6190498298,2723836950,480691376,480691376,2,1,21150420544,73389,73389,2,2,2,480691376,12,3,561061,142144535,5627996,246430,47569,6234743196,3872576,93482784,10526
231822.17,2,262144,64,327569,21584734910,64,91,167,2,585,4207514,11,88676,67,1165,132399552,1172,1,66,48570,11218434,2,170353,585,101010560,242643300,6385721404,585,12513,2,1,2,2,666,1,1,6357295516,6313057695,3003961107,490207433,490223817,2,1,21569127052,73389,73389,2,2,2,490207433,12,3,565731,145274797,5717801,258780,48504,6357295516,3948734,95290516,10526
236878.65,2,262144,64,339916,22398420586,64,91,169,2,585,4320857,11,92157,67,1165,132665004,1172,1,66,50384,11277827,2,170353,585,104313195,248069288,6624484833,585,12513,2,1,2,2,666,1,1,6595060124,6550897246,3150971681,508701034,508717418,2,1,22382845496,73389,73389,2,2,2,508701034,12,3,573046,147438558,5850734,263565,50318,6595060124,4057292,98459809,10526
241899.68,2,262144,64,360052,23724955234,64,91,173,2,585,4512977,11,97869,67,1165,133195908,1172,1,66,53340,11340937,2,170353,585,112082958,254478765,7013498630,585,12513,2,1,2,2,666,1,1,6982508956,6938671582,4406946212,538856996,538873380,2,1,23709707824,73389,73389,2,2,2,538856996,12,3,593844,149542067,6108270,270247,53274,6982508956,4242730,105971960,10526
246928.44,2,262144,64,369185,24326946398,64,91,174,2,585,4607631,11,100415,67,1165,133461360,1172,1,66,54681,11438085,2,170353,585,115145102,260076853,7190035112,585,12513,2,1,2,2,666,1,1,7158276508,7114702210,4499769859,552542337,552542337,2,1,24311862828,73389,73389,2,2,2,552542337,12,3,596132,151972055,6195677,275293,54616,7158276508,4332338,108947192,10526
251970.06,2,262144,64,375250,24726557920,64,91,175,2,585,4689516,11,102125,67,1165,133461360,1172,1,66,55572,11534967,2,170353,585,117165623,265064647,7307356428,585,12513,2,1,2,2,666,1,1,7275061660,7231484619,4755763686,561626377,561626377,2,1,24711560588,73389,73389,2,2,2,561626377,12,3,598207,154677183,6274540,288706,55506,7275061660,4400810,110888074,10526
257003.52,2,262144,64,381245,25121569856,64,91,176,2,585,4759423,11,103814,67,1165,133726812,1172,1,66,56449,11764125,2,170353,585,119093736,270113381,7422842417,585,12513,2,1,2,2,666,1,1,7390011804,7346962813,4828198563,570603921,570603921,2,1,25106572524,73389,73389,2,2,2,570603921,12,3,602477,157188036,6355099,291809,56383,7390011804,4467614,112735646,10526
262026.58,2,262144,64,390680,25743352892,64,91,178,2,585,4855634,11,106494,67,1165,133992264,1172,1,66,57838,11860989,2,170353,585,122844111,275887773,7605697743,585,12513,2,1,2,2,666,1,1,7572070812,7528737860,4896231438,584731630,584731630,2,1,25728191720,73389,73389,2,2,2,584731630,12,3,609858,159797016,6481941,296690,57772,7572070812,4558944,116358772,10526
267053.94,2,262144,64,399436,26320106080,64,91,179,2,585,4948813,11,108939,67,1165,133992264,1172,1,66,59125,11976472,2,170353,585,126055446,281300995,7775145618,585,12513,2,1,2,2,666,1,1,7740771062,7697365046,4951082774,597831465,597847849,2,1,26304584460,73389,73389,2,2,2,597831465,12,3,616943,162279709,6595294,301033,59060,7740771062,4647780,119456888,10526
