timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
65253.77,262144,64,156275,10297684970,64,47,139,0,585,1992472,18,4,40376,67,98,127886868,1172,1,66,23407,1738947,2,323,585,44942540,57222704,3072014545,567,513,18,2,1,2,2,251,1,3059130780,3013485170,723106643,233688195,233704579,2,1,10282280580,73389,73389,2,2,2,233688195,4,3,539088,31352177,3701361,89976,23341,3059130780,1902496,41241541,3711
70270.42,262144,64,161810,10662550346,64,47,139,0,585,2068437,18,4,41937,67,98,128152320,1172,1,66,24220,1963480,2,323,585,46805396,62544308,3179207612,567,513,18,2,1,2,2,251,1,3165823388,3120181030,913158798,241977611,241993995,2,1,10647014884,73389,73389,2,2,2,241977611,4,3,545683,34160522,3799516,93536,24155,3165823388,1974901,43006800,3711
75303.84,262144,64,168667,11114319766,64,47,141,0,585,2160869,18,4,43917,67,98,128417772,1172,1,66,25226,2070272,2,323,585,49084963,67340183,3311533391,567,513,18,2,1,2,2,251,1,3297550748,3252219971,958941778,252247332,252263716,2,1,11098882608,73389,73389,2,2,2,252247332,4,3,550210,36692859,3897804,99182,25160,3297550748,2061687,45187942,3711
80308.82,262144,64,189838,12509227144,64,47,144,0,585,2372529,18,4,49846,67,98,128948676,1172,1,66,28335,2151566,2,323,585,54038868,71177674,3720651310,567,513,18,2,1,2,2,251,1,3705053596,3660017990,1043337057,283955456,283955456,2,1,12493319168,73389,73389,2,2,2,283939072,4,3,559568,38491679,4051254,106532,28269,3705053596,2265997,49988763,3711
85322.90,262144,64,202770,13361504766,64,47,146,0,585,2503571,18,4,53493,67,98,129214128,1172,1,66,30238,2218760,2,323,585,58405107,75218349,3971112924,567,513,18,2,1,2,2,251,1,3954483612,3909175065,1079296159,303323442,303339826,2,1,13346231448,73389,73389,2,2,2,303323442,4,3,571944,40712616,4195234,112276,30172,3954483612,2391295,54211493,3711
90351.21,262144,64,208074,13710700422,64,47,147,0,585,2582467,18,4,54995,67,98,129214128,1172,1,66,31013,2366429,2,323,585,60167845,80512117,4073177472,567,513,18,2,1,2,2,251,1,4056064412,4011209536,1105567025,311264920,311264920,2,1,13695656480,73389,73389,2,2,2,311264920,4,3,573041,43573995,4267339,124693,30947,4056064412,2457774,55902042,3711
95366.52,262144,64,212904,14029097466,64,47,148,0,585,2648843,18,4,56366,67,98,129479580,1172,1,66,31725,2612955,2,323,585,62804304,85907431,4166940328,567,513,18,2,1,2,2,251,1,4149387676,4104302885,1139279760,318499727,318499727,2,1,14013987988,73389,73389,2,2,2,318499727,4,3,574387,46639145,4342444,127947,31659,4149387676,2520896,58463575,3711
100385.88,262144,64,217671,14343100290,64,47,149,0,585,2711219,18,4,57720,67,98,129479580,1172,1,66,32421,2803983,2,323,585,64594352,91224732,4258728040,567,513,18,2,1,2,2,251,1,4240744860,4196137879,1258870424,325622005,325638389,2,1,14327368220,73389,73389,2,2,2,325622005,4,3,575602,49809705,4398680,131084,32356,4240744860,2580135,60197881,3711
105408.99,262144,64,221980,14627087626,64,47,150,0,585,2768435,18,4,58914,67,98,129479580,1172,1,66,33057,3025041,2,323,585,66403616,96621980,4342353991,567,513,18,2,1,2,2,251,1,4323975580,4279111052,1313100465,332080731,332097115,2,1,14611552164,73389,73389,2,2,2,332080731,4,3,576870,53011653,4460697,134151,32991,4323975580,2634284,61945458,3711
110423.17,262144,64,227055,14961540990,64,47,150,0,585,2834332,18,4,60333,67,98,129745032,1172,1,66,33803,3260325,2,323,585,67845350,101714390,4440722721,567,513,18,2,1,2,2,251,1,4421886364,4376925057,1351740745,339675986,339692370,2,1,14945743384,73389,73389,2,2,2,339675986,4,3,578408,56051754,4530927,137650,33738,4421886364,2696682,63317554,3711
115481.15,262144,64,233354,15376741322,64,47,151,1,585,2915589,18,4,62108,67,98,130010484,1172,1,66,34729,3464432,2,323,585,70387221,107915209,4562518241,567,513,18,2,1,2,2,251,1,4543127964,4498288617,1528887933,349126507,349126507,2,1,15361566308,73389,73389,2,2,2,349126507,4,3,582206,59075578,4618853,144679,34663,4543127964,2770910,65771310,3711
120501.49,262144,64,239951,15811543778,64,47,153,1,585,2998310,18,4,64017,67,98,130275936,1172,1,66,35699,3606499,2,323,585,73162595,113157097,4690241687,567,513,18,2,1,2,2,251,1,4670267804,4625448068,1723702679,359003012,359019396,2,1,15796132528,73389,73389,2,2,2,359003012,4,3,586126,61648081,4720830,148283,35633,4670267804,2850027,68444665,3711
125582.69,262144,64,245993,16209370454,64,47,154,1,585,3075577,18,4,65718,67,98,130275936,1172,1,66,36584,3807600,2,323,585,74812141,118100741,4806774044,567,513,18,2,1,2,2,251,1,4786266524,4741712640,1743673454,368048251,368048251,2,1,16193402148,73389,73389,2,2,2,368031867,4,3,588022,64369861,4796328,151807,36518,4786266524,2923770,70019227,3711
130607.49,262144,64,250906,16533206986,64,47,154,1,585,3144343,18,4,67059,67,98,130275936,1172,1,66,37307,4120510,2,323,585,76927680,123278473,4902120921,567,513,18,2,1,2,2,251,1,4881162652,4836373875,1874160507,375397746,375414130,2,1,16517500824,73389,73389,2,2,2,375397746,4,3,593833,67534069,4892538,154898,37242,4881162652,2989445,72038201,3711
135732.94,262144,64,255186,16815293778,64,47,155,1,585,3203364,18,4,68280,67,98,130541388,1172,1,66,37935,4263063,2,323,585,78174884,128154407,4984699113,567,513,18,2,1,2,2,251,1,4963344796,4918819965,1913015230,381807320,381823704,2,1,16799522080,73389,73389,2,2,2,381807320,4,3,594053,70879233,4942673,157474,37869,4963344796,3045890,73235432,3711
140872.60,262144,64,259744,17115334126,64,47,156,1,585,3266177,18,4,69579,67,98,130541388,1172,1,66,38603,4600726,2,323,585,79614077,133312072,5072673695,567,513,18,2,1,2,2,251,1,5050900892,5006485119,2033263411,388628653,388645037,2,1,17099660732,73389,73389,2,2,2,388628653,4,3,597780,74351219,5011807,160325,38537,5050900892,3105852,74606368,3711
146009.99,262144,64,263524,17364628786,64,47,156,1,585,3316822,18,4,70608,67,98,130541388,1172,1,66,39161,5022869,2,323,585,81299873,139360436,5146166355,567,513,18,2,1,2,2,251,1,5124039068,5079340578,2080806137,394278530,394300947,2,1,17348255320,73389,73389,2,2,2,394278530,4,3,598977,77728270,5059364,162703,39095,5124039068,3154119,76245115,3711
151173.71,262144,64,267266,17611215890,64,47,157,1,585,3369335,18,4,71685,67,98,130806840,1172,1,66,39710,5297261,2,323,585,82364174,144799173,5218470797,567,513,18,2,1,2,2,251,1,5195997596,5151411543,2159610178,399901672,399918056,2,1,17595673568,73389,73389,2,2,2,399901672,4,3,600228,81722449,5112654,165118,39644,5195997596,3204217,77255871,3711
156351.47,262144,64,271191,17869771950,64,47,158,1,585,3427684,18,4,72813,67,98,130806840,1172,1,66,40285,5552867,2,323,585,83756621,151431943,5294197859,567,513,18,2,1,2,2,251,1,5271363996,5226988842,2194097836,405789117,405805501,2,1,17854721148,73389,73389,2,2,2,405789117,4,3,602865,85600904,5169754,172879,40219,5271363996,3254805,78591656,3711
161588.20,262144,64,275531,18155537516,64,47,158,1,585,3484001,18,4,73997,67,98,130806840,1172,1,66,40924,5844897,2,323,585,85046918,157263133,5378356237,567,513,18,2,1,2,2,251,1,5355119004,5310561580,2238501323,412290962,412290962,2,1,18140802328,73389,73389,2,2,2,412290962,4,3,605283,89437730,5228325,175630,40858,5355119004,3308371,79823183,3711
167023.00,262144,64,280047,18453344190,64,47,159,1,585,3555938,18,4,75282,67,98,131072292,1172,1,66,41587,6153373,2,323,585,87188896,163965136,5465803412,567,513,18,2,1,2,2,251,1,5442150812,5397596296,2433349717,419050633,419067017,2,1,18438227852,73389,73389,2,2,2,419050633,4,3,610803,93277221,5306856,189421,41522,5442150812,3366517,81887273,3711
172427.61,262144,64,284075,18718915910,64,47,160,1,585,3613254,18,4,76434,67,98,131337744,1172,1,66,42182,6585498,2,323,585,88296882,169669998,5544032930,567,513,18,2,1,2,2,251,1,5520007580,5475361634,2464122768,425075183,425091567,2,1,18703308052,73389,73389,2,2,2,425075183,4,3,611206,97272122,5354411,194688,42117,5520007580,3418566,82947761,3711
177569.75,262144,64,288721,19024723426,64,47,161,1,585,3673805,18,4,77757,67,98,131337744,1172,1,66,42862,6901853,2,323,585,89908838,176003082,5633723018,567,513,18,2,1,2,2,251,1,5609267612,5564699074,2770422761,432043972,432043972,2,1,19009934768,73389,73389,2,2,2,432043972,4,3,614538,100749690,5425608,197429,42797,5609267612,3476376,84487806,3711
182586.72,262144,64,293857,19363439938,64,47,162,1,585,3737859,18,4,79180,67,98,131603196,1172,1,66,43620,7082813,2,323,585,92184103,182122107,5733411594,567,513,18,2,1,2,2,251,1,5708489116,5663743312,3057142195,439727180,439743564,2,1,19347995920,73389,73389,2,2,2,439727180,4,3,621630,103918986,5514024,200374,43554,5708489116,3537485,86673678,3711
187664.58,262144,64,299483,19734003638,64,47,163,1,585,3805811,18,4,80794,67,98,131603196,1172,1,66,44446,7324599,2,323,585,94811567,189467952,5842174651,567,513,18,2,1,2,2,251,1,5816754588,5772105200,3113133219,448149827,448166211,2,1,19718592388,73389,73389,2,2,2,448149827,4,3,625936,106816889,5601356,203496,44380,5816754588,3602315,89213420,3711
192703.47,262144,64,304053,20035095870,64,47,163,1,585,3866883,18,4,82049,67,98,131603196,1172,1,66,45117,7638604,2,323,585,96041474,194442680,5930540756,567,513,18,2,1,2,2,251,1,5904703900,5860134896,3167485725,455001769,455001769,2,1,20020077836,73389,73389,2,2,2,455001769,4,3,626608,110300609,5660868,208309,45051,5904703900,3658574,90383311,3711
197742.03,262144,64,308551,20331469510,64,47,164,1,585,3922794,18,4,83330,67,98,131868648,1172,1,66,45777,8004352,2,323,585,97095625,199272996,6017462739,567,513,18,2,1,2,2,251,1,5991211420,5946731729,3192390683,461739023,461739023,2,1,20316517012,73389,73389,2,2,2,461739023,4,3,629384,113622672,5724484,211036,45711,5991211420,3711758,91373902,3711
202891.30,262144,64,313493,20656941134,64,47,165,1,585,3987648,18,4,84732,67,98,131868648,1172,1,66,46503,8250139,2,323,585,98837097,204859146,6113071203,567,513,18,2,1,2,2,251,1,6086369692,6041916247,3370435008,469123445,469139829,2,1,20641431580,73389,73389,2,2,2,469123445,4,3,633708,117199197,5799917,215114,46437,6086369692,3772534,93040295,3711
208704.45,262144,64,318165,20964983490,64,47,166,1,585,4047002,18,4,86061,67,98,132134100,1172,1,66,47189,8530481,2,323,585,100633962,211469433,6203417768,567,513,18,2,1,2,2,251,1,6176285084,6131908206,3415603705,476128876,476145260,2,1,20949670544,73389,73389,2,2,2,476128876,4,3,636467,121187534,5868017,218064,47123,6176285084,3828938,94769368,3711
215139.54,262144,64,322467,21248512074,64,47,166,1,585,4104780,18,4,87234,67,98,132134100,1172,1,66,47822,8978036,2,323,585,102090239,218252971,6286783963,567,513,18,2,1,2,2,251,1,6259253660,6214805730,3483878612,482571218,482587602,2,1,21233133592,73389,73389,2,2,2,482571218,4,3,637503,126013032,5927415,220924,47756,6259253660,3883856,96165527,3711
221598.63,262144,64,326982,21545999826,64,47,167,1,585,4167738,18,4,88521,67,98,132399552,1172,1,66,48483,9710641,2,323,585,103621133,224932701,6373975696,567,513,18,2,1,2,2,251,1,6346023324,6301742015,3568585688,489333048,489349432,2,1,21530654112,73389,73389,2,2,2,489333048,4,3,638152,130894874,5985643,223850,48418,6346023324,3943888,97637260,3711
226686.71,262144,64,331008,21811175022,64,47,168,1,585,4220028,18,4,89673,67,98,132399552,1172,1,66,49075,10051270,2,323,585,104519757,229402877,6451815749,567,513,18,2,1,2,2,251,1,6423486876,6379311882,3581601232,495367949,495367949,2,1,21796189756,73389,73389,2,2,2,495367949,4,3,639185,134305170,6022898,226223,49009,6423486876,3993805,98498940,3711
231784.40,262144,64,335847,22130161890,64,47,169,1,585,4280375,18,4,91047,67,98,132665004,1172,1,66,49784,10341548,2,323,585,106318480,235330778,6545193455,567,513,18,2,1,2,2,251,1,6516416924,6472500287,3633088860,502619140,502619140,2,1,22115242160,73389,73389,2,2,2,502619140,4,3,639965,137349693,6080006,229883,49718,6516416924,4050492,100240679,3711
236915.48,262144,64,341397,22495744854,64,47,170,1,585,4346191,18,4,92618,67,98,132665004,1172,1,66,50600,10513030,2,323,585,108467040,241495504,6652653459,567,513,18,2,1,2,2,251,1,6623371676,6579350447,3672238429,510927099,510927099,2,1,22480792356,73389,73389,2,2,2,510927099,4,3,641370,140233929,6153888,232923,50534,6623371676,4113268,102315552,3711
241926.87,262144,64,355322,23413377242,64,47,172,1,585,4474465,18,4,96525,67,98,132930456,1172,1,66,52646,10591369,2,323,585,112757937,247979606,6921811584,567,513,18,2,1,2,2,251,1,6891413916,6847557096,3788333488,531775678,531792062,2,1,23398129832,73389,73389,2,2,2,531775678,4,3,648741,142453341,6316852,240209,52580,6891413916,4234256,106442691,3711
246953.13,262144,64,375591,24748905696,64,47,175,1,585,4646794,18,4,102216,67,98,133461360,1172,1,66,55623,10643154,2,323,585,118117225,252819257,7313722947,567,513,18,2,1,2,2,251,1,7281746332,7238053347,3955376317,562117897,562134281,2,1,24733187468,73389,73389,2,2,2,562117897,4,3,656552,144525271,6491509,246720,55557,7281746332,4400074,111626859,3711
252013.10,262144,64,383713,25284109060,64,47,177,1,585,4735196,18,4,104541,67,98,133726812,1172,1,66,56816,10725644,2,323,585,121915358,259097420,7470787420,567,513,18,2,1,2,2,251,1,7438115228,7394509438,4062842163,574283844,574300228,2,1,25268489136,73389,73389,2,2,2,574283844,4,3,663310,147127988,6601815,251455,56750,7438115228,4483741,115314173,3711
257093.93,262144,64,389404,25659198052,64,47,178,1,585,4801519,18,4,106146,67,98,133992264,1172,1,66,57651,10784579,2,323,585,123910432,264195863,7580877342,567,513,18,2,1,2,2,251,1,7547691420,7504135886,4092724142,582819020,582819020,2,1,25644036880,73389,73389,2,2,2,582819020,4,3,664931,150071893,6675353,254367,57586,7547691420,4547152,117235702,3711
262217.90,262144,64,396255,26110308804,64,47,179,1,585,4880138,18,4,108072,67,98,133992264,1172,1,66,58655,10927299,2,323,585,125849682,269782620,7712941696,567,513,18,2,1,2,2,251,1,7679156636,7636010956,4128185106,593066324,593082708,2,1,26094918256,73389,73389,2,2,2,593066324,4,3,667029,152959009,6757544,257705,58590,7679156636,4622433,119092607,3711
