timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55393.83,6,262144,64,103738,6836038498,64,48,130,585,1352383,14,25607,35,67,38268,44853,126837126,1172,1,66,15687,2788362,2,252671,585,29741459,67759874,2056267599,585,992,2,1,2,2,832,1,2047254940,2001607791,718798060,155024093,155024093,2,1,6821060092,73389,73389,2,2,2,155024093,12,3,288931,41365173,2155434,59448,15621,2047254940,1292935,27587058,21332
60449.11,6,262144,64,108123,7125006570,64,48,130,585,1416561,14,26802,35,67,38268,44853,126837126,1172,1,66,16333,3019364,2,252671,585,31081607,72606054,2141346847,585,992,2,1,2,2,832,1,2131927452,2086084779,740334731,161581123,161597507,2,1,7109569412,73389,73389,2,2,2,161581123,12,3,289722,44382779,2207166,68193,16267,2131927452,1348368,28875584,21332
65471.56,6,262144,64,114046,7515034462,64,48,131,585,1496625,14,28469,35,67,38268,44853,126837126,1172,1,66,17201,3188246,2,252671,585,33075030,78176324,2255644269,585,992,2,1,2,2,832,1,2245697948,2200085905,811152373,170446138,170462522,2,1,7499630072,73389,73389,2,2,2,170446138,12,3,292478,47404798,2288222,74533,17135,2245697948,1422092,30788303,21332
70482.20,6,262144,64,120731,7955531690,64,48,133,585,1583616,14,30377,35,67,38268,44853,127102578,1172,1,66,18184,3333722,2,252671,585,35804440,83236479,2385081814,585,992,2,1,2,2,832,1,2374541724,2328846840,855601996,180453715,180470099,2,1,7939963460,73389,73389,2,2,2,180453715,12,3,296868,49948708,2378086,78483,18118,2374541724,1505133,33428393,21332
75542.23,6,262144,64,127110,8375974902,64,48,134,585,1667957,14,32199,35,67,38268,44853,127368030,1172,1,66,19121,3516871,2,252671,585,37735555,87845978,2508464386,585,992,2,1,2,2,832,1,2497356188,2451790858,913920214,190010732,190027116,2,1,8360472208,73389,73389,2,2,2,190010732,12,3,299348,52527491,2464594,82016,19055,2497356188,1585941,35273656,21332
80577.72,6,262144,64,131921,8692861310,64,48,134,585,1732475,14,33510,35,67,38268,44853,127368030,1172,1,66,19827,3782678,2,252671,585,40008610,93625485,2601443858,585,992,2,1,2,2,832,1,2589893020,2544429234,1025634667,197223122,197223122,2,1,8677817368,73389,73389,2,2,2,197223122,12,3,301353,55607986,2533497,85040,19761,2589893020,1647435,37477552,21332
85802.63,6,262144,64,137131,9036162034,64,48,135,585,1806127,14,34988,35,67,38268,44853,127368030,1172,1,66,20594,4016352,2,252671,585,42111900,99259207,2702446309,585,992,2,1,2,2,832,1,2690425244,2644819810,1111516513,205023177,205023177,2,1,9021019788,73389,73389,2,2,2,205023177,12,3,308236,59013220,2618232,89312,20528,2690425244,1716815,39496508,21332
90826.38,6,262144,64,141574,9328931194,64,48,136,585,1868646,14,36252,35,67,38268,44853,127621416,1172,1,66,21245,4290137,2,252671,585,43397867,104409876,2788315357,585,992,2,1,2,2,832,1,2775884188,2730359189,1149784864,211678511,211678511,2,1,9313854484,73389,73389,2,2,2,211678511,12,3,310941,62393204,2691738,92017,21180,2775884188,1776629,40709045,21332
95864.27,6,262144,64,145462,9585327874,64,48,137,585,1922303,14,37368,35,67,38268,44853,127886868,1172,1,66,21818,4615848,2,252671,585,44888200,109749969,2863651192,585,992,2,1,2,2,832,1,2850857372,2805330009,1282025441,217490069,217506453,2,1,9569563036,73389,73389,2,2,2,217490069,12,3,312692,65940496,2750727,94401,21752,2850857372,1827902,42140389,21332
100985.58,6,262144,64,149286,9837264798,64,48,137,585,1974965,14,38412,35,67,38268,44853,127886868,1172,1,66,22380,4921465,2,252671,585,46194009,115279967,2937672198,585,992,2,1,2,2,832,1,2924519836,2878943591,1300844368,223221866,223238250,2,1,9821762104,73389,73389,2,2,2,223221866,12,3,313175,69633102,2802608,96832,22314,2924519836,1878133,43394163,21332
106514.51,6,262144,64,153192,10094575674,64,48,138,585,2032092,14,39529,35,67,38268,44853,127886868,1172,1,66,22952,5188938,2,252671,585,47796788,121413486,3013015874,585,992,2,1,2,2,832,1,2999493020,2954239219,1483945127,229076543,229076543,2,1,10079367892,73389,73389,2,2,2,229076543,12,3,314967,73413654,2866242,99418,22886,2999493020,1932674,44933587,21332
112367.14,6,262144,64,158352,10434599598,64,48,139,585,2102925,14,40995,35,67,38268,44853,128152320,1172,1,66,23710,5436995,2,252671,585,49572329,128252699,3112836895,585,992,2,1,2,2,832,1,3098845596,3053553744,1643925059,236802870,236819254,2,1,10419326280,73389,73389,2,2,2,236802870,12,3,317634,77453650,2933144,102705,23644,3098845596,2000220,46641817,21332
117504.29,6,262144,64,162349,10697874250,64,48,140,585,2155590,14,42116,35,67,38268,44853,128152320,1172,1,66,24299,5743472,2,252671,585,50854874,133517983,3190409069,585,992,2,1,2,2,832,1,3176047004,3130550681,1778477464,242772235,242788619,2,1,10681978340,73389,73389,2,2,2,242772235,12,3,318335,80991446,2987237,105300,24233,3176047004,2050290,47870275,21332
122726.37,6,262144,64,166936,11000080594,64,48,140,585,2217631,14,43391,35,67,38268,44853,128152320,1172,1,66,24974,6043654,2,252671,585,52272714,139021648,3279297243,585,992,2,1,2,2,832,1,3264520604,3218913788,1870826003,249656945,249656945,2,1,10984905580,73389,73389,2,2,2,249656945,12,3,319835,84823014,3038418,108126,24908,3264520604,2109505,49236808,21332
127751.25,6,262144,64,171101,11274630746,64,48,141,585,2274233,14,44580,35,67,38268,44853,128417772,1172,1,66,25585,6438315,2,252671,585,53880538,145943517,3359630778,585,992,2,1,2,2,832,1,3344474524,3299148877,1966680222,255886295,255902679,2,1,11258996980,73389,73389,2,2,2,255886295,12,3,321075,88380440,3104602,110657,25519,3344474524,2163576,50779013,21332
132835.07,6,262144,64,175751,11580965858,64,48,142,585,2332380,14,45903,35,67,38268,44853,128417772,1172,1,66,26265,6732734,2,252671,585,55097062,150923347,3449322055,585,992,2,1,2,2,832,1,3433734556,3388666420,1998528211,262844733,262861117,2,1,11565168252,73389,73389,2,2,2,262844733,12,3,321858,91433220,3162189,113556,26199,3433734556,2218824,51937930,21332
138195.72,6,262144,64,181684,11971914562,64,48,143,585,2405387,14,47576,35,67,38268,44853,128683224,1172,1,66,27137,6861061,2,252671,585,56637575,156353526,3564148228,585,992,2,1,2,2,832,1,3548029340,3503000747,2049318706,271740357,271740357,2,1,11956575708,73389,73389,2,2,2,271740357,12,3,323832,94616336,3231215,116929,27071,3548029340,2288458,53410124,21332
143286.61,6,262144,64,186173,12267963830,64,48,144,585,2460599,14,48803,35,67,38268,44853,128948676,1172,1,66,27798,7154227,2,252671,585,58375174,161956944,3651198509,585,992,2,1,2,2,832,1,3634667932,3589443392,2191991004,278475452,278475452,2,1,12252919888,73389,73389,2,2,2,278475452,12,3,325980,97849244,3288338,119663,27732,3634667932,2340936,55089690,21332
148404.78,6,262144,64,190661,12563682110,64,48,144,585,2525903,14,50081,35,67,38268,44853,128948676,1172,1,66,28459,7488741,2,252671,585,59676302,167542284,3738379123,585,992,2,1,2,2,832,1,3721437596,3675899590,2217038038,285196322,285196322,2,1,12548638168,73389,73389,2,2,2,285196322,12,3,326641,101316228,3352166,122362,28394,3721437596,2403541,56326991,21332
153522.67,6,262144,64,195633,12891119814,64,48,145,585,2590412,14,51488,35,67,38268,44853,128948676,1172,1,66,29186,7732584,2,252671,585,61795846,173460467,3834120126,585,992,2,1,2,2,832,1,3816726940,3771566919,2302185037,292629896,292646280,2,1,12875715424,73389,73389,2,2,2,292629896,12,3,329136,104513581,3436907,125336,29121,3816726940,2465076,58361844,21332
159143.96,6,262144,64,200536,13214300986,64,48,146,585,2654265,14,52883,35,67,38268,44853,129214128,1172,1,66,29908,7939717,2,252671,585,63578702,180057196,3929070927,585,992,2,1,2,2,832,1,3911229852,3866118344,2467345388,299979391,299979391,2,1,13199093204,73389,73389,2,2,2,299979391,12,3,330614,108319573,3498608,128373,29842,3911229852,2525892,60082739,21332
165039.09,6,262144,64,204396,13468331754,64,48,147,585,2703237,14,53991,35,67,38268,44853,129214128,1172,1,66,30474,8356257,2,252671,585,65150669,186730948,4003619468,585,992,2,1,2,2,832,1,3985416604,3940336800,2573614023,305746115,305762499,2,1,13452829060,73389,73389,2,2,2,305746115,12,3,331902,112319815,3548511,130717,30408,3985416604,2572520,61604280,21332
171768.67,6,262144,64,209076,13776898398,64,48,147,585,2763170,14,55266,35,67,38268,44853,129214128,1172,1,66,31161,8751378,2,252671,585,66692766,194181456,4094096498,585,992,2,1,2,2,832,1,4075463068,4030578619,2637646555,312767930,312767930,2,1,13761068024,73389,73389,2,2,2,312751546,12,3,332976,117267201,3612218,133703,31095,4075463068,2629467,63082700,21332
176844.91,6,262144,64,212921,14030211578,64,48,148,585,2812268,14,56370,35,67,38268,44853,129479580,1172,1,66,31726,9073414,2,252671,585,68412111,200176433,4168638941,585,992,2,1,2,2,832,1,4149649820,4104615405,2713253044,318516111,318532495,2,1,14014708884,73389,73389,2,2,2,318516111,12,3,333530,120582814,3658740,136089,31661,4149649820,2676179,64756650,21332
181858.77,6,262144,64,217969,14362630018,64,48,149,585,2875468,14,57801,35,67,38268,44853,129479580,1172,1,66,32465,9341513,2,252671,585,70468783,206023050,4265830678,585,992,2,1,2,2,832,1,4246380956,4201856986,2858238344,326064373,326080757,2,1,14346832412,73389,73389,2,2,2,326064373,12,3,334929,123785869,3718639,139049,32399,4246380956,2736419,66753128,21332
186952.58,6,262144,64,222921,14689022454,64,48,150,585,2934495,14,59205,35,67,38268,44853,129745032,1172,1,66,33194,9480894,2,252671,585,72005737,211236088,4361968317,585,992,2,1,2,2,832,1,4342063516,4297262140,2884797664,333479404,333495788,2,1,14673093776,73389,73389,2,2,2,333479404,12,3,335694,126802516,3779033,141943,33129,4342063516,2792552,68230236,21332
191972.81,6,262144,64,233558,15390110666,64,48,151,585,3037902,14,62163,35,67,38268,44853,130010484,1172,1,66,34760,9639688,2,252671,585,74468547,216536240,4567968330,585,992,2,1,2,2,832,1,4547191196,4502183020,2937894568,349421419,349437803,2,1,15374542436,73389,73389,2,2,2,349421419,12,3,337497,129456396,3872008,146781,34694,4547191196,2891121,70600544,21332
196987.52,6,262144,64,253923,16731990906,64,48,155,585,3214703,14,67937,35,67,38268,44853,130541388,1172,1,66,37751,9679262,2,252671,585,81240784,223044575,4961586237,585,992,2,1,2,2,832,1,4939227548,4894446663,3053625958,379927478,379927478,2,1,16716809032,73389,73389,2,2,2,379927478,12,3,349183,131432227,4091250,152908,37685,4939227548,3061795,77153384,21332
202027.17,6,262144,64,266801,17580476198,64,48,157,585,3340411,14,71558,35,67,38268,44853,130806840,1172,1,66,39643,9783050,2,252671,585,85609273,228547166,5210611340,585,992,2,1,2,2,832,1,5187215772,5142518857,3228144936,399207511,399207511,2,1,17565130484,73389,73389,2,2,2,399207511,12,3,355685,133795938,4225414,157551,39577,5187215772,3182860,81387826,21332
207065.06,6,262144,64,273242,18004717190,64,48,158,585,3415332,14,73371,35,67,38268,44853,130806840,1172,1,66,40588,9905638,2,252671,585,87713733,233795446,5335041985,585,992,2,1,2,2,832,1,5311078812,5266482495,3260505777,408848607,408864991,2,1,17989338708,73389,73389,2,2,2,408848607,12,3,361253,136591933,4314848,160732,40523,5311078812,3254600,83403092,21332
212145.61,6,262144,64,279393,18410218194,64,48,159,585,3485465,14,75104,35,67,38268,44853,131072292,1172,1,66,41493,10098431,2,252671,585,89828657,239329646,5454208466,585,992,2,1,2,2,832,1,5429698972,5385036033,3290741036,418077944,418077944,2,1,18395429536,73389,73389,2,2,2,418077944,12,3,364936,139385748,4398294,163792,41427,5429698972,3321673,85434648,21332
217182.52,6,262144,64,288721,19024723426,64,48,161,585,3582649,14,77759,35,67,38268,44853,131337744,1172,1,66,42862,10241369,2,252671,585,92281495,244383983,5634427759,585,992,2,1,2,2,832,1,5609136540,5564699074,3315301724,432043972,432043972,2,1,19009934768,73389,73389,2,2,2,432043972,12,3,370518,142041879,4498311,167639,42796,5609136540,3415010,87787415,21332
222223.16,6,262144,64,297397,19596764638,64,48,162,585,3678104,14,80170,35,67,38268,44853,131603196,1172,1,66,44139,10355188,2,252671,585,95505630,250147009,5802548827,585,992,2,1,2,2,832,1,5776515484,5731919811,3382880123,445032993,445049377,2,1,19581451692,73389,73389,2,2,2,445032993,12,3,372422,144563501,4595879,171356,44073,5776515484,3506748,90913975,21332
227233.37,6,262144,64,311011,20493749878,64,48,164,585,3803634,14,84000,35,67,38268,44853,131868648,1172,1,66,46139,10408042,2,252671,585,100413680,256617330,6065660349,585,992,2,1,2,2,832,1,6038528412,5994165910,3678678814,465416787,465433171,2,1,20478338628,73389,73389,2,2,2,465416787,12,3,381822,146822299,4746435,176170,46073,6038528412,3627464,95671348,21332
232301.05,6,262144,64,320238,21101635974,64,48,166,585,3916241,14,86627,35,67,38268,44853,132134100,1172,1,66,47493,10520563,2,252671,585,103134994,261739478,6244169221,585,992,2,1,2,2,832,1,6216262044,6171876951,3817959358,479243551,479243551,2,1,21086716244,73389,73389,2,2,2,479243551,12,3,384647,149385660,4853968,195066,47428,6216262044,3721175,98285060,21332
237434.98,6,262144,64,326419,21509103058,64,48,167,585,3989506,14,88366,35,67,38268,44853,132399552,1172,1,66,48403,10658462,2,252671,585,105221826,266688768,6363864898,585,992,2,1,2,2,832,1,6335406492,6290894650,3844232780,488497464,488513848,2,1,21493888416,73389,73389,2,2,2,488497464,12,3,389986,152083343,4932308,198324,48337,6335406492,3791182,100293430,21332
242492.20,6,262144,64,333226,21957330226,64,48,168,585,4069028,14,90279,35,67,38268,44853,132399552,1172,1,66,49401,10765326,2,252671,585,107615239,271757615,6495273483,585,992,2,1,2,2,832,1,6466216348,6422019347,3892739597,498679232,498695616,2,1,21941886208,73389,73389,2,2,2,498679232,12,3,393322,154686486,5015603,201767,49335,6466216348,3867261,102603088,21332
247514.24,6,262144,64,349539,23032258938,64,48,171,585,4216244,14,94890,35,67,38268,44853,132930456,1172,1,66,51798,10837962,2,252671,585,112737544,277853169,6810746892,585,992,2,1,2,2,832,1,6780395932,6736267803,4432095856,523101238,523117622,2,1,23016454472,73389,73389,2,2,2,523101238,12,3,406496,157066850,5181537,207874,51732,6780395932,4008370,107559867,21332
252572.44,6,262144,64,359540,23691400802,64,48,173,585,4335048,14,97730,35,67,38268,44853,133195908,1172,1,66,53264,10945885,2,252671,585,115483321,282868381,7003863752,585,992,2,1,2,2,832,1,6972678556,6928878570,4957803683,538103332,538103332,2,1,23676546608,73389,73389,2,2,2,538103332,12,3,417682,159609074,5317666,227835,53199,6972678556,4107213,110169129,21332
257612.54,6,262144,64,365864,24108239534,64,48,174,585,4407784,14,99507,35,67,38268,44853,133461360,1172,1,66,54195,11041230,2,252671,585,117118069,287906377,7126319021,585,992,2,1,2,2,832,1,7094575516,7050771671,4999970831,547570237,547570237,2,1,24093090428,73389,73389,2,2,2,547570237,12,3,422651,162150272,5399990,231010,54129,7094575516,4176774,111722481,21332
262669.41,6,262144,64,372758,24562180400,64,48,175,585,4489368,14,101445,35,67,38268,44853,133461360,1172,1,66,55204,11181155,2,252671,585,119642064,293851795,7259170184,585,992,2,1,2,2,832,1,7226827164,7183408476,5329083581,557883077,557899461,2,1,24546855388,73389,73389,2,2,2,557883077,12,3,430017,164782717,5509980,236388,55138,7226827164,4252980,114136527,21332
267698.89,6,262144,64,386233,25450056136,64,48,177,585,4623562,14,105228,35,67,38268,44853,133726812,1172,1,66,57185,11255558,2,252671,585,123614532,299007060,7519911067,585,992,2,1,2,2,832,1,7486480796,7443060375,5391276130,578053879,578070263,2,1,25434370676,73389,73389,2,2,2,578053879,12,3,443671,167147327,5680724,249402,57119,7486480796,4374160,117938739,21332
272732.47,6,262144,64,396690,26139082416,64,48,179,585,4727045,14,108192,35,67,38268,44853,133992264,1172,1,66,58719,11369560,2,252671,585,126311976,304145391,7721841011,585,992,2,1,2,2,832,1,7687545244,7644470369,5447009533,593727717,593744101,2,1,26124019548,73389,73389,2,2,2,593727717,12,3,447864,169625356,5799862,256204,58653,7687545244,4470841,120517524,21332
