timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
80466.34,8,262144,64,131644,8674707838,64,49,134,1,585,1756981,3,33435,6,67,49800,1308,127368030,1172,1,66,19788,3647353,2,230409,585,38433868,91606207,2596360270,585,811,2,1,2,2,804,1,2584781212,2539146761,884009990,196797138,196813522,2,1,8659074072,73389,73389,2,2,2,196797138,19,1,3,319832,54486760,2467912,133214,19722,2584781212,1623767,35967067,7675
85628.10,8,262144,64,136325,8983074566,64,49,135,1,585,1823081,3,34767,6,67,49800,1308,127368030,1172,1,66,20472,3833356,2,230409,585,40388555,97254551,2686448806,585,811,2,1,2,2,804,1,2674434460,2629285755,976490785,203804728,203821112,2,1,8967408032,73389,73389,2,2,2,203804728,19,1,3,325681,57603073,2554844,138047,20406,2674434460,1685034,37835140,7675
90648.30,8,262144,64,140073,9230030754,64,49,136,1,585,1875666,3,35842,6,67,49800,1308,127621416,1172,1,66,21024,4181571,2,230409,585,41581947,102144838,2759155309,585,811,2,1,2,2,804,1,2746786204,2701417070,990694866,209421837,209438221,2,1,9214560828,73389,73389,2,2,2,209421837,19,1,3,328831,60866013,2619167,140637,20958,2746786204,1735029,38964479,7675
95715.79,8,262144,64,144208,9502614826,64,49,136,1,585,1930606,3,36970,6,67,49800,1308,127621416,1172,1,66,21632,4451013,2,230409,585,42746570,107247455,2839229667,585,811,2,1,2,2,804,1,2826477980,2781084257,1110367233,215618419,215634803,2,1,9487210436,73389,73389,2,2,2,215618419,19,1,3,330755,63890881,2669213,143234,21566,2826477980,1787372,40079273,7675
100845.71,8,262144,64,147816,9740395974,64,49,137,1,585,1982335,3,38012,6,67,49800,1308,127886868,1172,1,66,22163,4899631,2,230409,585,44456847,113176197,2909168312,585,811,2,1,2,2,804,1,2896077212,2850642048,1178086190,221030728,221030728,2,1,9725352032,73389,73389,2,2,2,221030728,19,1,3,333219,67589271,2729330,145496,22097,2896077212,1836839,41729508,7675
106377.34,8,262144,64,151532,9985001624,64,49,138,1,585,2034888,3,39078,6,67,49800,1308,127886868,1172,1,66,22709,5215958,2,230409,585,45659139,118896892,2981079471,585,811,2,1,2,2,804,1,2967642524,2922201269,1330227383,226584460,226584460,2,1,9968995344,73389,73389,2,2,2,226568076,19,1,3,338206,71577833,2794410,147998,22643,2967642524,1886890,42866407,7675
112307.65,8,262144,64,156397,10305680362,64,49,139,1,585,2102834,3,40461,6,67,49800,1308,127886868,1172,1,66,23424,5498686,2,230409,585,48234155,126185620,3075376556,585,811,2,1,2,2,804,1,3061490076,3015853332,1424449328,233868419,233884803,2,1,10290210436,73389,73389,2,2,2,233868419,19,1,3,340026,75913465,2877618,151386,23359,3061490076,1951448,45358170,7675
117484.94,8,262144,64,160038,10545624198,64,49,139,1,585,2152848,3,41454,6,67,49800,1308,128152320,1172,1,66,23959,5765830,2,230409,585,49324539,131786888,3145702576,585,811,2,1,2,2,804,1,3131482524,3085970267,1443219257,239321688,239338072,2,1,10530154272,73389,73389,2,2,2,239321688,19,1,3,340747,79740857,2921434,153667,23893,3131482524,1999181,46404821,7675
122642.03,8,262144,64,164130,10815124770,64,49,140,1,585,2209004,3,42626,6,67,49800,1308,128152320,1172,1,66,24559,6181174,2,230409,585,50672092,137929978,3224720031,585,811,2,1,2,2,804,1,3210125724,3164815990,1494418572,245454893,245454893,2,1,10800015292,73389,73389,2,2,2,245454893,19,1,3,341036,83571800,2972343,156123,24493,3210125724,2052881,47701440,7675
127691.01,8,262144,64,168393,11096097450,64,49,141,1,585,2265336,3,43834,6,67,49800,1308,128152320,1172,1,66,25187,6605456,2,230409,585,51791856,143232233,3307556204,585,811,2,1,2,2,804,1,3292570012,3246929542,1511206250,251831699,251848083,2,1,11080594756,73389,73389,2,2,2,251831699,19,1,3,341479,86818758,3018385,158751,25122,3292570012,2106585,48774895,7675
132762.43,8,262144,64,173333,11421703454,64,49,141,1,585,2330573,3,45185,6,67,49800,1308,128417772,1172,1,66,25912,6865431,2,230409,585,54053518,148829031,3402901874,585,811,2,1,2,2,804,1,3387466140,3342102248,1597584913,259230346,259246730,2,1,11406135224,73389,73389,2,2,2,259230346,19,1,3,344538,89957287,3100531,161584,25846,3387466140,2168989,50954407,7675
138148.60,8,262144,64,179080,11800197010,64,49,142,1,585,2404332,3,46812,6,67,49800,1308,128417772,1172,1,66,26757,7017920,2,230409,585,55575644,153900003,3514179131,585,811,2,1,2,2,804,1,3498221980,3452715497,1706499142,267833217,267849601,2,1,11784661548,73389,73389,2,2,2,267833217,19,1,3,345609,92881033,3165543,168038,26691,3498221980,2236294,52411181,7675
143231.21,8,262144,64,183531,12093755910,64,49,143,2,585,2460765,3,48078,6,67,49800,1308,128683224,1172,1,66,27411,7326922,2,230409,585,56989159,159045771,3600439264,585,811,2,1,2,2,804,1,3584074140,3538613924,1806715863,274494584,274510968,2,1,12077761696,73389,73389,2,2,2,274494584,19,1,3,350743,96293818,3231511,170765,27346,3584074140,2290000,53759130,7675
148317.92,8,262144,64,188235,12403629966,64,49,144,2,585,2520540,3,49419,6,67,49800,1308,128948676,1172,1,66,28101,7645226,2,230409,585,58563852,164876937,3691309493,585,811,2,1,2,2,804,1,3674513820,3629069361,1832481767,281551326,281567710,2,1,12388258344,73389,73389,2,2,2,281551326,19,1,3,351903,99569685,3296722,173586,28036,3674513820,2346954,55268586,7675
153450.25,8,262144,64,192945,12713897238,64,49,145,2,585,2579143,3,50757,6,67,49800,1308,128948676,1172,1,66,28792,7910325,2,230409,585,60805071,170823056,3782182273,585,811,2,1,2,2,804,1,3764953500,3719834081,2110988111,288608068,288608068,2,1,12698754992,73389,73389,2,2,2,288608068,19,1,3,353947,102524433,3371624,176603,28726,3764953500,2402540,57434790,7675
159120.34,8,262144,64,197707,13027572382,64,49,145,2,585,2639257,3,52058,6,67,49800,1308,128948676,1172,1,66,29491,8285989,2,230409,585,62511264,176944177,3874240694,585,811,2,1,2,2,804,1,3856572828,3811502786,2143392618,295738538,295738538,2,1,13012495672,73389,73389,2,2,2,295738538,19,1,3,357249,106320822,3448317,179591,29426,3856572828,2459666,59064173,7675
164985.25,8,262144,64,202107,13317788946,64,49,146,2,585,2699730,3,53310,6,67,49800,1308,129214128,1172,1,66,30137,8649549,2,230409,585,64403403,184078221,3959443533,585,811,2,1,2,2,804,1,3941376412,3896393136,2208628603,302317985,302334369,2,1,13301991340,73389,73389,2,2,2,302317985,19,1,3,359966,110788363,3514107,182438,30072,3941376412,2517292,60890549,7675
171641.51,8,262144,64,206795,13626517898,64,49,147,3,585,2762221,3,54645,6,67,49800,1308,129214128,1172,1,66,30827,8970859,2,230409,585,66240292,192645917,4050189048,585,811,2,1,2,2,804,1,4031685020,3986591801,2325161335,309335926,309358343,2,1,13610780744,73389,73389,2,2,2,309335926,19,1,3,361569,116041088,3592004,185705,30761,4031685020,2576516,62649986,7675
176805.57,8,262144,64,210877,13895459638,64,49,148,3,585,2813135,3,55812,6,67,49800,1308,129479580,1172,1,66,31426,9324099,2,230409,585,67011810,197481713,4129074983,585,811,2,1,2,2,804,1,4110197148,4065248225,2337216604,315450588,315466972,2,1,13879825872,73389,73389,2,2,2,315450588,19,1,3,361742,119890162,3629558,188204,31360,4110197148,2624931,63383743,7675
181846.29,8,262144,64,215477,14198783402,64,49,148,3,585,2874704,3,57066,6,67,49800,1308,129479580,1172,1,66,32101,9541964,2,230409,585,68195006,202278188,4217970991,585,811,2,1,2,2,804,1,4198670748,4153884873,2411779684,322357715,322357715,2,1,14183018564,73389,73389,2,2,2,322341331,19,1,3,362470,123187697,3697690,197295,32035,4198670748,2677409,64497636,7675
186898.93,8,262144,64,220657,14539852594,64,49,149,3,585,2936973,3,58535,6,67,49800,1308,129479580,1172,1,66,32864,9745409,2,230409,585,69722776,207402048,4318456554,585,811,2,1,2,2,804,1,4298678684,4253667450,2591571178,330102585,330102585,2,1,14524513740,73389,73389,2,2,2,330102585,19,1,3,363678,126468930,3759018,200275,32798,4298678684,2736698,65963982,7675
191914.96,8,262144,64,230949,15218330886,64,49,151,3,585,3040975,3,61452,6,67,49800,1308,130010484,1172,1,66,34375,9907537,2,230409,585,73584915,214100328,4517489464,585,811,2,1,2,2,804,1,4496859548,4451911442,2658703951,345520312,345536696,2,1,15202893728,73389,73389,2,2,2,345520312,19,1,3,371085,129205214,3890148,205650,34310,4496859548,2835325,69695266,7675
196924.48,8,262144,64,251009,16539957194,64,49,154,3,585,3210656,3,67084,6,67,49800,1308,130275936,1172,1,66,37322,9957305,2,230409,585,79186928,219467147,4905188554,585,811,2,1,2,2,804,1,4882997660,4838345251,2773535394,375561586,375561586,2,1,16523988888,73389,73389,2,2,2,375545202,19,1,3,388381,131220749,4086201,211488,37256,4882997660,2999168,75100732,7675
201968.33,8,262144,64,264291,17415184482,64,49,157,3,585,3344200,3,70872,6,67,49800,1308,130806840,1172,1,66,39275,10090576,2,230409,585,84177265,225637037,5162241533,585,811,2,1,2,2,804,1,5138981276,5094194108,3009999110,395437476,395453860,2,1,17399248944,73389,73389,2,2,2,395437476,19,1,3,399409,133707063,4258996,225522,39209,5138981276,3118678,79918285,7675
207037.22,8,262144,64,270888,17849649090,64,49,158,3,585,3421325,3,72731,6,67,49800,1308,130806840,1172,1,66,40243,10250605,2,230409,585,86022481,230441357,5289703133,585,811,2,1,2,2,804,1,5265858972,5221137430,3076536681,405340716,405340716,2,1,17834991504,73389,73389,2,2,2,405340716,19,1,3,401718,136376133,4339104,228925,40177,5265858972,3192400,81683932,7675
212092.83,8,262144,64,276775,18237848590,64,49,159,3,585,3493173,3,74388,6,67,49800,1308,131072292,1172,1,66,41108,10374614,2,230409,585,87490523,235430822,5403611083,585,811,2,1,2,2,804,1,5379236252,5334654387,3109438812,414144069,414160453,2,1,18222339036,73389,73389,2,2,2,414144069,19,1,3,405711,139028577,4421731,237702,41042,5379236252,3255471,83069091,7675
217126.56,8,262144,64,285583,18818275102,64,49,160,3,585,3583814,3,76845,6,67,49800,1308,131337744,1172,1,66,42403,10460440,2,230409,585,90692920,240796012,5574094374,585,811,2,1,2,2,804,1,5548974492,5504372398,3215691683,427348241,427348241,2,1,18803322604,73389,73389,2,2,2,427348241,19,1,3,415184,141472309,4551715,242632,42337,5548974492,3341182,86141993,7675
222140.22,8,262144,64,293986,19371894082,64,49,162,3,585,3673030,3,79248,6,67,49800,1308,131603196,1172,1,66,43638,10540040,2,230409,585,93451633,246012664,5736690764,585,811,2,1,2,2,804,1,5710848412,5666187873,3281392018,439923788,439940172,2,1,19356646672,73389,73389,2,2,2,439923788,19,1,3,424024,143957199,4658120,246688,43572,5710848412,3426342,88794280,7675
227152.34,8,262144,64,307296,20248956378,64,49,164,3,585,3795246,3,82988,6,67,49800,1308,131868648,1172,1,66,45591,10598956,2,230409,585,97696882,251631676,5993619704,585,811,2,1,2,2,804,1,5966700956,5922592857,3444919196,459865214,459865214,2,1,20234069416,73389,73389,2,2,2,459865214,19,1,3,434617,146329936,4802732,251433,45525,5966700956,3543813,92894569,7675
232217.85,8,262144,64,315789,20808328806,64,49,165,3,585,3883756,3,85359,6,67,49800,1308,131868648,1172,1,66,46837,10707836,2,230409,585,101010788,257023575,6157786656,585,811,2,1,2,2,804,1,6130147740,6086113499,3508464139,472565800,472588217,2,1,20792895200,73389,73389,2,2,2,472565800,19,1,3,438847,148844161,4901448,255130,46772,6130147740,3628626,96109872,7675
237321.33,8,262144,64,322009,21218231134,64,49,166,3,585,3955919,3,87110,6,67,49800,1308,132134100,1172,1,66,47754,10903349,2,230409,585,102960157,262202243,6278535508,585,811,2,1,2,2,804,1,6250340764,6205974161,3534531274,481893441,481893441,2,1,21203311404,73389,73389,2,2,2,481893441,19,1,3,448503,151595304,5001589,258323,47688,6250340764,3697596,97959081,7675
242407.28,8,262144,64,327890,21606037418,64,49,167,3,585,4024119,3,88767,6,67,49800,1308,132399552,1172,1,66,48619,11102828,2,230409,585,104387120,266904972,6392442102,585,811,2,1,2,2,804,1,6363718044,6319316805,3551559732,490704986,490704986,2,1,21590298488,73389,73389,2,2,2,490688602,19,1,3,454105,154263741,5082009,261383,48553,6363718044,3762736,99305652,7675
247421.02,8,262144,64,342741,22584356142,64,49,170,3,585,4155626,3,92985,6,67,49800,1308,132665004,1172,1,66,50796,11156814,2,230409,585,108665369,272397780,6678974022,585,811,2,1,2,2,804,1,6649061788,6605249885,3674482260,512938013,512954397,2,1,22569272572,73389,73389,2,2,2,512938013,19,1,3,468407,156562518,5247181,266329,50730,6649061788,3889297,103418191,7675
252479.25,8,262144,64,353104,23267222038,64,49,171,3,585,4257794,3,95862,6,67,49800,1308,132930456,1172,1,66,52321,11240776,2,230409,585,112456392,278298882,6879721664,585,811,2,1,2,2,804,1,6848946588,6804944223,3830179874,528456203,528456203,2,1,23252072932,73389,73389,2,2,2,528456203,19,1,3,476491,159192285,5385298,270335,52255,6848946588,3987459,107071076,7675
257525.82,8,262144,64,359584,23694284386,64,49,173,3,585,4338477,3,97740,6,67,49800,1308,133195908,1172,1,66,53271,11416035,2,230409,585,114576115,283432392,7004810398,585,811,2,1,2,2,804,1,6973464988,6929721179,3944820324,538168868,538168868,2,1,23678709296,73389,73389,2,2,2,538152484,19,1,3,483470,161972190,5468340,280053,53205,6973464988,4058424,109108268,7675
262576.33,8,262144,64,366794,24169453466,64,49,174,3,585,4431612,3,99762,6,67,49800,1308,133461360,1172,1,66,54329,11609963,2,230409,585,117032532,289108753,7144114069,585,811,2,1,2,2,804,1,7112139164,7068658223,3989307890,548952526,548968910,2,1,24153911144,73389,73389,2,2,2,548952526,19,1,3,488327,164871381,5565835,284090,54264,7112139164,4147522,111466762,7675
267591.26,8,262144,64,378473,24938842256,64,49,176,3,585,4541785,3,103056,6,67,49800,1308,133726812,1172,1,66,56044,11711308,2,230409,585,121573070,295244535,7369863901,585,811,2,1,2,2,804,1,7336927644,7293562140,4098066216,566451021,566451021,2,1,24923124028,73389,73389,2,2,2,566434637,19,1,3,501561,167241228,5696183,288605,55978,7336927644,4253180,115877398,7675
272620.56,8,262144,64,389231,25647860324,64,49,178,3,585,4647594,3,106089,6,67,49800,1308,133992264,1172,1,66,57627,11793771,2,230409,585,124954786,300648005,7578242039,585,811,2,1,2,2,804,1,7544414620,7500829054,4145398893,582556876,582573260,2,1,25632502544,73389,73389,2,2,2,582556876,19,1,3,511955,169649099,5834566,294495,57561,7544414620,4353099,119121011,7675
277636.92,8,262144,64,397666,26203311004,64,49,179,3,585,4737669,3,108456,6,67,49800,1308,133992264,1172,1,66,58865,11909731,2,230409,585,127258030,305554431,7741233492,585,811,2,1,2,2,804,1,7706681756,7663224385,4175506265,595175542,595191926,2,1,26187723848,73389,73389,2,2,2,595175542,19,1,3,515177,172188069,5931780,298143,58799,7706681756,4439526,121327147,7675
