event,value,description
CommonBackgroundExecutorTaskResetMicroseconds,129,Time spent resetting task for Common executor.
ContextLock,2065163,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,7796479,Context lock wait time in microseconds
RWLockAcquiredReadLocks,13682,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,15,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,8035,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,2,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,336,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,355669,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,3916,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,72899,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,2494320533347,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,133178039197,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,6842791040,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,1571034802,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,402280201591,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,140015485993,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,6200662674243,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,53592,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,50558498,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,6195588830575,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,10446468704,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,10663009765,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,92,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,16374,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1510,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3783,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,358,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,942,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,147,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1177448,Cumulative time spend in logging
InterfaceHTTPSendBytes,7678515,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,6977171,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,649,Number of created server HTTP connections
HTTPServerConnectionsReused,6275,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,6689,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,424,Number of expired server HTTP connections.
HTTPServerConnectionsReset,10,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,83414,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,13532386650,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,38808988210,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,397824,Total number of CPU preemptions
ConcurrencyControlUpscales,83414,Total number of CPU upscaling events
ConcurrencyControlDownscales,83414,Total number of CPU downscaling events
MemoryWorkerRun,63838,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,10237222,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
