event,value,description
SelectedParts,13363,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,13363,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,13363,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,14065512,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,14065512,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,114599984327,Number of rows SELECTed from all tables.
SelectedBytes,5493575295715,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,115964135207,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,114513373268,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataPartsMicroseconds,961,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,27081,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,39246708,Time spent loading marks
LoadedMarksFiles,77,Number of mark files loaded.
LoadedMarksCount,81125,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,357896,Size of in-memory representations of loaded marks.
Merge,13,Number of launched background merges.
MergeSourceParts,78,Number of source parts scheduled for merges.
MergedRows,114933235,Rows read for background merges. This is the number of rows before merge.
MergedColumns,43,Number of columns merged during the horizontal stage of merges.
GatheredColumns,140,Number of columns gathered during the vertical stage of merges.
MergedUncompressedBytes,15795076373,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.
MergeTotalMilliseconds,35200,Total time spent for background merges
MergeExecuteMilliseconds,35154,Total busy time spent for execution of background merges
MergeHorizontalStageTotalMilliseconds,8265,Total time spent for horizontal stage of background merges
MergeHorizontalStageExecuteMilliseconds,8254,Total busy time spent for execution of horizontal stage of background merges
MergeVerticalStageTotalMilliseconds,26906,Total time spent for vertical stage of background merges
MergeVerticalStageExecuteMilliseconds,26877,Total busy time spent for execution of vertical stage of background merges
MergeProjectionStageTotalMilliseconds,29,Total time spent for projection stage of background merges
MergeProjectionStageExecuteMilliseconds,23,Total busy time spent for execution of projection stage of background merges
MergingSortedMilliseconds,50786,Total time spent while merging sorted columns
GatheringColumnMilliseconds,534,Total time spent while gathering columns for vertical merge
MergeTreeDataWriterRows,86586082,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterUncompressedBytes,12048433387,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeTreeDataWriterCompressedBytes,4611161883,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterBlocks,86,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,78,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,35201502,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,506,Time spent resetting task for MergeMutate executor.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1061880,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,451,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,516252,Time spent sorting blocks
InsertedWideParts,84,Number of parts inserted in Wide format.
InsertedCompactParts,2,Number of parts inserted in Compact format.
MergedIntoWideParts,13,Number of parts merged into Wide format.
ContextLock,596179,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,144913,Context lock wait time in microseconds
RWLockAcquiredReadLocks,4792,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,5,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,9103,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,2,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,652,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,60327,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,198,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,42844,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,351345308527,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,36678311414,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,2113625161,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,497073685,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,34068122582,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,38790852066,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSWriteBytes,10669318144,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,1753358432609,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,10656957934,"Number of bytes written to filesystem, including page cache, as well as network and other files."
CannotWriteToWriteBufferDiscard,168,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
ThreadPoolReaderPageCacheHit,14243366,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,1746268207198,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,1325213959,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,1352011325,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,92,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,37222,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2200,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3238,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,472,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1532,Amount of candidate parts for merge
MergerMutatorSelectRangePartsCount,78,Amount of parts in selected range for merge
AsyncLoaderWaitMicroseconds,193,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1174824,Cumulative time spend in logging
InterfaceHTTPSendBytes,2257975,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,1940832,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,1764264,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,9337715135,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,121,Number of created server HTTP connections
HTTPServerConnectionsReused,1817,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,1909,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,98,Number of expired server HTTP connections.
HTTPServerConnectionsReset,6,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsGranted,1035,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlSlotsAcquired,53083,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,1035,Total number of noncompeting CPU slot acquired
MemoryWorkerRun,41244,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,4265303,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,20582,Number of rows that passed the filter in the query
FilterTransformPassedBytes,1258657,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
