event,value,description
GlobalThreadPoolExpansions,660,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,30253,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,519,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,797,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,1020927,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,202,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,154,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4829,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,642,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,202,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,512115185,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,23434,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
InsertedRows,86586082,Number of rows INSERTed to all tables.
InsertedBytes,12048433387,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
CompileFunction,1,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,5382,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,8192,Number of bytes used for expressions compilation.
ExternalProcessingFilesTotal,10,Number of files used by external processing (sorting/aggragating/joining)
QueryPlanOptimizeMicroseconds,2597,Total time spent executing query plan optimizations.
SelectedRows,86586082,Number of rows SELECTed from all tables.
SelectedBytes,12048433387,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,1450761939,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
LoadedDataPartsMicroseconds,961,Microseconds spent by MergeTree tables for loading data parts during initialization.
Merge,13,Number of launched background merges.
MergeSourceParts,78,Number of source parts scheduled for merges.
MergedRows,114933235,Rows read for background merges. This is the number of rows before merge.
MergedColumns,43,Number of columns merged during the horizontal stage of merges.
GatheredColumns,140,Number of columns gathered during the vertical stage of merges.
MergedUncompressedBytes,15795076373,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.
MergeTotalMilliseconds,35200,Total time spent for background merges
MergeExecuteMilliseconds,35154,Total busy time spent for execution of background merges
MergeHorizontalStageTotalMilliseconds,8265,Total time spent for horizontal stage of background merges
MergeHorizontalStageExecuteMilliseconds,8254,Total busy time spent for execution of horizontal stage of background merges
MergeVerticalStageTotalMilliseconds,26906,Total time spent for vertical stage of background merges
MergeVerticalStageExecuteMilliseconds,26877,Total busy time spent for execution of vertical stage of background merges
MergeProjectionStageTotalMilliseconds,29,Total time spent for projection stage of background merges
MergeProjectionStageExecuteMilliseconds,23,Total busy time spent for execution of projection stage of background merges
MergingSortedMilliseconds,225,Total time spent while merging sorted columns
GatheringColumnMilliseconds,534,Total time spent while gathering columns for vertical merge
MergeTreeDataWriterRows,86586082,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterUncompressedBytes,12048433387,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeTreeDataWriterCompressedBytes,4611161883,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterBlocks,86,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,78,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,35201502,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,506,Time spent resetting task for MergeMutate executor.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,12052,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,269,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,516252,Time spent sorting blocks
InsertedWideParts,84,Number of parts inserted in Wide format.
InsertedCompactParts,2,Number of parts inserted in Compact format.
MergedIntoWideParts,13,Number of parts merged into Wide format.
ContextLock,11276,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1,Context lock wait time in microseconds
RWLockAcquiredReadLocks,584,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,8259,Total time spent holding data parts lock in MergeTree tables
PartsLocks,493,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,5079,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,27,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,7520,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,604690776,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,55467803,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,7242346,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,1209707,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,6878,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,62711212,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSWriteBytes,10669301760,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,6051342000,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,10656942375,"Number of bytes written to filesystem, including page cache, as well as network and other files."
CannotWriteToWriteBufferDiscard,168,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,92,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,14132,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1335,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,1922,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,339,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1082,Amount of candidate parts for merge
MergerMutatorSelectRangePartsCount,78,Amount of parts in selected range for merge
AsyncLoaderWaitMicroseconds,193,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1174824,Cumulative time spend in logging
InterfaceHTTPReceiveBytes,250,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,1582031,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,9337713061,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,1,Number of created server HTTP connections
ConcurrencyControlSlotsGranted,161,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlSlotsAcquired,134,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,161,Total number of noncompeting CPU slot acquired
MemoryWorkerRun,5735,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,337483,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
