timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
39383.31,253952,62,221542,14596441642,4,4002484,0,5,33,33,5138,150,675,1163798,18,58202,48,117,145331408,1352,1,0,47,47,4,14,236,675,0,0,0,44642427,788617,4318321285,0,675,259,8,1,2,1,14,14,319,1,4318399440,4270664947,155441487,331370630,331387014,1,2,1,14580307720,73389,73389,14,14,14,331370630,7,3,580950,1190467,2359193,32969,4318399440,1163798,42285029,1607
41388.03,253952,62,243363,16034200806,6,6002623,0,6,33,33,5138,153,675,1277676,18,64319,48,117,145596860,1352,1,0,47,47,4,14,236,675,0,0,0,49491343,818827,4739256658,0,675,259,8,1,2,1,14,14,319,1,4738616272,4690868833,185796979,364067827,364067827,1,2,1,16018984388,73389,73389,14,14,14,364067827,7,3,591294,1307102,2500614,36175,4738616272,1277676,46992723,1607
43393.02,253952,62,265657,17503223950,6,6002623,0,6,33,33,5138,157,675,1379097,18,70619,48,117,146393216,1352,1,0,47,47,4,14,236,675,0,0,0,54103452,823113,5166471486,0,675,259,8,1,2,1,14,14,319,1,5168008144,5120343642,214622046,397450993,397450993,1,2,1,17487122796,73389,73389,14,14,14,397434609,7,3,603177,1411248,2645815,39451,5168008144,1379097,51459809,1607
45397.31,253952,62,287656,18952487990,6,6002623,0,6,33,33,5138,161,675,1483858,18,76839,48,117,146924120,1352,1,0,47,47,4,14,236,675,0,0,0,58848608,851740,5589496018,0,675,259,8,1,2,1,14,14,319,1,5590457163,5543953477,227502584,430391791,430391791,1,2,1,18937238804,73389,73389,14,14,14,430391791,7,3,618813,1518698,2804359,42678,5590457163,1483858,56046597,1607
47402.60,253952,62,310110,20431538142,6,6002623,0,6,33,33,5138,166,675,1580574,18,83187,48,117,147455024,1352,1,0,47,47,4,14,236,675,0,0,0,63412985,851908,6019593425,0,675,259,8,1,2,1,14,14,319,1,6022239593,5976259719,238561330,464012525,464012525,1,2,1,20416551100,73389,73389,14,14,14,464012525,7,3,630054,1618005,2961321,45979,6022239593,1580574,60454202,1607
49408.37,253952,62,332543,21909670790,6,6002623,0,6,33,33,5138,169,675,1691649,18,89522,48,117,148251380,1352,1,0,47,47,4,14,236,675,0,0,0,68045190,852265,6451824520,0,675,259,8,1,2,1,14,14,319,1,6454383977,6408298797,248204903,497608683,497608683,1,2,1,21894782052,73389,73389,14,14,14,497608683,7,3,654949,1731642,3122472,49276,6454383977,1691649,64925443,1607
51413.47,253952,62,354503,23356390992,6,6002623,0,6,33,33,5138,174,675,1801471,18,95827,48,117,149047736,1352,1,0,47,47,4,14,236,675,0,0,0,72622048,852407,6874524896,0,675,259,8,1,2,1,14,14,319,1,6876114954,6831223757,259051477,530475753,530492137,1,2,1,23340933132,73389,73389,14,14,14,530475753,7,3,689160,1843895,3304484,52500,6876114954,1801471,69320476,1607
53419.02,253952,62,377256,24855334628,6,6002623,0,6,33,33,5138,178,675,1903960,18,102250,48,117,149844092,1352,1,0,47,47,4,14,236,675,0,0,0,77129617,852482,7312350047,0,675,259,8,1,2,1,14,14,319,1,7313365827,7269285444,266741882,564544888,564561272,1,2,1,24839975072,73389,73389,14,14,14,564544888,7,3,715140,1948841,3438468,55842,7313365827,1903960,73694236,1607
55424.13,253952,62,399068,26291101560,6,6002623,0,6,33,33,5138,186,675,2004122,18,108580,48,117,151171352,1352,1,0,47,47,4,14,236,675,0,0,0,81634082,852613,7729159543,0,675,259,8,1,2,1,14,14,319,1,7730000323,7688920762,277327350,597196807,597196807,1,2,1,26276659508,73389,73389,14,14,14,597196807,7,3,756384,2051432,3609118,59042,7730000323,2004122,78028227,1607
55739.86,253952,62,400982,26415782060,15,6039393,9,15,33,33,5138,191,675,2012774,18,109422,55,117,158511825,1359,1,1034,54,54,4,47,260,675,413,1034,90,82448460,863216,7767141381,8,675,259,8,1,2,1,14,14,319,1,7763869224,7725268584,1054502868,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,7,3,774587,2060319,3655574,59330,7763869224,2012774,78796200,1607
