timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
46886.64,5,253952,62,106632,7024254948,1,18098741,650,4,4,5350,745,1,648,687962,21,41881,19,33,127480483,1298,1,4,395,132684265,5,530737060,18,18,14,108,648,48820739,185144,2284370361,648,368,3,1,14,14,865,3,2283339757,2217505649,67074377,134643346,134676114,1,3,1,7001454024,73389,73389,14,14,14,134643350,6,3,137307,705772,976883,19025,2283470829,687962,47846002,1598
48891.01,5,253952,62,116596,7681973458,1,19663034,704,4,4,5350,789,1,648,746262,21,45783,19,33,130267729,1298,1,4,395,145106004,5,580424016,18,18,14,108,648,53239918,185520,2494633214,648,368,3,1,14,14,865,3,2492371691,2425639531,73056427,147259409,147259409,1,3,1,7657489300,73389,73389,14,14,14,147259413,6,3,143131,765619,1062927,20728,2492371691,746262,52179329,1598
50895.41,5,253952,62,126547,8337660718,1,21360850,752,4,4,5350,872,1,684,810869,21,49702,19,33,136887582,1370,1,4,395,157493133,5,629907860,18,18,14,108,684,57595629,185741,2721457157,684,385,3,1,14,14,865,3,2719269842,2633103241,79108920,159806062,159806062,1,3,1,8309915256,73389,73389,14,14,14,159806066,6,3,145346,831873,1124839,22645,2719269842,810869,56473318,1694
52899.68,5,253952,62,136524,8994047250,1,23057626,799,4,4,5350,916,1,684,872435,21,53584,19,33,136887582,1370,1,4,395,169866362,5,679465448,18,18,14,108,684,61885043,185979,2947344059,684,385,3,1,14,14,865,3,2945100839,2840949185,85016204,172355318,172355318,1,3,1,8962476568,73389,73389,14,14,14,172355322,6,3,149326,895020,1209834,24484,2945100839,872435,60677928,1694
54904.19,5,253952,62,146558,9654808832,1,24713775,837,4,4,5350,997,1,702,931884,21,57515,19,33,139839972,1406,1,4,395,182275100,5,729100400,18,18,14,108,702,66147579,186292,3166506397,702,398,3,1,14,14,865,3,3164347619,3050497976,91012639,184957600,184957600,1,3,1,9617795232,73389,73389,14,14,14,184957604,6,3,153567,956030,1286983,26342,3164347619,931884,64863500,1739
56908.34,5,253952,62,157101,10349821122,1,26331431,883,5,5,5350,1046,1,702,1000254,21,61627,20,33,140455338,1406,1,4,395,195363855,5,781455420,19,19,14,114,702,70848915,188340,3407790440,702,398,3,1,14,14,865,3,3405175656,3270624452,97276675,198249725,198249725,1,3,1,10308985732,73389,73389,14,14,14,198249729,6,3,158620,1026174,1360034,28309,3405175656,1000254,69491982,1739
58912.36,5,253952,62,167588,11040318776,2,28975697,941,5,5,5350,1125,1,702,1062127,21,65732,20,33,140455338,1406,1,4,395,208329863,5,833319452,19,19,14,114,702,75235686,188581,3640782459,702,398,3,1,14,14,865,3,3638254995,3489496593,104337938,211433639,211433639,1,3,1,10993697292,73389,73389,14,14,14,211417259,6,3,161196,1089675,1435001,30257,3638254995,1062127,73803964,1739
60916.19,5,253952,62,178066,11731421140,2,30639298,987,5,5,5350,1208,1,747,1127501,21,69840,20,33,147961018,1496,1,4,395,221322270,5,885224424,19,19,14,114,747,79574734,188881,3887199578,747,428,3,1,14,14,865,3,3885157542,3709047775,110352991,224592533,224592533,1,3,1,11678811748,73389,73389,14,14,14,224592537,6,3,164026,1156764,1511969,32337,3885157542,1127501,78066219,1856
62927.47,5,253952,62,188409,12413639946,2,32362220,1031,7,7,5350,1251,1,774,1186991,21,73870,21,33,154013429,1550,1,4,395,234185265,5,936676488,20,21,14,122,774,83906399,201275,4113685185,774,444,3,1,14,14,865,3,4110559157,3925099898,116429856,237622514,237622514,1,3,1,12356370760,73389,73389,14,14,14,237622518,6,3,173096,1217806,1591877,34166,4110559157,1186991,82318146,1922
64942.68,6,253952,62,202212,13323940572,2,34383099,1133,8,8,5350,1358,1,846,1339032,21,79292,22,34,166270906,1694,1,4,395,251319653,5,1005213952,21,22,14,141,846,92724980,1182401,4416781869,846,525,3,1,14,14,865,3,4413897988,4213163134,128194671,255002003,255018387,1,3,1,13259252220,73389,73389,14,14,14,254985623,6,3,181428,1373135,1759701,36718,4413897988,1339032,90969210,2204
66948.95,7,253952,62,216391,14257096722,2,36729395,1250,8,8,5350,1437,1,891,1481917,21,84824,22,34,173913543,1784,1,4,395,268876054,5,1075439568,21,22,14,141,891,101575412,2066268,4719981802,891,579,3,1,14,14,865,3,4717306080,4507881826,140264809,272887681,272904065,1,3,1,14189307476,73389,73389,14,14,14,272871301,6,3,186638,1519273,1921378,39210,4717306080,1481917,99658278,2372
68961.15,7,253952,62,230553,15189971558,2,39100316,1351,8,8,5350,1528,2,909,1639351,21,90406,22,34,177525757,1820,1,4,395,286576860,5,1146307440,21,22,14,141,909,110375472,2908119,5023268750,909,594,3,1,14,14,865,3,5020022571,4802108746,152270665,290812160,290812160,1,3,1,15122232352,73389,73389,14,14,14,290812164,6,3,191716,1679973,2095098,41721,5020022571,1639351,108284936,2446
70969.26,7,253952,62,245056,16147004070,2,41561839,1460,8,8,5350,1624,2,909,1800304,21,96118,22,34,178165255,1820,1,4,395,304693322,5,1218643916,21,22,14,141,909,119222686,3676514,5334422092,909,594,3,1,14,14,865,3,5330095243,5104123301,164319712,309166053,309166053,1,3,1,16076634788,73389,73389,14,14,14,309166057,6,3,201467,1844295,2310590,44303,5330095243,1800304,116916971,2446
72982.97,15,253952,62,259897,17124341652,2,44344944,1563,8,8,5350,1721,2,909,1942311,21,101937,22,34,178478971,1820,1,4,395,323152825,5,1292417392,21,22,14,141,909,128008736,4406259,5656505772,909,594,3,1,14,14,865,3,5652534468,5412748519,176577034,327893348,327909732,1,3,1,17050454128,73389,73389,14,14,14,327893352,6,3,210422,1989579,2476732,46990,5652534468,1942311,125537183,2446
74995.34,17,253952,62,274661,18096645028,2,46550016,1681,9,9,5350,1811,2,909,2092355,21,107691,23,34,178478971,1820,1,4,395,341390994,5,1365499348,22,23,14,239,909,136844632,5320630,5979906503,909,594,3,1,14,14,865,3,5975252423,5720084314,188504713,346505955,346522339,1,3,1,18018309692,73389,73389,14,14,14,346505959,6,3,216931,2143042,2657560,49673,5975252423,2092355,134192576,2446
77005.77,18,253952,62,289253,19059498178,3,50027717,1780,9,9,5350,1905,3,909,2238423,21,113464,23,34,179094337,1820,1,4,395,359695802,5,1438783208,22,23,14,239,909,145681895,6230902,6299819149,909,594,3,1,14,14,865,3,6294193049,6024358084,201620505,364958152,364974536,1,3,1,18977823936,73389,73389,14,14,14,364958156,6,3,225858,2292463,2849628,52321,6294193049,2238423,142838079,2446
79023.92,19,253952,62,304146,20038083818,3,52295703,1892,9,9,5350,2002,3,909,2388784,21,119256,23,34,179094337,1820,1,4,395,378125947,5,1512309848,22,23,14,239,909,154514174,7180436,6626537051,909,594,3,1,14,14,865,3,6621905046,6334060842,213756603,383684176,383684176,1,3,1,19951577184,73389,73389,14,14,14,383684180,6,3,230620,2446295,3075786,55051,6621905046,2388784,151444531,2446
81042.20,29,253952,62,318800,21004710616,3,54978183,2002,10,10,5350,2096,3,909,2531488,21,125035,23,34,179094337,1820,1,4,395,396400284,5,1585536408,22,24,14,239,909,163331298,8113093,6949412184,909,594,3,1,14,14,865,3,6944740831,6639274166,225875336,402204068,402220452,1,3,1,20914611568,73389,73389,14,14,14,402204072,6,3,239605,2592364,3264861,57741,6944740831,2531488,160072881,2446
83058.16,30,253952,62,333595,21980300472,4,58032819,2112,10,10,5350,2185,4,927,2682774,21,130836,23,34,182404920,1856,1,4,395,414810472,5,1659177228,22,24,14,239,927,172199213,9092906,7269454414,927,613,3,1,14,14,865,3,7263158576,6947637612,239061735,420889959,420889959,1,3,1,21886277900,73389,73389,14,14,14,420889963,6,3,247198,2747099,3456035,60376,7263158576,2682774,168749935,2523
85070.92,30,253952,62,347670,22907413346,5,61627487,2240,11,11,5350,2275,11,927,2844234,21,136330,23,34,182718636,1856,1,4,395,432238724,5,1728890360,22,25,14,239,927,181013978,10079988,7583235186,927,613,3,1,14,14,865,3,7577162054,7241421863,252426673,438585062,438601446,1,3,1,22806423256,73389,73389,14,14,14,438585066,6,3,257196,2911963,3647056,62984,7577162054,2844234,177373987,2523
87083.73,30,253952,62,361917,23845696434,5,63913894,2354,11,11,5350,2366,13,936,3002092,21,141908,23,34,184543533,1874,1,4,395,449917684,5,1799670736,22,25,14,239,936,189842043,11068596,7907537844,936,623,3,1,14,14,865,3,7900783016,7538604314,264495536,456515574,456515574,1,3,1,23738809880,73389,73389,14,14,14,456515578,6,3,267327,3073422,3854774,65670,7900783016,3002092,185993650,2556
89098.06,35,253952,62,376214,24788347712,5,66351816,2461,11,11,5350,2459,13,936,3162163,21,147510,23,34,184555599,1874,1,4,395,467649263,5,1870597052,22,25,14,239,936,198621979,11907819,8232046874,936,623,3,1,14,14,865,3,8226553114,7837389539,276537932,474499112,474515496,1,3,1,24673953856,73389,73389,14,14,14,474499116,6,3,272979,3237003,4045166,68391,8226553114,3162163,194584502,2556
91114.37,37,253952,62,391355,25785973526,5,69638529,2577,12,12,5350,2552,13,936,3332496,21,153418,23,34,184845183,1874,1,4,395,486431912,5,1945598544,22,26,14,239,936,207937792,12837988,8574573631,936,623,3,1,14,14,865,3,8568237845,8153931340,290082152,493533385,493549769,1,3,1,25663736052,73389,73389,14,14,14,493533389,6,3,281389,3411008,4253974,71236,8568237845,3332496,203691834,2556
93123.48,41,253952,62,411200,27092101058,5,72166272,2703,14,14,5350,2682,14,1089,3545870,21,161132,25,34,210927352,2180,1,4,395,510864522,5,2043328732,24,28,14,380,1089,220142977,13952705,9036662656,1089,772,3,1,14,14,865,3,9030587362,8569146100,305917323,518396044,518412428,1,3,1,26956594320,73389,73389,14,14,14,518396048,6,3,301238,3629148,4545582,75089,9030587362,3545870,215605830,3143
95133.69,46,253952,62,435739,28708492466,5,74883163,2833,15,15,5350,2841,15,1278,3788844,21,170726,26,34,245624590,2558,1,4,395,541259566,5,2164973564,25,29,14,794,1278,234985346,15040281,9605291693,1278,942,3,1,14,14,865,3,9597660184,9082325980,324558259,549225465,549225465,1,3,1,28558872244,73389,73389,14,14,14,549209085,6,3,321288,3877797,4880444,79802,9597660184,3788844,230113843,3861
97145.32,55,253952,62,462820,30493879540,6,77409031,2972,16,16,5350,3009,15,1314,4047795,21,181280,26,34,254431363,2630,1,4,395,574753032,5,2299012128,25,30,14,794,1314,250956741,15900229,10244101849,1314,978,3,1,14,14,865,3,10236917684,9650383043,343874791,583163084,583195852,1,3,1,30324480400,73389,73389,14,14,14,583163088,6,3,328274,4142924,5173707,85089,10236917684,4047795,245792515,4000
