timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55212.14,8,262144,64,180867,11918106198,138,1,585,2051387,3,47352,67,1077,128683224,1172,1,66,27021,1547451,2,176681,585,45711001,50609589,3547392504,585,914,6,1,2,1,2,2,554,1,3532824988,3487263960,549277670,270505524,270521908,2,1,11902243056,73389,73389,2,2,2,270505524,10,3,380260,29548665,2883586,87110,26955,3532824988,1964277,42828181,7232
60259.70,8,262144,64,184707,12171091698,138,1,585,2102927,3,48399,67,1077,128683224,1172,1,66,27583,1863986,2,176681,585,46894188,55546589,3621410188,585,914,6,1,2,1,2,2,554,1,3606487452,3561180769,567336492,276270089,276270089,2,1,12155883916,73389,73389,2,2,2,276270089,10,3,384054,32850549,2945901,90054,27517,3606487452,2012873,43949082,7232
65294.72,8,262144,64,189163,12464978278,139,1,585,2163430,3,49671,67,1077,128948676,1172,1,66,28237,2174085,2,176681,585,50429420,61741141,3707671444,585,914,6,1,2,1,2,2,554,1,3692339612,3647043927,710987800,282939648,282956032,2,1,12449344512,73389,73389,2,2,2,282939648,10,3,393467,35871639,3061243,93083,28172,3692339612,2070347,47368731,7232
70324.99,8,262144,64,193682,12762462722,140,1,585,2223698,3,50960,67,1077,128948676,1172,1,66,28900,2506179,2,176681,585,52156038,66969860,3794855129,585,914,6,1,2,1,2,2,554,1,3779109276,3734014556,746878488,289711829,289711829,2,1,12747320476,73389,73389,2,2,2,289711829,10,3,395993,39211632,3136468,96005,28834,3779109276,2127693,49020267,7232
75474.10,8,262144,64,198127,13055362954,141,1,585,2283481,3,52198,67,1077,128948676,1172,1,66,29554,2740588,2,176681,585,53282667,71973908,3880986116,585,914,6,1,2,1,2,2,554,1,3864830364,3819705900,838776623,296350779,296367163,2,1,13039434276,73389,73389,2,2,2,296350779,10,3,398184,42698444,3205149,99283,29488,3864830364,2184198,50078952,7232
80502.56,8,262144,64,201951,13307565330,141,1,585,2337189,3,53268,67,1077,129214128,1172,1,66,30113,2982168,2,176681,585,55275208,77583022,3954613329,585,914,6,1,2,1,2,2,554,1,3938099612,3893364125,906725692,302088609,302104993,2,1,13291898796,73389,73389,2,2,2,302088609,10,3,399543,45937368,3267255,102095,30048,3938099612,2235094,52009327,7232
85516.35,8,262144,64,206645,13616518574,142,1,585,2403231,3,54603,67,1077,129214128,1172,1,66,30804,3274127,2,176681,585,56992703,82916149,4045611975,585,914,6,1,2,1,2,2,554,1,4028670364,3983685497,1167340917,309106550,309122934,2,1,13600688200,73389,73389,2,2,2,309106550,10,3,409556,49210213,3362158,106215,30738,4028670364,2297016,53632272,7232
90537.30,8,262144,64,214626,14142481362,143,1,585,2505427,3,56835,67,1077,129479580,1172,1,66,31977,3431029,2,176681,585,59443221,88233371,4200179524,585,914,6,1,2,1,2,2,554,1,4182548892,4137444044,1220770290,321067697,321084081,2,1,14126978668,73389,73389,2,2,2,321067697,10,3,416119,51966915,3467799,113795,31912,4182548892,2391632,55977071,7232
95543.12,8,262144,64,233602,15392994250,146,1,585,2686658,3,62175,67,1077,130010484,1172,1,66,34766,3529149,2,176681,585,64016278,92525146,4567067883,585,914,6,1,2,1,2,2,554,1,4547977628,4503025816,1311977911,349486955,349503339,2,1,15377426020,73389,73389,2,2,2,349486955,10,3,429833,53975067,3619671,123733,34700,4547977628,2562925,60399858,7232
100549.03,8,262144,64,283681,18692829274,155,1,585,3104314,3,76292,67,1077,131337744,1172,1,66,42125,3530622,2,176681,585,75543492,92673965,5535270232,585,914,6,1,2,1,2,2,554,1,5512536476,5467737168,1346443888,424495710,424495710,2,1,18677090344,73389,73389,2,2,2,424479326,10,3,449873,54804612,3817459,133679,42059,5512536476,2970635,71729332,7232
105554.58,8,262144,64,329695,21724595350,163,1,585,3468909,3,89266,67,1077,132399552,1172,1,66,48883,3531391,2,176681,585,85918280,92676523,6424433058,585,914,6,1,2,1,2,2,554,1,6398321052,6353974890,1372461295,493389803,493406187,2,1,21709151332,73389,73389,2,2,2,493389803,10,3,466639,55528527,3963586,142378,48817,6398321052,3326531,81958016,7232
110559.35,8,262144,64,382970,25235150360,172,1,585,3903303,3,104285,67,1077,133726812,1172,1,66,56707,3532197,2,176681,585,97007263,92677750,7453832150,585,914,6,1,2,1,2,2,554,1,7423828380,7380218235,1405173959,573180083,573180083,2,1,25219202756,73389,73389,2,2,2,573163699,10,3,487550,56376060,4166317,152738,56641,7423828380,3750565,92842899,7232
