timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55199.56,10,262144,64,245225,16159038806,148,2,585,2536494,8,65454,67,130275936,1172,1,66,36473,2087263,2,610723,585,59888094,58770744,4790938898,585,1500,2,1,2,2,719,1,4771717532,4726956742,576104361,366893179,366909563,2,1,16143299876,73389,73389,2,2,2,366893179,7,3,324712,38056881,2800196,106870,36407,4771717532,2429624,57088705,10293
60226.53,10,262144,64,251110,16546576330,149,2,585,2618992,8,67115,67,130275936,1172,1,66,37338,2246562,2,610723,585,61828800,63483455,4904843651,585,1500,2,1,2,2,719,1,4885094812,4840319677,607769851,375709042,375709042,2,1,16531197848,73389,73389,2,2,2,375709042,7,3,328653,40912898,2886301,110627,37272,4885094812,2508365,58943236,10293
65248.57,10,262144,64,256900,16928153386,150,2,585,2701588,8,68744,67,130541388,1172,1,66,38188,2446269,2,610723,585,63851325,68669993,5016774222,585,1500,2,1,2,2,719,1,4996506012,4951794137,642952951,384375290,384391674,2,1,16912512760,73389,73389,2,2,2,384375290,7,3,333402,43836281,2980431,114357,38122,4996506012,2587231,60871691,10293
70275.54,10,262144,64,261663,17241894066,151,2,585,2769866,8,70101,67,130541388,1172,1,66,38884,2604390,2,610723,585,65412122,73717593,5108437755,585,1500,2,1,2,2,719,1,5087732124,5043510094,668394785,391513952,391513952,2,1,17225892992,73389,73389,2,2,2,391497568,7,3,335843,46835068,3039051,117767,38818,5087732124,2652099,62373876,10293
75309.76,10,262144,64,265975,17526078010,152,2,585,2835397,8,71331,67,130806840,1172,1,66,39522,2887408,2,610723,585,66621056,78594411,5192464297,585,1500,2,1,2,2,719,1,5171356060,5126584372,797673771,397972678,397972678,2,1,17510076936,73389,73389,2,2,2,397956294,7,3,338944,50187109,3108391,121174,39456,5171356060,2714223,63513281,10293
80325.15,10,262144,64,270603,17830971330,153,2,585,2900972,8,72651,67,130806840,1172,1,66,40201,3178782,2,610723,585,68529523,84068645,5282014801,585,1500,2,1,2,2,719,1,5260485020,5215682745,846442293,404914732,404914732,2,1,17816248208,73389,73389,2,2,2,404914732,7,3,343949,53337973,3189764,124364,40136,5260485020,2776608,65340765,10293
85348.78,10,262144,64,275530,18155471980,153,2,585,2966613,8,73995,67,130806840,1172,1,66,40924,3394079,2,610723,585,70455186,89262036,5377097224,585,1500,2,1,2,2,719,1,5355119004,5310543332,923455763,412274578,412290962,2,1,18140081432,73389,73389,2,2,2,412274578,7,3,348541,56244250,3278060,127773,40858,5355119004,2838840,67178884,10293
90367.04,10,262144,64,281254,18532977046,154,2,585,3043634,8,75609,67,131072292,1172,1,66,41767,3516671,2,610723,585,72596485,94103533,5488102269,585,1500,2,1,2,2,719,1,5465612700,5420958464,975241410,420864939,420864939,2,1,18518057316,73389,73389,2,2,2,420864939,7,3,350898,59064869,3356312,131436,41701,5465612700,2912198,69241528,10293
95378.38,10,262144,64,287956,18974322934,156,2,585,3131636,8,77550,67,131337744,1172,1,66,42750,3636864,2,610723,585,74382797,98555731,5617540437,585,1500,2,1,2,2,719,1,5594456476,5549942446,997183293,430891059,430907443,2,1,18959206596,73389,73389,2,2,2,430891059,7,3,354841,61705246,3449933,135458,42684,5594456476,2996178,70934250,10293
100389.34,10,262144,64,296411,19531615238,157,2,585,3252721,8,79908,67,131603196,1172,1,66,43995,3815900,2,610723,585,78135002,104505690,5781446194,585,1500,2,1,2,2,719,1,5757641116,5712896020,1233036350,443562751,443562751,2,1,19516761044,73389,73389,2,2,2,443562751,7,3,361256,64419208,3605764,149572,43929,5757641116,3103149,74530030,10293
105412.56,10,262144,64,303892,20024544574,158,2,585,3359530,8,82005,67,131603196,1172,1,66,45092,3958798,2,610723,585,80513144,109235516,5925879649,585,1500,2,1,2,2,719,1,5901427100,5856989561,1356500320,454756009,454772393,2,1,20009264396,73389,73389,2,2,2,454756009,7,3,368020,66907086,3713500,164714,45026,5901427100,3194816,76799869,10293
110418.91,10,262144,64,334791,22060424970,163,2,585,3618017,8,90691,67,132399552,1172,1,66,49631,4017289,2,610723,585,87847040,111612798,6522978685,585,1500,2,1,2,2,719,1,6496231836,6452165238,1396794152,501017826,501034210,2,1,22044784344,73389,73389,2,2,2,501017826,7,3,391609,68411741,3908592,173028,49565,6496231836,3444989,83939109,10293
115424.72,10,262144,64,383686,25282339588,172,2,585,4004907,8,104481,67,133726812,1172,1,66,56812,4018940,2,610723,585,100177294,111879250,7467903358,585,1500,2,1,2,2,719,1,7437590940,7394016613,1439677913,574251076,574267460,2,1,25267047344,73389,73389,2,2,2,574251076,7,3,420347,69236742,4153175,183824,56746,7437590940,3821083,96024536,10293
