timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
60203.11,10,262144,64,241216,15894712270,148,585,2488661,8,64359,57,130275936,1172,1,56,35875,4677421,2,987504,585,60455144,63249920,4713664386,585,1658,2,1,2,2,637,1,4694647196,4649749804,687832667,360893205,360893205,2,1,15878580124,73389,73389,2,2,2,360876821,14,1,3,274459,45965978,2703457,88188,35819,4694647196,2400473,57752296,9298
65222.36,10,262144,64,247712,16322557742,149,585,2581107,8,66189,57,130275936,1172,1,56,36826,4832263,2,987504,585,62616689,68035531,4838886629,585,1658,2,1,2,2,637,1,4819296668,4774811460,709400813,370616221,370632605,2,1,16307113724,73389,73389,2,2,2,370616221,14,1,3,277075,48765860,2793712,92476,36770,4819296668,2488631,59823576,9298
70232.08,10,262144,64,253169,16682311310,150,585,2658570,8,67731,57,130541388,1172,1,56,37629,4981103,2,987504,585,64479936,73022524,4944761079,585,1658,2,1,2,2,637,1,4924678556,4879877598,737651757,378790949,378807333,2,1,16666801756,73389,73389,2,2,2,378790949,14,1,3,279101,51705536,2873036,96054,37574,4924678556,2562516,61607841,9298
75269.04,10,262144,64,258137,17009486870,151,585,2729020,8,69141,57,130541388,1172,1,56,38359,5222365,2,987504,585,66309519,77751683,5040767202,585,1658,2,1,2,2,637,1,5020230044,4975535485,823396420,386224523,386240907,2,1,16993879012,73389,73389,2,2,2,386224523,14,1,3,283614,54876535,2968447,99260,38303,5020230044,2629760,63343439,9298
80299.16,10,262144,64,262110,17271454110,151,585,2787773,8,70224,57,130541388,1172,1,56,38941,5526483,2,987504,585,68145173,83358970,5117555178,585,1658,2,1,2,2,637,1,5096645020,5052119954,843905595,392175345,392191729,2,1,17255715180,73389,73389,2,2,2,392175345,14,1,3,284637,58194812,3037022,102057,38886,5096645020,2685716,65110790,9298
85323.31,10,262144,64,266816,17581459238,152,585,2863318,8,71556,57,130806840,1172,1,56,39635,5691107,2,987504,585,69678407,88165919,5208951090,585,1658,2,1,2,2,637,1,5187608988,5142748828,923834495,399223895,399240279,2,1,17565851380,73389,73389,2,2,2,399223895,14,1,3,285580,61759387,3093002,111349,39580,5187608988,2751969,66587785,9298
90339.40,10,262144,64,272340,17945338266,153,585,2942708,8,73125,57,130806840,1172,1,56,40447,5896596,2,987504,585,71169429,93085313,5315750526,585,1658,2,1,2,2,637,1,5293908380,5249108649,973259490,407515470,407515470,2,1,17930680680,73389,73389,2,2,2,407515470,14,1,3,287665,64812638,3178374,117237,40391,5293908380,2825471,67993434,9298
95363.09,10,262144,64,277700,18298734842,154,585,3017099,8,74642,57,131072292,1172,1,56,41236,6056221,2,987504,585,72943328,97707828,5419648433,585,1658,2,1,2,2,637,1,5397324188,5352452430,1011612460,415542742,415542742,2,1,18283880648,73389,73389,2,2,2,415542742,14,1,3,291056,67628505,3237208,120802,41180,5397324188,2896297,69708724,9298
100377.91,10,262144,64,283779,18699251802,155,585,3095510,8,76355,57,131337744,1172,1,56,42130,6203543,2,987504,585,75904974,104207265,5537371475,585,1658,2,1,2,2,637,1,5514502556,5469586523,1391533087,424643166,424643166,2,1,18684299304,73389,73389,2,2,2,424643166,14,1,3,300041,70343551,3375409,124554,42074,5514502556,2970956,72532387,9298
105414.41,10,262144,64,291575,19212824978,156,585,3203355,8,78537,57,131337744,1172,1,56,43272,6361659,2,987504,585,78621173,109062878,5687725974,585,1658,2,1,2,2,637,1,5664186780,5619646054,1441639623,436311560,436327944,2,1,19197708640,73389,73389,2,2,2,436311560,14,1,3,305415,72820074,3485525,130846,43216,5664186780,3072509,75138233,9298
110424.97,10,262144,64,299681,19746979766,158,585,3321596,8,80848,57,131603196,1172,1,56,44464,6490183,2,987504,585,81021894,113586130,5844659126,585,1658,2,1,2,2,637,1,5820424604,5775890146,1471619707,448444739,448461123,2,1,19731568516,73389,73389,2,2,2,448444739,14,1,3,313367,75540225,3597047,146084,44408,5820424604,3175512,77426975,9298
115431.33,10,262144,64,323263,21300944182,161,585,3538433,8,87448,57,132134100,1172,1,56,47929,6531692,2,987504,585,86962754,117103012,6300610418,585,1658,2,1,2,2,637,1,6274589084,6230160426,1619817513,483756899,483773283,2,1,21285303556,73389,73389,2,2,2,483756899,14,1,3,336212,77318785,3775339,156803,47873,6274589084,3381630,83189691,9298
120437.06,10,262144,64,369726,24362666826,169,585,3905049,8,100548,57,133461360,1172,1,56,54753,6533379,2,987504,585,98059177,117517518,7198437322,585,1658,2,1,2,2,637,1,7169024412,7125179732,1653377137,553351186,553351186,2,1,24346731288,73389,73389,2,2,2,553334802,14,1,3,363836,78156407,4021228,167374,54697,7169024412,3737675,94040764,9298
