timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1144011.33,1,253952,62,180450,11888571018,38,47087032,212,43,43,5488,143,0,675,928268,31,46610,47,35,144004148,1352,1,0,46,57,104,14,212,675,0,0,0,35395881,2353313,3526363897,0,675,508,2,1,14,14,472,1,3527379920,3479036378,102994503,269846734,269846734,1,2,1,11873256296,73389,73389,14,14,14,269846734,10,1,3,533962,948192,2121491,26934,3527379920,928268,33276012,2118
1146014.91,1,253952,62,203260,13391676190,38,47087032,212,43,43,5488,147,0,675,1000879,31,53051,47,35,144800504,1352,1,0,46,57,104,14,212,675,0,0,0,39355114,2353386,3966156923,0,675,508,2,1,14,14,472,1,3966864336,3918402812,108986458,304005981,304005981,1,2,1,13376263164,73389,73389,14,14,14,304005981,10,1,3,536465,1022683,2218496,30287,3966864336,1000879,37138425,2118
1148018.94,1,253952,62,226133,14899175582,38,47087032,212,43,43,5488,151,0,675,1072833,31,59510,47,35,145596860,1352,1,0,46,57,104,14,212,675,0,0,0,43328102,2353412,4407000186,0,675,508,2,1,14,14,472,1,4407004112,4359110353,115007360,338269565,338269565,1,2,1,14883139964,73389,73389,14,14,14,338253181,10,1,3,538167,1096503,2311543,33645,4407004112,1072833,41018542,2118
1150027.16,1,253952,62,241945,15940739854,39,50055897,247,44,44,5488,153,0,675,1193074,31,63932,47,35,145596860,1352,1,0,46,58,104,14,212,675,0,0,0,47281675,2926271,4708607870,0,675,508,2,1,14,14,472,1,4711222224,4663575989,147057546,361942225,361942225,1,2,1,15924737004,73389,73389,14,14,14,361925841,10,1,3,553439,1219028,2473247,35966,4711222224,1193074,44810543,2118
1152031.26,1,253952,62,253970,16733322938,42,55776303,296,44,44,5488,155,0,675,1274824,31,67320,47,35,146127764,1352,1,0,46,58,104,14,212,675,0,0,0,50378746,3319368,4943864763,0,675,508,2,1,14,14,472,1,4942826448,4895288934,156622725,379952498,379952498,1,2,1,16717189016,73389,73389,14,14,14,379936114,10,1,3,558463,1302533,2590232,37733,4942826448,1274824,47790736,2118
1154038.49,1,253952,62,265657,17503223950,42,57423568,318,46,46,5488,157,0,675,1350348,31,70619,47,35,146393216,1352,1,0,46,60,104,14,212,675,0,0,0,53249181,3632631,5166666342,0,675,508,2,1,14,14,472,1,5168008144,5120343642,161669538,397450993,397450993,1,2,1,17487122796,73389,73389,14,14,14,397434609,10,1,3,574607,1379758,2710415,39451,5168008144,1350348,50541101,2118
1156047.09,1,253952,62,279867,18439534098,42,60454324,361,47,47,5488,159,0,675,1469069,31,74610,47,35,146658668,1352,1,0,46,61,104,14,212,675,0,0,0,57242393,4507922,5440748475,0,675,508,2,1,14,14,472,1,5441555408,5394013437,170108098,418725556,418741940,1,2,1,18423924464,73389,73389,14,14,14,418725556,10,1,3,580439,1500871,2854474,41538,5441555408,1469069,54390397,2118
1158061.77,1,253952,62,293614,19344809642,43,64146371,403,48,48,5488,162,0,675,1589600,31,78528,47,35,146924120,1352,1,0,46,62,104,14,212,675,0,0,0,61239461,5406935,5706177852,0,675,508,2,1,14,14,472,1,5705407307,5658710086,179296431,439305958,439305958,1,2,1,19329462152,73389,73389,14,14,14,439305958,10,1,3,588185,1623677,3016459,43555,5705407307,1589600,58225617,2118
1160071.32,1,253952,62,307504,20260413722,44,68843089,448,49,49,5488,164,0,675,1726356,31,82424,47,35,147455024,1352,1,0,46,63,104,14,212,675,0,0,0,65285092,6270814,5973042609,0,675,508,2,1,14,14,472,1,5972400971,5926266313,188222622,460119610,460119610,1,2,1,20244541944,73389,73389,14,14,14,460103226,10,1,3,598342,1762748,3184336,45592,5972400971,1726356,62103498,2118
1162083.02,1,253952,62,321099,21155598498,44,73562839,485,49,49,5488,168,0,675,1840683,31,86349,47,35,147889400,1352,1,0,46,63,104,14,212,675,0,0,0,69229950,7311942,6235609754,0,675,508,2,1,14,14,472,1,6233920873,6187941665,199190707,480448219,480470636,1,2,1,21139721636,73389,73389,14,14,14,480448219,10,1,3,608727,1881193,3368317,47594,6233920873,1840683,65864506,2118
1164087.79,1,253952,62,331829,21862612634,47,77832430,520,49,49,5488,169,0,675,1905940,31,89327,47,35,148251380,1352,1,0,46,63,104,14,212,675,0,0,0,71721727,7470066,6442274106,0,675,508,2,1,14,14,472,1,6440490345,6394570457,207037894,496537690,496537690,1,2,1,21847658360,73389,73389,14,14,14,496537690,10,1,3,609368,1947860,3463449,49170,6440490345,1905940,68261247,2118
1166098.21,1,253952,62,344708,22711014996,47,80286025,552,51,51,5488,172,0,675,2002946,31,93056,47,35,148782284,1352,1,0,46,65,104,14,212,675,0,0,0,75140251,8095687,6686265066,0,675,508,2,1,14,14,472,1,6687633418,6642513772,214013723,515823756,515823756,1,2,1,22695524368,73389,73389,14,14,14,515807372,10,1,3,620632,2046790,3614534,51062,6687633418,2002946,71528809,2118
1168111.66,1,253952,62,359681,23697860016,47,83133130,602,52,52,5488,175,1,675,2125792,31,97298,47,35,149313188,1352,1,0,46,66,104,14,212,675,0,0,0,79368696,8902630,6976735570,0,675,508,2,1,14,14,472,1,6976253962,6931036626,222237332,538232689,538249073,1,2,1,23682238316,73389,73389,14,14,14,538232689,10,1,3,626267,2172098,3774468,53264,6976253962,2125792,75597467,2118
1170124.77,1,253952,62,373582,24613240170,48,86690204,643,53,53,5488,178,1,675,2246983,31,101250,47,35,149844092,1352,1,0,46,67,104,14,212,675,0,0,0,83475881,9815475,7243993616,0,675,508,2,1,14,14,472,1,7242455875,7198521046,231866570,559042467,559058851,1,2,1,24597868548,73389,73389,14,14,14,559042467,10,1,3,633392,2295554,3939321,55301,7242455875,2246983,79539939,2118
1172130.54,1,253952,62,387601,25536401592,51,92839655,685,57,57,5488,182,1,675,2365362,31,105290,47,35,150374996,1352,1,0,46,71,104,14,212,675,0,0,0,87560338,10838464,7514288790,0,675,508,2,1,14,14,472,1,7511300379,7468290568,244494327,580044535,580044535,1,2,1,25521238644,73389,73389,14,14,14,580028151,10,1,3,645078,2416179,4101408,57365,7511300379,2365362,83462438,2118
1174134.47,1,253952,62,398276,26238931596,55,97539425,721,57,57,5488,185,1,675,2422078,31,108358,47,35,151171352,1352,1,0,46,71,104,14,212,675,0,0,0,89994370,10981554,7717352513,0,675,508,2,1,14,14,472,1,7714927043,7673667644,251965526,596011126,596011126,1,2,1,26224489544,73389,73389,14,14,14,596011126,10,1,3,649605,2474142,4178588,58927,7714927043,2422078,85819382,2118
1174828.74,1,253952,62,400982,26415782060,56,98664176,737,58,58,5488,191,1,675,2437231,31,109422,51,35,158511825,1359,1,1039,50,79,104,46,511,675,431,1039,59,90928951,10984405,7767376498,8,675,508,2,1,14,14,472,1,7763869224,7725268584,304912142,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,10,1,3,655118,2489670,4213867,59330,7763869224,2437231,86718717,2118
