timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
708683.69,1,253952,62,127929,8428297494,33,48201126,345,36,36,5429,134,675,991011,16,31796,34,33,142423502,1352,1,33,50,16,5,4766,675,31760330,3439634,2516286128,675,438,2,1,14,14,437,1,2517236528,2467615001,89101659,191192983,191209367,1,2,1,8412491252,73389,73389,14,14,14,191192983,9,3,554432,1015348,2207512,19224,2517236528,991011,29553968,2057
710687.41,1,253952,62,140248,9240148162,36,52421901,390,38,38,5429,136,675,1074892,16,35262,34,33,142942340,1352,1,33,52,16,5,4766,675,34860205,3650100,2754824122,675,438,2,1,14,14,437,1,2754607920,2705004851,96858477,209645624,209645624,1,2,1,9223686560,73389,73389,14,14,14,209629240,9,3,568649,1101034,2318472,21035,2754607920,1074892,32542998,2057
712690.76,1,253952,62,150359,9906498986,36,54301735,421,39,39,5429,138,675,1130684,16,38132,34,33,143207792,1352,1,33,53,16,5,4766,675,37192076,3652714,2949684472,675,438,2,1,14,14,437,1,2949118768,2899741719,100960465,224795174,224795174,1,2,1,9890266760,73389,73389,14,14,14,224778790,9,3,583077,1158169,2398799,22519,2949118768,1130684,34794627,2057
714695.87,1,253952,62,170842,11255715706,36,55317590,429,41,41,5429,142,675,1213304,16,43936,34,33,144004148,1352,1,33,55,16,5,4766,675,40953715,3657507,3342248573,675,438,2,1,14,14,437,1,3342568400,3294053285,108216598,255462914,255462914,1,2,1,11240368216,73389,73389,14,14,14,255462914,9,3,614862,1242748,2536227,25524,3342568400,1213304,38419002,2057
716701.85,1,253952,62,185311,12208999678,36,59363256,470,41,41,5429,144,675,1349352,16,47990,34,33,144269600,1352,1,33,55,16,5,4766,675,44947957,4437808,3620653290,675,438,2,1,14,14,437,1,3621358544,3572791055,118137092,277106117,277122501,1,2,1,12192669148,73389,73389,14,14,14,277106117,9,3,640388,1381334,2714198,27651,3621358544,1349352,42235417,2057
718708.19,1,253952,62,199647,13153567362,36,63336526,510,41,41,5429,146,675,1473559,16,52010,34,33,144535052,1352,1,33,55,16,5,4766,675,49013024,5202372,3897223534,675,438,2,1,14,14,437,1,3897396176,3848860885,126722394,298593672,298610056,1,2,1,13138121568,73389,73389,14,14,14,298593672,9,3,657536,1509657,2903712,29757,3897396176,1473559,46111109,2057
720717.86,1,253952,62,213563,14070609926,36,68687361,553,41,41,5429,149,675,1600595,16,55973,34,33,145065956,1352,1,33,55,16,5,4766,675,53029499,5765422,4163703772,675,438,2,1,14,14,437,1,4164914128,4116913817,137237511,319434059,319450443,1,2,1,14055098596,73389,73389,14,14,14,319434059,9,3,675315,1639124,3067422,31798,4164914128,1600595,49964028,2057
722722.21,1,253952,62,235031,15485234882,37,70184446,562,45,45,5429,152,675,1695658,16,61991,34,33,145596860,1352,1,33,59,16,5,4766,675,57098182,5834663,4578590494,675,438,2,1,14,14,437,1,4578053072,4530424363,146834767,351590584,351590584,1,2,1,15469985696,73389,73389,14,14,14,351590584,9,3,706201,1736425,3219519,34950,4578053072,1695658,53880792,2057
724727.61,1,253952,62,250318,16492658206,43,77280667,606,46,46,5429,155,675,1763951,16,66304,34,33,145862312,1352,1,33,60,16,5,4766,675,59968791,5853988,4873097875,675,438,2,1,14,14,437,1,4872702928,4824944250,164838184,374482845,374482845,1,2,1,16477245180,73389,73389,14,14,14,374482845,9,3,724247,1806345,3331911,37198,4872702928,1763951,56639134,2057
726735.23,1,253952,62,263656,17371555510,44,79657768,643,49,49,5429,157,675,1870324,16,70079,34,33,146393216,1352,1,33,63,16,5,4766,675,63372151,6384068,5128682281,675,438,2,1,14,14,437,1,5129472976,5081856053,171316657,394457039,394457039,1,2,1,17356109716,73389,73389,14,14,14,394457039,9,3,750834,1914830,3497616,39157,5129472976,1870324,59876914,2057
728740.00,1,253952,62,275739,18167674230,47,83813260,684,49,49,5429,159,675,1969308,16,73478,34,33,146658668,1352,1,33,63,16,5,4766,675,66318123,6631464,5364191379,675,438,2,1,14,14,437,1,5361994704,5314547686,178993802,412551391,412551391,1,2,1,18152261204,73389,73389,14,14,14,412551391,9,3,764598,2015607,3634685,40931,5361994704,1969308,62685919,2057
730748.75,1,253952,62,287542,18945016886,48,86106226,711,52,52,5429,161,675,2051605,16,76806,34,33,146924120,1352,1,33,66,16,5,4766,675,69422405,6965740,5589621497,675,438,2,1,14,14,437,1,5588228939,5541751122,184901317,430211567,430227951,1,2,1,18929308948,73389,73389,14,14,14,430211567,9,3,782187,2099697,3761346,42661,5588228939,2051605,65663710,2057
732755.69,1,253952,62,301724,19879226574,48,88342668,765,53,53,5429,163,675,2168938,16,80786,34,33,147189572,1352,1,33,67,16,5,4766,675,73443184,7721022,5862133799,675,438,2,1,14,14,437,1,5861514059,5814895384,192426960,451455521,451455521,1,2,1,19863322028,73389,73389,14,14,14,451439137,9,3,793072,2219350,3906480,44746,5861514059,2168938,69539504,2057
734760.38,1,253952,62,313904,20681508986,51,93431486,811,53,53,5429,166,675,2243011,16,84318,34,33,147720476,1352,1,33,67,16,5,4766,675,76682335,8136521,6097034819,675,438,2,1,14,14,437,1,6094984553,6049311453,201507677,469695170,469695170,1,2,1,20666587480,73389,73389,14,14,14,469695170,9,3,811928,2295111,4025019,46534,6094984553,2243011,72660246,2057
736773.45,1,253952,62,325559,21449554166,51,95088221,830,54,54,5429,168,675,2314237,16,87574,34,33,147985928,1352,1,33,68,16,5,4766,675,79428631,8274488,6319967618,675,438,2,1,14,14,437,1,6319641961,6273830599,206125742,487119937,487142354,1,2,1,21433277228,73389,73389,14,14,14,487119937,9,3,823137,2367872,4104744,48248,6319641961,2314237,75326924,2057
738779.67,1,253952,62,339015,22335794932,51,97060360,876,57,57,5429,171,675,2435717,16,91440,34,33,148516832,1352,1,33,71,16,5,4766,675,83438969,9034568,6579698048,675,438,2,1,14,14,437,1,6577795082,6532814129,213421062,507296772,507296772,1,2,1,22320337072,73389,73389,14,14,14,507280388,9,3,847049,2491550,4275834,50224,6577795082,2435717,79166308,2057
740784.40,1,253952,62,351321,23146793632,54,104048886,932,57,57,5429,173,675,2534736,16,94901,34,33,148782284,1352,1,33,71,16,5,4766,675,86853293,9712903,6817052126,675,438,2,1,14,14,437,1,6815035402,6769952176,225005982,525724837,525724837,1,2,1,23131171932,73389,73389,14,14,14,525708453,9,3,862919,2592473,4429090,52034,6815035402,2534736,82427489,2057
742790.71,1,253952,62,361358,23807868808,55,106614785,944,61,61,5429,176,675,2598900,16,97809,34,33,149578640,1352,1,33,75,16,5,4766,675,89238197,9893415,7006080632,675,438,2,1,14,14,437,1,7007443779,6963138265,230377386,540743315,540759699,1,2,1,23792705860,73389,73389,14,14,14,540743315,9,3,883392,2658206,4554073,53508,7007443779,2598900,84687506,2057
744801.35,1,253952,62,376883,24830889700,57,110405077,982,62,62,5429,178,675,2734980,16,102150,34,33,149844092,1352,1,33,76,16,5,4766,675,93437614,11219896,7308026287,675,438,2,1,14,14,437,1,7306287939,7262146866,240841958,564004216,564004216,1,2,1,24816185504,73389,73389,14,14,14,564004216,9,3,907414,2798166,4802217,55788,7306287939,2734980,88638934,2057
746811.30,1,253952,62,391012,25761006696,57,114630095,1022,62,62,5429,183,675,2862922,16,106281,34,33,150640448,1352,1,33,76,16,5,4766,675,97423079,12308517,7576949611,675,438,2,1,14,14,437,1,7576522945,7533963017,250479805,585147707,585147707,1,2,1,25746499108,73389,73389,14,14,14,585147707,9,3,943269,2928496,5027737,57865,7576522945,2862922,92399018,2057
