timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
402736.08,26,253952,62,244459,16104215122,22,44836601,1472,26,26,209,1616,14,837,2345386,0,16,95763,35,1154,165273235,1676,1,0,4,5037,303609251,10,1214372368,34,40,11,2803,837,0,0,144842667,5219156,5325262279,0,837,822,0,3,1,14,14,5669,3,1,5320795615,5091284723,194710683,308298145,308298145,1,3,1,16031503572,73389,73389,14,14,14,308298149,12,3,272339,2398813,3326630,44304,5320795615,2345386,141520880,5953
404749.69,35,253952,62,256356,16887800848,22,47049566,1580,27,27,209,1694,14,855,2465031,0,16,100428,35,1154,168584444,1712,1,0,4,5037,318351527,10,1273406108,34,41,11,2803,855,0,0,152104310,5543105,5600397725,0,855,838,0,3,1,14,14,5669,3,1,5595297730,5340362106,204475168,323218319,323218319,1,3,1,16807352620,73389,73389,14,14,14,323218323,12,3,281611,2521223,3488990,46597,5595297730,2465031,148620412,6013
406759.54,35,253952,62,267225,17603321188,23,49487910,1686,27,27,209,1760,14,855,2573991,0,16,104713,35,1154,168898160,1712,1,0,4,5037,331946028,10,1327784112,34,41,11,2803,855,0,0,159036334,5933801,5844118080,0,855,838,0,3,1,14,14,5669,3,1,5839961074,5566890078,214215633,336893753,336893753,1,3,1,17518475188,73389,73389,14,14,14,336893757,12,3,284511,2632713,3604815,48615,5839961074,2573991,155436837,6013
408769.16,37,253952,62,277694,18293793856,24,51541333,1780,28,28,209,1828,14,864,2687431,0,16,108825,35,1154,170979806,1730,1,0,4,5037,344932936,10,1379731744,34,42,11,2803,864,0,0,165680954,6321265,6087732309,0,864,847,0,3,1,14,14,5669,3,1,6082320037,5786201179,223267344,350050488,350050488,1,3,1,18202625408,73389,73389,14,14,14,350050492,12,3,289783,2748713,3720896,50632,6082320037,2687431,161965601,6047
410778.85,42,253952,62,287625,18948082748,24,52901143,1856,28,28,209,1893,14,864,2792746,0,16,112691,35,1154,171281456,1730,1,0,4,5037,357218841,10,1428681764,34,42,11,2803,864,0,0,172045383,6672657,6319560181,0,864,847,0,3,1,14,14,5669,3,1,6314206013,5994479693,231327298,362494963,362494963,1,3,1,18849738108,73389,73389,14,14,14,362494967,12,3,296509,2856390,3845521,52568,6314206013,2792746,168204613,6047
412788.11,42,253952,62,297467,19597166368,24,54265661,1938,28,28,209,1952,14,864,2895008,0,16,116547,35,1154,171281456,1730,1,0,4,5037,369435345,10,1477676620,34,42,11,2803,864,0,0,178380643,7006575,6548662448,0,864,847,0,3,1,14,14,5669,3,1,6543099612,6200485220,239346783,374869584,374869584,1,3,1,19493218400,73389,73389,14,14,14,374869588,12,3,304133,2961035,3974464,54462,6543099612,2895008,174412137,6047
414795.94,43,253952,62,307609,20265391950,24,55740049,2019,28,28,209,2019,15,864,2996875,0,16,120496,35,1154,171281456,1730,1,0,4,5037,381947634,10,1527790536,34,42,11,2803,864,0,0,184680952,7276463,6784032876,0,864,847,0,3,1,14,14,5669,3,1,6778392981,6412779989,247371952,387592587,387592587,1,3,1,20154814556,73389,73389,14,14,14,387592591,12,3,311862,3065301,4086268,56413,6778392981,2996875,180600843,6047
416806.14,43,253952,62,318473,20981187910,24,56852948,2114,28,28,209,2089,15,918,3107512,0,16,124740,35,1154,180728775,1838,1,0,4,5037,395411924,10,1581583032,34,42,11,2803,918,0,0,191469467,7447283,7036475867,0,918,911,0,3,1,14,14,5669,3,1,7030745352,6640157134,255429061,401230935,401230935,1,3,1,20862304716,73389,73389,14,14,14,401198171,12,3,316153,3178604,4208781,58512,7030745352,3107512,187276218,6240
418812.97,44,253952,62,329706,21720740670,24,57849168,2197,29,29,209,2159,15,936,3228159,2,16,129115,35,1154,184295904,1874,1,0,4,5037,409325935,10,1637109724,34,43,11,2803,936,0,0,198842441,7854688,7295887550,0,934,937,2,3,1,14,14,5669,3,1,7289397621,6875068305,264165071,415311651,415311651,1,3,1,21596205884,73389,73389,14,14,14,415311655,12,3,322563,3302136,4350335,60670,7289397621,3228159,194498736,6311
420826.00,47,253952,62,340876,22456892296,24,59982649,2281,29,29,209,2228,15,936,3351887,2,16,133447,35,1154,184295904,1874,1,0,4,5037,423062976,10,1692122932,34,43,11,2803,936,0,0,206175319,8301376,7561635722,0,934,937,2,3,1,14,14,5669,3,1,7554912153,7109606710,274055209,429291904,429291904,1,3,1,22323179040,73389,73389,14,14,14,429291908,12,3,329210,3428755,4497152,62879,7554912153,3351887,201685028,6311
422840.46,48,253952,62,352111,23195996960,24,62508437,2366,29,29,209,2302,15,963,3486934,2,16,137831,35,1154,189011001,1928,1,0,4,5037,436939883,10,1747759532,34,43,11,2803,963,0,0,213511708,8681004,7822443611,0,961,974,2,3,1,14,14,5669,3,1,7815753436,7344321631,284266580,443335978,443385130,1,3,1,23053470888,73389,73389,14,14,14,443335982,12,3,335982,3566635,4653096,65061,7815753436,3486934,208865696,6432
424847.02,48,253952,62,363303,23934809044,24,64889397,2455,29,29,209,2374,15,990,3618811,2,16,142213,35,1154,194146943,1982,1,0,4,5037,450827145,10,1803244224,34,43,11,2803,990,0,0,220856727,9096048,8091046432,0,988,1001,2,3,1,14,14,5669,3,1,8084265640,7579685242,294377087,457405899,457405899,1,3,1,23785106780,73389,73389,14,14,14,457405903,12,3,342141,3701422,4812707,67295,8084265640,3618811,216051341,6535
426860.32,49,253952,62,375191,24718027584,24,67404483,2531,29,29,209,2450,15,1125,3743250,2,16,146822,35,1154,217209516,2252,1,0,4,5037,465452550,10,1861810200,34,43,11,2803,1125,0,0,228125688,9379510,8374155048,0,1123,1167,2,3,1,14,14,5669,3,1,8368237381,7829478030,304388610,472238120,472270888,1,3,1,24556382272,73389,73389,14,14,14,472238124,12,3,348942,3828721,4969340,69657,8368237381,3743250,223163914,7041
428873.11,52,253952,62,387369,25519665650,24,69234594,2625,29,29,209,2522,15,1359,3872694,2,16,151546,35,1154,258764365,2720,1,0,4,5037,480433445,10,1921669052,34,43,11,2803,1359,0,0,235799514,9961769,8667491524,0,1357,1452,2,3,1,14,14,5669,3,1,8659681178,8084884827,314482956,487495240,487495240,1,3,1,25349752512,73389,73389,14,14,14,487495244,12,3,360509,3961233,5163845,72058,8659681178,3872694,230643496,7921
430882.38,54,253952,62,399114,26293826258,24,70941676,2724,29,29,209,2604,19,1395,4006218,2,16,156113,35,1154,267445427,2792,1,0,4,5037,494904548,10,1979618192,34,43,11,2803,1395,0,0,243412253,10485203,8956196846,0,1393,1492,2,3,1,14,14,5669,3,1,8948275010,8332234330,324295989,502161462,502161462,1,3,1,26112396056,73389,73389,14,14,14,502161466,12,3,370664,4097863,5329292,74447,8948275010,4006218,238091034,8046
432887.45,54,253952,62,408589,26918592714,27,74724602,2781,29,29,209,2659,19,1395,4072636,2,16,159740,35,1154,268362443,2792,1,0,4,5037,506541928,10,2026103192,34,43,11,2803,1395,0,0,247958490,10493450,9181363587,0,1393,1492,2,3,1,14,14,5669,3,1,9173256202,8530944457,332630130,514046722,514046722,1,3,1,26730429576,73389,73389,14,14,14,514046726,12,3,374911,4166043,5402198,76322,9173256202,4072636,242564554,8046
434896.73,54,253952,62,418588,27577362186,27,75479729,2872,31,31,209,2724,19,1395,4167484,2,16,163692,35,1154,268386575,2792,1,0,4,5037,518957299,10,2075764560,34,45,11,2803,1395,0,0,254209860,10782398,9426181512,0,1393,1492,2,3,1,14,14,5669,3,1,9417869717,8741131424,339879838,526523965,526540349,1,3,1,27379246212,73389,73389,14,14,14,526523969,12,3,394885,4263246,5561339,78354,9417869717,4167484,248656989,8046
436909.42,56,253952,62,429422,28290564634,27,76309146,2973,32,32,209,2790,25,1395,4278050,2,16,167896,35,1154,270268871,2792,1,0,4,5037,532278383,10,2129049016,34,46,11,2803,1395,0,0,261107926,11244812,9689432525,0,1393,1492,2,3,1,14,14,5669,3,1,9681941566,8968673289,348023845,540051943,540051943,1,3,1,28081849100,73389,73389,14,14,14,540035563,12,3,403937,4376396,5719764,80531,9681941566,4278050,255395866,8046
438919.37,58,253952,62,441246,29068937306,27,79033441,3064,32,32,209,2868,25,1395,4402624,2,16,172480,35,1154,271185887,2792,1,0,4,5037,546808571,10,2187234284,34,46,11,2803,1395,0,0,268489667,11704982,9984150021,0,1393,1492,2,3,1,14,14,5669,3,1,9975758748,9217440000,358526353,554790178,554790178,1,3,1,28849089288,73389,73389,14,14,14,554790182,12,3,411495,4503857,5886157,82956,9975758748,4402624,262612465,8046
440924.71,58,253952,62,452263,29796003072,27,80411524,3134,32,32,209,2935,25,1395,4505979,2,16,176746,35,1154,271511669,2792,1,0,4,5037,560375534,10,2241502136,34,46,11,2803,1395,0,0,274834418,12052454,10255602374,0,1393,1492,2,3,1,14,14,5669,3,1,10246594114,9449266586,366644844,568583730,568583730,1,3,1,29566353992,73389,73389,14,14,14,568583734,12,3,416486,4609667,6006275,85184,10246594114,4505979,268837327,8046
442934.99,58,253952,62,461540,30406840186,30,84423404,3197,34,34,209,2992,25,1395,4577939,2,16,180360,35,1154,271523735,2792,1,0,4,5037,571826758,10,2287177936,34,48,11,2803,1395,0,0,279342978,12113892,10478838605,0,1393,1492,2,3,1,14,14,5669,3,1,10469910120,9644151174,375223012,580180555,580180555,1,3,1,30169388892,73389,73389,14,14,14,580180559,12,3,431994,4683358,6113396,87024,10469910120,4577939,273238961,8046
444939.86,59,253952,62,471129,31037605694,32,87041577,3263,34,34,209,3056,25,1395,4652298,2,16,184028,35,1154,272199431,2792,1,0,4,5037,583475351,10,2333901404,34,48,11,2803,1395,0,0,283878544,12194013,10712015851,0,1393,1492,2,3,1,14,14,5669,3,1,10703038241,9846020818,382446415,592092994,592092994,1,3,1,30788835720,73389,73389,14,14,14,592092998,12,3,437968,4759565,6219304,88956,10703038241,4652298,277668809,8046
446425.96,59,253952,62,477391,31451094498,32,87673380,3319,38,38,209,3127,1504,1395,4700445,2,16,186584,42,1154,280420722,2799,1,1228,4,5037,591599349,10,2366397396,41,59,34,2840,1395,1228,133,287566713,12335721,10853839906,8,1393,1492,2,3,1,14,14,5669,3,1,10844200932,9976307551,452716795,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,12,3,449822,4808961,6297156,90087,10844200932,4700445,281279263,8046
