timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1118477.12,253952,62,176767,11645874670,44,56661901,285,48,48,5893,143,675,959105,9,21,45608,54,120,144004148,1352,1,53,62,3,14,243,675,37100151,2573613,3457431357,666,220,9,8,1,2,1,14,14,295,1,3456601040,3408132882,333993652,264327929,264344313,1,2,1,11630428876,73389,73389,14,14,14,264327929,7,3,607692,979531,2108020,26394,3456601040,959105,34993591,1348
1120481.17,253952,62,189428,12480404102,46,60498475,338,49,49,5893,145,675,1055306,9,21,49167,54,120,144535052,1352,1,53,63,3,14,243,675,40682617,3044492,3701224367,666,220,9,8,1,2,1,14,14,295,1,3700526032,3652043821,342334671,283294507,283294507,1,2,1,12464237412,73389,73389,14,14,14,283278123,7,3,608245,1077745,2214156,28255,3700526032,1055306,38470130,1348
1122490.09,253952,62,199756,13160710786,47,63151976,367,49,49,5893,146,675,1114388,9,21,52042,54,120,144535052,1352,1,53,63,3,14,243,675,43019030,3045034,3899365157,666,220,9,8,1,2,1,14,14,295,1,3899362256,3850940016,347334116,298757512,298757512,1,2,1,13145330528,73389,73389,14,14,14,298757512,7,3,613138,1138143,2290058,29772,3899362256,1114388,40730728,1348
1124494.75,253952,62,213165,14044526598,47,65249669,423,51,51,5893,148,675,1210912,9,21,55806,54,120,145065956,1352,1,53,65,3,14,243,675,46748084,3327326,4157315056,666,220,9,8,1,2,1,14,14,295,1,4157443024,4109279665,353637582,318844235,318844235,1,2,1,14029146340,73389,73389,14,14,14,318844235,7,3,618944,1236744,2444825,31741,4157443024,1210912,44305151,1348
1126500.21,253952,62,222639,14668865538,49,69087906,452,51,51,5893,150,675,1261612,9,21,58552,54,120,145331408,1352,1,53,65,3,14,243,675,48942711,3332299,4339987877,666,220,9,8,1,2,1,14,14,295,1,4339764176,4291829141,359716820,333021096,333037480,1,2,1,14652928224,73389,73389,14,14,14,333021096,7,3,621222,1288657,2509696,33133,4339895248,1261676,46434995,1348
1128507.18,253952,62,232950,15348058110,49,70726332,492,53,53,5893,152,675,1328513,9,21,61426,54,120,145596860,1352,1,53,67,3,14,243,675,51365379,3370067,4536156199,666,220,9,8,1,2,1,14,14,295,1,4537945040,4490283702,363872008,348475909,348475909,1,2,1,15332939996,73389,73389,14,14,14,348475909,7,3,628472,1356830,2592731,34644,4537945040,1328513,48774713,1348
1130521.76,253952,62,250922,16532507402,49,72010389,518,58,58,5893,155,675,1425408,9,21,66491,54,120,146127764,1352,1,53,72,3,14,243,675,55427727,3726802,4883124661,666,220,9,8,1,2,1,14,14,295,1,4884499408,4836618814,372858437,375373614,375389998,1,2,1,16516439016,73389,73389,14,14,14,375373614,7,3,643403,1455960,2728220,37288,4884499408,1425408,52701732,1348
1132528.13,253952,62,264442,17423332258,55,79400001,552,58,58,5893,157,675,1547983,9,21,70287,54,120,146393216,1352,1,53,72,3,14,243,675,59412593,4166959,5145935648,666,220,9,8,1,2,1,14,14,295,1,5144415184,5096944861,388950657,395626336,395642720,1,2,1,17407558784,73389,73389,14,14,14,395626336,7,3,649762,1580902,2856861,39271,5144415184,1547983,56558097,1348
1134539.40,253952,62,279111,18389723430,55,81221341,595,60,60,5893,159,675,1681202,9,21,74399,54,120,146658668,1352,1,53,74,3,14,243,675,63700593,4804207,5426166199,666,220,9,8,1,2,1,14,14,295,1,5426744272,5379420411,396349891,417589027,417605411,1,2,1,18373917188,73389,73389,14,14,14,417589027,7,3,662948,1716533,3038762,41425,5426744272,1681202,60663636,1348
1136544.57,253952,62,289846,19096808186,58,86317237,641,60,60,5893,161,675,1769249,9,21,77461,54,120,146924120,1352,1,53,74,3,14,243,675,66752350,5092432,5634158749,666,220,9,8,1,2,1,14,14,295,1,5632793419,5586168909,405009450,433670306,433670306,1,2,1,19081493464,73389,73389,14,14,14,433670306,7,3,664793,1806204,3135307,43001,5632793419,1769249,63619658,1348
1138547.96,253952,62,307362,20250842158,58,88893001,648,65,65,5893,164,675,1836175,9,21,82379,54,120,147455024,1352,1,53,79,3,14,243,675,70062809,5092505,5969851589,666,220,9,8,1,2,1,14,14,295,1,5970172747,5923507010,412442729,459900585,459900585,1,2,1,20235625740,73389,73389,14,14,14,459900585,7,3,678047,1874816,3247494,45575,5970172747,1836175,66818131,1348
1140551.90,253952,62,326048,21481625402,58,88893001,648,69,69,5893,168,675,1903887,9,21,87695,54,120,147985928,1352,1,53,83,3,14,243,675,73958680,5092631,6328267115,666,220,9,8,1,2,1,14,14,295,1,6329210217,6283203547,418758291,487879634,487879634,1,2,1,21465983000,73389,73389,14,14,14,487863250,7,3,682091,1944396,3329847,48321,6329210217,1903887,70631811,1348
1142555.62,253952,62,344377,22689322580,58,88893001,648,69,69,5893,172,675,1968597,9,21,92956,54,120,148782284,1352,1,53,83,3,14,243,675,77747230,5092671,6680951494,666,220,9,8,1,2,1,14,14,295,1,6681341962,6636155249,424793296,515332236,515332236,1,2,1,22674618384,73389,73389,14,14,14,515332236,7,3,684908,2011001,3430290,51014,6681341962,1968597,74320086,1348
1144559.70,253952,62,362188,23862529140,58,88893001,648,69,69,5893,176,675,2032835,9,21,98032,54,120,149578640,1352,1,53,83,3,14,243,675,81450633,5092843,7024516676,666,220,9,8,1,2,1,14,14,295,1,7023565635,6979128202,430729954,541994532,541994532,1,2,1,23847759408,73389,73389,14,14,14,541994532,7,3,687538,2077089,3506536,53631,7023565635,2032835,77947409,1348
1146563.31,253952,62,380474,25067291284,58,88893001,648,69,69,5893,179,675,2101205,9,21,103183,54,120,149844092,1352,1,53,83,3,14,243,675,85150036,5093096,7375165383,666,220,9,8,1,2,1,14,14,295,1,7375625027,7331236531,436632266,569377724,569377724,1,2,1,25052619856,73389,73389,14,14,14,569377724,7,3,691349,2147294,3613119,56317,7375625027,2101205,81540395,1348
1148580.75,253952,62,398150,26230408608,58,88893001,656,69,69,5893,185,675,2174864,9,21,108328,54,120,151171352,1352,1,53,83,3,14,243,675,88999873,5269183,7710692457,666,220,9,8,1,2,1,14,14,295,1,7712698819,7671154794,493533968,595808485,595824869,1,2,1,26215573340,73389,73389,14,14,14,595808485,7,3,702736,2222809,3724325,58910,7712698819,2174864,85279190,1348
