timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
607893.31,11,253952,62,158644,10449983584,12,26459470,0,857,18,18,3438,1068,3,594,1262954,0,8,62399,12,119855639,1190,1,1081,0,4,5078,197824802,7,791243076,11,32,4,5496,594,1081,12,0,0,83263661,1638726,3334920444,0,594,757,0,3,1,14,14,5655,3,3332787067,3293663703,111298785,200715961,200732345,1,3,1,10437230004,73389,73389,14,14,14,200715965,10,3,165034,1293659,1797200,27683,3332787067,1262954,81469570,2347
609900.28,12,253952,62,176269,11613501784,12,27962358,0,948,18,18,3438,1178,7,594,1427487,0,8,69353,12,120483071,1190,1,1081,0,4,5078,219869366,7,879412864,11,32,4,5496,594,1081,12,0,0,93391869,2077343,3706343454,0,594,757,0,3,1,14,14,5655,3,3703840285,3660472791,123355776,223070980,223087364,1,3,1,11599690992,73389,73389,14,14,14,223070984,10,3,180870,1462159,2013561,30760,3703840285,1427487,91381796,2347
611907.69,12,253952,62,194114,12790267502,12,29696234,0,1045,18,18,3438,1299,7,594,1590499,0,8,76375,12,120483071,1190,1,1081,0,4,5078,242111782,7,968382528,11,32,4,5496,594,1081,12,0,0,103427529,2386981,4079633241,0,594,757,0,3,1,14,14,5655,3,4077142200,4031316506,135416821,245647627,245664011,1,3,1,12773676636,73389,73389,14,14,14,245647631,10,3,188098,1628908,2210807,33866,4077142200,1590499,101220566,2347
613918.10,13,253952,62,212676,14012333292,12,30997211,0,1167,18,18,3438,1422,7,594,1760144,0,8,83674,12,120483071,1190,1,1081,0,4,5078,265267133,7,1061003956,11,32,4,5496,594,1081,12,0,0,113900336,2713286,4467882879,0,594,757,0,3,1,14,14,5655,3,4463864782,4416531154,147490456,269152573,269152573,1,3,1,13995933828,73389,73389,14,14,14,269152577,10,3,198674,1802516,2433340,37076,4463864782,1760144,111471220,2347
615923.39,16,253952,62,231330,15240838638,12,32038836,0,1291,18,18,3438,1536,8,594,1932084,0,8,90994,12,120483071,1190,1,1081,0,4,5078,288519059,7,1154011496,11,32,4,5496,594,1081,12,0,0,124379107,3085381,4862036028,0,594,757,0,3,1,14,14,5655,3,4858840210,4803868701,159352622,292737280,292737280,1,3,1,15222338592,73389,73389,14,14,14,292737284,10,3,207593,1978430,2647336,40353,4858840210,1932084,121736373,2347
617928.59,16,253952,62,245151,16152922212,15,35759447,0,1363,18,18,3438,1630,10,594,2018876,0,8,96380,12,120483071,1190,1,1081,0,4,5078,305712397,7,1222784984,11,32,4,5496,594,1081,12,0,0,130510737,3085546,5157435702,0,594,757,0,3,1,14,14,5655,3,5152798401,5091451633,169200295,310241364,310241364,1,3,1,16132550960,73389,73389,14,14,14,310241368,10,3,224299,2067511,2780179,42798,5152798401,2018876,127735407,2347
619933.06,17,253952,62,258904,17058094490,16,37974697,0,1414,20,20,3438,1714,10,612,2111062,0,8,101818,12,123480857,1226,1,1081,0,4,5078,322838266,7,1291288508,11,34,4,5496,612,1081,12,0,0,136834669,3100541,5447537781,0,612,770,0,3,1,14,14,5655,3,5443035731,5376977796,177733390,327610946,327610946,1,3,1,17035769224,73389,73389,14,14,14,327610950,10,3,243430,2162027,2928848,45196,5443035731,2111062,133910932,2396
621938.07,17,253952,62,273317,18006906640,16,39467496,0,1470,20,20,3438,1811,10,630,2205436,0,8,107470,12,126734517,1262,1,1081,0,4,5078,340737709,7,1362950836,11,34,4,5496,630,1081,12,0,0,143325503,3100883,5754304345,0,630,780,0,3,1,14,14,5655,3,5749272789,5676212298,185738915,345830337,345830337,1,3,1,17983177556,73389,73389,14,14,14,345830341,10,3,252755,2258906,3062415,47744,5749272789,2205436,140268465,2447
623943.52,17,253952,62,287217,18922550714,18,42275122,0,1556,22,22,3438,1898,10,639,2303189,0,8,112883,12,128489639,1280,1,1081,0,4,5078,357959004,7,1431771428,11,36,4,5496,639,1081,12,0,0,149802800,3127839,6050494894,0,639,784,0,3,1,14,14,5655,3,6045726171,5965151156,195043848,363394368,363394368,1,3,1,18896507168,73389,73389,14,14,14,363394372,10,3,270617,2359094,3202349,50202,6045726171,2303189,146606085,2471
625953.04,19,253952,62,302954,19958758062,19,44379944,0,1646,25,25,3438,1998,10,666,2426971,2,8,119146,12,132872573,1334,1,1081,0,4,5078,377757354,7,1510900548,11,39,4,5496,666,1081,12,0,0,157944442,3221782,6394895564,0,664,817,2,3,1,14,14,5655,3,6389824417,6292150913,205383587,383262066,383262066,1,3,1,19929627464,73389,73389,14,14,14,383262070,10,3,284378,2485941,3361949,53074,6389824417,2426971,154588179,2569
627957.75,20,253952,62,318804,21003014150,21,47939879,0,1744,25,25,3438,2101,10,675,2543694,4,8,125324,12,134627893,1352,1,1081,0,4,5078,397423837,7,1589695348,11,39,4,5496,675,1081,12,0,0,165688633,3286966,6736294205,0,671,828,4,3,1,14,14,5655,3,6731423253,6622376832,216742994,403258677,403258677,1,3,1,20969451236,73389,73389,14,14,14,403258681,10,3,295599,2605511,3517691,55915,6731423253,2543694,162177187,2597
629962.72,23,253952,62,332051,21874286114,22,49703657,0,1830,27,27,3438,2186,10,702,2632598,4,8,130537,12,139437184,1406,1,1081,0,4,5078,413899354,7,1655532904,11,41,4,5496,702,1081,12,0,0,171637688,3295584,7028191935,0,698,843,4,3,1,14,14,5655,3,7022330603,6897807642,224458594,419935172,419935172,1,3,1,21836628976,73389,73389,14,14,14,419935176,10,3,310735,2696681,3630651,58346,7022330603,2632598,168013520,2677
631967.36,23,253952,62,344511,22695756366,24,52832023,0,1915,28,28,3438,2262,10,711,2714444,4,8,135428,12,140936018,1424,1,1081,0,4,5078,429368704,7,1717474816,11,42,4,5496,711,1081,12,0,0,177093688,3296710,7304394471,0,707,851,4,3,1,14,14,5655,3,7297895422,7157694600,233043727,435643493,435659877,1,3,1,22653461668,73389,73389,14,14,14,435643497,10,3,320071,2780669,3738557,60647,7297895422,2714444,173361849,2708
633975.87,25,253952,62,357403,23544809248,25,54716929,0,1989,30,30,3438,2346,10,720,2810006,4,8,140472,12,142434558,1442,1,1081,0,4,5078,445334522,7,1781338088,11,44,4,5496,720,1081,12,0,0,182930846,3308991,7589342181,0,716,854,4,3,1,14,14,5655,3,7583262700,7426507937,240777657,451835586,451884738,1,3,1,23495450504,73389,73389,14,14,14,451835590,10,3,335083,2878515,3880475,63028,7583262700,2810006,179057334,2730
635987.42,25,253952,62,373638,24616068622,25,56693559,0,2056,30,30,3438,2450,10,729,2955406,4,8,146848,12,144276256,1460,1,1081,0,4,5078,465562961,7,1862187340,11,44,4,5496,729,1081,12,0,0,191119844,3461061,7950191078,0,725,861,4,3,1,14,14,5655,3,7943798188,7766104307,251100878,472335339,472335339,1,3,1,24561437660,73389,73389,14,14,14,472335343,10,3,339828,3027216,4053921,66018,7943798188,2955406,187073211,2767
637992.43,30,253952,62,393115,25898156508,26,58333313,0,2156,32,32,3438,2574,10,801,3123440,4,8,154419,13,156835615,1604,1,1081,0,4,5078,489623612,7,1958429856,12,46,4,5507,801,1081,12,0,0,200469828,3618775,8396261245,0,797,919,4,3,1,14,14,5655,3,8390144975,8173174924,262241337,496772014,496772014,1,3,1,25832144760,73389,73389,14,14,14,496772018,10,3,350019,3199137,4255732,69725,8390144975,3123440,196221760,3008
640005.36,31,253952,62,409216,26959158576,29,61876695,0,2240,35,35,3438,2674,11,927,3229012,4,8,160721,13,178456701,1856,1,1081,0,4,5078,509532931,7,2038067144,12,49,4,5507,927,1081,12,0,0,207565547,3661335,8769516269,0,923,1001,4,3,1,14,14,5655,3,8762351320,8510212627,272908229,516995842,516995842,1,3,1,26882931848,73389,73389,14,14,14,516979462,10,3,368962,3307513,4407389,72809,8762351320,3229012,203166107,3367
642013.22,34,253952,62,429518,28295058256,29,63360612,0,2354,35,35,3438,2806,11,1404,3405006,4,8,168588,13,260839876,2810,1,1081,0,4,5078,534461898,7,2137782948,12,49,4,5507,1404,1081,12,0,0,218070706,3791759,9266825868,0,1400,1477,4,3,1,14,14,5655,3,9259137016,8937287486,284995570,542282326,542282326,1,3,1,28198680984,73389,73389,14,14,14,542282330,10,3,385052,3487803,4609039,76923,9259137016,3405006,213470012,5019
644021.17,35,253952,62,449212,29593904988,30,65949469,0,2458,36,36,3438,2924,12,1440,3567963,4,8,176239,13,270226929,2882,1,1081,0,4,5078,558733364,7,2234933456,12,50,4,5507,1440,1081,12,0,0,228440959,3972925,9745960495,0,1436,1511,4,3,1,14,14,5655,3,9738020311,9351544702,298017387,566916880,566916880,1,3,1,29478825824,73389,73389,14,14,14,566900500,10,3,392057,3655145,4816683,80876,9738020311,3567963,223633009,5142
646032.78,44,253952,62,468288,30851466182,30,67761983,0,2554,36,36,3438,3046,13,1440,3733053,4,8,183645,13,272422941,2882,1,1081,0,4,5078,582237616,7,2328885792,12,50,4,5507,1440,1081,12,0,0,238445031,4189535,10214901974,0,1436,1511,4,3,1,14,14,5655,3,10206986933,9753367508,310093559,590722327,590722327,1,3,1,30717561036,73389,73389,14,14,14,590722331,10,3,398742,3824453,5010775,84769,10206986933,3733053,233443359,5142
646881.94,45,253952,62,475681,31337604150,32,68586432,2,2587,37,37,3438,3127,13,1440,3793181,4,8,186584,18,280680430,2889,1,1081,1228,4,5078,591599349,7,2366397396,17,58,12,5679,1440,1081,12,1228,116,242660697,4274828,10386322366,8,1436,1511,4,3,1,14,14,5655,3,10377201664,9906902133,374379815,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,10,3,399238,3886190,5086944,86143,10377201664,3793181,237583022,5142
