timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
639523.68,14,253952,62,319535,21052801052,28,50835621,0,1767,33,33,3536,2110,24,612,2379217,0,6,125737,21,100,123737479,1226,1,0,4,1410,398636056,10,1594544224,20,47,11,3658,612,0,0,0,158437265,3348303,6694284243,0,612,538,0,3,1,14,14,1988,0,3,6689984841,6633222865,212372160,404489636,404522404,1,3,1,0,21032609136,73389,73389,14,14,14,404473256,9,3,384528,2435744,3420285,55496,6689984841,2379217,155023149,1958
641539.83,18,253952,62,339802,22389175780,28,52319841,0,1858,34,34,3536,2237,24,612,2543799,0,6,133736,21,100,123737479,1226,1,0,4,1410,424023915,10,1696095660,20,48,11,3658,612,0,0,0,168728504,3499081,7123309277,0,612,538,0,3,1,14,14,1988,0,3,7117560819,7054645685,224288040,430172766,430172766,1,3,1,0,22368983864,73389,73389,14,14,14,430172770,9,3,396934,2605899,3625118,59031,7117560819,2543799,165109955,1958
643558.43,26,253952,62,360424,23747051644,28,53603548,0,1964,34,34,3536,2369,25,648,2721326,0,6,141820,21,100,130057528,1298,1,0,4,1410,449647764,10,1798591056,20,48,11,3658,648,0,0,0,179408841,3642729,7568807729,0,648,567,0,3,1,14,14,1988,0,3,7562525311,7483931424,236396336,456177543,456177543,1,3,1,0,23721232268,73389,73389,14,14,14,456177547,9,3,403292,2787425,3829746,62731,7562525311,2721326,175586085,2080
645566.30,27,253952,62,379494,25002264930,28,55420915,0,2062,34,34,3536,2489,25,675,2898544,0,6,149288,21,100,134891426,1352,1,0,4,1410,473347891,10,1893327236,20,48,11,3658,675,0,0,0,189429026,3859384,7984657328,0,675,600,0,3,1,14,14,1988,0,3,7979055957,7880439269,248445785,480217128,480233512,1,3,1,0,24971290688,73389,73389,14,14,14,480217132,9,3,406827,2968418,4027382,66187,7979055957,2898544,185409011,2178
647571.74,32,253952,62,398365,26246689220,28,56874904,0,2140,34,34,3536,2610,26,693,3050433,2,6,156656,21,100,138145770,1388,1,0,4,1410,496749013,10,1986996052,20,48,11,3658,693,0,0,0,198476642,3936115,8411353496,0,691,618,2,3,1,14,14,1988,0,3,8406054906,8274985178,258936405,503966946,503966946,1,3,1,0,26206281224,73389,73389,14,14,14,503966950,9,3,415882,3123694,4219144,69736,8406054906,3050433,194265206,2237
649578.80,38,253952,62,415610,27381021720,31,60479210,0,2216,37,37,3536,2717,27,747,3174764,4,6,163359,21,100,147502997,1496,1,0,4,1410,517967590,10,2071805796,20,51,11,3658,747,0,0,0,205995329,3996064,8819234887,0,743,657,4,3,1,14,14,1988,0,3,8812737598,8636762328,270179030,525487713,525504097,1,3,1,0,27325361108,73389,73389,14,14,14,525487717,9,3,438640,3250960,4398731,73126,8812737598,3174764,201604586,2430
651591.88,39,253952,62,436916,28785282254,31,61322744,0,2363,37,37,3536,2853,27,999,3364580,6,6,171669,21,100,191196967,2000,1,0,4,1410,544269505,10,2177013368,20,51,11,3658,999,0,0,0,216977123,4202841,9318740404,0,993,904,6,3,1,14,14,1988,0,3,9311818948,9083523488,282203957,552194399,552210783,1,3,1,0,28714108780,73389,73389,14,14,14,552194403,9,3,447204,3445115,4627977,77292,9311818948,3364580,212357546,3303
653602.19,51,253952,62,455191,29989159654,33,64012395,0,2492,39,39,3536,2971,27,1242,3523805,6,6,178778,21,100,234941306,2486,1,0,4,1410,566775190,10,2267100760,20,53,11,3658,1242,0,0,0,226780259,4390982,9757310883,0,1236,1186,6,3,1,14,14,1988,0,3,9749514484,9467335117,294867468,575056681,575056681,1,3,1,0,29902947444,73389,73389,14,14,14,575056685,9,3,464692,3608058,4826546,80945,9749514484,3523805,221962475,4151
655606.97,51,253952,62,469216,30913104322,36,68103138,0,2571,39,39,3536,3053,27,1413,3613112,6,6,184155,21,100,265048799,2828,1,0,4,1410,583898470,10,2335593880,20,53,11,3658,1413,0,0,0,232681403,4396889,10096148724,0,1407,1316,6,3,1,14,14,1988,0,3,10087339384,9762256934,304859830,592571560,592571560,1,3,1,0,30813721152,73389,73389,14,14,14,592571564,9,3,472398,3699592,4928546,83726,10087339384,3613112,227761009,4612
656444.34,51,253952,62,475146,31302530324,38,68300593,2,2602,48,48,3536,3130,28,1458,3653070,6,6,186584,31,100,280405024,2925,1,1228,4,1410,591599349,10,2366397396,30,69,24,3709,1458,1,1228,105,235950906,4447395,10227998880,8,1452,1344,6,3,1,14,14,1988,57060465,3,10219061769,9885200962,422595034,600037902,600037902,1,3,1,57060465,31201970936,73389,73389,14,14,14,600037906,9,3,501496,3740603,5042377,84787,10219061769,3653070,230917636,4737
