timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
181814.71,253952,62,149006,9817297874,31,49566166,323,37,37,6908,138,675,981148,39,37763,36,153,143207792,1352,1,626,35,51,12,2136,675,626,7,33990106,8689579,2921703222,675,478,2,1,14,14,404,1,2923166512,2873689550,101957059,222767876,222767876,1,2,1,9801786544,73389,73389,14,14,14,222767876,9,3,560020,1001032,2266324,22321,2923166512,981148,31725093,2279
183819.02,253952,62,163500,10771895874,34,54735137,363,37,37,6908,140,675,1068921,39,41820,36,153,143738696,1352,1,626,35,51,12,2136,675,626,7,37359412,9435568,3202036765,675,478,2,1,14,14,404,1,3201272784,3152629668,112050572,244466264,244466264,1,2,1,10756515616,73389,73389,14,14,14,244466264,9,3,568209,1090648,2390835,24446,3201272784,1068921,34970022,2279
185823.33,253952,62,174286,11482483498,35,57465092,393,37,37,6908,142,675,1128019,39,44873,36,153,144004148,1352,1,626,35,51,12,2136,675,626,7,39706716,9436917,3409091512,675,478,2,1,14,14,404,1,3408759760,3360341317,117148930,260615238,260615238,1,2,1,11467070472,73389,73389,14,14,14,260615238,9,3,573518,1151083,2478584,26029,3408759760,1128019,37229666,2279
187837.13,253952,62,187843,12375733186,35,58742564,418,40,40,6908,144,675,1213542,39,48681,36,153,144269600,1352,1,626,35,54,12,2136,675,626,7,42824189,10175786,3668470713,675,478,2,1,14,14,404,1,3669986256,3621482340,122708853,280908920,280925304,1,2,1,12359992480,73389,73389,14,14,14,280908920,9,3,585998,1238377,2601469,28022,3669986256,1213542,40224376,2279
189841.77,253952,62,202898,13367952158,35,61622201,459,40,40,6908,147,675,1330502,39,52996,36,153,144800504,1352,1,626,35,54,12,2136,675,626,7,46542189,11454866,3956305087,675,478,2,1,14,14,404,1,3959786448,3911488382,131814801,303465309,303465309,1,2,1,13352473596,73389,73389,14,14,14,303465309,9,3,596117,1357347,2747619,30233,3959786448,1330502,43796354,2279
191848.80,253952,62,214012,14100301042,38,66348951,479,41,41,6908,149,675,1386104,39,56093,36,153,145065956,1352,1,626,35,55,12,2136,675,626,7,48880225,11474775,4174110240,675,478,2,1,14,14,404,1,4173695952,4125605351,138944725,320111836,320111836,1,2,1,14084920784,73389,73389,14,14,14,320111836,9,3,600695,1414169,2809395,31865,4173695952,1386104,46072717,2279
193855.82,253952,62,229991,15153340730,39,68689534,518,43,43,6908,151,675,1513593,39,60563,36,153,145596860,1352,1,626,35,57,12,2136,675,626,7,52890188,12326294,4481503533,675,478,2,1,14,14,404,1,4481059792,4433379930,146824084,344034130,344050514,1,2,1,15137501720,73389,73389,14,14,14,344034130,9,3,611747,1543941,2980422,34210,4481059792,1513593,49911824,2279
195866.83,253952,62,245011,16142735038,39,73402242,563,44,44,6908,154,675,1627252,39,64838,36,153,145862312,1352,1,626,35,58,12,2136,675,626,7,56806094,13111616,4768039123,675,478,2,1,14,14,404,1,4770335696,4722634212,155237573,366529301,366545685,1,2,1,16127289244,73389,73389,14,14,14,366529301,9,3,616676,1659909,3125590,36417,4770335696,1627252,53682702,2279
197871.47,253952,62,259672,17108867374,41,77367194,622,44,44,6908,156,675,1727252,39,68940,36,153,146127764,1352,1,626,35,58,12,2136,675,626,7,60562401,13716668,5054044477,675,478,2,1,14,14,404,1,5052795856,5005155647,165599175,388481641,388481641,1,2,1,17093192204,73389,73389,14,14,14,388481641,9,3,625462,1762031,3277741,38572,5052795856,1727252,57286996,2279
199883.76,253952,62,271659,17898960090,42,80056147,638,45,45,6908,158,675,1789287,39,72313,36,153,146658668,1352,1,626,35,59,12,2136,675,626,7,63088230,13781154,5284304520,675,478,2,1,14,14,404,1,5283613648,5236031535,170947542,406426378,406442762,1,2,1,17882760632,73389,73389,14,14,14,406426378,9,3,627716,1825435,3348598,40333,5283613648,1789287,59742061,2279
201890.83,253952,62,287359,18932758346,43,83405559,688,47,47,6908,161,675,1899375,39,76762,36,153,146924120,1352,1,626,35,61,12,2136,675,626,7,67111105,14486239,5585800293,675,478,2,1,14,14,404,1,5584821067,5538213755,179616032,429943390,429959774,1,2,1,18917509160,73389,73389,14,14,14,429943390,9,3,634865,1937698,3486497,42635,5584821067,1899375,63627195,2279
203901.86,253952,62,303013,19964233382,44,86858663,735,48,48,6908,163,675,2013315,39,81140,36,153,147189572,1352,1,626,35,62,12,2136,675,626,7,71141671,15409076,5887558268,675,478,2,1,14,14,404,1,5886155595,5839722802,188806864,453384515,453400899,1,2,1,19948918660,73389,73389,14,14,14,453384515,9,3,635704,2053896,3627103,44934,5886155595,2013315,67517315,2279
205908.91,253952,62,318070,20955859222,44,89466429,780,49,49,6908,167,675,2109251,39,85489,36,153,147720476,1352,1,626,35,63,12,2136,675,626,7,75113211,16218005,6175966251,675,478,2,1,14,14,404,1,6175593833,6129552770,196948053,475926679,475926679,1,2,1,20940052980,73389,73389,14,14,14,475910295,9,3,642913,2152044,3753318,47149,6175593833,2109251,71361802,2279
207916.66,253952,62,333609,21979809684,44,93387100,824,51,51,6908,170,675,2206605,39,89869,36,153,148251380,1352,1,626,35,65,12,2136,675,626,7,79207486,17126567,6473780695,675,478,2,1,14,14,404,1,6474831209,6428772288,206842038,499203964,499203964,1,2,1,21964974416,73389,73389,14,14,14,499203964,9,3,653086,2251734,3903732,49432,6474831209,2206605,75306807,2279
209923.89,253952,62,348873,22985299696,46,100277965,864,52,52,6908,173,675,2300186,39,94237,36,153,148782284,1352,1,626,35,66,12,2136,675,626,7,83328885,18307441,6767728479,675,478,2,1,14,14,404,1,6767718410,6722711495,220387547,522047073,522063457,1,2,1,22970071212,73389,73389,14,14,14,522047073,9,3,663983,2348490,4049170,51673,6767718410,2300186,79282913,2279
211935.37,253952,62,363793,23968462512,48,105015388,905,53,53,6908,176,675,2390466,39,98473,36,153,149578640,1352,1,626,35,67,12,2136,675,626,7,87363546,19143217,7054123937,675,478,2,1,14,14,404,1,7054629699,7010099461,230192857,544382278,544404695,1,2,1,23952820232,73389,73389,14,14,14,544382278,9,3,666367,2440932,4161698,53868,7054629699,2390466,83205195,2279
213946.92,253952,62,378206,24917859280,48,109585638,950,54,54,6908,179,675,2500199,39,102567,36,153,149844092,1352,1,626,35,68,12,2136,675,626,7,91357761,20194186,7332662821,675,478,2,1,14,14,404,1,7331715907,7287561137,240948644,565968137,565984521,1,2,1,24902598028,73389,73389,14,14,14,565968137,9,3,675846,2552764,4308827,55982,7331715907,2500199,87052420,2279
215951.94,253952,62,391928,25821044288,49,113308461,1003,55,55,6908,184,675,2597382,39,106574,36,153,150905900,1352,1,626,35,69,12,2136,675,626,7,95185485,21249878,7595727885,675,478,2,1,14,14,404,1,7593473775,7551484795,250824441,586503261,586519645,1,2,1,25806143484,73389,73389,14,14,14,586503261,9,3,685703,2651914,4453994,57997,7593473775,2597382,90735108,2279
