timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
842657.68,253952,62,200125,13185159022,30,36013823,193,37,37,6527,146,675,886555,9,12,52142,41,43,144535052,1352,1,0,40,51,20,14,482,675,0,0,0,37286075,903594,3905880883,0,666,238,9,2,1,14,14,288,1,3906440144,3858020364,253935496,299304217,299320601,1,2,1,13169385548,73389,73389,14,14,14,299304217,5,3,517929,907335,1815520,29826,3906440144,886555,35472111,1384
844662.72,253952,62,217390,14322743458,30,36801068,219,37,37,6527,149,675,966458,9,12,57015,41,43,145065956,1352,1,0,40,51,20,14,482,675,0,0,0,40870708,929136,4238164642,0,666,238,9,2,1,14,14,288,1,4238445520,4190598208,273455947,325165856,325182240,1,2,1,14307297664,73389,73389,14,14,14,325165856,5,3,525734,989234,1919409,32359,4238445520,966458,38952993,1384
846670.33,253952,62,230153,15163957562,35,43403079,261,39,39,6527,151,675,1059362,9,12,60608,41,43,145596860,1352,1,0,40,53,20,14,482,675,0,0,0,44337133,1244949,4483536154,0,666,238,9,2,1,14,14,288,1,4484205520,4436488363,298398433,344279890,344296274,1,2,1,15148315160,73389,73389,14,14,14,344279890,5,3,529890,1084292,2037688,34234,4484205520,1059362,42301276,1384
848679.09,253952,62,244639,16118355646,36,46406527,302,39,39,6527,154,675,1174705,9,12,64733,41,43,145862312,1352,1,0,40,53,20,14,482,675,0,0,0,48486071,1623616,4764184455,0,666,238,9,2,1,14,14,288,1,4763126736,4715469124,306324319,365972245,365988629,1,2,1,16102778780,73389,73389,14,14,14,365972245,5,3,534382,1202082,2199730,36362,4763126736,1174705,46288326,1384
850684.76,253952,62,259244,17080552514,36,48337982,345,42,42,6527,156,675,1290431,9,12,68818,41,43,146127764,1352,1,0,40,56,20,14,482,675,0,0,0,52591775,2047651,5045489138,0,666,238,9,2,1,14,14,288,1,5044538320,4996881387,313377422,387836632,387853016,1,2,1,17064811808,73389,73389,14,14,14,387836632,5,3,538846,1320249,2351057,38509,5044538320,1290431,50242864,1384
852690.02,253952,62,272188,17933894086,39,53200525,403,42,42,6527,158,675,1387342,9,12,72453,41,43,146658668,1352,1,0,40,56,20,14,482,675,0,0,0,56235137,2398026,5294654400,0,666,238,9,2,1,14,14,288,1,5293706192,5246241488,322481760,407235227,407235227,1,2,1,17918349988,73389,73389,14,14,14,407235227,5,3,542361,1419226,2459777,40410,5293706192,1387342,53777632,1384
854700.50,253952,62,281930,18575531222,40,55959008,426,43,43,6527,160,675,1446311,9,12,75222,41,43,146658668,1352,1,0,40,57,20,14,482,675,0,0,0,58563326,2423951,5483098106,0,666,238,9,2,1,14,14,288,1,5481139152,5433736855,327606345,421815655,421832039,1,2,1,18559888820,73389,73389,14,14,14,421815655,5,3,548410,1479491,2544713,41840,5481139152,1446311,56020978,1384
856703.81,253952,62,297852,19624143922,40,57244685,466,50,50,6527,163,675,1538957,9,12,79730,41,43,147189572,1352,1,0,40,64,32,14,482,675,0,0,0,62531028,2637726,5786695999,0,666,238,9,2,1,14,14,288,1,5786671947,5740331134,334288174,445658188,445658188,1,2,1,19608960272,73389,73389,14,14,14,445658188,5,3,552450,1574259,2669225,44175,5786671947,1538957,59864336,1384
858707.25,253952,62,317972,20949436694,40,57244685,466,50,50,6527,167,675,1612728,9,12,85436,41,43,147720476,1352,1,0,40,64,32,14,482,675,0,0,0,66384568,2637954,6173691031,0,666,238,9,2,1,14,14,288,1,6173496681,6127701892,342487274,475779223,475779223,1,2,1,20934285812,73389,73389,14,14,14,475779223,5,3,560491,1650048,2783419,47133,6173496681,1612728,63603855,1384
860710.80,253952,62,337990,22268355080,40,57244685,467,50,50,6527,171,675,1685757,9,12,91159,41,43,148516832,1352,1,0,40,64,32,14,482,675,0,0,0,70252823,2638095,6556398122,0,666,238,9,2,1,14,14,288,1,6558396426,6513058288,354044419,505767027,505767027,1,2,1,22253028292,73389,73389,14,14,14,505750643,5,3,568216,1725043,2885114,50076,6558396426,1685757,67370581,1384
862714.78,253952,62,357949,23583555308,41,58244758,467,50,50,6527,174,675,1758000,9,12,96766,41,43,149047736,1352,1,0,40,64,32,14,482,675,0,0,0,74062578,2638293,6942316320,0,666,238,9,2,1,14,14,288,1,6942961674,6897675614,362424478,535634110,535650494,1,2,1,23567900840,73389,73389,14,14,14,535634110,5,3,572506,1798964,2979638,53010,6942961674,1758000,71085990,1384
864718.30,253952,62,377128,24846946020,41,58244758,467,50,50,6527,178,675,1817377,9,12,102217,41,43,149844092,1352,1,0,40,64,32,14,482,675,0,0,0,77703953,2638606,7310926091,0,666,238,9,2,1,14,14,288,1,7311268675,7266856249,368367186,564364664,564381048,1,2,1,24832045216,73389,73389,14,14,14,564364664,5,3,574531,1859920,3057499,55826,7311268675,1817377,74649668,1384
866722.90,253952,62,391069,25764742248,47,65282878,516,50,50,6527,183,675,1897676,9,12,106288,41,43,150640448,1352,1,0,40,64,32,14,482,675,0,0,0,81346969,3030149,7579207711,0,666,238,9,2,1,14,14,288,1,7577702593,7535095472,430583560,585229627,585229627,1,2,1,25750103588,73389,73389,14,14,14,585229627,5,3,587927,1942153,3173366,57874,7577702593,1897676,78176967,1384
868716.81,253952,62,400982,26415782060,48,67893614,531,52,52,6527,191,675,1946855,9,12,109422,48,43,158511825,1359,1,1038,47,73,32,40,519,675,346,1038,110,83710242,3110480,7767302499,8,666,238,9,2,1,14,14,288,1,7763869224,7725268584,481911511,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,5,3,594704,1992358,3242541,59330,7763869224,1946855,80470956,1384
