timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
513766.46,5,253952,62,109125,7188369036,11,20510155,631,16,16,3940,755,8,567,898790,0,14,42933,14,115103767,1136,1,0,4,3756,136112425,6,544255708,13,30,6,4702,567,0,0,57543802,1870822,2296702776,0,567,590,0,12,1,3,1,14,14,4335,3,2294559990,2265739271,79807694,138069317,138069317,1,3,1,7179604516,73389,73389,14,14,14,138069321,15,3,174019,918960,1357392,19087,2294559990,898790,56188595,1986
515780.03,7,253952,62,121220,7985696498,12,23164595,732,16,16,3940,831,8,576,1012268,0,14,47690,14,116602928,1154,1,0,4,3756,151176273,6,604640448,13,30,6,4702,576,0,0,64651662,2224456,2546853615,0,576,602,0,12,1,3,1,14,14,4335,3,2544458228,2517108270,89903147,153380548,153396932,1,3,1,7975788528,73389,73389,14,14,14,153380552,15,3,184955,1034977,1515048,21157,2544458228,1012268,63139048,2017
517787.22,7,253952,62,133533,8797069488,13,25202316,841,17,17,3940,912,9,585,1123570,0,14,52550,14,118357797,1172,1,0,4,3756,166565468,6,666261872,13,31,6,4702,585,0,0,71707807,2526917,2801310914,0,585,612,0,12,1,3,1,14,14,4335,3,2799447727,2772462815,99281350,168988850,168988850,1,3,1,8787420232,73389,73389,14,14,14,168988854,15,3,191886,1148790,1656361,23276,2799447727,1123570,70054138,2056
519799.48,8,253952,62,146138,9627844442,13,26563338,927,18,18,3940,991,9,585,1233941,0,14,57501,14,118671513,1172,1,0,4,3756,182266679,6,729066716,13,32,6,4702,585,0,0,79104304,2804464,3064612772,0,585,612,0,12,1,3,1,14,14,4335,3,3062359787,3034316553,108309358,184930865,184947249,1,3,1,9616405012,73389,73389,14,14,14,184930869,15,3,202308,1261694,1803337,25460,3062359787,1233941,77303923,2056
521804.07,9,253952,62,158845,10465919434,13,28333965,1003,18,18,3940,1073,16,585,1342702,0,14,62477,14,118671513,1172,1,0,4,3756,198124405,6,792497620,13,32,6,4702,585,0,0,86195622,3033309,3327509998,0,585,612,0,12,1,3,1,14,14,4335,3,3324609642,3298146120,117390847,201065170,201065170,1,3,1,10455388872,73389,73389,14,14,14,201065174,15,3,218992,1372848,1975705,27630,3324609642,1342702,84223125,2056
523814.36,9,253952,62,168993,11134152120,15,31902072,1039,19,19,3940,1137,16,585,1409272,0,14,66488,14,118671513,1172,1,0,4,3756,210735382,6,842941528,13,33,6,4702,585,0,0,90971971,3069542,3538186046,0,585,612,0,12,1,3,1,14,14,4335,3,3536272919,3508198973,125768585,213921404,213937788,1,3,1,11122209104,73389,73389,14,14,14,213888640,15,3,236527,1441070,2081702,29382,3536272919,1409272,88893676,2056
525821.98,9,253952,62,182184,12002893120,15,33263017,1125,20,20,3940,1223,16,594,1527773,0,14,71699,14,120484281,1190,1,0,4,3756,227317405,6,909140400,13,34,6,4702,594,0,0,98830070,3230798,3814253980,0,594,621,0,12,1,3,1,14,14,4335,3,3810635753,3781886936,134955511,230625275,230625275,1,3,1,11992514332,73389,73389,14,14,14,230625279,15,3,241484,1562240,2237540,31665,3810635753,1527773,96596196,2090
527830.01,9,253952,62,195616,12887552630,15,34909962,1204,20,20,3940,1308,16,603,1650679,0,14,76980,14,121925948,1208,1,0,4,3756,244032303,6,976064504,13,34,6,4702,603,0,0,106898722,3533602,4092630214,0,603,627,0,12,1,3,1,14,14,4335,3,4089264149,4060563595,145106554,247626217,247626217,1,3,1,12876563316,73389,73389,14,14,14,247626221,15,3,245818,1687952,2379271,33983,4089264149,1650679,104523379,2123
529837.04,9,253952,62,209487,13801545872,15,36839578,1289,20,20,3940,1401,18,630,1777851,2,14,82444,14,126678540,1262,1,0,4,3756,261312056,6,1045248224,13,34,6,4702,630,0,0,114897107,3651111,4386246545,0,628,675,2,12,1,3,1,14,14,4335,3,4382839938,4348657769,155166020,265169546,265185930,1,3,1,13787964456,73389,73389,14,14,14,265153166,15,3,257072,1818003,2558183,36432,4382839938,1777851,112343139,2224
531844.44,10,253952,62,221534,14593115900,17,39935587,1338,22,22,3940,1476,18,657,1856271,2,14,87151,14,131459414,1316,1,0,4,3756,276254257,6,1104952356,13,36,6,4702,657,0,0,120291566,3658424,4643153319,0,655,688,2,12,1,3,1,14,14,4335,3,4639568812,4598588801,163662741,280356626,280356626,1,3,1,14578544584,73389,73389,14,14,14,280356630,15,3,276047,1898323,2682266,38558,4639568812,1856271,117613747,2301
533857.63,10,253952,62,233901,15409524018,19,43104777,1412,23,23,3940,1560,18,666,1938968,2,14,91964,14,133899333,1334,1,0,4,3756,291510101,6,1165911268,13,37,6,4702,666,0,0,125804595,3659730,4909088837,0,664,695,2,12,1,3,1,14,14,4335,3,4905601565,4856669799,172343284,295995093,295995093,1,3,1,15391744868,73389,73389,14,14,14,295995097,15,3,281344,1983018,2777427,40765,4905601565,1938968,123031858,2333
535862.29,15,253952,62,245824,16194496534,21,46396440,1473,24,24,3940,1633,20,675,2025530,2,14,96639,14,136025670,1352,1,0,4,3756,306448460,6,1225793840,13,38,6,4702,675,0,0,131586066,3761525,5168325677,0,673,709,2,12,1,3,1,14,14,4335,3,5164277865,5104965518,181523147,311015730,311015730,1,3,1,16172817992,73389,73389,14,14,14,311015734,15,3,291340,2071698,2913701,42903,5164277865,2025530,128677279,2372
537875.76,15,253952,62,259973,17127925674,21,47269035,1580,27,27,3940,1725,20,756,2138491,2,14,102242,14,150027128,1514,1,0,4,3756,324076218,6,1296304872,13,41,6,4702,756,0,0,138795133,3931924,5483985987,0,754,766,2,12,1,3,1,14,14,4335,3,5480546544,5400253915,189751459,328845335,328878103,1,3,1,17099957452,73389,73389,14,14,14,328845339,15,3,305971,2187337,3053716,45515,5480546544,2138491,135746613,2625
539888.71,17,253952,62,275569,18155035462,23,50048851,1704,29,29,3940,1825,21,810,2288783,4,14,108347,15,159279119,1622,1,0,4,3756,343443853,6,1373710776,14,43,6,4825,810,0,0,147721936,4352116,5827155327,0,806,828,4,12,1,3,1,14,14,4335,3,5823433645,5724951941,201859937,348522458,348522458,1,3,1,18122315880,73389,73389,14,14,14,348506078,15,3,310586,2340856,3240675,48372,5823433645,2288783,144486764,2856
541899.54,19,253952,62,291970,19235082964,23,52334857,1799,29,29,3940,1931,21,990,2444577,4,14,114771,15,191481006,1982,1,0,4,3756,363810320,6,1455176720,14,43,6,4825,990,0,0,157247782,4677032,6193059387,0,986,1025,4,12,1,3,1,14,14,4335,3,6187957957,6067181444,213981474,369145979,369145979,1,3,1,19195590940,73389,73389,14,14,14,369145983,15,3,321497,2500115,3433205,51384,6187957957,2444577,153820409,3525
543906.35,28,253952,62,309650,20399104682,23,53972363,1901,30,30,3940,2041,21,990,2606590,4,14,121663,15,192132570,1982,1,0,4,3756,385694023,6,1542646816,14,44,6,4825,990,0,0,167408930,4954292,6575966778,0,986,1025,4,12,1,3,1,14,14,4335,3,6570797507,6435368279,226039078,391424284,391424284,1,3,1,20353210832,73389,73389,14,14,14,391407904,15,3,334613,2665780,3656804,54558,6570797507,2606590,163758316,3525
545910.98,28,253952,62,325329,21432112710,26,58165117,1980,30,30,3940,2143,21,999,2705215,4,14,127795,15,194234775,2000,1,0,4,3756,405223317,6,1620764056,14,44,6,4825,999,0,0,174337979,4954557,6908781711,0,995,1031,4,12,1,3,1,14,14,4335,3,6903583782,6760877928,237136004,411265247,411265247,1,3,1,21385792876,73389,73389,14,14,14,411265251,15,3,341726,2766875,3767800,57318,6903583782,2705215,170576651,3551
547922.38,30,253952,62,346955,22858238624,26,60405934,2125,34,34,3940,2279,22,1098,2901982,4,14,136337,16,211684470,2198,1,0,4,3756,432206250,6,1728760264,15,48,6,4837,1098,0,0,186721513,5314574,7383709604,0,1094,1138,4,12,1,3,1,14,14,4335,3,7377414832,7211772117,252126105,438551850,438568234,1,3,1,22804696232,73389,73389,14,14,14,438551854,15,3,360578,2968147,4057752,61244,7377414832,2901982,182670659,3914
549929.06,35,253952,62,367869,24234622158,26,63797656,2272,36,36,3940,2413,23,1242,3102671,6,14,144498,18,236536117,2486,1,0,4,3756,458097611,6,1832325768,17,50,6,4854,1242,0,0,198945309,5795290,7849454230,0,1236,1303,6,12,1,3,1,14,14,4335,3,7843818069,7647997403,268210390,464827407,464843791,1,3,1,24171025196,73389,73389,14,14,14,464827411,15,3,372951,3173400,4305432,65105,7843818069,3102671,194647192,4456
551945.33,41,253952,62,393547,25926089372,27,68382738,2440,36,36,3940,2575,23,1278,3361725,6,14,154528,18,244128115,2558,1,0,4,3756,489906496,6,1959432160,17,50,6,4854,1278,0,0,213673348,6341864,8439354948,0,1272,1343,6,12,1,3,1,14,14,4335,3,8432918039,8185128217,288047258,497074044,497074044,1,3,1,25847850320,73389,73389,14,14,14,497074048,15,3,383156,3438023,4611738,69951,8432918039,3361725,209069434,4586
553950.54,47,253952,62,417184,27483260090,30,73147207,2546,36,36,3940,2727,23,1278,3570156,6,14,163628,18,245998345,2558,1,0,4,3756,518850095,6,2075400380,17,50,6,4854,1278,0,0,225499850,6502437,9012733681,0,1272,1343,6,12,1,3,1,14,14,4335,3,9005965415,8682072883,304796158,526576805,526591030,1,3,1,27381993892,73389,73389,14,14,14,526576809,15,3,400038,3652050,4878719,74699,9005965415,3570156,220629412,4586
555962.15,48,253952,62,439070,28925836264,31,75928995,2617,39,39,3940,2862,23,1499,3753196,6,14,172220,18,284910659,3000,1,0,4,3756,546009609,6,2183908972,17,53,6,4854,1499,0,0,236562910,6688141,9541260735,0,1493,1565,6,12,1,3,1,14,14,4335,3,9534347614,9141818021,318794451,553952435,554001587,1,3,1,28805526652,73389,73389,14,14,14,553952439,15,3,422080,3839309,5121773,79051,9534347614,3753196,231449839,5333
557974.33,58,253952,62,465405,30661283096,31,77506281,2759,41,41,3940,3031,23,1638,4016142,6,14,182452,18,312249367,3278,1,0,4,3756,578454532,6,2313753524,17,55,6,4854,1638,0,0,251490751,7082202,10191223378,0,1632,1716,6,12,1,3,1,14,14,4335,3,10183919390,9695794189,335674124,586868657,586868657,1,3,1,30517170196,73389,73389,14,14,14,586868661,15,3,437538,4108043,5451129,84402,10183919390,4016142,246048849,5841
558706.59,59,253952,62,475888,31351833732,31,78675165,2827,45,45,3940,3127,23,1638,4115910,6,14,186584,27,321761720,3285,1,1228,4,3756,591599349,6,2366397396,26,66,21,5762,1638,1228,149,257978531,7344496,10432688229,8,1632,1716,6,12,1,3,1,14,14,4335,3,10423330678,9914785174,408724308,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,15,3,465116,4210039,5669868,86327,10423330678,4115910,252318108,5841
