timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
300818.81,253952,62,149303,9836762066,24,46236796,421,27,27,4886,138,0,675,1186734,10,37843,25,33,143207792,1352,1,24,41,12,5,2143,675,38402048,6212826,2929793949,675,361,2,1,14,14,469,1,2928802608,2879363625,101772114,223193860,223210244,1,2,1,9820529840,73389,73389,14,14,14,223193860,11,3,550228,1213149,2500947,22364,2928802608,1186734,35902482,1920
302825.04,253952,62,158857,10466019514,26,48685324,437,30,30,4886,140,0,675,1247179,10,40556,25,33,143738696,1352,1,24,44,12,5,2143,675,40823255,6331347,3112828675,675,361,2,1,14,14,469,1,3111881680,3063208959,106845898,237516018,237516018,1,2,1,10450704792,73389,73389,14,14,14,237516018,11,3,559555,1274951,2587620,23764,3111881680,1247179,38237102,1920
304836.32,253952,62,171278,11284289402,26,51373342,473,30,30,4886,142,0,675,1395839,10,44054,25,33,144004148,1352,1,24,44,12,5,2143,675,44833518,7076247,3350715176,675,361,2,1,14,14,469,1,3350957008,3302362168,113698932,256101890,256118274,1,2,1,11268483160,73389,73389,14,14,14,256101890,11,3,563815,1426305,2749640,25588,3350957008,1395839,42085464,1920
306841.20,253952,62,182697,12036892218,27,54703657,513,30,30,4886,144,0,675,1536919,10,47302,25,33,144269600,1352,1,24,44,12,5,2143,675,48774848,7535271,3572352305,675,361,2,1,14,14,469,1,3571289040,3522448662,122291882,273205010,273205010,1,2,1,12021020440,73389,73389,14,14,14,273205010,11,3,568011,1569765,2914118,27269,3571289040,1536919,45862446,1920
308852.14,253952,62,192894,12708879138,28,57131048,547,31,31,4886,145,0,675,1612686,10,50134,25,33,144535052,1352,1,24,45,12,5,2143,675,51411139,7569350,3767352055,675,361,2,1,14,14,469,1,3767241680,3718861779,127523007,288485632,288485632,1,2,1,12693367808,73389,73389,14,14,14,288485632,11,3,572244,1647070,3005249,28764,3767241680,1612686,48407708,1920
310856.74,253952,62,205006,13506898402,31,61398268,600,34,34,4886,147,0,675,1730540,10,53526,25,33,144800504,1352,1,24,48,12,5,2143,675,54884705,8036874,4000771702,675,361,2,1,14,14,469,1,4000418768,3952096234,136082597,306612752,306629136,1,2,1,13490961088,73389,73389,14,14,14,306612752,11,3,583283,1766970,3169885,30543,4000418768,1730540,51716745,1920
312865.03,253952,62,214869,14156730846,32,64002715,616,36,36,4886,149,0,675,1803614,10,56327,25,33,145065956,1352,1,24,50,12,5,2143,675,57406094,8139722,4190661169,675,361,2,1,14,14,469,1,4189817808,4142088363,141374608,321395821,321395821,1,2,1,14141416124,73389,73389,14,14,14,321395821,11,3,588568,1841506,3257644,31988,4189817808,1803614,54150476,1920
314872.14,253952,62,227904,15015770742,32,68030320,660,37,37,4886,151,0,675,1949379,10,59999,25,33,145596860,1352,1,24,51,12,5,2143,675,61473126,8648665,4442719967,675,361,2,1,14,14,469,1,4441213904,4393217189,149322821,340919455,340919455,1,2,1,15000456020,73389,73389,14,14,14,340919455,11,3,590559,1989696,3420374,33906,4441213904,1949379,58054921,1920
316885.80,253952,62,241115,15886079522,33,72234912,709,38,38,4886,153,0,675,2091912,10,63707,25,33,145596860,1352,1,24,52,12,5,2143,675,65498108,9212879,4695550741,675,361,2,1,14,14,469,1,4695493584,4647559918,158930202,360691008,360707392,1,2,1,15870404352,73389,73389,14,14,14,360691008,11,3,595035,2134708,3610321,35846,4695493584,2091912,61890088,1920
318894.82,253952,62,254727,16783199142,35,75569734,747,39,39,4886,155,0,675,2226703,10,67537,25,33,146127764,1352,1,24,53,12,5,2143,675,69588286,9703849,4958097753,675,361,2,1,14,14,469,1,4957506512,4909907785,167484000,381072643,381089027,1,2,1,16767196292,73389,73389,14,14,14,381072643,11,3,600158,2271969,3790063,37845,4957506512,2226703,65800674,1920
320898.86,253952,62,266242,17541827962,38,80452701,798,40,40,4886,157,0,675,2316547,10,70779,25,33,146393216,1352,1,24,54,12,5,2143,675,72702689,10058200,5181559460,675,361,2,1,14,14,469,1,5179280336,5131663171,176208380,398325378,398341762,1,2,1,17526316632,73389,73389,14,14,14,398325378,11,3,604276,2363633,3886218,39537,5179280336,2316547,68819041,1920
322909.48,253952,62,277792,18303015994,38,81982502,824,42,42,4886,159,0,675,2407302,10,74039,25,33,146658668,1352,1,24,56,12,5,2143,675,75669263,10279175,5402529350,675,361,2,1,14,14,469,1,5401447376,5354088269,181044979,415616914,415633298,1,2,1,18287144216,73389,73389,14,14,14,415616914,11,3,614430,2456168,4008292,41232,5401447376,2407302,71663658,1920
324922.29,253952,62,292063,19242632402,39,84143842,868,43,43,4886,162,0,675,2545588,10,78095,25,33,146924120,1352,1,24,57,12,5,2143,675,79733893,10798231,5676885257,675,361,2,1,14,14,469,1,5675391819,5628816953,187957732,436983748,436983748,1,2,1,19227284912,73389,73389,14,14,14,436983748,11,3,618451,2596995,4177156,43326,5675391819,2545588,75559579,1920
326934.34,253952,62,305568,20132739670,40,87387527,899,44,44,4886,164,0,675,2679305,10,81891,25,33,147455024,1352,1,24,58,12,5,2143,675,83767206,11382423,5936416620,675,361,2,1,14,14,469,1,5935569739,5888955962,195500223,457217927,457217927,1,2,1,20116867892,73389,73389,14,14,14,457201543,11,3,624336,2734037,4333037,45311,5935569739,2679305,79437153,1920
328940.41,253952,62,319915,21077472970,40,89663359,945,45,45,4886,167,0,675,2810856,10,85969,25,33,147720476,1352,1,24,59,12,5,2143,675,88134923,12051819,6209475631,675,361,2,1,14,14,469,1,6211114345,6165105180,204180897,478674873,478697290,1,2,1,21061694412,73389,73389,14,14,14,478674873,11,3,636891,2868152,4543074,47420,6211114345,2810856,83594968,1920
330946.17,253952,62,333285,21958563954,41,93601320,986,46,46,4886,169,0,675,2930212,10,89726,25,33,148251380,1352,1,24,60,12,5,2143,675,92230056,12611540,6469923478,675,361,2,1,14,14,469,1,6468277609,6422544319,213019008,498712444,498728828,1,2,1,21943347536,73389,73389,14,14,14,498712444,11,3,641114,2991163,4696022,49382,6468277609,2930212,87537295,1920
332953.52,253952,62,346707,22842817816,44,100415065,1027,48,48,4886,172,1,675,3051501,10,93590,25,33,148782284,1352,1,24,62,12,5,2143,675,96390686,13142933,6726115310,675,361,2,1,14,14,469,1,6726168586,6681035613,225435564,518807359,518823743,1,2,1,22827523796,73389,73389,14,14,14,518807359,11,3,650649,3114855,4848800,51356,6726168586,3051501,91545283,1920
334965.15,253952,62,359494,23685339332,44,103599999,1064,48,48,4886,175,1,675,3171446,10,97245,25,33,149047736,1352,1,24,62,12,5,2143,675,100417749,13636032,6972534501,675,361,2,1,14,14,469,1,6972452874,6927365312,233348935,537964512,537964512,1,2,1,23669717632,73389,73389,14,14,14,537948128,11,3,652482,3237177,4978518,53235,6972452874,3171446,95442765,1920
336978.61,253952,62,373011,24575807048,45,107940706,1126,51,51,4886,178,1,675,3299177,10,101094,25,33,149844092,1352,1,24,65,12,5,2143,675,104521572,14284186,7231392692,675,361,2,1,14,14,469,1,7231707971,7187577657,243037264,558206883,558206883,1,2,1,24560381956,73389,73389,14,14,14,558190499,11,3,662284,3368142,5161146,55219,7231707971,3299177,99364090,1920
338988.00,253952,62,387557,25533518008,47,112791688,1190,52,52,4886,182,1,675,3442350,10,105233,25,33,150374996,1352,1,24,66,12,5,2143,675,108886272,14886075,7513316467,675,361,2,1,14,14,469,1,7510382875,7467446788,253344149,579978999,579978999,1,2,1,25519075956,73389,73389,14,14,14,579978999,11,3,667512,3513868,5320767,57358,7510382875,3442350,103569318,1920
