timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
480031.91,10,253952,62,101147,6662687318,12,24490264,0,714,16,16,2860,700,16,576,835054,18,39779,16,116858636,1154,1,0,4,4649,126074242,10,504232484,15,30,8,18553,576,0,0,55906633,2530810,2128214021,0,576,691,3,1,14,14,5322,3,2126639701,2100685870,82755243,127930668,127930668,1,3,1,6652394768,73389,73389,14,14,14,127930672,9,3,164055,855271,1291808,17692,2126639701,835054,54617026,4856
482042.00,10,253952,62,111478,7343818042,12,26653557,0,805,17,17,2860,765,16,585,925146,18,43853,16,118357797,1172,1,0,4,4649,138994171,10,555976684,15,31,8,18553,585,0,0,62413579,3186720,2345402406,0,585,703,3,1,14,14,5322,3,2343202232,2315126944,92117659,141026185,141026185,1,3,1,7333361652,73389,73389,14,14,14,141026189,9,3,168681,948606,1422041,19483,2343202232,925146,60993981,4889
484046.85,10,253952,62,122304,8057377020,14,30565073,0,888,17,17,2860,838,16,585,1009591,18,48062,16,118671513,1172,1,0,4,4649,152374093,10,609496372,15,31,8,18553,585,0,0,68049603,3316026,2567525251,0,585,703,3,1,14,14,5322,3,2566565178,2539644694,101782362,154760678,154760678,1,3,1,8046703320,73389,73389,14,14,14,154744298,9,3,176187,1035126,1547652,21340,2566565178,1009591,66504602,4889
486064.72,10,253952,62,133215,8776204908,14,31830631,0,953,18,18,2860,909,16,585,1091745,18,52408,16,118671513,1172,1,0,4,4649,166143342,10,664444328,15,32,8,18553,585,0,0,73646361,3466891,2793990842,0,585,703,3,1,14,14,5322,3,2791625102,2765759934,108782147,168595634,168595634,1,3,1,8766973000,73389,73389,14,14,14,168595638,9,3,181591,1119306,1645370,23205,2791625102,1091745,72003859,4889
488077.28,10,253952,62,145554,9590814216,14,32620102,0,1042,18,18,2860,986,16,585,1208975,18,57293,16,118671513,1172,1,0,4,4649,181611104,10,726379772,15,32,8,18553,585,0,0,80674342,3730561,3052123711,0,585,703,3,1,14,14,5322,3,3049504337,3022427473,116841931,184250485,184250485,1,3,1,9581025252,73389,73389,14,14,14,184250489,9,3,184417,1239166,1777390,25337,3049504337,1208975,78900077,4889
490089.99,10,253952,62,156289,10296852904,14,34137836,0,1104,18,18,2860,1058,16,585,1305285,18,61515,16,118671513,1172,1,0,4,4649,195001758,10,779942448,15,32,8,18553,585,0,0,86849025,4093511,3276407595,0,585,703,3,1,14,14,5322,3,3273175778,3244561682,124895672,197831933,197831933,1,3,1,10287260548,73389,73389,14,14,14,197831937,9,3,192936,1337762,1905995,27195,3273175778,1305285,84946374,4889
492098.34,10,253952,62,167578,11040163816,14,35492347,0,1197,18,18,2860,1132,16,585,1404703,18,65947,16,118671513,1172,1,0,4,4649,209048642,10,836194568,15,32,8,18553,585,0,0,93252515,4384375,3507542990,0,585,703,3,1,14,14,5322,3,3504332263,3478599863,132875470,212127800,212127800,1,3,1,11029793664,73389,73389,14,14,14,212111420,9,3,197228,1439575,2013734,29112,3504332263,1404703,91242358,4889
494109.10,10,253952,62,178715,11774104490,14,36701742,0,1277,18,18,2860,1203,18,585,1499617,18,70326,16,118671513,1172,1,0,4,4649,222945543,10,891717468,15,32,8,18553,585,0,0,99528869,4655687,3739763085,0,585,703,3,1,14,14,5322,3,3736991239,3709638315,140605382,226239125,226239125,1,3,1,11764434532,73389,73389,14,14,14,226239129,9,3,202495,1536888,2127299,31042,3736991239,1499617,97405375,4889
496120.15,10,253952,62,189608,12491752730,14,38493100,0,1341,18,18,2860,1270,18,585,1589743,18,74633,16,118671513,1172,1,0,4,4649,236618192,10,946408300,15,32,8,18553,585,0,0,105807381,4948428,3964325854,0,585,703,3,1,14,14,5322,3,3960547924,3935702239,148994915,240041313,240041313,1,3,1,12482148308,73389,73389,14,14,14,240041317,9,3,211855,1629316,2248027,32894,3960547924,1589743,103563379,4889
498126.19,10,253952,62,199333,13131937906,16,40973986,0,1370,18,18,2860,1338,18,585,1660263,18,78417,16,118671513,1172,1,0,4,4649,248666465,10,994601356,15,32,8,18553,585,0,0,110522231,4995601,4166760512,0,585,703,3,1,14,14,5322,3,4163317194,4137358682,156233310,252342650,252342650,1,3,1,13120965864,73389,73389,14,14,14,252326270,9,3,215557,1701618,2340017,34581,4163317194,1660263,108185438,4889
500131.64,10,253952,62,208890,13761728400,16,41264809,0,1402,19,19,2860,1400,18,585,1731069,18,82167,16,118671513,1172,1,0,4,4649,260596853,10,1042387412,15,33,8,18553,585,0,0,115033509,4996268,4370363530,0,585,703,3,1,14,14,5322,3,4366604704,4335791990,161035628,264426677,264443061,1,3,1,13750187236,73389,73389,14,14,14,264426681,9,3,228109,1774114,2442011,36271,4366604704,1731069,112595908,4889
502139.75,10,253952,62,218681,14407131836,17,43114478,0,1447,21,21,2860,1460,20,585,1804648,18,86065,16,118671513,1172,1,0,4,4649,272896538,10,1091456824,15,35,8,18553,585,0,0,119963444,5031487,4576878496,0,585,703,3,1,14,14,5322,3,4572930986,4539264769,167669535,276836225,276836225,1,3,1,14395483732,73389,73389,14,14,14,276836229,9,3,242746,1849544,2569968,37982,4572930986,1804648,117398077,4889
504147.41,10,253952,62,230199,15166391640,17,44662883,0,1516,21,21,2860,1532,24,603,1902570,18,90595,16,121935561,1208,1,0,4,4649,287227279,10,1148844356,15,35,8,18553,603,0,0,126290500,5304806,4820735872,0,603,721,3,1,14,14,5322,3,4816159526,4778397472,175982657,291420527,291436911,1,3,1,15153867436,73389,73389,14,14,14,291420531,9,3,247235,1949769,2704596,40003,4816159526,1902570,123590749,4959
506162.14,11,253952,62,241947,15940362744,17,45943879,0,1610,21,21,2860,1608,24,603,2007614,18,95227,16,122237211,1208,1,0,4,4649,301915006,10,1207660024,15,35,8,18553,603,0,0,132786314,5598270,5066883965,0,603,721,3,1,14,14,5322,3,5062066480,5022205992,184003031,306301900,306318284,1,3,1,15927698832,73389,73389,14,14,14,306301904,9,3,254264,2057211,2843445,42038,5062066480,2007614,129947960,4959
508169.03,12,253952,62,254035,16737303850,17,47047200,0,1697,21,21,2860,1688,24,603,2111643,18,99980,16,122237211,1208,1,0,4,4649,316968786,10,1267810472,15,35,8,18553,603,0,0,139510465,5861942,5322079245,0,603,721,3,1,14,14,5322,3,5316883168,5273564600,192079652,321604939,321604939,1,3,1,16723456860,73389,73389,14,14,14,321604943,9,3,260757,2163661,2982202,44158,5316883168,2111643,136533597,4959
510174.35,12,253952,62,263965,17391840434,19,49401717,0,1728,21,21,2860,1752,24,612,2174874,18,103871,16,124078697,1226,1,0,4,4649,329384948,10,1317539792,15,35,8,18553,612,0,0,143968596,5872726,5532302457,0,612,725,3,1,14,14,5322,3,5526941967,5479862793,198898808,334171850,334171850,1,3,1,17376936232,73389,73389,14,14,14,334171854,9,3,268680,2228423,3072260,45898,5526941967,2174874,140901860,4983
512182.61,12,253952,62,275473,18149829512,19,49899843,0,1798,23,23,2860,1823,24,621,2281822,18,108414,16,125577315,1244,1,0,4,4649,343726523,10,1374841456,15,37,8,18553,621,0,0,150333521,6095438,5775252179,0,621,727,3,1,14,14,5322,3,5769642162,5718935064,205972604,348727702,348727702,1,3,1,18133840536,73389,73389,14,14,14,348727706,9,3,281108,2337722,3194693,47905,5769642162,2281822,147144583,5006
514194.56,12,253952,62,287766,18958914436,19,50562155,0,1897,23,23,2860,1905,24,630,2404687,18,113238,16,127332698,1262,1,0,4,4649,358992642,10,1435970568,15,37,8,18553,630,0,0,157398708,6431228,6038550634,0,630,734,3,1,14,14,5322,3,6033751645,5974258348,213994697,364244177,364244177,1,3,1,18939845268,73389,73389,14,14,14,364227797,9,3,285384,2463292,3350394,50095,6033751645,2404687,154054317,5040
516201.48,12,253952,62,299971,19762247200,19,51259614,0,1996,23,23,2860,1983,24,648,2528787,18,118040,16,130273015,1298,1,0,4,4649,374229579,10,1496918316,15,37,8,18553,648,0,0,164476513,6716178,6297915301,0,648,757,3,1,14,14,5322,3,6292973090,6227693037,222033453,379664063,379664063,1,3,1,19742531308,73389,73389,14,14,14,379664067,9,3,290445,2590050,3492139,52257,6292973090,2528787,160990626,5123
518209.16,12,253952,62,312035,20557241396,19,51934678,0,2105,23,23,2860,2061,24,648,2647014,18,122781,16,130273015,1298,1,0,4,4649,389255846,10,1557023384,15,37,8,18553,648,0,0,171522678,7024547,6558240629,0,648,757,3,1,14,14,5322,3,6552274564,6478744199,230039230,394903725,394903725,1,3,1,20534993732,73389,73389,14,14,14,394903729,9,3,296044,2712653,3642985,54410,6552274564,2647014,167886202,5123
520220.41,12,253952,62,324927,21407591956,19,53695054,0,2187,24,24,2860,2143,24,666,2783253,18,127837,16,133897414,1334,1,0,4,4649,405264725,10,1621058900,15,38,8,18553,666,0,0,179087243,7300167,6838279774,0,666,776,3,1,14,14,5322,3,6832067719,6747333976,239623851,411172976,411205744,1,3,1,21380994784,73389,73389,14,14,14,411172980,9,3,325933,2851771,3841134,56745,6832067719,2783253,175252867,5207
522225.61,12,253952,62,336875,22194139356,20,56480886,0,2247,24,24,2860,2219,24,693,2887836,18,132451,16,139050677,1388,1,0,4,4649,420003846,10,1680015384,15,38,8,18553,693,0,0,185412151,7430147,7103772881,0,693,796,3,1,14,14,5322,3,7097058317,6996691127,248721764,426206123,426222507,1,3,1,22162718428,73389,73389,14,14,14,426206127,9,3,337299,2958705,3974174,58929,7097058317,2887836,181444954,5303
524234.02,12,253952,62,347779,22912456554,21,58919139,0,2305,25,25,2860,2288,24,801,2976290,18,136724,16,157858899,1604,1,0,4,4649,433483244,10,1733868328,15,39,8,18553,801,0,0,190795504,7487451,7354468054,0,801,882,3,1,14,14,5322,3,7348082369,7225055683,256703752,439893623,439893623,1,3,1,22874468428,73389,73389,14,14,14,439893627,9,3,351599,3049227,4089055,61024,7348082369,2976290,186713613,5651
526240.42,13,253952,62,360776,23768569442,21,60383820,0,2389,26,26,2860,2372,25,909,3105947,18,141824,16,177747877,1820,1,0,4,4649,449632883,10,1798467020,15,40,8,18553,909,0,0,198822520,7737734,7650158985,0,909,990,3,1,14,14,5322,3,7643378609,7496668900,266432011,456191768,456208152,1,3,1,23721971968,73389,73389,14,14,14,456191772,9,3,358062,3181780,4236998,63481,7643378609,3105947,194592951,6054
528252.13,13,253952,62,373995,24639040530,21,62082476,0,2462,26,26,2860,2452,40,1004,3238827,18,146947,16,195577021,2009,1,0,4,4649,465881945,10,1863398652,15,40,8,18553,1004,0,0,206903057,8001729,7958776938,0,1004,1089,3,1,14,14,5322,3,7952384628,7773784069,276457019,472721892,472738276,1,3,1,24581538416,73389,73389,14,14,14,472721896,9,3,359972,3317581,4393344,66050,7952384628,3238827,202517418,6406
530257.85,13,253952,62,387599,25536185204,21,63727394,0,2548,26,26,2860,2537,43,1116,3363615,18,152241,16,216337329,2234,1,0,4,4649,482669473,10,1930548436,15,40,8,18553,1116,0,0,214634182,8105044,8277521507,0,1116,1210,3,1,14,14,5322,3,8270732007,8059088766,285924747,489797833,489797833,1,3,1,25469487348,73389,73389,14,14,14,489797837,9,3,371921,3445207,4567300,68684,8270732007,3363615,210074852,6806
532263.96,13,253952,62,399582,26324889964,23,67058797,0,2600,27,27,2860,2611,43,1125,3446814,18,156898,16,218406365,2252,1,0,4,4649,497472151,10,1989888604,15,41,8,18553,1125,0,0,220055629,8108500,8564931440,0,1125,1216,3,1,14,14,5322,3,8557666520,8310327267,294679301,504779669,504779669,1,3,1,26248542820,73389,73389,14,14,14,504779673,9,3,390335,3530495,4698391,71079,8557666520,3446814,215365382,6825
534274.76,14,253952,62,411687,27122052298,24,69217143,0,2675,29,29,2860,2693,43,1332,3540575,18,161622,16,253579711,2666,1,0,4,4649,512388655,10,2049489992,15,43,8,18553,1332,0,0,225820358,8135224,8863417929,0,1332,1399,3,1,14,14,5322,3,8856060696,8565074284,302624371,519876193,519892577,1,3,1,27033562068,73389,73389,14,14,14,519876197,9,3,405053,3626543,4836337,73564,8856060696,3540575,220992407,7480
536278.95,14,253952,62,423071,27872294278,26,72537987,0,2750,29,29,2860,2760,43,1404,3623003,18,165951,16,268417006,2810,1,0,4,4649,526183823,10,2104735292,15,43,8,18553,1404,0,0,230962630,8167818,9135982632,0,1404,1454,3,1,14,14,5322,3,9128147719,8804419240,311121650,534113187,534113187,1,3,1,27773885756,73389,73389,14,14,14,534113191,9,3,419786,3711060,4958326,75803,9128147719,3623003,226012900,7682
538285.45,14,253952,62,437081,28794918058,26,73289147,0,2846,31,31,2860,2847,43,1494,3756218,18,171472,16,284430155,2990,1,0,4,4649,543615978,10,2174399280,15,45,8,18553,1494,0,0,238987637,8444162,9474555580,0,1494,1533,3,1,14,14,5322,3,9467147301,9098954806,320164292,551581073,551613841,1,3,1,28682215828,73389,73389,14,14,14,551581077,9,3,429785,3847324,5128968,78589,9467147301,3756218,233867538,7985
540294.07,17,253952,62,451942,29774495442,26,75079134,0,2953,32,32,2860,2944,45,1494,3911310,18,177244,16,286891619,2990,1,0,4,4649,561912835,10,2247651340,15,46,8,18553,1494,0,0,247902845,8860772,9841239609,0,1494,1533,3,1,14,14,5322,3,9833219440,9412091346,331263460,570138051,570138051,1,3,1,29646326716,73389,73389,14,14,14,570121671,9,3,436317,4005951,5304237,81621,9833219440,3911310,242607778,7985
542304.14,18,253952,62,468183,30843957470,26,77310867,0,3056,32,32,2860,3047,45,1494,4091659,18,183545,16,287844833,2990,1,0,4,4649,581908366,10,2327568720,15,46,8,18553,1494,0,0,257555704,9205824,10234654842,0,1494,1533,3,1,14,14,5322,3,10226575149,9753369228,343485336,590419667,590419667,1,3,1,30701822716,73389,73389,14,14,14,590419671,9,3,442525,4190199,5545731,84872,10226575149,4091659,252019468,7985
543329.86,18,253952,62,475806,31346375318,27,78255146,1,3104,34,34,2860,3127,45,1494,4167480,18,186584,25,296114388,2997,1,1228,4,4649,591599349,10,2366397396,24,55,17,18769,1494,1228,1291,262655772,9343089,10410853311,8,1494,1533,3,1,14,14,5322,3,10401294357,9912154684,433087771,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,9,3,460576,4267795,5664242,86287,10401294357,4167480,257001188,7985
