timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
418512.83,28,253952,62,119057,7843025114,6,23542201,960,10,10,2356,820,2,585,1070232,32,46836,19,118414486,1172,1,0,4,3809,148459818,9,593710212,18,24,2704,11,1850,585,0,0,73379019,3782103,2502714015,0,585,708,3,1,14,14,4501,3,2500597067,2472048007,100428202,150642705,150642705,1,3,1,7833420692,73389,73389,14,14,14,150642709,12,3,139486,1099419,1576224,20803,2500597067,1070232,71804329,2334
420525.05,29,253952,62,130789,8616888790,6,25420015,1051,11,11,2356,894,3,585,1184639,32,51476,19,118414486,1172,1,0,4,3809,163140913,9,652563652,18,25,2704,11,1850,585,0,0,80706539,4190448,2746209000,0,585,708,3,1,14,14,4501,3,2743583040,2715772227,110001846,165517601,165533985,1,3,1,8606915284,73389,73389,14,14,14,165517605,12,3,149076,1216559,1735959,22821,2743583040,1184639,78973359,2334
422533.75,31,253952,62,142586,9393190340,6,27804165,1140,11,11,2356,969,3,594,1300431,32,56106,19,120169355,1190,1,0,4,3809,177829409,9,711317636,18,25,2704,11,1850,594,0,0,88082504,4667738,2991372725,0,594,719,3,1,14,14,4501,3,2988383310,2960290884,120209123,180446411,180446411,1,3,1,9383213404,73389,73389,14,14,14,180446415,12,3,158986,1335156,1899385,24854,2988383310,1300431,86186157,2369
424547.73,37,253952,62,153943,10142176366,6,30193870,1246,11,11,2356,1042,13,594,1409934,32,60574,19,120169355,1190,1,0,4,3809,192026115,9,767975048,18,25,2704,11,1850,594,0,0,95422207,5080799,3228289691,0,594,719,3,1,14,14,4501,3,3225312044,3196105777,130317650,194848330,194848330,1,3,1,10132113192,73389,73389,14,14,14,194848334,12,3,166781,1447342,2037972,26821,3225312044,1409934,93387504,2369
426562.97,42,253952,62,165950,10934086574,6,32467597,1313,11,11,2356,1119,13,594,1522771,32,65321,19,120483071,1190,1,0,4,3809,207048321,9,828193284,18,25,2704,11,1850,594,0,0,102662089,5419596,3476929757,0,594,719,3,1,14,14,4501,3,3473968849,3445515546,140151649,210067290,210067290,1,3,1,10923499112,73389,73389,14,14,14,210067294,12,3,175142,1562849,2207049,28879,3473968849,1522771,100458550,2369
428573.13,64,253952,62,177761,11711920994,6,34723568,1397,11,11,2356,1198,13,603,1637258,32,69961,19,121982096,1208,1,0,4,3809,221754554,9,887018216,18,25,2704,11,1850,603,0,0,110282420,5911887,3723882819,0,603,731,3,1,14,14,4501,3,3721431467,3690310073,150498236,225008166,225040934,1,3,1,11700424664,73389,73389,14,14,14,225008170,12,3,189037,1680140,2379439,30937,3721431467,1637258,107906742,2404
430586.67,64,253952,62,189675,12496433226,6,36672133,1473,11,11,2356,1269,13,603,1749878,32,74651,19,122295812,1208,1,0,4,3809,236646693,9,946522148,18,25,2704,11,1850,603,0,0,117942587,6391420,3967416936,0,603,731,3,1,14,14,4501,3,3963704033,3937068529,160559967,240137458,240137458,1,3,1,12487147848,73389,73389,14,14,14,240137462,12,3,196013,1795495,2550272,32942,3963704033,1749878,115396342,2404
432592.25,64,253952,62,199664,13153419750,8,39557481,1533,11,11,2356,1335,13,612,1823917,32,78529,19,124108808,1226,1,0,4,3809,248980577,9,995857632,18,25,2704,11,1850,612,0,0,123100689,6433464,4177763050,0,612,736,3,1,14,14,4501,3,4174231795,4144229906,168632780,252741899,252758283,1,3,1,13142578780,73389,73389,14,14,14,252741903,12,3,201475,1871386,2629190,34690,4174231795,1823917,120475734,2433
434604.89,67,253952,62,209306,13789408236,9,41146627,1609,14,14,2356,1397,13,621,1909517,32,82373,19,125920967,1244,1,0,4,3809,261122657,9,1044425884,18,28,2704,11,1850,621,0,0,128861999,6743124,4383060721,0,621,745,3,1,14,14,4501,3,4378935515,4345040039,176279108,264944488,264944488,1,3,1,13777113408,73389,73389,14,14,14,264944492,12,3,215593,1958911,2757009,36391,4378935515,1909517,126109431,2469
436615.62,69,253952,62,219939,14491573630,9,43982211,1719,14,14,2356,1472,13,630,2011490,32,86566,19,127362634,1262,1,0,4,3809,274388802,9,1097490372,18,28,2704,11,1850,630,0,0,135713570,7276601,4604765715,0,630,754,3,1,14,14,4501,3,4600831781,4566250276,186469155,278432777,278432777,1,3,1,14477652468,73389,73389,14,14,14,278416397,12,3,222471,2063237,2883865,38237,4600831781,2011490,132834385,2502
438629.52,69,253952,62,231650,15262878582,9,46294096,1811,14,14,2356,1539,13,630,2128435,32,91162,19,127362634,1262,1,0,4,3809,288996701,9,1155922196,18,28,2704,11,1850,630,0,0,143049976,7715239,4856828015,0,630,754,3,1,14,14,4501,3,4852621876,4809576821,196475410,293234389,293234389,1,3,1,15248188260,73389,73389,14,14,14,293234393,12,3,227363,2184165,3001467,40311,4852621876,2128435,140052422,2502
440634.58,71,253952,62,243018,16011004858,9,48072678,1898,14,14,2356,1612,13,639,2227231,32,95593,19,128861545,1280,1,0,4,3809,303077461,9,1212245144,18,28,2704,11,1850,639,0,0,149912764,8079962,5098363299,0,639,759,3,1,14,14,4501,3,5093794225,5045473975,205498117,307597951,307597951,1,3,1,15995093484,73389,73389,14,14,14,307597955,12,3,237317,2285394,3151183,42311,5093794225,2227231,146766737,2526
442644.78,71,253952,62,251969,16600308068,12,51388799,1945,16,16,2356,1672,13,675,2283258,32,99136,19,135369476,1352,1,0,4,3809,314243871,9,1256975484,18,30,2704,11,1850,675,0,0,153953641,8105863,5290590667,0,675,781,3,1,14,14,4501,3,5286264131,5232040882,212879397,318856745,318889513,1,3,1,16580550772,73389,73389,14,14,14,318856749,12,3,249872,2342916,3249079,43924,5286264131,2283258,150709874,2639
444649.54,71,253952,62,261580,17232655998,13,52927893,2010,16,16,2356,1731,13,711,2357931,32,102842,19,141934707,1424,1,0,4,3809,326075745,9,1304302980,18,30,2704,11,1850,711,0,0,159040047,8223285,5501650938,0,711,817,3,1,14,14,4501,3,5496330569,5432217332,219612240,330954997,330954997,1,3,1,17209659876,73389,73389,14,14,14,330955001,12,3,256822,2419451,3348824,45670,5496330569,2357931,155696724,2755
446663.43,72,253952,62,270514,17820966000,14,54771645,2091,18,18,2356,1794,13,711,2432593,32,106390,19,141934707,1424,1,0,4,3809,337235122,9,1348940488,18,32,2704,11,1850,711,0,0,164046112,8410393,5699120486,0,711,817,3,1,14,14,4501,3,5693852705,5618322701,226632534,342207758,342207758,1,3,1,17794803448,73389,73389,14,14,14,342207762,12,3,275884,2495961,3479656,47319,5693852705,2432593,160572126,2755
448676.57,76,253952,62,280966,18510215962,14,55625995,2189,18,18,2356,1858,13,720,2533373,32,110494,19,143376311,1442,1,0,4,3809,350273349,9,1401028756,18,32,2704,11,1850,720,0,0,170811286,8861225,5923867903,0,720,829,3,1,14,14,4501,3,5919059503,5835871506,234684089,355413645,355430029,1,3,1,18481509572,73389,73389,14,14,14,355413649,12,3,283052,2599148,3620368,49189,5919059503,2533373,167196809,2788
450681.57,77,253952,62,291105,19178331532,14,56515466,2285,18,18,2356,1927,13,729,2622925,32,114417,19,144874599,1460,1,0,4,3809,362787326,9,1451149304,18,32,2704,11,1850,729,0,0,176783976,9072496,6147773852,0,729,842,3,1,14,14,4501,3,6141950850,6047090293,241735955,368207132,368207132,1,3,1,19146770896,73389,73389,14,14,14,368207136,12,3,289336,2690828,3722427,51055,6141950850,2622925,173067648,2825
452686.88,78,253952,62,299285,19716636156,16,59207501,2355,19,19,2356,1975,13,729,2677013,32,117638,19,144874599,1460,1,0,4,3809,372965349,9,1491796688,18,33,2704,11,1850,729,0,0,180635675,9075390,6331984345,0,729,842,3,1,14,14,4501,3,6326424938,6217500912,248287216,378481171,378497555,1,3,1,19681020924,73389,73389,14,14,14,378481175,12,3,297652,2746378,3803438,52578,6326424938,2677013,176838481,2825
454701.01,78,253952,62,307677,20270089276,17,60727487,2413,21,21,2356,2029,13,783,2740464,32,120932,19,154806728,1568,1,0,4,3809,383363314,9,1533388504,18,35,2704,11,1850,783,0,0,184845664,9114114,6526164702,0,783,876,3,1,14,14,4501,3,6521223486,6393378548,254030859,389010877,389027261,1,3,1,20228565636,73389,73389,14,14,14,389010881,12,3,318626,2811399,3907552,54195,6521223486,2740464,180944517,2980
456710.98,81,253952,62,318168,20961138658,17,62287632,2506,22,22,2356,2099,13,837,2850728,32,125034,19,164425857,1676,1,0,4,3809,396375744,9,1585374020,18,36,2704,11,1850,837,0,0,191732366,9502527,6768654577,0,837,935,3,1,14,14,4501,3,6762179946,6612806885,262859215,402176248,402176248,1,3,1,20913164928,73389,73389,14,14,14,402176252,12,3,325197,2924192,4069373,56195,6762179946,2850728,187669622,3178
458718.67,82,253952,62,329505,21707570678,17,65057254,2593,22,22,2356,2168,13,882,2965228,32,129449,19,172890653,1766,1,0,4,3809,410343268,9,1641308324,18,36,2704,11,1850,882,0,0,198875673,10010588,7025695917,0,882,989,3,1,14,14,4501,3,7019504009,6849825600,273263676,416391910,416408294,1,3,1,21652379352,73389,73389,14,14,14,416391914,12,3,333996,3041369,4217014,58322,7019504009,2965228,194665523,3363
460729.48,82,253952,62,341604,22505606726,17,67214342,2690,22,22,2356,2243,13,1026,3086130,32,134155,19,198357392,2054,1,0,4,3809,425315065,9,1701195672,18,36,2704,11,1850,1026,0,0,206101613,10344264,7303785372,0,1026,1156,3,1,14,14,4501,3,7297086721,7103493916,282939895,431594486,431594486,1,3,1,22442913304,73389,73389,14,14,14,431594490,12,3,342923,3165105,4352959,60613,7297086721,3086130,201755761,3932
462734.49,82,253952,62,352572,23227892648,18,69983717,2760,22,22,2356,2315,13,1125,3190458,32,138384,19,215511661,2252,1,0,4,3809,438715457,9,1754797088,18,36,2704,11,1850,1125,0,0,211980705,10598860,7568199943,0,1125,1282,3,1,14,14,4501,3,7561147527,7333824430,291855507,445284145,445284145,1,3,1,23154775572,73389,73389,14,14,14,445284149,12,3,353901,3272666,4469486,62805,7561147527,3190458,207518551,4320
464750.41,83,253952,62,362889,23907395140,19,72355663,2810,23,23,2356,2377,13,1152,3277279,32,142439,19,220960505,2306,1,0,4,3809,451536035,9,1806079544,18,37,2704,11,1850,1152,0,0,217104879,10695507,7818412311,0,1152,1302,3,1,14,14,4501,3,7811808579,7550673647,299438149,458156319,458172703,1,3,1,23824128620,73389,73389,14,14,14,458156323,12,3,363905,3361628,4578710,64886,7811808579,3277279,212533718,4395
466758.01,85,253952,62,374175,24650231926,19,73420121,2901,23,23,2356,2448,13,1152,3390806,32,146825,19,221575871,2306,1,0,4,3809,465471378,9,1861756172,18,37,2704,11,1850,1152,0,0,223656846,11174269,8086892847,0,1152,1302,3,1,14,14,4501,3,8079268358,7787080382,307482065,472290505,472290505,1,3,1,24559106292,73389,73389,14,14,14,472290509,12,3,365277,3479320,4706276,67093,8079268358,3390806,218958349,4395
468772.36,86,253952,62,385969,25427555534,19,74160501,2995,23,23,2356,2525,13,1161,3522632,32,151421,19,223388630,2324,1,0,4,3809,480029210,9,1920052172,18,37,2704,11,1850,1161,0,0,230591203,11574379,8371133144,0,1161,1315,3,1,14,14,4501,3,8363135429,8034883792,315546743,487055031,487055031,1,3,1,25326861644,73389,73389,14,14,14,487055035,12,3,371362,3614098,4862670,69441,8363135429,3522632,225736556,4434
470777.55,86,253952,62,395657,26065805134,22,77654393,3049,24,24,2356,2586,14,1395,3597426,32,155140,19,263098358,2792,1,0,4,3809,491860416,9,1967376944,18,38,2704,11,1850,1395,0,0,235233263,11671502,8600885851,0,1395,1532,3,1,14,14,4501,3,8592828855,8238218803,323774044,499177859,499177859,1,3,1,25957248700,73389,73389,14,14,14,499177863,12,3,382767,3690832,4947558,71363,8592828855,3597426,230293919,5194
472788.86,88,253952,62,405776,26732426860,22,78575895,3124,26,26,2356,2647,15,1503,3682004,32,159121,19,283180222,3008,1,0,4,3809,504473980,9,2017895920,18,40,2704,11,1850,1503,0,0,240712811,11929729,8841037876,0,1503,1648,3,1,14,14,4501,3,8833406515,8450629369,330422517,511851710,511851710,1,3,1,26616288952,73389,73389,14,14,14,511851714,12,3,396535,3779541,5071695,73358,8833406515,3682004,235649540,5575
474794.18,90,253952,62,416683,27451128516,22,79806671,3208,26,26,2356,2719,15,1530,3783170,32,163330,19,290358583,3062,1,0,4,3809,517796993,9,2071187972,18,40,2704,11,1850,1530,0,0,246863248,12213373,9102479554,0,1530,1675,3,1,14,14,4501,3,9095176982,8680053061,337995718,525477548,525477548,1,3,1,27323980560,73389,73389,14,14,14,525461168,12,3,402847,3883173,5185494,75524,9095176982,3783170,241686406,5662
476809.35,90,253952,62,426547,28099856094,23,82509595,3247,26,26,2356,2781,15,1530,3849001,32,167136,19,291360061,3062,1,0,4,3809,529879996,9,2119455576,18,40,2704,11,1850,1530,0,0,251214324,12213536,9340651835,0,1530,1675,3,1,14,14,4501,3,9332371411,8886901485,345121615,537783203,537783203,1,3,1,27964726588,73389,73389,14,14,14,537783207,12,3,411684,3950854,5279483,77477,9332371411,3849001,245943703,5662
478814.63,90,253952,62,436364,28746710080,23,83948809,3297,26,26,2356,2841,16,1530,3919452,32,170922,19,292277077,3062,1,0,4,3809,541938906,9,2167755624,18,40,2704,11,1850,1530,0,0,255810044,12216708,9574277302,0,1530,1675,3,1,14,14,4501,3,9565279167,9092729209,351160425,550080222,550080222,1,3,1,28604171576,73389,73389,14,14,14,550080226,12,3,416521,4023234,5359463,79397,9565279167,3919452,250459636,5662
480823.48,92,253952,62,446708,29428089472,23,85211430,3369,27,27,2356,2909,16,1530,4033956,32,175018,19,293218225,3062,1,0,4,3809,554854552,9,2219418208,18,41,2704,11,1850,1530,0,0,261874280,12843624,9828092754,0,1530,1675,3,1,14,14,4501,3,9820442747,9310307154,359106915,562983449,562983449,1,3,1,29275139380,73389,73389,14,14,14,562983453,12,3,421705,4140213,5489342,81508,9820442747,4033956,256394206,5662
482833.51,92,253952,62,458550,30209849870,23,86140947,3461,27,27,2356,2982,16,1530,4160434,32,179621,19,293845657,3062,1,0,4,3809,569470071,9,2277751292,18,41,2704,11,1850,1530,0,0,268597882,13277311,10121794439,0,1530,1675,3,1,14,14,4501,3,10113122094,9560017964,367180301,577788491,577804875,1,3,1,30045001564,73389,73389,14,14,14,577788495,12,3,424714,4269538,5631014,83931,10113122094,4160434,262976378,5662
484838.26,92,253952,62,469481,30929192122,24,88614949,3518,27,27,2356,3053,16,1530,4238129,32,183764,19,293881855,3062,1,0,4,3809,582664078,9,2330591780,18,41,2704,11,1850,1530,0,0,273279805,13282855,10387155764,0,1530,1675,3,1,14,14,4501,3,10379426905,9789876958,374337985,591416932,591416932,1,3,1,30753680496,73389,73389,14,14,14,591416936,12,3,438911,4349258,5726902,86122,10379426905,4238129,267562618,5662
486072.75,92,253952,62,476292,31378081022,24,89208196,3569,29,29,2356,3127,16,1530,4295390,32,186584,26,301523978,3069,1,1228,4,3809,591599349,9,2366397396,25,50,2704,18,1882,1530,1228,108,277211061,13410414,10539546714,8,1530,1675,3,1,14,14,4501,3,10529734895,9931510716,468661210,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,12,3,444150,4407942,5806846,87322,10529734895,4295390,271414071,5662
