timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
871998.96,253952,62,179241,11808807090,35,42280745,0,206,37,37,4920,143,675,813674,23,46279,42,164,144004148,1352,1,0,41,51,23,13,2531,675,0,0,0,34264327,911395,3505349088,0,675,438,2,1,14,14,5576,1,3504311248,3455727740,145146784,268032428,268032428,1,2,1,11793426832,73389,73389,14,14,14,268032428,11,1,3,559455,833277,1995438,26758,3504311248,813674,32270409,1992
874002.86,253952,62,200983,13241654362,35,43052908,0,211,42,42,4920,147,675,891127,23,52386,42,164,144535052,1352,1,0,41,56,23,13,2531,675,0,0,0,38278583,911498,3922322560,0,675,438,2,1,14,14,5576,1,3922955216,3874562479,152619230,300596394,300596394,1,2,1,13226241336,73389,73389,14,14,14,300596394,11,1,3,572570,912933,2101426,29952,3922955216,891127,36178837,1992
876006.70,253952,62,223016,14693572610,35,43052908,0,214,42,42,4920,150,675,968117,23,58604,42,164,145331408,1352,1,0,41,56,23,13,2531,675,0,0,0,42308718,911555,4345331712,0,675,438,2,1,14,14,5576,1,4346842064,4299050992,158578200,333594536,333594536,1,2,1,14678159584,73389,73389,14,14,14,333594536,11,1,3,574112,992089,2193298,33186,4346842064,968117,40117272,1992
878019.01,253952,62,242077,15949390606,37,46507210,0,230,42,42,4920,153,675,1059887,23,63968,42,164,145596860,1352,1,0,41,56,23,13,2531,675,0,0,0,46426632,1070943,4709085973,0,675,438,2,1,14,14,5576,1,4713712592,4666105340,183662303,362138833,362138833,1,2,1,15933387756,73389,73389,14,14,14,362122449,11,1,3,581933,1086183,2317611,35985,4713712592,1059887,44111030,1992
880027.63,253952,62,257151,16942854762,39,52351914,0,280,43,43,4920,156,675,1175379,23,68243,42,164,146127764,1352,1,0,41,57,23,13,2531,675,0,0,0,50714087,1615424,5004937343,0,675,438,2,1,14,14,5576,1,5004299216,4956579066,195260013,384695222,384711606,1,2,1,16926589768,73389,73389,14,14,14,384695222,11,1,3,595344,1204163,2497246,38202,5004299216,1175379,48218998,1992
882037.06,253952,62,271911,17915475162,39,55005793,0,330,43,43,4920,158,675,1289522,23,72380,42,164,146658668,1352,1,0,41,57,23,13,2531,675,0,0,0,54786191,2275165,5287818563,0,675,438,2,1,14,14,5576,1,5288463312,5240823300,203093112,406819594,406819594,1,2,1,17899341240,73389,73389,14,14,14,406803210,11,1,3,599066,1320764,2630547,40370,5288463312,1289522,52157963,1992
884044.24,253952,62,287326,18930595658,40,57765570,0,375,45,45,4920,161,675,1398772,23,76752,42,164,146924120,1352,1,0,41,59,23,13,2531,675,0,0,0,58920887,2820255,5583935561,0,675,438,2,1,14,14,5576,1,5584034635,5537598504,211200325,429894238,429894238,1,2,1,18915346472,73389,73389,14,14,14,429894238,11,1,3,608733,1432406,2791643,42629,5584034635,1398772,56131714,1992
886053.27,253952,62,303111,19970655910,42,62142653,0,424,46,46,4920,163,675,1507499,23,81166,42,164,147189572,1352,1,0,41,60,23,13,2531,675,0,0,0,63258276,3441603,5888176062,0,675,438,2,1,14,14,5576,1,5888252747,5841632190,221193869,453531971,453531971,1,2,1,19955406724,73389,73389,14,14,14,453531971,11,1,3,614024,1544361,2943170,44950,5888252747,1507499,60317732,1992
888059.08,253952,62,318449,20980962818,42,65890227,0,482,47,47,4920,167,675,1622791,23,85568,42,164,147720476,1352,1,0,41,61,23,13,2531,675,0,0,0,67581210,4105681,6182477461,0,675,438,2,1,14,14,5576,1,6182540649,6136859633,229655021,476489768,476506152,1,2,1,20965549792,73389,73389,14,14,14,476489768,11,1,3,616538,1662037,3104588,47202,6182540649,1622791,64479398,1992
890062.39,253952,62,338749,22318362356,42,67765674,0,499,54,54,4920,171,675,1707116,23,91366,42,164,148516832,1352,1,0,41,68,32,13,2531,675,0,0,0,71655193,4218576,6571998929,0,675,438,2,1,14,14,5576,1,6572814346,6527719043,236452128,506887172,506903556,1,2,1,22303035568,73389,73389,14,14,14,506887172,11,1,3,617722,1749558,3216855,50186,6572814346,1707116,68441289,1992
892065.72,253952,62,360933,23780016008,42,67765674,0,499,54,54,4920,176,675,1784332,23,97690,42,164,149578640,1352,1,0,41,68,32,13,2531,675,0,0,0,75558368,4218704,7000273967,0,675,438,2,1,14,14,5576,1,6999579459,6955021969,247471909,540104339,540120723,1,2,1,23764590916,73389,73389,14,14,14,540104339,11,1,3,635882,1828577,3343940,53448,6999579459,1784332,72217555,1992
894069.98,253952,62,383690,25279021872,42,67765674,0,499,54,54,4920,180,675,1846939,23,104081,42,164,149844092,1352,1,0,41,68,32,13,2531,675,0,0,0,79467909,4218768,7436295829,0,675,438,2,1,14,14,5576,1,7436698472,7393105944,253485741,574192017,574192017,1,2,1,25264448748,73389,73389,14,14,14,574192017,11,1,3,640292,1892997,3437476,56789,7436698472,1846939,76033737,1992
895814.61,253952,62,400982,26415782060,47,67784924,5,504,78,78,4920,191,675,1903777,23,109422,58,175,158511825,1359,1,1038,57,99,69,50,2577,675,376,1038,71,83081500,4229005,7767250786,8,675,438,2,1,14,14,5576,1,7763869224,7725268584,365808278,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,11,1,3,656154,1951204,3571032,59330,7763869224,1903777,79513946,1992
