timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
417969.43,1,253952,62,158016,10410638286,34,63000246,377,42,42,5043,140,675,1176641,2,26,40354,34,30,143738696,1352,1,33,56,78,7,2738,675,37895243,13863221,3091526365,673,565,2,2,1,14,14,3428,1,3095890896,3046993360,132308025,236248417,236264801,1,2,1,10394930348,73389,73389,14,14,14,236248417,14,3,591363,1209708,2575424,23642,3095890896,1176641,35320967,2259
419977.44,1,253952,62,173152,11407900222,36,68142960,419,43,43,5043,142,675,1314551,2,26,44588,34,30,144004148,1352,1,33,57,78,7,2738,675,42000502,16643154,3384182398,673,565,2,2,1,14,14,3428,1,3387263952,3338503830,148366080,258921653,258921653,1,2,1,11391831836,73389,73389,14,14,14,258905269,14,3,608272,1351003,2787617,25865,3387263952,1314551,39214139,2259
421993.05,1,253952,62,187841,12375602114,37,71766920,456,44,44,5043,144,675,1449139,2,26,48688,34,30,144269600,1352,1,33,58,78,7,2738,675,46135782,19267557,3667404834,673,565,2,2,1,14,14,3428,1,3669986256,3621481748,161457441,280908920,280908920,1,2,1,12359271584,73389,73389,14,14,14,280892536,14,3,624621,1487867,2987854,28022,3669986256,1449139,43149291,2259
424006.79,1,253952,62,202326,13330200114,39,76043444,490,46,46,5043,147,675,1578917,2,26,52806,34,30,144800504,1352,1,33,60,78,7,2738,675,50303127,21580524,3944861636,673,565,2,2,1,14,14,3428,1,3948645328,3900456038,174190142,302607308,302607308,1,2,1,13314000656,73389,73389,14,14,14,302590924,14,3,635528,1620624,3170479,30148,3948645328,1578917,47144022,2259
426019.75,1,253952,62,219039,14431343226,41,80858063,524,50,50,5043,149,675,1730570,2,26,57488,34,30,145065956,1352,1,33,64,78,7,2738,675,54468423,22798736,4263483580,673,565,2,2,1,14,14,3428,1,4270558160,4222389468,187142768,327635522,327635522,1,2,1,14415962968,73389,73389,14,14,14,327635522,14,3,658847,1774707,3392515,32604,4270558160,1730570,51077489,2259
428033.61,1,253952,62,233447,15380894954,44,87613288,561,52,52,5043,152,675,1883113,2,26,61570,34,30,145596860,1352,1,33,66,78,7,2738,675,58358425,25035806,4546699114,673,565,2,2,1,14,14,3428,1,4547775440,4499916773,202717484,349219222,349219222,1,2,1,15364924872,73389,73389,14,14,14,349202838,14,3,671903,1929428,3589669,34719,4547775440,1883113,54770443,2259
430044.41,1,253952,62,248394,16365770586,47,92966301,588,53,53,5043,154,675,2025075,2,26,65763,34,30,145862312,1352,1,33,67,78,7,2738,675,62732950,27833309,4835022446,673,565,2,2,1,14,14,3428,1,4835478480,4787820663,218016204,371589354,371605738,1,2,1,16349931576,73389,73389,14,14,14,371589354,14,3,687864,2073577,3798261,36914,4835478480,2025075,58936471,2259
432050.01,1,253952,62,260363,17154418202,51,98391506,641,53,53,5043,156,675,2111303,2,26,69117,34,30,146127764,1352,1,33,67,78,7,2738,675,65838581,28762025,5067364970,673,565,2,2,1,14,14,3428,1,5066034128,5018425486,228780166,389519866,389519866,1,2,1,17138874104,73389,73389,14,14,14,389519866,14,3,693959,2161402,3903607,38673,5066034128,2111303,61936838,2259
434064.28,1,253952,62,272848,17977413298,51,100175926,670,57,57,5043,158,675,2197611,2,26,72650,34,30,146658668,1352,1,33,71,78,7,2738,675,68569963,29285075,5306661305,673,565,2,2,1,14,14,3428,1,5306551248,5258961091,233829119,408224300,408224300,1,2,1,17961148304,73389,73389,14,14,14,408207916,14,3,716429,2249246,4026706,40508,5306551248,2197611,64545213,2259
436072.28,1,253952,62,287281,18927646538,51,103800042,701,58,58,5043,161,675,2344517,2,26,76742,34,30,146924120,1352,1,33,72,78,7,2738,675,72662272,31749639,5582282649,673,565,2,2,1,14,14,3428,1,5583379275,5536688122,246930164,429828702,429828702,1,2,1,18911741992,73389,73389,14,14,14,429812318,14,3,739315,2399962,4237755,42624,5583379275,2344517,68426573,2259
438080.58,1,253952,62,302130,19906099642,51,108429375,743,60,60,5043,163,675,2468576,2,26,80903,34,30,147189572,1352,1,33,74,78,7,2738,675,76728731,33884486,5866295685,673,565,2,2,1,14,14,3428,1,5869247307,5822722383,260195169,452067762,452067762,1,2,1,19890981528,73389,73389,14,14,14,452067762,14,3,767338,2526161,4483561,44805,5869247307,2468576,72247337,2259
440088.98,1,253952,62,316388,20845096766,55,115048097,780,61,61,5043,167,675,2594708,2,26,85040,34,30,147720476,1352,1,33,75,78,7,2738,675,80614494,35998861,6143254687,673,565,2,2,1,14,14,3428,1,6142956905,6097203046,274921737,473407861,473407861,1,2,1,20829945884,73389,73389,14,14,14,473407861,14,3,799405,2654418,4679298,46900,6142956905,2594708,75936474,2259
442093.60,1,253952,62,327936,21606153726,59,120181238,817,61,61,5043,169,675,2648691,2,26,88265,34,30,148251380,1352,1,33,75,78,7,2738,675,83118060,36140731,6366687951,673,565,2,2,1,14,14,3428,1,6365517161,6319615455,283014055,490707589,490707589,1,2,1,21591133916,73389,73389,14,14,14,490707589,14,3,809880,2709682,4749059,48598,6365517161,2648691,78371357,2259
444098.84,1,253952,62,341351,22489948836,59,121907229,875,67,67,5043,172,675,2721813,2,26,92131,34,30,148782284,1352,1,33,81,78,7,2738,675,86100298,36742520,6623238963,673,565,2,2,1,14,14,3428,1,6623408138,6577850999,288933867,510802504,510802504,1,2,1,22475310176,73389,73389,14,14,14,510802504,14,3,833798,2784526,4895680,50572,6623408138,2721813,81207074,2259
446113.38,1,253952,62,353385,23282856292,65,129438107,890,71,71,5043,174,675,2783156,2,26,95529,34,30,149047736,1352,1,33,85,78,7,2738,675,88671746,36963744,6854678030,673,565,2,2,1,14,14,3428,1,6855012362,6809734151,299598662,528814936,528814936,1,2,1,23267136288,73389,73389,14,14,14,528798552,14,3,848050,2847304,5001838,52339,6855012362,2783156,83672544,2259
448125.04,1,253952,62,368656,24288805056,66,133193599,931,72,72,5043,177,675,2907661,2,26,99862,34,30,149844092,1352,1,33,86,78,7,2738,675,92647528,38942668,7147735259,673,565,2,2,1,14,14,3428,1,7147952963,7103721035,310940197,551682621,551682621,1,2,1,24273314428,73389,73389,14,14,14,551666237,14,3,869908,2974029,5191593,54580,7147952963,2907661,87458691,2259
450130.94,1,253952,62,383899,25292718896,67,137040811,977,72,72,5043,180,675,3036325,2,26,104170,34,30,149844092,1352,1,33,86,78,7,2738,675,96603572,40284821,7440913394,673,565,2,2,1,14,14,3428,1,7440630632,7397093736,318889988,574503313,574503313,1,2,1,25278145772,73389,73389,14,14,14,574503313,14,3,876823,3104871,5336333,56819,7440630632,3036325,91270105,2259
452136.40,1,253952,62,394561,25994396932,70,141865818,1005,72,72,5043,184,675,3084195,2,26,107309,34,30,150905900,1352,1,33,86,78,7,2738,675,98882732,40366630,7646750823,673,565,2,2,1,14,14,3428,1,7644025157,7602182284,328300199,590453520,590453520,1,2,1,25979954880,73389,73389,14,14,14,590453520,14,3,877109,3153864,5383231,58383,7644025157,3084195,93502453,2259
