timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1215429.61,253952,62,136462,8990701606,23,45684369,359,27,27,6026,136,675,1167683,2,60,34230,26,15,142942340,1352,1,25,41,127,5,332,675,36072311,6577775,2681688019,673,575,2,2,1,14,14,3605,1,2681862960,2632093612,99403001,203962979,203979363,1,2,1,8974371076,73389,73389,14,14,14,203962979,3037,3,566604,1190252,2561276,20480,2681862960,1167683,33512133,2247
1217442.95,253952,62,149900,9876152510,24,47971265,400,29,29,6026,138,675,1295817,2,60,38011,26,15,143207792,1352,1,25,43,127,5,332,675,40050685,7068123,2940552176,673,575,2,2,1,14,14,3605,1,2940336944,2890888549,106425457,224101013,224117397,1,2,1,9860444572,73389,73389,14,14,14,224101013,3037,3,573579,1321010,2722462,22452,2940336944,1295817,37329445,2247
1219452.42,253952,62,163540,10774517314,26,51152004,451,29,29,6026,140,675,1431927,2,60,41840,26,15,143738696,1352,1,25,43,127,5,332,675,44180087,7648324,3201099674,673,575,2,2,1,14,14,3605,1,3202190288,3153392907,114577383,244515416,244531800,1,2,1,10758678304,73389,73389,14,14,14,244515416,3037,3,575978,1459714,2900529,24453,3202190288,1431927,41280906,2247
1221459.04,253952,62,176700,11641483758,26,53401494,498,31,31,6026,143,675,1556977,2,60,45597,26,15,144004148,1352,1,25,45,127,5,332,675,48138813,8057455,3454731807,673,575,2,2,1,14,14,3605,1,3455552464,3406837910,121052978,264229625,264229625,1,2,1,11625382604,73389,73389,14,14,14,264213241,3037,3,586213,1587213,3063265,26386,3455552464,1556977,45077036,2247
1223465.09,253952,62,191832,12638749002,28,56391618,535,34,34,6026,145,675,1680367,2,60,49834,26,15,144535052,1352,1,25,48,127,5,332,675,52609380,8455604,3746507227,673,575,2,2,1,14,14,3605,1,3746925520,3698321971,130373759,286884318,286900702,1,2,1,12622909992,73389,73389,14,14,14,286884318,3037,3,602092,1713145,3245970,28609,3746925520,1680367,49365042,2247
1225468.83,253952,62,211206,13915610670,28,59570318,553,48,48,6026,148,675,1771002,2,60,55274,27,15,145065956,1352,1,26,62,157,5,336,675,56633955,8558051,4119694685,673,575,2,2,1,14,14,3605,1,4119825360,4071574683,137671986,315893400,315915817,1,2,1,13899309600,73389,73389,14,14,14,315893400,3037,3,607776,1805829,3368582,31454,4119825360,1771002,53267157,2247
1227472.20,253952,62,234172,15428674006,28,59570318,553,48,48,6026,152,675,1836743,2,60,61757,27,15,145596860,1352,1,26,62,157,5,336,675,60580669,8558098,4561715787,673,575,2,2,1,14,14,3605,1,4561800144,4513873059,143615667,350306599,350306599,1,2,1,15413490356,73389,73389,14,14,14,350306599,3037,3,610322,1873368,3466412,34826,4561800144,1836743,57116222,2247
1229475.87,253952,62,257366,16956945002,28,59570318,553,48,48,6026,156,675,1902308,2,60,68303,27,15,146127764,1352,1,26,62,157,5,336,675,64534382,8558197,5007797549,673,575,2,2,1,14,14,3605,1,5008231376,4960677658,149651490,385022902,385039286,1,2,1,16941007688,73389,73389,14,14,14,385022902,3037,3,614463,1940777,3561270,38232,5008231376,1902308,60975254,2247
1231478.90,253952,62,280964,18511957994,28,59570318,553,48,48,6026,159,675,1967720,2,60,74903,27,15,146658668,1352,1,26,62,157,5,336,675,68428384,8558247,5461745589,673,575,2,2,1,14,14,3605,1,5462526928,5415167358,155584946,420376022,420376022,1,2,1,18496544968,73389,73389,14,14,14,420376022,3037,3,618531,2007958,3647943,41698,5462526928,1967720,64782753,2247
1233482.21,253952,62,303973,20027678846,28,59570318,553,48,48,6026,164,675,2032335,2,60,81455,27,15,147455024,1352,1,26,62,157,5,336,675,72373822,8558276,5905601446,673,575,2,2,1,14,14,3605,1,5904767819,5858269885,161703067,454813797,454830181,1,2,1,20011807068,73389,73389,14,14,14,454813797,3037,3,624788,2074305,3732936,45076,5904767819,2032335,68643378,2247
1235485.38,253952,62,327232,21559750930,28,59570318,553,48,48,6026,169,675,2105994,2,60,88029,27,15,147985928,1352,1,26,62,157,5,336,675,76324721,8558438,6352632684,673,575,2,2,1,14,14,3605,1,6352016745,6306044917,167759526,489652980,489652980,1,2,1,21544731120,73389,73389,14,14,14,489652980,3037,3,630253,2149648,3811780,48495,6352016745,2105994,72515603,2247
1237488.74,253952,62,350174,23071092936,28,59570318,553,48,48,6026,173,675,2181373,2,60,94591,27,15,148782284,1352,1,26,62,157,5,336,675,80225335,8558526,6794196975,673,575,2,2,1,14,14,3605,1,6793015306,6747827740,173766244,523992451,524008835,1,2,1,23055667844,73389,73389,14,14,14,523992451,3037,3,634944,2226661,3910503,51866,6793015306,2181373,76317668,2247
1239492.29,253952,62,373330,24596713032,28,59570318,553,48,48,6026,178,675,2252746,2,60,101179,27,15,149844092,1352,1,26,62,157,5,336,675,84118036,8558758,7238305018,673,575,2,2,1,14,14,3605,1,7237606211,7193709442,179761938,558682019,558682019,1,2,1,24582008836,73389,73389,14,14,14,558682019,3037,3,638541,2299740,4017959,55264,7237606211,2252746,80103087,2247
1241495.41,253952,62,396065,26093235144,28,59570318,553,48,48,6026,185,675,2322336,2,60,107755,27,15,151171352,1352,1,26,62,157,5,336,675,87983860,8558936,7674548110,673,575,2,2,1,14,14,3605,1,7672371053,7631062105,185787184,592699843,592699843,1,2,1,26078793092,73389,73389,14,14,14,592699843,3037,3,644521,2371007,4104821,58602,7672371053,2322336,83882229,2247
