timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
196931.71,253952,62,158977,10473883834,21,39922202,391,25,25,5565,140,0,675,1067048,14,40590,28,203,143738696,1352,1,0,27,39,26,12,317,675,0,0,0,36802896,6216148,3114551050,0,675,463,2,1,14,14,655,1,1,3113978832,3065541892,89107916,237679858,237696242,1,2,1,10457913752,73389,73389,14,14,14,237679858,10,3,553339,1089183,2336110,23780,3113978832,1067048,34468161,2159
198936.24,253952,62,170797,11252766586,23,43322724,426,25,25,5565,142,0,675,1133215,14,43922,28,203,144004148,1352,1,0,27,39,26,12,317,675,0,0,0,39468763,6361866,3342061209,0,675,463,2,1,14,14,655,1,1,3341913040,3293143623,96851791,255397378,255397378,1,2,1,11237484632,73389,73389,14,14,14,255397378,10,3,553873,1158536,2418858,25519,3341913040,1133215,37051376,2159
200945.88,253952,62,185255,12205329662,23,44487187,459,28,28,5565,144,0,675,1230747,14,47975,28,203,144269600,1352,1,0,27,42,26,12,317,675,0,0,0,43009865,6968932,3619945593,0,675,463,2,1,14,14,655,1,1,3620309968,3571675521,102806339,277040581,277040581,1,2,1,12189064668,73389,73389,14,14,14,277024197,10,3,567361,1258737,2553624,27643,3620309968,1230747,40457855,2159
202955.15,253952,62,200356,13200297838,23,47457227,502,31,31,5565,146,0,675,1347766,14,52203,28,203,144535052,1352,1,0,27,45,26,12,317,675,0,0,0,47020731,8200423,3904917771,0,675,463,2,1,14,14,655,1,1,3910896592,3862465209,112887024,299648281,299664665,1,2,1,13184524364,73389,73389,14,14,14,299648281,10,3,578767,1378751,2715697,29860,3910896592,1347766,44306811,2159
204962.53,253952,62,214737,14148080094,27,54209604,547,32,32,5565,149,0,675,1467416,14,56291,28,203,145065956,1352,1,0,27,46,26,12,317,675,0,0,0,51044007,8939366,4187259636,0,675,463,2,1,14,14,655,1,1,4187458512,4139560046,125062849,321199213,321199213,1,2,1,14132765372,73389,73389,14,14,14,321199213,10,3,586262,1500770,2884169,31970,4187458512,1467416,48161763,2159
206974.41,253952,62,228993,15087670350,28,57678271,588,33,33,5565,151,0,675,1584071,14,60300,28,203,145596860,1352,1,0,27,47,26,12,317,675,0,0,0,55045006,10021784,4461471620,0,675,463,2,1,14,14,655,1,1,4462185424,4414217484,134438979,342553537,342553537,1,2,1,15071634732,73389,73389,14,14,14,342537153,10,3,594082,1619690,3052385,34066,4462185424,1584071,51994687,2159
208982.38,253952,62,243617,16050846950,28,60295861,622,34,34,5565,153,0,675,1704226,14,64388,28,203,145596860,1352,1,0,27,48,26,12,317,675,0,0,0,59184112,10964196,4744079569,0,675,463,2,1,14,14,655,1,1,4743465936,4695768179,143627276,364444659,364444659,1,2,1,16034844100,73389,73389,14,14,14,364428275,10,3,612793,1742156,3242675,36212,4743465936,1704226,55943653,2159
210994.38,253952,62,257577,16970773098,30,65316457,666,35,35,5565,156,0,675,1830723,14,68364,28,203,146127764,1352,1,0,27,49,26,12,317,675,0,0,0,63243757,12078071,5013828184,0,675,463,2,1,14,14,655,1,1,5012556752,4964773508,154512221,385334198,385350582,1,2,1,16954704712,73389,73389,14,14,14,385334198,10,3,624450,1871007,3451919,38265,5012556752,1830723,59793761,2159
213005.12,253952,62,271515,17889522906,31,69297296,703,37,37,5565,158,0,675,1946480,14,72272,28,203,146658668,1352,1,0,27,51,26,12,317,675,0,0,0,67284961,13179203,5279119341,0,675,463,2,1,14,14,655,1,1,5280992208,5233229956,165160520,406229770,406229770,1,2,1,17874109880,73389,73389,14,14,14,406229770,10,3,639874,1988960,3636870,40313,5280992208,1946480,63650577,2159
215011.34,253952,62,285736,18826288498,32,74278602,741,38,38,5565,160,0,675,2069848,14,76262,28,203,146658668,1352,1,0,27,52,26,12,317,675,0,0,0,71339580,14269029,5554519365,0,675,463,2,1,14,14,655,1,1,5554084238,5507051325,176003677,427514684,427531068,1,2,1,18810646096,73389,73389,14,14,14,427514684,10,3,647255,2114558,3804510,42398,5554084238,2069848,67537701,2159
217015.78,253952,62,297378,19593079858,37,81430361,779,39,39,5565,163,0,675,2142563,14,79599,28,203,147189572,1352,1,0,27,53,26,12,317,675,0,0,0,74216723,14725321,5780067509,0,675,463,2,1,14,14,655,1,1,5777759051,5731211105,187836395,444953676,444953676,1,2,1,19577961744,73389,73389,14,14,14,444953676,10,3,656226,2188743,3919297,44107,5777759051,2142563,70300165,2159
219023.34,253952,62,311204,20503499978,37,83536601,807,45,45,5565,166,0,675,2223057,14,83571,28,203,147720476,1352,1,0,27,59,26,12,317,675,0,0,0,77338814,15029578,6043281903,0,675,463,2,1,14,14,655,1,1,6043342185,5997254618,194045807,465640574,465656958,1,2,1,20488185256,73389,73389,14,14,14,465640574,10,3,667808,2271008,4031350,46140,6043342185,2223057,73310335,2159
221029.77,253952,62,326576,21516493862,40,89580997,857,45,45,5565,168,0,675,2345529,14,87839,28,203,147985928,1352,1,0,27,59,26,12,317,675,0,0,0,81475561,16011984,6338591486,0,675,463,2,1,14,14,655,1,1,6339302761,6293392694,204372786,488672099,488672099,1,2,1,21501572356,73389,73389,14,14,14,488672099,10,3,669573,2395953,4184063,48398,6339302761,2345529,77294501,2159
223040.62,253952,62,340779,22452196792,41,93283441,893,48,48,5565,172,0,675,2461678,14,91930,28,203,148516832,1352,1,0,27,62,26,12,317,675,0,0,0,85661665,17445976,6611293937,0,675,463,2,1,14,14,655,1,1,6612135946,6566821037,216811102,509944503,509944503,1,2,1,22437558132,73389,73389,14,14,14,509944503,10,3,685793,2514441,4374990,50486,6612135946,2461678,81289807,2159
225045.30,253952,62,352695,23237105548,46,100295064,928,48,48,5565,173,0,675,2525442,14,95276,28,203,148782284,1352,1,0,27,62,26,12,317,675,0,0,0,88377925,17642002,6844306738,0,675,463,2,1,14,14,655,1,1,6841643018,6796336251,226946743,527778870,527778870,1,2,1,23222270280,73389,73389,14,14,14,527778870,10,3,688147,2579634,4460871,52237,6841643018,2525442,83920285,2159
227049.82,253952,62,363508,23949567564,46,101969322,970,48,48,5565,176,0,675,2579020,14,98392,28,203,149578640,1352,1,0,27,62,26,12,317,675,0,0,0,90705873,17642146,7051090927,0,675,463,2,1,14,14,655,1,1,7048993603,7004564784,230961832,543972678,543972678,1,2,1,23934797832,73389,73389,14,14,14,543972678,10,3,693128,2634477,4543867,53825,7048993603,2579020,86165323,2159
229054.36,253952,62,376389,24798249464,46,103561142,1009,51,51,5565,178,0,675,2655283,14,102011,28,203,149844092,1352,1,0,27,65,26,12,317,675,0,0,0,93541790,17869421,7296044658,0,675,463,2,1,14,14,655,1,1,7296981827,7252637643,235954014,563244519,563260903,1,2,1,24782758836,73389,73389,14,14,14,563244519,10,3,704142,2712362,4651796,55717,7296981827,2655283,88893428,2159
231061.29,253952,62,387249,25513591756,50,107831604,1023,54,54,5565,181,0,675,2714214,14,105143,28,203,150374996,1352,1,0,27,68,26,12,317,675,0,0,0,95892509,17976443,7506982898,0,675,463,2,1,14,14,655,1,1,7505206718,7461639581,242767399,579506022,579522406,1,2,1,25498264968,73389,73389,14,14,14,579506022,10,3,723380,2772616,4758653,57312,7505206718,2714214,91137378,2159
233070.70,253952,62,400119,26359626064,52,112901128,1061,57,57,5565,188,0,675,2819931,14,109023,28,203,151171352,1352,1,0,27,71,26,12,317,675,0,0,0,99907760,19011911,7749918414,0,675,463,2,1,14,14,655,1,1,7748887294,7708908327,254084461,598757161,598757161,1,2,1,26344594188,73389,73389,14,14,14,598740777,10,3,761316,2880416,5021605,59198,7748887294,2819931,94889817,2159
233325.44,253952,62,400982,26415782060,52,113616712,1063,58,58,5565,191,1,675,2827992,14,109422,35,203,158511825,1359,1,1038,34,79,26,27,361,675,537,1038,1251,100418326,19238894,7767508455,8,675,463,2,1,14,14,655,1,1,7763869224,7725268584,314647933,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,10,3,761661,2888627,5048114,59330,7763869224,2827992,95373895,2159
