timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
679647.55,253952,62,146853,9675402510,23,41553465,344,28,28,4261,138,1,675,978040,36,37184,26,41,143207792,1352,1,0,25,42,7,4291,675,0,0,0,34349756,2996848,2880808948,0,675,425,2,1,14,14,449,1,2881747760,2832160488,86466878,219538513,219554897,1,2,1,9659694572,73389,73389,14,14,14,219538513,10,1,3,525101,999446,2092128,22005,2881747760,978040,32258919,1851
681656.53,253952,62,161554,10643566462,25,45021858,392,30,30,4261,140,1,675,1100937,36,41291,26,41,143738696,1352,1,0,25,44,7,4291,675,0,0,0,38546027,3469357,3163255911,0,675,425,2,1,14,14,449,1,3163655120,3115150775,95053567,241548197,241548197,1,2,1,10627399772,73389,73389,14,14,14,241531813,10,1,3,530522,1124836,2236402,24159,3163655120,1100937,36311062,1851
683668.62,253952,62,175650,11572405506,26,49038382,428,30,30,4261,142,1,675,1221388,36,45251,26,41,144004148,1352,1,0,25,44,7,4291,675,0,0,0,42629893,3884366,3435766008,0,675,425,2,1,14,14,449,1,3435105232,3386619903,103738350,262658920,262658920,1,2,1,11556271584,73389,73389,14,14,14,262642536,10,1,3,538238,1247722,2399163,26230,3435105232,1221388,40232311,1851
685675.68,253952,62,189493,12484663942,26,52945868,472,30,30,4261,145,1,675,1340434,36,49187,26,41,144535052,1352,1,0,25,44,7,4291,675,0,0,0,46627505,4369912,3702369852,0,675,425,2,1,14,14,449,1,3701836752,3653279145,112368218,283392811,283392811,1,2,1,12469283684,73389,73389,14,14,14,283392811,10,1,3,548971,1369172,2555473,28265,3701836752,1340434,44073747,1851
687682.72,253952,62,204635,13482319094,26,56506405,516,31,31,4261,147,1,675,1472886,36,53426,26,41,144800504,1352,1,0,25,45,7,4291,675,0,0,0,50911562,4697163,3994014923,0,675,425,2,1,14,14,449,1,3993209808,3944911027,120315153,306066047,306066047,1,2,1,13466906068,73389,73389,14,14,14,306066047,10,1,3,553431,1504229,2717100,30488,3993209808,1472886,48196326,1851
689687.87,253952,62,217542,14332704930,29,61334905,583,31,31,4261,149,1,675,1577460,36,57105,26,41,145065956,1352,1,0,25,45,7,4291,675,0,0,0,54396767,4859979,4243024275,0,675,425,2,1,14,14,449,1,4241460176,4193515552,129741403,325395232,325395232,1,2,1,14317390208,73389,73389,14,14,14,325395232,10,1,3,555647,1610794,2834645,32382,4241460176,1577460,51564099,1851
691699.65,253952,62,228804,15075018594,29,62913840,601,32,32,4261,151,1,675,1647069,36,60237,26,41,145596860,1352,1,0,25,46,7,4291,675,0,0,0,56937992,4920359,4458077005,0,675,425,2,1,14,14,449,1,4458646480,4410485033,133950640,342268976,342268976,1,2,1,15059114048,73389,73389,14,14,14,342252592,10,1,3,566795,1681887,2902170,34039,4458646480,1647069,54037882,1851
693708.90,253952,62,243079,16015323130,29,64900733,648,33,33,4261,153,1,675,1760301,36,64242,26,41,145596860,1352,1,0,25,47,7,4291,675,0,0,0,60983059,5542695,4734126461,0,675,425,2,1,14,14,449,1,4733242320,4685355605,140097694,363635810,363652194,1,2,1,15999975640,73389,73389,14,14,14,363635810,10,1,3,574338,1797852,3059928,36134,4733242320,1760301,57925328,1851
695713.76,253952,62,256900,16926139774,30,67122726,703,33,33,4261,156,1,675,1870520,36,68216,26,41,146127764,1352,1,0,25,47,7,4291,675,0,0,0,64770951,5924316,4998635172,0,675,425,2,1,14,14,449,1,4999580624,4951741666,147398309,384328741,384328741,1,2,1,16910464604,73389,73389,14,14,14,384328741,10,1,3,577418,1910325,3196403,38166,4999580624,1870520,61576886,1851
697718.48,253952,62,267696,17637648210,31,69985018,722,33,33,4261,157,1,675,1921512,36,71205,26,41,146393216,1352,1,0,25,47,7,4291,675,0,0,0,66991858,5931427,5209090906,0,675,425,2,1,14,14,449,1,5207198672,5159637392,152553181,400500132,400516516,1,2,1,17622005808,73389,73389,14,14,14,400500132,10,1,3,579787,1962418,3249552,39750,5207198672,1921512,63744731,1851
699729.00,253952,62,281704,18560454634,31,71883184,764,35,35,4261,160,1,675,2057477,36,75163,26,41,146658668,1352,1,0,25,49,7,4291,675,0,0,0,70993245,6457940,5476348572,0,675,425,2,1,14,14,449,1,5476682704,5429353052,158384139,421481942,421481942,1,2,1,18545205448,73389,73389,14,14,14,421481942,10,1,3,588961,2100809,3412605,41806,5476682704,2057477,67583193,1851
701733.60,253952,62,292876,19296178622,33,75070630,805,35,35,4261,162,1,675,2129282,36,78317,26,41,146924120,1352,1,0,25,49,7,4291,675,0,0,0,73681269,6597894,5692973543,0,675,425,2,1,14,14,449,1,5690727243,5644462280,165029181,438202197,438202197,1,2,1,19280896668,73389,73389,14,14,14,438202197,10,1,3,590447,2174013,3478781,43443,5690727243,2129282,70205241,1851
703741.55,253952,62,305822,20149385814,34,76618357,828,37,37,4261,164,1,675,2214316,36,81959,26,41,147455024,1352,1,0,25,51,7,4291,675,0,0,0,76940937,6867635,5942001948,0,675,425,2,1,14,14,449,1,5940419403,5893854226,170500044,457594759,457594759,1,2,1,20134169396,73389,73389,14,14,14,457594759,10,1,3,598097,2260865,3583469,45348,5940419403,2214316,73360338,1851
705751.74,253952,62,320379,21107978202,35,79998749,872,39,39,4261,167,1,675,2319872,36,86093,26,41,147720476,1352,1,0,25,53,7,4291,675,0,0,0,80929839,7471353,6221227587,0,675,425,2,1,14,14,449,1,6219896169,6174019253,177724069,479385418,479385418,1,2,1,21092237496,73389,73389,14,14,14,479369034,10,1,3,603415,2368843,3724308,47487,6219896169,2319872,77208556,1851
707756.21,253952,62,331906,21867658906,37,82995501,908,39,39,4261,169,1,675,2378072,36,89346,26,41,148251380,1352,1,0,25,53,7,4291,675,0,0,0,83299069,7504417,6444270978,0,675,425,2,1,14,14,449,1,6442194281,6396030315,184237670,496652378,496652378,1,2,1,21851983736,73389,73389,14,14,14,496635994,10,1,3,603815,2428304,3788766,49183,6442194281,2378072,79513427,1851
709760.90,253952,62,345862,22787174444,37,85529958,946,42,42,4261,172,1,675,2478526,36,93403,26,41,148782284,1352,1,0,25,56,7,4291,675,0,0,0,86790010,7864372,6710684086,0,675,425,2,1,14,14,449,1,6710046730,6664746585,190890980,517556142,517556142,1,2,1,22771749352,73389,73389,14,14,14,517539758,10,1,3,615883,2530811,3937977,51233,6710046730,2478526,82855286,1851
711765.53,253952,62,357037,23523521024,40,90401298,966,42,42,4261,174,1,675,2532782,36,96535,26,41,149047736,1352,1,0,25,56,7,4291,675,0,0,0,89003706,7866284,6926769734,0,675,425,2,1,14,14,449,1,6925004810,6880093680,197992656,534284589,534284589,1,2,1,23507801020,73389,73389,14,14,14,534268205,10,1,3,617843,2586201,4009934,52873,6925004810,2532782,84997103,1851
713769.17,253952,62,373770,24625814324,40,91999097,1016,44,44,4261,178,1,675,2596813,36,101299,26,41,149844092,1352,1,0,25,58,7,4291,675,0,0,0,92135441,7866479,7245787163,0,675,425,2,1,14,14,449,1,7246519107,7202212298,203104916,559343412,559343412,1,2,1,24611110128,73389,73389,14,14,14,559343412,10,1,3,629535,2651766,4108235,55332,7246519107,2596813,88030665,1851
715775.81,253952,62,391427,25787945300,40,94448306,1051,45,45,4261,184,1,675,2690972,36,106396,26,41,150640448,1352,1,0,25,59,7,4291,675,0,0,0,96011850,8142217,7584257877,0,675,425,2,1,14,14,449,1,7583905519,7541845707,209070977,585759948,585759948,1,2,1,25773437712,73389,73389,14,14,14,585759948,10,1,3,636849,2747976,4225984,57924,7583905519,2690972,91789467,1851
717327.24,253952,62,400982,26415782060,41,98008383,1075,45,45,4261,191,1,675,2764711,36,109422,33,42,158511825,1359,1,1038,32,66,25,4328,675,509,1038,142,99189746,8742256,7767448303,8,675,425,2,1,14,14,449,1,7763869224,7725268584,276240684,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,10,1,3,641941,2823290,4326720,59330,7763869224,2764711,94866733,1851
