timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
530359.71,12,253952,62,235615,15523955270,10,36797914,0,1509,15,15,2976,1568,24,657,1898768,0,6,92675,11,132553729,1316,1,0,4,3520,293764194,7,1174992288,10,29,4,3945,657,0,0,133981093,4762487,4972841898,0,657,651,0,3,1,14,14,4103,3,4968060516,4894543928,174932565,298066781,298066781,1,3,1,15499472644,73389,73389,14,14,14,298066785,12,1,3,195194,1947892,2532690,41276,4968060516,1898768,131453223,2111
532365.58,12,253952,62,247122,16279972384,12,40020028,0,1570,16,16,2976,1643,24,657,1970543,0,6,97172,11,132553729,1316,1,0,4,3520,308046953,7,1232123260,10,30,4,3945,657,0,0,139416119,4763696,5216241534,0,657,651,0,3,1,14,14,4103,3,5212908673,5133137746,183559642,312570051,312570051,1,3,1,16253642684,73389,73389,14,14,14,312570055,12,1,3,215138,2021649,2646594,43310,5212908673,1970543,136774571,2111
534372.47,12,253952,62,258737,17046731776,13,42005418,0,1648,18,18,2976,1716,25,675,2050195,0,6,101750,11,135550762,1352,1,0,4,3520,322535837,7,1290143348,10,32,4,3945,675,0,0,145269412,4797676,5468245101,0,675,672,0,3,1,14,14,4103,3,5463536239,5375079372,191421321,327266438,327282822,1,3,1,17017854808,73389,73389,14,14,14,327266442,12,1,3,224613,2103386,2754426,45384,5463536239,2050195,142520265,2182
536377.35,15,253952,62,269811,17775928316,15,45297469,0,1715,18,18,2976,1785,25,747,2118888,0,6,106044,11,147895106,1496,1,0,4,3520,336226939,7,1344778548,10,32,4,3945,747,0,0,150252154,4807840,5710332496,0,747,715,0,3,1,14,14,4103,3,5705551513,5605835216,199740588,341234625,341234625,1,3,1,17744200532,73389,73389,14,14,14,341234629,12,1,3,231163,2173853,2839342,47393,5705551513,2118888,147418282,2386
538386.83,16,253952,62,284212,18725057490,15,46052294,0,1820,20,20,2976,1877,25,873,2249236,0,6,111710,11,170248060,1748,1,0,4,3520,354151110,7,1416475256,10,34,4,3945,873,0,0,158460187,5058197,6034273321,0,873,827,0,3,1,14,14,4103,3,6029204311,5906764066,208934658,359314752,359314752,1,3,1,18684367136,73389,73389,14,14,14,359314756,12,1,3,246332,2307168,3031612,50078,6029204311,2249236,155434331,2830
540402.02,18,253952,62,299407,19725332306,16,47812401,0,1931,21,21,2976,1975,25,990,2396092,0,6,117657,12,190999528,1982,1,0,4,3520,372993017,7,1491842824,11,35,4,3960,990,0,0,167391785,5462085,6372596172,0,990,946,0,3,1,14,14,4103,3,6366954596,6223628636,219998142,378422753,378422753,1,3,1,19677983188,73389,73389,14,14,14,378422757,12,1,3,250561,2457314,3216860,52884,6366954596,2396092,164180986,3278
542414.38,20,253952,62,316182,20831181334,16,49349748,0,2024,22,22,2976,2080,25,1116,2559546,0,6,124203,12,214501721,2234,1,0,4,3520,393735115,7,1574875760,11,36,4,3960,1116,0,0,177160541,5768064,6756881488,0,1116,1082,0,3,1,14,14,4103,3,6750910727,6574644600,231561349,399496390,399496390,1,3,1,20773812312,73389,73389,14,14,14,399496394,12,1,3,264441,2624543,3435977,56082,6750910727,2559546,173730960,3734
544419.37,23,253952,62,333107,21945699240,16,50613432,0,2125,22,22,2976,2192,25,1224,2712403,2,6,130769,12,233698333,2450,1,0,4,3520,414623362,7,1658493448,11,36,4,3960,1224,0,0,186784269,5958764,7135046444,0,1222,1211,2,3,1,14,14,4103,3,7130027559,6928190642,242627210,420734311,420750695,1,3,1,21878184204,73389,73389,14,14,14,420734315,12,1,3,277777,2780887,3623849,59222,7130027559,2712403,183167151,4141
546426.23,24,253952,62,349680,23038427470,18,53809249,0,2211,25,25,2976,2298,25,1224,2830327,2,6,137295,13,235242781,2450,1,0,4,3520,435206859,7,1740762948,12,39,4,3972,1224,0,0,194629610,6020607,7517163086,0,1222,1211,2,3,1,14,14,4103,3,7510543180,7274849006,253724894,441594956,441611340,1,3,1,22961233808,73389,73389,14,14,14,441562192,12,1,3,289723,2901735,3779860,62394,7510543180,2830327,190856800,4141
548436.23,25,253952,62,370526,24412494156,18,54699550,0,2339,26,26,2976,2423,26,1224,3041951,2,6,145417,14,236208061,2450,1,0,4,3520,461001545,7,1844006180,13,40,4,3985,1224,0,0,207218142,6427511,8001227918,0,1222,1211,2,3,1,14,14,4103,3,7994325024,7711552437,267592641,467738997,467755381,1,3,1,24322427876,73389,73389,14,14,14,467739001,12,1,3,298500,3118072,4048119,66423,7994325024,3041951,203177475,4141
550448.37,28,253952,62,391136,25770113326,18,58241145,0,2486,26,26,2976,2555,26,1233,3250165,4,6,153471,14,237963786,2468,1,0,4,3520,486587186,7,1946163404,13,40,4,3985,1233,0,0,219977079,6871063,8469317085,0,1229,1220,4,3,1,14,14,4103,3,8462781531,8142132455,284305606,493657980,493657980,1,3,1,25670214992,73389,73389,14,14,14,493657984,12,1,3,308009,3330955,4303022,70307,8462781531,3250165,215681924,4181
552455.49,34,253952,62,415260,27358657106,18,60733871,0,2635,27,27,2976,2706,28,1287,3495598,4,6,162893,15,247281415,2576,1,0,4,3520,516467669,7,2065741304,14,41,4,4088,1287,0,0,234851315,7444636,9016464752,0,1283,1284,4,3,1,14,14,4103,3,9009446238,8645737567,302153927,523965716,523998484,1,3,1,27246217264,73389,73389,14,14,14,523965720,12,1,3,321840,3581867,4621455,74844,9009446238,3495598,230238212,4375
554460.31,37,253952,62,436325,28746584656,22,66380847,0,2727,27,27,2976,2845,28,1584,3648613,4,6,171026,15,299715192,3170,1,0,4,3520,542302794,7,2169146496,14,41,4,4088,1584,0,0,244913486,7492914,9509344468,0,1580,1562,4,3,1,14,14,4103,3,9502953996,9087596546,317900348,550380093,550380093,1,3,1,28619764868,73389,73389,14,14,14,550380097,12,1,3,349812,3738642,4858443,78926,9502953996,3648613,240063804,5357
556473.06,45,253952,62,459275,30259818082,22,68026089,0,2832,30,30,2976,2990,28,1593,3854188,4,6,180035,15,304350304,3188,1,0,4,3520,570782573,7,2283065596,14,44,4,4088,1593,0,0,257557482,7805297,10061620390,0,1589,1575,4,3,1,14,14,4103,3,10054278527,9569749124,332593272,579071402,579120554,1,3,1,30111712936,73389,73389,14,14,14,579071406,12,1,3,368655,3949026,5151678,83478,10054278527,3854188,252415006,5397
557824.07,47,253952,62,475965,31357447106,28,69116686,6,2909,41,41,2976,3127,28,1692,4010352,8,6,186584,30,328556777,3393,1,1228,4,3520,591599349,7,2366397396,29,62,24,5691,1692,1228,121,267494755,8183575,10455585167,8,1684,1668,8,3,1,14,14,4103,3,10446054208,9918010514,413847996,600037902,600037902,1,3,1,31201970936,73389,73389,14,14,14,600037906,12,1,3,376073,4108942,5376508,86704,10446054208,4010352,262127806,5776
