timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
1007074.33,1,253952,62,160896,10600443774,43,57903497,0,338,48,48,6525,140,675,930340,9,9,41148,55,107,143738696,1352,1,0,54,62,17,14,230,675,0,0,0,34000311,4827353,3149851379,0,666,113,9,2,1,14,14,298,0,1,3151072208,3102496251,267093771,240565157,240581541,1,2,1,0,10584866908,73389,73389,14,14,14,240565157,5,3,509226,950967,1812055,24063,3151072208,930340,32189679,1179
1009083.80,1,253952,62,176710,11642139118,44,61759592,0,380,49,49,6525,143,675,1061186,9,9,45592,55,107,144004148,1352,1,0,54,63,17,14,230,675,0,0,0,38132080,6166225,3456318179,0,666,113,9,2,1,14,14,298,0,1,3455683536,3407000607,277503736,264246009,264246009,1,2,1,0,11626103500,73389,73389,14,14,14,264229625,5,3,516763,1084125,1972759,26387,3455683536,1061186,36160892,1179
1011087.05,1,253952,62,195280,12865778938,44,65041399,0,405,56,56,6525,146,675,1168836,9,9,50819,55,107,144535052,1352,1,0,54,70,17,14,230,675,0,0,0,42333607,6844682,3810627573,0,666,113,9,2,1,14,14,298,0,1,3812985808,3764718455,287351551,292053026,292053026,1,2,1,0,12850333144,73389,73389,14,14,14,292053026,5,3,536598,1194047,2155682,29113,3812985808,1168836,40179650,1179
1013090.52,1,253952,62,217756,14346995086,44,65041399,0,405,56,56,6525,149,675,1247323,9,9,57116,55,107,145065956,1352,1,0,54,70,17,14,230,675,0,0,0,46434370,6844740,4243600871,0,666,113,9,2,1,14,14,298,0,1,4245654480,4197637092,295244218,325712561,325728945,1,2,1,0,14331352684,73389,73389,14,14,14,325712561,5,3,541210,1274717,2267055,32414,4245654480,1247323,44169216,1179
1015094.32,1,253952,62,239918,15807102026,44,65041399,0,405,56,56,6525,153,675,1323927,9,9,63380,55,107,145596860,1352,1,0,54,70,17,14,230,675,0,0,0,50444225,6844894,4669364329,0,666,113,9,2,1,14,14,298,0,1,4672031696,4624507318,305670779,358893086,358909470,1,2,1,0,15791295784,73389,73389,14,14,14,358893086,5,3,545159,1353574,2363486,35667,4672031696,1323927,48082816,1179
1017097.84,1,253952,62,262444,17291594974,44,65041399,0,405,56,56,6525,156,675,1397931,9,9,69686,55,107,146127764,1352,1,0,54,70,17,14,230,675,0,0,0,54439172,6844932,5103777741,0,666,113,9,2,1,14,14,298,0,1,5106142160,5058557535,315125702,392634541,392634541,1,2,1,0,17275919804,73389,73389,14,14,14,392634541,5,3,552396,1429750,2457413,38979,5106142160,1397931,51984009,1179
1019101.07,1,253952,62,285135,18786635910,44,65041399,0,405,56,56,6525,160,675,1467379,9,9,76097,55,107,146658668,1352,1,0,54,70,17,14,230,675,0,0,0,58528143,6845088,5540029356,0,666,113,9,2,1,14,14,298,0,1,5542480848,5495474483,321423583,426607531,426623915,1,2,1,0,18770731364,73389,73389,14,14,14,426607531,5,3,556169,1501072,2550221,42308,5542480848,1467379,55980345,1179
1021104.57,1,253952,62,307425,20254995058,44,65041399,0,405,56,56,6525,164,675,1542928,9,9,82397,55,107,147455024,1352,1,0,54,70,17,14,230,675,0,0,0,62493294,6845136,5968417728,0,666,113,9,2,1,14,14,298,0,1,5970959179,5924732206,331933231,459982505,459998889,1,2,1,0,20239230220,73389,73389,14,14,14,459982505,5,3,564247,1578732,2655827,45581,5970959179,1542928,59840056,1179
1023108.09,1,253952,62,329206,21689915350,44,65041399,0,405,56,56,6525,169,675,1621034,9,9,88613,55,107,148251380,1352,1,0,54,70,17,14,230,675,0,0,0,66642820,6845242,6387656474,0,666,113,9,2,1,14,14,298,0,1,6389634409,6344047168,345020678,492603815,492620199,1,2,1,0,21674567860,73389,73389,14,14,14,492603815,5,3,569531,1659019,2774410,48782,6389634409,1621034,63871168,1179
1025111.96,1,253952,62,351111,23132765620,44,65041399,0,405,56,56,6525,173,675,1700281,9,9,94846,55,107,148782284,1352,1,0,54,70,17,14,230,675,0,0,0,70766372,6845347,6809558880,0,666,113,9,2,1,14,14,298,0,1,6810710026,6765831250,355700793,525407508,525407508,1,2,1,0,23117930352,73389,73389,14,14,14,525407508,5,3,578559,1740424,2887206,52001,6810710026,1700281,67882098,1179
1027115.66,1,253952,62,372978,24573644360,44,65041399,0,405,56,56,6525,178,675,1778112,9,9,101083,55,107,149844092,1352,1,0,54,70,17,14,230,675,0,0,0,74783498,6845397,7229022705,0,666,113,9,2,1,14,14,298,0,1,7230921539,7186961872,361609241,558157731,558157731,1,2,1,0,24558219268,73389,73389,14,14,14,558141347,5,3,583132,1820391,2962856,55213,7230921539,1778112,71823752,1179
1029119.38,1,253952,62,394561,25994396932,44,65041399,0,405,56,56,6525,184,675,1855028,9,9,107293,55,107,150905900,1352,1,0,54,70,17,14,230,675,0,0,0,78862389,6845482,7642687460,0,666,113,9,2,1,14,14,298,0,1,7644025157,7602182284,371044704,590453520,590453520,1,2,1,0,25979954880,73389,73389,14,14,14,590453520,5,3,588689,1899357,3080089,58383,7644025157,1855028,75785578,1179
1029858.64,1,253952,62,400982,26415782060,47,65052893,3,408,56,56,6525,193,675,1877979,9,9,109422,62,115,158511825,1359,1,1038,61,77,17,54,262,675,364,1038,78,80399175,6847354,7767056503,8,666,113,9,2,1,14,14,298,42862243,1,7763869224,7725268584,604979981,600037902,600037902,1,2,1,42862243,26401667688,73389,73389,14,14,14,600037902,5,3,593321,1922948,3125981,59330,7763869224,1877979,77276533,1179
