event,value,description
CommonBackgroundExecutorTaskResetMicroseconds,171,Time spent resetting task for Common executor.
ContextLock,423607,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,6790,Context lock wait time in microseconds
RWLockAcquiredReadLocks,2460,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,5,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,16023,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,298,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,22270,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,57,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,42962,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,77928266348,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,23952962234,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,665940073,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,80184213,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,875893433,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,24617982660,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,1271259539570,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,15488,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,10255152,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,1270372896498,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,438443369,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,448502833,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,90,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,15476,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2242,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3783,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,347,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1598,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,150,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1149228,Cumulative time spend in logging
InterfaceHTTPSendBytes,6469520,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,664968,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,1871,Number of created server HTTP connections
HTTPServerConnectionsReused,116,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,136,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,1820,Number of expired server HTTP connections.
HTTPServerConnectionsReset,1800,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,6124,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,6801175384,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,8416025137,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,222977,Total number of CPU preemptions
ConcurrencyControlPreemptionResumes,219859,Total number of CPU preemption resumed
ConcurrencyControlUpscales,6124,Total number of CPU upscaling events
ConcurrencyControlDownscales,6124,Total number of CPU downscaling events
MemoryWorkerRun,49474,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,3636340,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,1779,Number of rows that passed the filter in the query
FilterTransformPassedBytes,61647594,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
