timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55154.12,9,262144,64,218715,14411019718,145,1,603,3023828,36,16,57951,69,56,133016982,1208,1,68,32591,571698,4,366,603,130308,316845936,76700444,45200567,4279647682,567,2295,36,12,1,2,1,4,4,508,1,4261959198,4216154027,626996640,327170293,327186677,2,1,14395492892,73389,73389,4,4,4,327170293,22,3,399148,21048503,5763820,85777,32524,4261959198,2938051,70941904,6597
60181.56,9,262144,64,225714,14872360702,146,1,603,3158062,36,16,59918,69,56,133282434,1208,1,68,33618,677160,4,366,603,134416,318790576,80213465,51513111,4414871877,567,2295,36,12,1,2,1,4,4,508,1,4396570142,4350941687,656832442,337659039,337675423,2,1,14856997716,73389,73389,4,4,4,337659039,22,3,410720,23995276,5914394,97682,33551,4396570142,3060380,74304141,6597
65197.73,9,262144,64,231891,15279149365,147,1,603,3269897,36,16,61658,69,56,133282434,1208,1,68,34526,713751,4,366,603,138048,320509488,83564515,58605681,4534435439,567,2295,36,12,1,2,1,4,4,508,1,4515583518,4469821279,701406604,346900886,346923303,2,1,15263638984,73389,73389,4,4,4,346900886,22,3,425065,26820219,6095573,101406,34458,4515583518,3168491,77473769,6597
70209.54,9,262144,64,240029,15815286678,149,1,603,3400711,36,16,63944,69,56,133547886,1208,1,68,35722,801418,4,366,603,142832,322770416,87454681,64672841,4691893384,567,2295,36,12,1,2,1,4,4,508,1,4672345630,4626616840,750074636,359099601,359099601,2,1,15799661548,73389,73389,4,4,4,359083217,22,3,439160,29322369,6271438,106214,35654,4672345630,3294497,81187743,6597
75218.60,9,262144,64,251873,16595742294,151,1,603,3568570,36,16,67292,69,56,133813338,1208,1,68,37461,854804,4,366,603,149792,342974744,94833656,71731079,4920798951,567,2295,36,12,1,2,1,4,4,508,1,4900279838,4854674105,842675446,376833505,376849889,2,1,16580674220,73389,73389,4,4,4,376833505,22,3,463993,31208415,6593523,113448,37393,4900279838,3455122,88245234,6597
80241.12,9,262144,64,259656,17108728954,152,1,603,3686906,36,16,69503,69,56,134078790,1208,1,68,38606,956620,4,366,603,154376,345145880,98619658,77331027,5071675906,567,2295,36,12,1,2,1,4,4,508,1,5050488350,5004693345,870852719,388483356,388499740,2,1,17093267664,73389,73389,4,4,4,388483356,22,3,465331,33797341,6700881,117531,38539,5050488350,3569375,91924395,6597
85266.85,9,262144,64,265581,17499153370,153,1,603,3785304,36,16,71174,69,56,134344242,1208,1,68,39475,1071137,4,366,603,157852,346787800,101952215,84148311,5186105206,567,2295,36,12,1,2,1,4,4,508,1,5164389918,5118860588,907497308,397354404,397370788,2,1,17483593776,73389,73389,4,4,4,397354404,22,3,471319,36609194,6839307,121033,39408,5164389918,3664271,95118773,6597
90295.36,9,262144,64,270678,17835048526,154,1,603,3863913,36,16,72622,69,56,134344242,1208,1,68,40224,1248977,4,366,603,160848,364982264,104513458,91256147,5284609236,567,2295,36,12,1,2,1,4,4,508,1,5262431774,5216988941,961341403,405007003,405007003,2,1,17820308132,73389,73389,4,4,4,405007003,22,3,477607,39698143,6960306,123957,40156,5262431774,3739956,97559225,6597
95325.84,9,262144,64,275003,18119818986,154,1,603,3937234,36,16,73799,69,56,134344242,1208,1,68,40861,1547351,4,366,603,163396,366192696,106461698,97075890,5368507307,567,2295,36,12,1,2,1,4,4,508,1,5345924638,5300287088,992056926,411476080,411476080,2,1,18104947520,73389,73389,4,4,4,411476080,22,3,485538,42652452,7074997,126616,40793,5345924638,3810618,99393331,6597
100347.38,9,262144,64,279797,18435856734,155,2,603,4010270,36,16,75161,69,56,134609694,1208,1,68,41563,1715550,4,366,603,166204,367525368,108882856,103466300,5460959928,567,2295,36,12,1,2,1,4,4,508,1,5437937182,5392666784,1024998581,418645351,418661735,2,1,18420395444,73389,73389,4,4,4,418645351,22,3,487433,45653514,7145567,129448,41495,5437937182,3880822,101744024,6597
105463.07,9,262144,64,284322,18733999846,156,2,603,4078207,36,16,76451,69,56,134609694,1208,1,68,42230,1892531,4,366,603,168876,368791160,112678664,113068680,5548926404,567,2295,36,12,1,2,1,4,4,508,1,5525493278,5479851308,1109085200,425423565,425439949,2,1,18718636860,73389,73389,4,4,4,425423565,22,3,502412,48877391,7292259,132027,42163,5525493278,3946180,105393521,6597
110482.85,9,262144,64,289431,19070681434,157,2,603,4160403,36,16,77899,69,56,134875146,1208,1,68,42980,1980682,4,366,603,171876,387153408,114859413,120748832,5647569938,567,2295,36,12,1,2,1,4,4,508,1,5623666206,5578270766,1290687760,433084356,433084356,2,1,19055711664,73389,73389,4,4,4,433084356,22,3,510909,51535015,7420409,134820,42912,5623666206,4025583,107446711,6597
115519.62,9,262144,64,294651,19414372066,158,3,603,4247341,36,16,79378,69,56,134875146,1208,1,68,43746,2116568,4,366,603,174940,388601728,117170738,126780433,5748443407,567,2295,36,12,1,2,1,4,4,508,1,5724067358,5678808155,1342685195,440894762,440894762,2,1,19399369528,73389,73389,4,4,4,440894762,22,3,512864,54259017,7499619,137772,43678,5724067358,4109569,109678963,6597
120835.50,9,262144,64,299260,19718285654,159,3,603,4322507,36,16,80631,69,56,134875146,1208,1,68,44425,2344507,4,366,603,177656,389885504,119133573,133580651,5837871794,567,2295,36,12,1,2,1,4,4,508,1,5813065246,5767621294,1393919830,447801889,447801889,2,1,19703283116,73389,73389,4,4,4,447801889,22,3,518771,57190621,7593166,140402,44357,5813065246,4182105,111547884,6597
125868.19,9,262144,64,304076,20035765194,159,3,603,4394357,36,16,82001,69,56,135140598,1208,1,68,45131,2548791,4,366,603,180488,408006616,121960244,140779708,5930980038,567,2295,36,12,1,2,1,4,4,508,1,5905733150,5860412512,1554399641,455003928,455020312,2,1,20020172832,73389,73389,4,4,4,455003928,22,3,527742,60466441,7727789,143255,45064,5905733150,4251102,114240692,6597
131101.66,9,262144,64,308247,20310708562,160,3,603,4465790,36,16,83165,69,56,135406050,1208,1,68,45744,2758172,4,366,603,182940,409179800,123678692,147593755,6011715111,567,2295,36,12,1,2,1,4,4,508,1,5986080286,5940710227,1577186303,461257854,461274238,2,1,20295345576,73389,73389,4,4,4,461257854,22,3,530845,63870930,7795310,145750,45677,5986080286,4320040,115890921,6597
136240.61,9,262144,64,313417,20651146526,161,3,603,4555147,36,16,84645,69,56,135406050,1208,1,68,46505,2984716,4,366,603,185980,410623320,127125917,159523810,6111800833,567,2295,36,12,1,2,1,4,4,508,1,6085695006,6040294933,1709266403,469002724,469002724,2,1,20635398960,73389,73389,4,4,4,468986340,22,3,539160,66894806,7903977,148641,46437,6085695006,4406506,119229834,6597
141278.95,9,262144,64,318200,20966463378,162,3,603,4634505,36,16,86018,69,56,135671502,1208,1,68,47206,3159161,4,366,603,188784,411949400,129685797,168297402,6204122204,567,2295,36,12,1,2,1,4,4,508,1,6177576478,6132426010,1791745223,476171995,476171995,2,1,20951567780,73389,73389,4,4,4,476171995,22,3,546665,70009267,8018323,151376,47138,6177576478,4483129,121675127,6597
146671.63,9,262144,64,323300,21302030854,163,3,603,4723487,36,16,87451,69,56,135936954,1208,1,68,47956,3356892,4,366,603,191784,413377112,131816653,177090622,6302285834,567,2295,36,12,1,2,1,4,4,508,1,6275278636,6230496091,1821842991,483800018,483800018,2,1,21287200792,73389,73389,4,4,4,483800018,22,3,555406,73432675,8114862,163399,47888,6275278636,4560088,123709864,6597
151793.77,9,262144,64,327526,21580313250,164,3,603,4790721,36,16,88664,69,56,135936954,1208,1,68,48573,3558763,4,366,603,194252,414550744,133926722,185182920,6383541055,567,2295,36,12,1,2,1,4,4,508,1,6356150060,6311834663,1898631548,490113447,490129831,2,1,21564991668,73389,73389,4,4,4,490113447,22,3,560498,76569607,8186632,165828,48505,6356150060,4624893,125748472,6597
157240.11,9,262144,64,331094,21815472958,164,3,603,4913855,36,16,89636,69,56,135936954,1208,1,68,49099,3679019,4,366,603,196360,432332552,135412622,191951156,6452824830,567,2295,36,12,1,2,1,4,4,508,1,6425093932,6380576944,1964845856,495468412,495468412,2,1,21800610128,73389,73389,4,4,4,495468412,22,3,564091,79910835,8268318,232133,49031,6425093932,4681722,127153171,6597
162309.03,9,262144,64,335183,22085042374,165,3,603,4980718,36,16,90812,69,56,136202406,1208,1,68,49700,3965376,4,366,603,198764,433479816,137174451,198701546,6531977020,567,2295,36,12,1,2,1,4,4,508,1,6503868204,6459386001,2006680053,501583074,501599458,2,1,22069655256,73389,73389,4,4,4,501583074,22,3,572154,83332681,8359452,234742,49632,6503868204,4745976,128824582,6597
167762.01,9,262144,64,339305,22356509026,166,3,603,5050776,36,16,91989,69,56,136202406,1208,1,68,50302,4125428,4,366,603,201172,434622344,139730735,207885506,6611267454,567,2295,36,12,1,2,1,4,4,508,1,6582773548,6538719263,2073066507,507765431,507765431,2,1,22340958068,73389,73389,4,4,4,507749047,22,3,581519,86752125,8457121,237229,50234,6582773548,4813547,131283266,6597
172834.19,9,262144,64,343519,22634004990,166,3,603,5123586,36,16,93140,69,56,136202406,1208,1,68,50923,4331723,4,366,603,203656,435795272,142358316,215454286,6693056707,567,2295,36,12,1,2,1,4,4,508,1,6664169260,6619871089,2113602553,514070668,514070668,2,1,22618388496,73389,73389,4,4,4,514054284,22,3,584116,89828006,8535017,243117,50855,6664169260,4880469,133832901,6597
177958.46,9,262144,64,348139,22938639474,167,3,603,5197045,36,16,94454,69,56,136467858,1208,1,68,51600,4477853,4,366,603,206364,437077768,144557761,222126559,6782216895,567,2295,36,12,1,2,1,4,4,508,1,6752905004,6708920544,2154753315,520994179,520994179,2,1,22923743876,73389,73389,4,4,4,520994179,22,3,586054,93019965,8635360,245696,51532,6752905004,4951349,135932579,6597
183829.89,9,262144,64,353361,23282726630,168,3,603,5282356,36,16,95935,69,56,136733310,1208,1,68,52369,4598540,4,366,603,209440,438538376,147498720,230881756,6883486149,567,2295,36,12,1,2,1,4,4,508,1,6853699372,6809545657,2259466751,528810618,528810618,2,1,23267667192,73389,73389,4,4,4,528810618,22,3,589032,96700963,8749469,248878,52302,6853699372,5033478,138758700,6597
189182.69,9,262144,64,357854,23578784656,169,3,603,5354898,36,16,97203,69,56,136733310,1208,1,68,53027,4789880,4,366,603,212072,439791624,150046529,240140015,6970146691,567,2295,36,12,1,2,1,4,4,508,1,6939944748,6896055672,2335101179,535539680,535556064,2,1,23563745920,73389,73389,4,4,4,535539680,22,3,597228,100356800,8845441,251712,52959,6939944748,5103186,141210980,6597
194196.81,9,262144,64,362232,23867293976,169,3,603,5422392,36,16,98408,69,56,136733310,1208,1,68,53671,4910769,4,366,603,214648,441012488,152088260,247449355,7054969405,567,2295,36,12,1,2,1,4,4,508,1,7024355116,6980405973,2373240362,542096710,542096710,2,1,23852255240,73389,73389,4,4,4,542096710,22,3,600268,103256814,8919839,254308,53603,7024355116,5168084,143178832,6597
199233.54,9,262144,64,366669,24159669920,170,3,603,5495449,36,16,99674,69,56,136998762,1208,1,68,54322,4976207,4,366,603,217256,442249224,155092762,256259324,7140837875,567,2295,36,12,1,2,1,4,4,508,1,7109814060,7065821874,2433986097,548735660,548752044,2,1,24144369040,73389,73389,4,4,4,548735660,22,3,605905,106082892,8999959,257082,54255,7109814060,5238367,146103671,6597
204269.61,9,262144,64,371742,24493726760,171,3,603,5576606,36,16,101111,69,56,136998762,1208,1,68,55068,5095662,4,366,603,220236,443659912,157133511,262201829,7238949475,567,2295,36,12,1,2,1,4,4,508,1,7207462700,7163562188,2457971422,556316690,556333074,2,1,24477934360,73389,73389,4,4,4,556316690,22,3,615191,108932765,9095230,259902,55000,7207462700,5316704,148048798,6597
209282.90,9,262144,64,382201,25182884112,173,3,603,5727166,36,16,104021,69,56,137264214,1208,1,68,56603,5137878,4,366,603,226376,446524296,163116285,270232148,7441014328,567,2295,36,12,1,2,1,4,4,508,1,7408658220,7364990684,2608000065,571990528,572006912,2,1,25167583232,73389,73389,4,4,4,571990528,22,3,633026,111190489,9312562,264996,56535,7408658220,5462170,153813326,6597
