timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
50495.83,253952,62,228737,15070855038,144,0,621,3465944,18,60600,71,123,135801977,1244,1,0,70,70,35,8,619,621,0,0,0,54367947,71523428,4405271899,0,621,132,2,1,8,8,300,1,4453805343,4408927398,600837131,342190930,342207314,2,1,15056400920,73389,73389,8,8,8,342190930,4,3,658442,3535387,4194604,33995,4453805343,3465944,50175859,2132
55524.21,253952,62,250730,16519886394,148,0,621,3834411,18,66820,71,123,136332881,1244,1,0,70,70,35,8,619,621,0,0,0,61607211,82549616,4828305996,0,621,132,2,1,8,8,300,1,4877036831,4832571662,722256570,375117503,375133887,2,1,16505170132,73389,73389,8,8,8,375117503,4,3,704343,3907324,4567808,37224,4877036831,3834411,57042119,2132
60556.13,253952,62,267102,17598681730,151,0,621,4209884,18,71446,71,123,136598333,1244,1,0,70,70,35,8,619,621,0,0,0,66632244,91073330,5146341611,0,621,132,2,1,8,8,300,1,5192264991,5147899472,811433069,399654197,399654197,2,1,17584784668,73389,73389,8,8,8,399654197,4,3,723892,4285567,4823069,39629,5192264991,4209884,61812080,2132
65592.55,253952,62,275261,18136309926,152,0,621,4572441,18,73726,71,123,136863785,1244,1,0,70,70,35,8,619,621,0,0,0,68776688,97771660,5302866817,0,621,132,2,1,8,8,300,1,5349158175,5305063885,851641083,411861104,411877488,2,1,18121888576,73389,73389,8,8,8,411861104,4,3,730686,4653470,4941275,40826,5349158175,4572441,63838472,2132
70642.23,253952,62,281640,18556753138,153,0,621,4913996,18,75522,71,123,137129237,1244,1,0,70,70,35,8,619,621,0,0,0,71287429,107209739,5426853837,0,621,132,2,1,8,8,300,1,5472234783,5428041009,897243787,421409929,421426313,2,1,18542036876,73389,73389,8,8,8,421409929,4,3,739927,4997691,5047897,41765,5472234783,4913996,66242724,2132
75697.20,253952,62,287655,18953075794,154,0,621,5222630,18,77224,71,123,137394689,1244,1,0,70,70,35,8,619,621,0,0,0,72758685,114833260,5542843232,0,621,132,2,1,8,8,300,1,5587971359,5543862030,936568125,430428433,430444817,2,1,18938851052,73389,73389,8,8,8,430428433,4,3,742251,5343087,5143482,42648,5587971359,5222630,67618512,2132
80728.79,253952,62,293550,19341268678,155,0,621,5524272,18,78886,71,123,137394689,1244,1,0,70,70,35,8,619,621,0,0,0,75410845,128012979,5655691663,0,621,132,2,1,8,8,300,1,5701217567,5657312344,1061779506,439252488,439268872,2,1,19327109472,73389,73389,8,8,8,439252488,4,3,750008,5676912,5242789,43512,5701217567,5524272,70171499,2132
85749.57,253952,62,300792,19818439914,157,0,621,5778181,18,80968,71,123,137925593,1244,1,0,70,70,35,8,619,621,0,0,0,77536558,137849107,5795677837,0,621,132,2,1,8,8,300,1,5840012743,5796796547,1106338970,450091331,450107715,2,1,19804018564,73389,73389,8,8,8,450091331,4,3,755229,5946271,5341915,44575,5840012743,5778181,72198235,2132
90790.10,253952,62,307178,20239076426,158,0,621,6151845,18,82761,71,123,137925593,1244,1,0,70,70,35,8,619,621,0,0,0,80398578,149595532,5920731430,0,621,132,2,1,8,8,300,1,5962958279,5919773241,1196400513,459658699,459675083,2,1,20224982756,73389,73389,8,8,8,459658699,4,3,764317,6321276,5471040,45513,5962958279,6151845,74931271,2132
95819.43,253952,62,315918,20814781038,159,0,621,6522187,18,85201,71,123,137925593,1244,1,0,70,70,35,8,619,621,0,0,0,83687654,162806838,6088401860,0,621,132,2,1,8,8,300,1,6131254727,6088145668,1310493533,472742150,472742150,2,1,20799933704,73389,73389,8,8,8,472725766,4,3,768875,6693383,5625102,46797,6131254727,6522187,78066447,2132
100853.13,253952,62,327254,21561783834,162,1,621,6910693,18,88459,71,123,138721949,1244,1,0,70,70,35,8,619,621,0,0,0,87753548,175425251,6303778377,0,621,132,2,1,8,8,300,1,6348289808,6306393134,1398296352,489712039,489728423,2,1,21547329716,73389,73389,8,8,8,489712039,4,3,786390,7085382,5818163,48458,6348289808,6910693,81939458,2132
105883.15,253952,62,336842,22193593878,163,1,621,7324266,18,91129,71,123,138987401,1244,1,0,70,70,35,8,619,621,0,0,0,90192455,183464729,6490725109,0,621,132,2,1,8,8,300,1,6533494544,6491088159,1453928046,504069124,504085508,2,1,22179041456,73389,73389,8,8,8,504069124,4,3,795913,7509858,5956051,49871,6533494544,7324266,84240651,2132
110935.23,253952,62,344499,22698057550,165,1,621,7708427,18,93319,71,123,139252853,1244,1,0,70,70,35,8,619,621,0,0,0,91745852,190136340,6638054071,0,621,132,2,1,8,8,300,1,6680426256,6638653323,1478856315,515540910,515540910,2,1,22683079144,73389,73389,8,8,8,515524526,4,3,799235,7906567,6041810,50992,6680426256,7708427,85708430,2132
115981.40,253952,62,351158,23136326554,167,1,621,8227211,18,95251,71,123,139518305,1244,1,0,70,70,35,8,619,621,0,0,0,94689659,202586221,6766710720,0,621,132,2,1,8,8,300,1,6807634914,6766681433,1611676526,525499335,525515719,2,1,23121970740,73389,73389,8,8,8,525499335,4,3,807472,8426709,6161338,51967,6807634914,8227211,88532849,2132
121014.42,253952,62,358655,23630039014,168,1,621,8448698,18,97351,71,123,139518305,1244,1,0,70,70,35,8,619,621,0,0,0,97735503,215150881,6913142643,0,621,132,2,1,8,8,300,1,6951945186,6911004046,1798852227,536719328,536735712,2,1,23615650432,73389,73389,8,8,8,536719328,4,3,815564,8649771,6267513,53068,6951945186,8448698,91472672,2132
126035.87,253952,62,368451,24275745998,170,1,621,8808420,18,100132,71,123,140037143,1244,1,0,70,70,35,8,619,621,0,0,0,99789287,222199749,7100614628,0,621,132,2,1,8,8,300,1,7140295650,7099822127,1827259615,551385550,551401934,2,1,24260964200,73389,73389,8,8,8,551385550,4,3,819406,9011403,6384557,54505,7140295650,8808420,93409588,2132
131039.67,253952,62,385387,25391769090,173,1,621,9082364,18,104896,71,123,140568047,1244,1,0,70,70,35,8,619,621,0,0,0,105813130,236641655,7425275185,0,621,132,2,1,8,8,300,1,7465933377,7425993782,2057199758,576755669,576772053,2,1,25377249436,73389,73389,8,8,8,576755669,4,3,842974,9288295,6629906,56990,7465933377,9082364,99187276,2132
132523.51,253952,62,400935,26415466446,178,1,621,9139731,18,109410,78,123,148439424,1251,1,1037,77,77,35,70,648,621,647,1037,74,112401945,246188016,7768454504,8,621,132,2,1,8,8,300,1,7763456807,7725180361,8335341394,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,4,3,887353,9347132,6893819,59276,7763456807,9139731,105513368,2132
