timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
74002.23,3,253952,62,187371,12345027550,138,0,621,7140964,30,48989,53,64,1,346556,134740169,1244,1,63,67,10,4,356928,621,50574615,110716235,3652275630,621,4167,2,1,8,8,437,1,3657280799,3612042657,723722295,280257434,280257434,2,1,12330606200,73389,73389,8,8,8,280241050,10,3,557473,7235798,3543130,27918,3657280799,7140964,47034377,3907
79056.18,3,253952,62,193736,12764287806,139,0,621,7526370,30,50782,53,64,1,346556,134740169,1244,1,63,67,10,4,356928,621,52865638,121823046,3776138312,621,4167,2,1,8,8,437,1,3779702047,3734612836,954260455,289783842,289783842,2,1,12749768152,73389,73389,8,8,8,289767458,10,3,565214,7622419,3624355,28852,3779702047,7526370,49244314,3907
84088.19,3,253952,62,200276,13195282314,140,0,621,7885867,30,52617,53,64,1,346556,135005621,1244,1,63,67,10,4,356928,621,54295009,128628981,3902500116,621,4167,2,1,8,8,437,1,3905793311,3860646704,998321829,299562043,299578427,2,1,13180729892,73389,73389,8,8,8,299562043,10,3,566098,7983356,3708963,29814,3905793311,7885867,50589226,3907
89137.05,3,253952,62,206874,13630077910,141,1,621,8241437,30,54473,53,64,1,346556,135271073,1244,1,63,67,10,4,356928,621,56323909,137466961,4028596220,621,4167,2,1,8,8,437,1,4032802079,3987782784,1118099210,309438548,309454932,2,1,13615296112,73389,73389,8,8,8,309438548,10,3,572406,8340265,3809808,30783,4032802079,8241437,52517421,3907
94157.45,3,253952,62,214202,14112714786,142,1,621,8612979,30,56527,53,64,1,346556,135271073,1244,1,63,67,10,4,356928,621,59416604,152811023,4169653132,621,4167,2,1,8,8,437,1,4174228767,4128940709,1228100579,320420973,320420973,2,1,14097801916,73389,73389,8,8,8,320404589,10,3,576984,8713379,3921777,31862,4174228767,8612979,55498314,3907
99171.25,3,253952,62,224578,14796698102,144,1,621,8887466,30,59468,53,64,1,346556,135801977,1244,1,63,67,10,4,356928,621,63048420,163486567,4369583462,621,4167,2,1,8,8,437,1,4373720351,4328771447,1323430858,335961580,335977964,2,1,14782309520,73389,73389,8,8,8,335961580,10,3,584772,8989967,4075872,33384,4373720351,8887466,58976215,3907
104221.08,3,253952,62,234658,15460751858,145,1,621,9251695,30,62274,53,64,1,346556,135801977,1244,1,63,67,10,4,356928,621,66537439,174316970,4564131222,621,4167,2,1,8,8,437,1,4567706911,4522896633,1383345984,351064137,351064137,2,1,15446822028,73389,73389,8,8,8,351064137,10,3,607205,9356225,4273065,34864,4567706911,9251695,62268232,3907
109265.67,3,253952,62,242295,15964170262,147,1,621,9658463,30,64416,53,64,1,346556,136067429,1244,1,63,67,10,4,356928,621,68834040,183607371,4710027921,621,4167,2,1,8,8,437,1,4714769695,4670101518,1419425082,362500996,362517380,2,1,15950043824,73389,73389,8,8,8,362500996,10,3,620722,9764602,4404608,35986,4714769695,9658463,64433444,3907
114310.58,3,253952,62,247900,16333623158,147,1,621,10089986,30,65995,53,64,1,346556,136332881,1244,1,63,67,10,4,356928,621,71320926,194996237,4818157427,621,4167,2,1,8,8,437,1,4822510879,4778098584,1502322963,370888716,370905100,2,1,16319103504,73389,73389,8,8,8,370888716,10,3,626094,10197355,4497077,36808,4822510879,10089986,66827992,3907
119334.35,3,253952,62,255375,16825893826,149,1,621,10466604,30,68139,53,64,1,346556,136332881,1244,1,63,67,10,4,356928,621,74288655,208290899,4960385690,621,4167,2,1,8,8,437,1,4966165791,4921996030,1640849181,382092325,382092325,2,1,16811341404,73389,73389,8,8,8,382075941,10,3,634928,10595639,4609083,37904,4966165791,10466604,69683863,3907
124374.74,3,253952,62,263883,17386659538,150,1,621,10787601,30,70519,53,64,1,346556,136598333,1244,1,63,67,10,4,356928,621,76851142,217827011,5126487645,621,4167,2,1,8,8,437,1,5130399007,5085857881,1685565677,394821361,394837745,2,1,17372139884,73389,73389,8,8,8,394821361,10,3,638877,10924371,4715957,39157,5130399007,10787601,72139646,3907
129404.40,3,253952,62,276225,18199752082,152,1,621,11068483,30,73996,53,64,1,346556,136863785,1244,1,63,67,10,4,356928,621,80858285,229120510,5362992310,621,4167,2,1,8,8,437,1,5367901471,5323605659,1789061072,413308929,413325313,2,1,18185592876,73389,73389,8,8,8,413308929,10,3,644424,11219031,4881514,40969,5367901471,11068483,75981419,3907
134408.35,3,253952,62,319658,21061052406,161,1,621,11306295,30,86278,53,64,1,346556,138191045,1244,1,63,67,10,4,356928,621,89865130,232001136,6197185678,621,4167,2,1,8,8,437,1,6202275600,6160041825,1818952086,478332524,478348908,2,1,21046631056,73389,73389,8,8,8,478332524,10,3,648807,11461337,5131856,47344,6202275600,11306295,84738291,3907
139412.48,3,253952,62,374050,24644805678,171,1,621,11505003,30,101695,53,64,1,346556,140302595,1244,1,63,67,10,4,356928,621,100838994,233555565,7242119816,621,4167,2,1,8,8,437,1,7247960641,7207680442,1859549810,559789654,559789654,2,1,24630744776,73389,73389,8,8,8,559789654,10,3,654704,11665150,5401990,55327,7247960641,11505003,95442451,3907
