timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
92493.16,2,253952,62,171973,11330329730,135,621,4566065,17,44624,71,11488,134209265,1244,1,70,70,5534,8,34591,621,45345715,102841755,3353814322,621,435,2,1,8,8,12730,1,3360795935,3315512394,727329114,257176757,257193141,2,1,11315777308,73389,73389,8,8,8,257176757,14,3,404902,4670295,2803020,25656,3360795935,4566065,42545071,17370
97513.30,2,253952,62,181114,11932845182,137,621,4875391,17,47231,71,11488,134740169,1244,1,70,70,5534,8,34591,621,48022474,112107209,3530404970,621,435,2,1,8,8,12730,1,3537087775,3491635365,862678092,270886674,270886674,2,1,11919013656,73389,73389,8,8,8,270886674,14,3,412906,4981542,2908402,27001,3537087775,4875391,45116611,17370
102541.91,2,253952,62,190650,12560981902,138,621,5252294,17,49885,71,11488,134740169,1244,1,70,70,5534,8,34591,621,50849023,120596272,3714079887,621,435,2,1,8,8,12730,1,3720326431,3675192624,906086258,285163998,285163998,2,1,12546495016,73389,73389,8,8,8,285147614,14,3,415950,5360421,3043216,28399,3720326431,5252294,47808523,17370
107579.62,2,253952,62,199194,13123841458,140,621,5604456,17,52325,71,11488,134740169,1244,1,70,70,5534,8,34591,621,54171350,132599878,3878340542,621,435,2,1,8,8,12730,1,3884952863,3839754454,1035971202,297944345,297960729,2,1,13109551180,73389,73389,8,8,8,297944345,14,3,428922,5714342,3189895,29655,3884952863,5604456,50984333,17370
112625.97,2,253952,62,205162,13517083922,140,621,5955086,17,53953,71,11488,135005621,1244,1,70,70,5534,8,34591,621,55505951,139263315,3992496353,621,435,2,1,8,8,12730,1,3999903007,3954685762,1095252251,306889121,306905505,2,1,13503121324,73389,73389,8,8,8,306889121,14,3,431228,6066247,3265152,30532,3999903007,5955086,52242806,17370
117673.13,2,253952,62,211703,13948143966,142,621,6340112,17,55836,71,11488,135271073,1244,1,70,70,5534,8,34591,621,59148597,155935333,4117939989,621,435,2,1,8,8,12730,1,4125863199,4080805771,1265242882,316667322,316683706,2,1,13933362168,73389,73389,8,8,8,316667322,14,3,440190,6452664,3403337,31493,4125863199,6340112,55747397,17370
122706.09,2,253952,62,219986,14494164078,143,621,6619700,17,58162,71,11488,135536525,1244,1,70,70,5534,8,34591,621,63179762,172648351,4278406010,621,435,2,1,8,8,12730,1,4285377823,4240357588,1383864229,329085062,329101446,2,1,14479742728,73389,73389,8,8,8,329085062,14,3,448122,6733985,3537450,32710,4285377823,6619700,59644617,17370
127735.15,2,253952,62,230447,15183211182,145,621,6976831,17,61097,71,11488,135801977,1244,1,70,70,5534,8,34591,621,65595042,179919748,4479905559,621,435,2,1,8,8,12730,1,4486573343,4441799891,1430984602,344752867,344752867,2,1,15169126148,73389,73389,8,8,8,344752867,14,3,454063,7102352,3677566,34245,4486573343,6976831,61920947,17370
132738.93,2,253952,62,261934,17258133518,150,621,7280955,17,69934,71,11488,136598333,1244,1,70,70,5534,8,34591,621,73356786,188447329,5081798745,621,435,2,1,8,8,12730,1,5092781343,5048324535,1534231770,391903294,391919678,2,1,17243744936,73389,73389,8,8,8,391903294,14,3,476332,7410634,3959820,38870,5092781343,7280955,69400727,17370
137742.99,2,253952,62,317411,20913422642,160,621,7499490,17,85612,71,11488,138191045,1244,1,70,70,5534,8,34591,621,83726084,188448073,6148482496,621,435,2,1,8,8,12730,1,6159697351,6116887916,1554115560,474980281,474996665,2,1,20899132364,73389,73389,8,8,8,474980281,14,3,483302,7634116,4232706,47014,6159697351,7499490,79497583,17370
142746.72,2,253952,62,372915,24569891414,170,621,7699695,17,101296,71,11488,140037143,1244,1,70,70,5534,8,34591,621,93962168,188450730,7215687735,621,435,2,1,8,8,12730,1,7226082380,7185804359,1582449670,558073652,558090036,2,1,24555240688,73389,73389,8,8,8,558073652,14,3,492600,7839112,4467858,55160,7226082380,7699695,89498969,17370
