event,value,description
SelectedParts,1235,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,1235,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,1235,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,6971955,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,6971955,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,57003621865,Number of rows SELECTed from all tables.
SelectedBytes,2738574344100,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,57003600690,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,57003600690,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,37340,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,6696,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,2664033,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,92652,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,16657,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,186,Time spent resetting task for Common executor.
ContextLock,167839,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,12398,Context lock wait time in microseconds
RWLockAcquiredReadLocks,818,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,30004,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,13,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,261,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,32109,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,189,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,8394,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,132851666168,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,36572989508,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,1282091243,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,111192780,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,8279563154,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,37854043716,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,846071880653,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,800,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,6774377,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,845138409238,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,698333817,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,714974935,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,105,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,31761,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2708,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,5681,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,293,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1245,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,467,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1895394,Cumulative time spend in logging
InterfaceHTTPSendBytes,133433,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,103442,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,229584,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,1281,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,42,Number of created server HTTP connections
HTTPServerConnectionsReused,73,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,95,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,24,Number of expired server HTTP connections.
HTTPServerConnectionsReset,2,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,10467,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,7169036869,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,18536133748,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,337567,Total number of CPU preemptions
ConcurrencyControlUpscales,10467,Total number of CPU upscaling events
ConcurrencyControlDownscales,10467,Total number of CPU downscaling events
MemoryWorkerRun,7166,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,2951641,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,20582,Number of rows that passed the filter in the query
FilterTransformPassedBytes,1258657,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,52,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,2,How many messages (accepted or dropped) have been sent to the async queue for the error file log
